,Attribute,Importance,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Index_Category,Industry
5,trend_cmo,-2.1708731451538923,0.6794532627865961,0.6307692307692307,0.7685098406747891,0.6928601605407688,Trading_ind,Materials
16,ema_5,0.8555032809950361,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Overlap_ind,Real Estate
13,tema_30,0.42410332034642106,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Overlap_ind,Real Estate
6,mama,0.39848507832923385,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Overlap_ind,Real Estate
17,ema_10,0.3682082203746437,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Overlap_ind,Real Estate
3,MA_10,0.1571640052111475,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Overlap_ind,Real Estate
0,dema_30,0.12398084556516975,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Overlap_ind,Real Estate
8,midpoint,-0.11537705663811856,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Overlap_ind,Real Estate
20,ema_25,-0.194470980379991,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Overlap_ind,Real Estate
15,wma,-0.2742063996436558,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Overlap_ind,Real Estate
21,ema_30,-0.2770724754668851,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Overlap_ind,Real Estate
22,ema_35,-0.3412606783384083,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Overlap_ind,Real Estate
2,kama_30,-0.349909414123248,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Overlap_ind,Real Estate
7,fama,-0.3880114884248749,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Overlap_ind,Real Estate
23,ema_40,-0.3937450807198765,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Overlap_ind,Real Estate
4,MA_20,-0.4108022219436579,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Overlap_ind,Real Estate
24,ema_45,-0.4372810030327351,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Overlap_ind,Real Estate
25,ema_50,-0.47618214114556195,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Overlap_ind,Real Estate
10,SMA_30,-0.47672928400997217,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Overlap_ind,Real Estate
1,HT,-0.5368053583168072,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Overlap_ind,Real Estate
5,MA_50,-0.5537092936891075,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Overlap_ind,Real Estate
11,SMA_50,-0.5537092936891075,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Overlap_ind,Real Estate
14,trima,-0.7355144397776944,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Overlap_ind,Real Estate
7,cci,4.182187041840291,0.7092791716447631,0.6289833080424886,0.7747663551401869,0.6943048576214406,Momentum_ind,Real Estate
28,ultosc,1.9120905738388971,0.7092791716447631,0.6289833080424886,0.7747663551401869,0.6943048576214406,Momentum_ind,Real Estate
20,rsi_14,1.888549196766122,0.7092791716447631,0.6289833080424886,0.7747663551401869,0.6943048576214406,Momentum_ind,Real Estate
8,cmo,1.888549196766077,0.7092791716447631,0.6289833080424886,0.7747663551401869,0.6943048576214406,Momentum_ind,Real Estate
1,adxr,1.3303661178628716,0.7092791716447631,0.6289833080424886,0.7747663551401869,0.6943048576214406,Momentum_ind,Real Estate
22,slowd,1.1756306413775035,0.7092791716447631,0.6289833080424886,0.7747663551401869,0.6943048576214406,Momentum_ind,Real Estate
23,stochf_k,1.0322495371206115,0.7092791716447631,0.6289833080424886,0.7747663551401869,0.6943048576214406,Momentum_ind,Real Estate
6,bop,0.8042916043865267,0.7092791716447631,0.6289833080424886,0.7747663551401869,0.6943048576214406,Momentum_ind,Real Estate
16,mom,0.7153528304618852,0.7092791716447631,0.6289833080424886,0.7747663551401869,0.6943048576214406,Momentum_ind,Real Estate
12,macdhist,0.6295161760272692,0.7092791716447631,0.6289833080424886,0.7747663551401869,0.6943048576214406,Momentum_ind,Real Estate
29,willR,0.5013159930466351,0.7092791716447631,0.6289833080424886,0.7747663551401869,0.6943048576214406,Momentum_ind,Real Estate
3,aroondown,0.48038296684814136,0.7092791716447631,0.6289833080424886,0.7747663551401869,0.6943048576214406,Momentum_ind,Real Estate
26,fastd,0.33704741681603007,0.7092791716447631,0.6289833080424886,0.7747663551401869,0.6943048576214406,Momentum_ind,Real Estate
13,mfi,0.3189709900071425,0.7092791716447631,0.6289833080424886,0.7747663551401869,0.6943048576214406,Momentum_ind,Real Estate
9,dxi,0.16696789311699844,0.7092791716447631,0.6289833080424886,0.7747663551401869,0.6943048576214406,Momentum_ind,Real Estate
4,aroonup,-0.24558757891527658,0.7092791716447631,0.6289833080424886,0.7747663551401869,0.6943048576214406,Momentum_ind,Real Estate
10,macd,-0.32560244357767953,0.7092791716447631,0.6289833080424886,0.7747663551401869,0.6943048576214406,Momentum_ind,Real Estate
18,plus_dm,-0.4459891863890635,0.7092791716447631,0.6289833080424886,0.7747663551401869,0.6943048576214406,Momentum_ind,Real Estate
11,macdsignal,-0.5975395938283841,0.7092791716447631,0.6289833080424886,0.7747663551401869,0.6943048576214406,Momentum_ind,Real Estate
15,MINUS_DM,-0.8677227932259018,0.7092791716447631,0.6289833080424886,0.7747663551401869,0.6943048576214406,Momentum_ind,Real Estate
2,apo,-1.0044086351709345,0.7092791716447631,0.6289833080424886,0.7747663551401869,0.6943048576214406,Momentum_ind,Real Estate
27,trix,-1.2387066062094971,0.7092791716447631,0.6289833080424886,0.7747663551401869,0.6943048576214406,Momentum_ind,Real Estate
19,ppo,-1.6321654070161447,0.7092791716447631,0.6289833080424886,0.7747663551401869,0.6943048576214406,Momentum_ind,Real Estate
17,plus_di,-1.646628154934085,0.7092791716447631,0.6289833080424886,0.7747663551401869,0.6943048576214406,Momentum_ind,Real Estate
0,adx,-2.385883823635437,0.7092791716447631,0.6289833080424886,0.7747663551401869,0.6943048576214406,Momentum_ind,Real Estate
14,MINUS_DI,-3.8362198142019155,0.7092791716447631,0.6289833080424886,0.7747663551401869,0.6943048576214406,Momentum_ind,Real Estate
0,ad,1.364192966485203,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Volume_ind,Real Estate
2,obv,0.6438965554219076,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Volume_ind,Real Estate
1,adosc,0.20913774989662073,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Volume_ind,Real Estate
1,natr,1.2746493163258241,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Volatility_ind,Real Estate
2,Trange,1.0883565956549532,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Volatility_ind,Real Estate
0,atr,-1.126370982983661,0.42612504978096377,0.42612504978096377,1.0,0.5975984361910082,Volatility_ind,Real Estate
4,sine,3.0195782307226615,0.5818399044205496,0.5054054054054054,0.8738317757009346,0.6404109589041096,Cycle_ind,Real Estate
3,quadrature,2.0051871886826667,0.5818399044205496,0.5054054054054054,0.8738317757009346,0.6404109589041096,Cycle_ind,Real Estate
2,inphase,1.8041741860672813,0.5818399044205496,0.5054054054054054,0.8738317757009346,0.6404109589041096,Cycle_ind,Real Estate
1,HT_DCphase,0.3985725575693717,0.5818399044205496,0.5054054054054054,0.8738317757009346,0.6404109589041096,Cycle_ind,Real Estate
6,HT_TRENDMODE,-0.13639319566076122,0.5818399044205496,0.5054054054054054,0.8738317757009346,0.6404109589041096,Cycle_ind,Real Estate
0,HT_DCperiod,-0.41945216313137407,0.5818399044205496,0.5054054054054054,0.8738317757009346,0.6404109589041096,Cycle_ind,Real Estate
5,leadsine,-1.077360971907249,0.5818399044205496,0.5054054054054054,0.8738317757009346,0.6404109589041096,Cycle_ind,Real Estate
70,trend_bbands,2.671242089392217,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
33,cci,1.5101472696793183,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
54,ultosc,1.494971301123235,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
27,adxr,1.385079182208448,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
66,sine,1.0033126502105907,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
34,cmo,0.9384270018889846,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
46,rsi_14,0.9384270018889672,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
60,natr,0.8224829425299393,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
49,stochf_k,0.8053136633943837,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
89,trend_ema_10_40,0.77349977141761,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
48,slowd,0.7229576128976465,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
114,trend_ema_35_40,0.6205032868395857,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
111,trend_ema_30_40,0.6202569481572023,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
91,trend_ema_10_50,0.5934124014752709,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
97,trend_ema_15_45,0.588845772790745,0.714058144165671,0.6362229102167183,0.7682242990654206,0.6960203217612192,All,Real Estate
