"","CPT.Open","CPT.High","CPT.Low","CPT.Close","CPT.Volume","CPT.Adjusted"
"2021-10-28",160.039993,162.990005,160.039993,162.850006,545500,160.05748
"2021-10-29",162.850006,164.240005,160.100006,163.100006,783200,160.303207
"2021-11-01",163.320007,163.639999,157.589996,161.539993,534800,158.769928
"2021-11-02",161.949997,162.800003,160.009995,161.570007,524500,158.799423
"2021-11-03",162.339996,164.199997,161.860001,163.320007,749100,160.519424
"2021-11-04",163.320007,163.320007,159.710007,160.520004,532500,157.767441
"2021-11-05",160.729996,161.850006,159.949997,161.380005,275500,158.612686
"2021-11-08",161.770004,162.309998,159.889999,161.860001,326500,159.084473
"2021-11-09",162.350006,163.110001,161.330002,162.949997,279000,160.155762
"2021-11-10",162.600006,164.940002,162.600006,164.600006,554400,161.777466
"2021-11-11",164.809998,166.389999,163.399994,166.369995,595800,163.517105
"2021-11-12",166.679993,167.320007,165.009995,165.649994,460600,162.809448
"2021-11-15",165.300003,167.949997,164.660004,167.929993,359300,165.050369
"2021-11-16",167.929993,167.929993,164.490005,165.059998,474100,162.229584
"2021-11-17",164.869995,166.550003,160.529999,166.5,602400,163.644882
"2021-11-18",167.070007,167.070007,164.830002,165.759995,555300,162.917572
"2021-11-19",165.410004,166.639999,164.380005,166.25,525200,163.399185
"2021-11-22",166.240005,167.679993,164.75,166.470001,485200,163.615402
"2021-11-23",166.100006,168.910004,165.419998,167.580002,563800,164.706375
"2021-11-24",167.210007,171.169998,167.190002,170.690002,469400,167.763046
"2021-11-26",168.779999,170.399994,166.130005,166.979996,612300,164.116653
"2021-11-29",168.009995,171.559998,167.529999,168.850006,838600,165.95459
"2021-11-30",168.220001,169.820007,165.210007,165.210007,1537100,162.377014
"2021-12-01",166.389999,168.259995,162.479996,162.550003,674600,159.762619
"2021-12-02",163.669998,169.410004,162.580002,168.270004,692100,165.384552
"2021-12-03",169.070007,170.149994,165.740005,167.279999,737200,164.411514
"2021-12-06",168.419998,171.889999,168.419998,169.839996,732000,166.927597
"2021-12-07",172.149994,172.520004,169.830002,171.339996,694800,168.401886
"2021-12-08",171.339996,173.940002,170.679993,173.619995,480100,170.642776
"2021-12-09",173.479996,174.740005,171.630005,171.639999,1356800,168.696747
"2021-12-10",172.050003,174.600006,171.210007,173.690002,607100,170.711594
"2021-12-13",173.190002,177.070007,172.300003,175.75,648000,172.736267
"2021-12-14",175.440002,175.899994,172.039993,173.470001,630800,170.495361
"2021-12-15",172.889999,177.449997,172.889999,176.889999,834900,174.692566
"2021-12-16",176.699997,177.100006,173.389999,174.490005,472200,172.322388
"2021-12-17",174.220001,175.940002,170.729996,171.610001,1696000,169.478165
"2021-12-20",170.039993,172.660004,169.330002,171.949997,416700,169.813934
"2021-12-21",173.110001,174.059998,171.389999,172.5,668000,170.357101
"2021-12-22",172.059998,174.720001,172.059998,174.460007,960700,172.29277
"2021-12-23",175.509995,175.509995,172.119995,173.490005,372300,171.334808
"2021-12-27",173.360001,176.639999,172.899994,176.559998,274700,174.366669
"2021-12-28",176.559998,177.399994,176.100006,176.789993,414700,174.593811
"2021-12-29",177.169998,178.080002,175.220001,177.660004,630100,175.453003
"2021-12-30",177.850006,179.059998,177.119995,178.179993,394700,175.966537
"2021-12-31",178.169998,180.369995,178.169998,178.679993,434700,176.460327
"2022-01-03",178.800003,179.350006,174.559998,176.449997,525900,174.258026
"2022-01-04",176.330002,179.320007,176.169998,176.320007,809800,174.129669
"2022-01-05",176.320007,176.860001,172.529999,172.869995,537100,170.722504
"2022-01-06",172.610001,174.389999,170.649994,170.960007,331400,168.836243
"2022-01-07",170.029999,170.240005,166.630005,166.889999,934200,164.816803
"2022-01-10",165.929993,168.229996,164.779999,165.490005,1004300,163.434189
"2022-01-11",165.699997,165.940002,162.679993,165.660004,1478800,163.602081
"2022-01-12",165.660004,169.830002,165.660004,168.740005,811400,166.643814
"2022-01-13",169.139999,170.220001,168.539993,168.679993,582300,166.584549
"2022-01-14",168.669998,168.669998,163.940002,165.589996,548700,163.532944
"2022-01-18",164.860001,165.479996,162.020004,164.669998,780500,162.624374
"2022-01-19",165.300003,166.759995,162.429993,162.5,539800,160.481339
"2022-01-20",162.550003,164,158.449997,158.5,656500,156.531021
"2022-01-21",159.350006,160.550003,157.5,157.679993,693100,155.721207
"2022-01-24",156.759995,158.210007,152.300003,157.990005,846200,156.027374
"2022-01-25",156.300003,157.190002,153.190002,155.759995,844700,153.825058
"2022-01-26",155.940002,158.330002,153.570007,154.460007,979300,152.541214
"2022-01-27",155.399994,156.630005,150.300003,150.509995,1504800,148.640274
"2022-01-28",150.910004,158.369995,149.649994,158.330002,1615400,156.363129
"2022-01-31",157.779999,160.339996,156.949997,160.089996,1073700,158.101273
"2022-02-01",161.229996,162.139999,157.910004,159.5,784500,157.5186
"2022-02-02",159.949997,164.509995,159.949997,163.119995,816300,161.093628
