"","PPG.Open","PPG.High","PPG.Low","PPG.Close","PPG.Volume","PPG.Adjusted"
"2021-08-03",163.820007,165.710007,162.289993,165.630005,844400,163.044952
"2021-08-04",164.270004,165.940002,163.75,163.809998,1212400,161.253326
"2021-08-05",165.259995,165.919998,162.800003,162.949997,1218100,160.406769
"2021-08-06",164.149994,164.990005,163.639999,164.229996,813200,161.666794
"2021-08-09",163.979996,164.580002,162.360001,164.300003,738800,162.318848
"2021-08-10",164.559998,167.610001,164.5,167.360001,1026500,165.341949
"2021-08-11",167.630005,170.259995,166.589996,170.190002,998700,168.137833
"2021-08-12",169.759995,170.619995,167.860001,170.389999,909900,168.335403
"2021-08-13",170.429993,170.429993,168.899994,169.779999,528400,167.732758
"2021-08-16",169.289993,169.699997,167.610001,169.389999,578900,167.347473
"2021-08-17",168.369995,168.460007,164.339996,166.589996,816100,164.581238
"2021-08-18",165.960007,166.550003,164.399994,164.509995,648100,162.526321
"2021-08-19",162.770004,163.770004,160.940002,161.139999,958000,159.196945
"2021-08-20",161.419998,162.529999,159.869995,161.119995,1131600,159.177185
"2021-08-23",161.679993,163.220001,161.130005,162.360001,698700,160.402237
"2021-08-24",162.979996,163.490005,162.190002,162.880005,649800,160.915955
"2021-08-25",163.210007,163.669998,161.100006,163.389999,885000,161.419815
"2021-08-26",163.229996,163.270004,161.009995,161.149994,662100,159.206818
"2021-08-27",161.940002,162.910004,161.479996,161.839996,647300,159.888504
"2021-08-30",162.869995,163.029999,161.669998,161.710007,495700,159.760086
"2021-08-31",161.419998,161.729996,158.679993,159.550003,1244900,157.626129
"2021-09-01",159.529999,159.639999,156.520004,157.75,1057900,155.847809
"2021-09-02",158,159.850006,157.710007,158.630005,1037300,156.717209
"2021-09-03",158.259995,158.929993,155.350006,155.660004,1123000,153.783035
"2021-09-07",149.490005,153.649994,149,150.399994,2030100,148.586456
"2021-09-08",149.449997,151.369995,148.610001,151.020004,2772500,149.19899
"2021-09-09",148.919998,155.610001,148.919998,154.559998,2382500,152.696304
"2021-09-10",154.889999,155.880005,153.009995,153.029999,1276600,151.184738
"2021-09-13",154.5,154.990005,151.619995,152.509995,1060900,150.671005
"2021-09-14",153.270004,153.270004,149.970001,150.330002,967400,148.517303
"2021-09-15",150.100006,151.619995,149.949997,150.710007,1001400,148.892715
"2021-09-16",150.720001,150.839996,149.050003,149.789993,776500,147.98381
"2021-09-17",148.75,149.699997,146.350006,146.740005,1888100,144.970596
"2021-09-20",144.139999,146.550003,143.800003,146.309998,1139600,144.545776
"2021-09-21",147.300003,147.899994,145.270004,145.660004,854000,143.90361
"2021-09-22",146.820007,147.300003,145.149994,145.259995,950900,143.508423
"2021-09-23",146.440002,147.979996,146.309998,146.520004,1040600,144.753235
"2021-09-24",146.600006,149.179993,146.259995,148.580002,1142500,146.788406
"2021-09-27",148.830002,150.300003,147.940002,148.160004,980800,146.373474
"2021-09-28",148,149.020004,145.679993,146.089996,901300,144.328415
"2021-09-29",145.669998,147.490005,144.869995,145.75,973100,143.992523
"2021-09-30",146.580002,147.130005,143,143.009995,1089500,141.285553
"2021-10-01",143.639999,145.270004,141.809998,144.009995,1198700,142.273499
"2021-10-04",144,145.889999,142.460007,144.009995,1416700,142.273499
"2021-10-05",144.660004,147.009995,143.520004,145.850006,1272800,144.091309
"2021-10-06",144.600006,146.880005,143.080002,146.75,1324300,144.980469
"2021-10-07",148.119995,151.669998,147.929993,150.479996,1726600,148.665497
"2021-10-08",150.470001,151.309998,149.389999,150.740005,976600,148.922363
"2021-10-11",151.710007,153.729996,151.229996,151.860001,1272400,150.028854
"2021-10-12",151.740005,153.300003,151,152.800003,1435800,150.957504
"2021-10-13",153.759995,155.039993,152.009995,154.679993,1287500,152.814835
"2021-10-14",155.820007,159.059998,155.059998,158.880005,1580400,156.964203
"2021-10-15",159.649994,161.649994,158.539993,160.300003,1369200,158.367081
"2021-10-18",159.449997,159.869995,157.330002,157.399994,1820700,155.502045
"2021-10-19",158.279999,159.110001,157.210007,158.940002,1258600,157.023483
"2021-10-20",160.559998,161.190002,156.570007,160.429993,1739100,158.495514
"2021-10-21",156.919998,165.160004,156.919998,165,2543300,163.010391
"2021-10-22",162.440002,164.949997,161.520004,161.720001,1543700,159.769958
"2021-10-25",162.199997,162.199997,158.490005,160.070007,1817700,158.139847
"2021-10-26",160.110001,162.570007,159.570007,161.869995,1004800,159.918137
"2021-10-27",161.830002,162.820007,160.259995,161.520004,1048300,159.572372
"2021-10-28",162.119995,163.729996,161.669998,162.979996,1270500,161.014771
"2021-10-29",162.210007,164,159.419998,160.570007,2067400,158.63382
"2021-11-01",160.419998,161.229996,158.339996,159.029999,787200,157.112396
"2021-11-02",160.119995,162.289993,159.410004,161.889999,1340400,159.937897
"2021-11-03",161.240005,163.610001,160.039993,162.809998,1216400,160.846802
"2021-11-04",162.889999,164.279999,162.270004,163.25,756100,161.281494
"2021-11-05",163.919998,165.649994,162.830002,163.089996,991000,161.123428
"2021-11-08",163.259995,164.820007,162.110001,162.470001,1129100,160.51091
"2021-11-09",162.029999,163.960007,161.039993,161.449997,1151500,160.084549
"2021-11-10",161.600006,163.369995,160.470001,160.729996,2943400,159.370621
"2021-11-11",160.5,160.880005,158.5,159.509995,1985800,158.16095
"2021-11-12",159.770004,161.910004,159.179993,161.639999,3076200,160.272934
"2021-11-15",161.970001,162.940002,160.25,162.929993,1091600,161.552017
