"","PG.Open","PG.High","PG.Low","PG.Close","PG.Volume","PG.Adjusted"
"2021-05-17",137.970001,139.070007,137.610001,137.729996,7690700,133.672806
"2021-05-18",136.460007,137.830002,136.149994,136.320007,9239100,132.304367
"2021-05-19",136.059998,136.830002,135.589996,136.600006,9806800,132.576111
"2021-05-20",136.789993,138.710007,136.720001,138,8768200,133.93486
"2021-05-21",138.199997,138.940002,137.779999,138,10161000,133.93486
"2021-05-24",138,138.800003,137.729996,137.960007,6981300,133.896057
"2021-05-25",138.050003,138.479996,136.75,138.429993,8142400,134.352188
"2021-05-26",138.789993,138.860001,137.869995,138.119995,8122900,134.051331
"2021-05-27",138.119995,138.279999,134.660004,134.979996,33095700,131.00383
"2021-05-28",135.149994,136.130005,134.639999,134.850006,10477100,130.87767
"2021-06-01",135.789993,136,132.479996,132.880005,9993900,128.965698
"2021-06-02",133,133.630005,132.520004,133.460007,8254100,129.52861
"2021-06-03",133.229996,135.910004,133.199997,135.850006,11249800,131.848206
"2021-06-04",135.699997,136.619995,135.399994,135.949997,6894400,131.945251
"2021-06-07",136.360001,136.839996,135.679993,136.419998,8418000,132.401398
"2021-06-08",136.679993,136.75,134.75,134.839996,6911500,130.867935
"2021-06-09",135.550003,136.440002,134.740005,134.789993,6200700,130.819427
"2021-06-10",135.020004,136.350006,134.619995,135.789993,6515500,131.789948
"2021-06-11",135.75,135.869995,133.899994,134.860001,10641400,130.88736
"2021-06-14",134.979996,135.029999,133.960007,134.910004,6302000,130.935898
"2021-06-15",135.199997,135.639999,134.550003,134.649994,5543400,130.683548
"2021-06-16",135.179993,135.580002,132.649994,132.779999,8936400,128.868637
"2021-06-17",132.820007,134.160004,132.649994,133.990005,7875600,130.042999
"2021-06-18",133.339996,133.350006,131.940002,132.029999,13997600,128.140717
"2021-06-21",132.690002,133.259995,132.399994,133.070007,8014800,129.150085
"2021-06-22",133.039993,134.020004,132.880005,133.119995,6550900,129.198624
"2021-06-23",132.949997,133.360001,132.320007,132.929993,5796000,129.014206
"2021-06-24",132.949997,133.309998,132.699997,133.020004,6056700,129.101578
"2021-06-25",133.259995,135.539993,132.949997,134.919998,24504900,130.945587
"2021-06-28",134.899994,136.160004,134.759995,135.320007,6065400,131.333817
"2021-06-29",135.509995,135.830002,133.820007,134.399994,5792300,130.440903
"2021-06-30",134.580002,135.289993,134.289993,134.929993,5776600,130.955292
"2021-07-01",135.429993,136.139999,134.919998,135.240005,5922300,131.256165
"2021-07-02",135.600006,136.639999,135.419998,135.899994,5572000,131.896729
"2021-07-06",135.520004,136.300003,135.360001,135.979996,6534400,131.97435
"2021-07-07",136.029999,137.589996,136.029999,137,5532700,132.964325
"2021-07-08",136.990005,137.399994,135.889999,136.979996,7585200,132.944916
"2021-07-09",137.240005,137.649994,136.839996,137.029999,5948700,132.993423
