"","NTRS.Open","NTRS.High","NTRS.Low","NTRS.Close","NTRS.Volume","NTRS.Adjusted"
"2021-03-02",98.650002,99.139999,97.220001,97.300003,878100,93.691399
"2021-03-03",96.510002,100.349998,96.510002,98.550003,933700,94.895035
"2021-03-04",98.779999,99.010002,96,97.57,964200,93.951378
"2021-03-05",99.139999,100.260002,96.93,99.919998,938100,96.214211
"2021-03-08",100.769997,103.080002,100.139999,101.610001,970900,97.841545
"2021-03-09",100.550003,102.940002,99.099998,100.410004,1289600,96.68605
"2021-03-10",100.800003,103.150002,100.800003,101.379997,1237500,97.620064
"2021-03-11",100.230003,102.190002,99.580002,101.690002,915900,98.599373
"2021-03-12",102.970001,103.900002,102.019997,102.379997,852300,99.268402
"2021-03-15",102.669998,104.93,102.209999,104.82,1243700,101.634247
"2021-03-16",103.989998,105.449997,103.580002,104.300003,1094600,101.130058
"2021-03-17",105.25,106.230003,103.389999,104.580002,1311200,101.401543
"2021-03-18",105.919998,106.650002,103.5,104.059998,1124700,100.897339
"2021-03-19",103.029999,104.089996,101.410004,102.610001,5177400,99.491409
"2021-03-22",101.730003,101.900002,99.370003,99.580002,1013100,96.553513
"2021-03-23",99.080002,99.489998,97.360001,97.82,1190600,94.846992
"2021-03-24",98.650002,100.610001,98.5,99.349998,1046600,96.33049
"2021-03-25",99.550003,103.279999,98.43,102.93,912600,99.801689
"2021-03-26",103.440002,105.940002,103.029999,105.849998,1017700,102.632935
"2021-03-29",104.5,107.279999,103.970001,106.580002,1145200,103.340752
"2021-03-30",107.459999,107.959999,105.540001,107.019997,1023100,103.767372
"2021-03-31",106.360001,106.870003,104.529999,105.110001,1026300,101.915436
"2021-04-01",104.330002,105.889999,102.43,105.629997,638100,102.419632
"2021-04-05",106.580002,107.550003,105.760002,106.870003,840400,103.621948
"2021-04-06",106.330002,106.910004,105,105.709999,570600,102.497192
"2021-04-07",106.489998,107.110001,105.730003,106.830002,588500,103.58316
"2021-04-08",106.279999,106.830002,105.540001,106.510002,592500,103.272881
"2021-04-09",107.550003,109.160004,106.860001,108.720001,885500,105.415718
"2021-04-12",108.080002,110,108.080002,109.959999,726500,106.618027
"2021-04-13",109.25,109.480003,108.099998,108.760002,848300,105.454506
"2021-04-14",108.650002,110.400002,108.379997,110.089996,840200,106.744072
"2021-04-15",109.910004,109.910004,108.110001,108.529999,1078000,105.231499
"2021-04-16",109.440002,109.470001,106.089996,106.910004,1496700,103.660736
"2021-04-19",107.019997,107.190002,105.220001,106.230003,1445100,103.001389
"2021-04-20",106.370003,109.489998,105.300003,107.370003,1558000,104.106743
"2021-04-21",106.489998,107.580002,105.050003,106.739998,1018900,103.495895
"2021-04-22",106.510002,107.610001,105.589996,106.760002,1107500,103.515289
"2021-04-23",106.589996,109.970001,106.379997,109.529999,897400,106.201103
"2021-04-26",109.739998,111.199997,108.949997,109.160004,537600,105.842354
"2021-04-27",108.669998,111.379997,108.519997,111.18,823000,107.800949
"2021-04-28",111.779999,112.410004,111.07,111.839996,597700,108.440887
"2021-04-29",111.470001,114.57,111.099998,114.410004,859300,110.932785
"2021-04-30",113.940002,114.269997,113.230003,113.800003,907500,110.341324
"2021-05-03",114.589996,115.389999,112.900002,114.790001,760400,111.301231
"2021-05-04",114.739998,115.760002,113.419998,115.32,1095500,111.815125
"2021-05-05",116.150002,118,114.550003,117.419998,802900,113.851303
"2021-05-06",118.190002,118.879997,115.809998,118.800003,655400,115.189362
"2021-05-07",114.010002,119.470001,114.010002,119.279999,654300,115.65477
"2021-05-10",120.029999,121.669998,119.559998,120.18,565900,116.52742
"2021-05-11",119.650002,121.459999,118.120003,118.400002,564100,114.801514
"2021-05-12",118.110001,120.309998,116.019997,116.349998,706900,112.813812
"2021-05-13",116.040001,119.639999,116.040001,119.059998,572900,115.441452
"2021-05-14",119.720001,121,119.269997,120.169998,822500,116.517723
"2021-05-17",120.07,121.010002,118.839996,120.620003,613700,116.954048
"2021-05-18",120.290001,120.839996,117.330002,117.379997,1052600,113.812515
"2021-05-19",115.739998,117.470001,115.279999,117.339996,731200,113.773727
"2021-05-20",116.870003,118.959999,116.650002,118.160004,596600,114.56881
"2021-05-21",118.139999,120.860001,118.139999,119.879997,756800,116.236534
"2021-05-24",120.370003,120.93,119.510002,120.660004,474100,116.992828
"2021-05-25",120.610001,122.440002,119.93,120.269997,808500,116.614677
"2021-05-26",121.279999,121.449997,119.389999,120.949997,521500,117.274017
"2021-05-27",122.040001,123.019997,121.010002,121.459999,984300,117.768509
"2021-05-28",121.739998,122.300003,120.379997,121.190002,801000,117.506729
"2021-06-01",122.82,123.099998,121.209999,121.5,680400,117.807297
"2021-06-02",121.199997,121.690002,119.699997,120.470001,944200,116.808594
"2021-06-03",120.190002,121.809998,119.989998,120.82,759100,117.147957
"2021-06-04",120.669998,120.870003,119.279999,120.389999,1181800,116.731033
