"","DAL.Open","DAL.High","DAL.Low","DAL.Close","DAL.Volume","DAL.Adjusted"
"2021-01-08",40.41,40.689999,39.77,40.02,9497500,40.02
"2021-01-11",39.080002,39.990002,38.900002,39.41,11748800,39.41
"2021-01-12",39.689999,40.41,39.16,40.299999,9725000,40.299999
"2021-01-13",40.009998,40.740002,39.630001,40.450001,10852500,40.450001
"2021-01-14",41.209999,42.639999,41.119999,41.470001,17658300,41.470001
"2021-01-15",41.669998,41.669998,39.959999,39.98,15465500,39.98
"2021-01-19",40.310001,40.650002,39.799999,40.310001,11530700,40.310001
"2021-01-20",40.689999,41.77,40.5,41.619999,11335700,41.619999
"2021-01-21",41.310001,41.43,40.169998,40.669998,11134200,40.669998
"2021-01-22",40,40.27,39.810001,40,11310100,40
"2021-01-25",39.630001,39.75,38.419998,38.900002,15964900,38.900002
"2021-01-26",39.259998,39.639999,38.98,39.32,10599400,39.32
"2021-01-27",38.630001,39.23,38.16,38.52,16953400,38.52
"2021-01-28",39.549999,40.369999,38.990002,40.080002,21654000,40.080002
"2021-01-29",39.27,39.830002,37.740002,37.959999,17989700,37.959999
"2021-02-01",38.349998,38.439999,37.419998,37.82,10332900,37.82
"2021-02-02",38.549999,38.880001,37.990002,38.799999,11854300,38.799999
"2021-02-03",38.869999,39.900002,38.700001,39.779999,12416000,39.779999
"2021-02-04",39.950001,41.07,39.939999,40.93,11431800,40.93
"2021-02-05",41.380001,41.400002,40.75,41.150002,10111900,41.150002
"2021-02-08",41.549999,43.459999,41.360001,43.240002,18296300,43.240002
"2021-02-09",42.959999,42.959999,41.810001,42.509998,10432100,42.509998
"2021-02-10",42.84,43.220001,42.16,42.900002,12011100,42.900002
"2021-02-11",42.700001,43.139999,42,42.720001,8549200,42.720001
"2021-02-12",42.509998,43.939999,42.41,43.290001,11490100,43.290001
"2021-02-16",43.990002,44.810001,43.779999,44.650002,13775500,44.650002
"2021-02-17",44.279999,44.5,43.540001,44.389999,10934400,44.389999
"2021-02-18",43.799999,44.549999,43.369999,44.380001,8747800,44.380001
"2021-02-19",44.619999,46.220001,44.549999,45.669998,14587700,45.669998
"2021-02-22",46.75,48.93,46.470001,47.740002,21573500,47.740002
"2021-02-23",48.130001,48.880001,45.700001,48.34,19193800,48.34
"2021-02-24",48.93,50.200001,48.619999,49.599998,17020900,49.599998
"2021-02-25",49.970001,50,47.23,48.25,15729800,48.25
"2021-02-26",47.700001,49.139999,47.279999,47.939999,14828000,47.939999
"2021-03-01",49.470001,49.959999,48.060001,48.060001,13812900,48.060001
"2021-03-02",48.099998,48.68,47.380001,48.23,11566800,48.23
"2021-03-03",48.619999,49.09,48.139999,48.349998,13642700,48.349998
"2021-03-04",48.32,48.41,45.32,46.959999,18062500,46.959999
"2021-03-05",46.91,47,43.009998,46.209999,20611800,46.209999
"2021-03-08",46.93,48.220001,46.700001,47.880001,17273000,47.880001
"2021-03-09",47.959999,48.080002,46.34,47.619999,11710100,47.619999
"2021-03-10",47.650002,48.580002,47.16,47.799999,10719300,47.799999
"2021-03-11",48.209999,48.959999,47.580002,48.32,11318600,48.32
"2021-03-12",48.349998,49.860001,48.080002,49.830002,15891800,49.830002
"2021-03-15",50.860001,52.279999,50.75,50.990002,19673700,50.990002
"2021-03-16",51.040001,51.139999,49.029999,49.389999,14281500,49.389999
"2021-03-17",49.029999,50.639999,49.009998,50.439999,13694400,50.439999
"2021-03-18",50.080002,50.98,48.93,49.18,13410100,49.18
"2021-03-19",49.040001,49.209999,47.830002,49,12123600,49
"2021-03-22",48.529999,48.619999,47.75,47.970001,10911100,47.970001
"2021-03-23",47.02,47.830002,45.450001,45.639999,13616800,45.639999
"2021-03-24",46.540001,47.400002,45.560001,45.610001,12120800,45.610001
"2021-03-25",44.790001,47.220001,44.52,47.009998,14469100,47.009998
"2021-03-26",47.5,47.939999,46.560001,47.66,12361400,47.66
"2021-03-29",47.66,48.099998,46.709999,47.32,9824200,47.32
"2021-03-30",47.700001,49.040001,47.419998,48.900002,10787500,48.900002
"2021-03-31",48.799999,49.02,48.110001,48.279999,9469200,48.279999
"2021-04-01",48.59,49.209999,48.279999,48.830002,9570000,48.830002
"2021-04-05",49.580002,50.98,49.470001,50.25,14599900,50.25
"2021-04-06",50.700001,51.810001,50.540001,51.650002,14652500,51.650002
"2021-04-07",51.799999,51.82,50.029999,50.200001,12244300,50.200001
"2021-04-08",49.75,50.209999,49.139999,49.810001,13546900,49.810001
"2021-04-09",49.810001,49.810001,48.830002,49.27,9785400,49.27
"2021-04-12",49.060001,49.139999,48.169998,48.82,11070300,48.82
"2021-04-13",47.450001,48.5,46.57,48.259998,18287600,48.259998
"2021-04-14",49.07,49.5,47.919998,48.169998,12520400,48.169998
"2021-04-15",48.860001,49.049999,46.150002,46.82,22267900,46.82
"2021-04-16",47,47.43,46.34,46.639999,12236400,46.639999
"2021-04-19",46.43,46.470001,45.630001,46.150002,9579400,46.150002
"2021-04-20",45.5,45.52,43.759998,44.450001,15627800,44.450001
"2021-04-21",44,45.740002,43.34,45.700001,16267100,45.700001
"2021-04-22",46.060001,46.330002,44.630001,44.650002,17303200,44.650002
"2021-04-23",44.810001,45.939999,44.450001,45.799999,9162700,45.799999
"2021-04-26",46.5,47.099998,46.119999,46.610001,11260000,46.610001
"2021-04-27",46.66,46.740002,46.09,46.34,8151600,46.34
"2021-04-28",46.25,46.75,46.09,46.439999,7209200,46.439999
"2021-04-29",46.91,47.009998,46.060001,46.380001,8222300,46.380001
"2021-04-30",46.029999,47.080002,45.900002,46.919998,9175200,46.919998
"2021-05-03",47.189999,47.23,46.080002,46.57,9382600,46.57
"2021-05-04",46.25,46.41,44.080002,44.66,14790400,44.66
"2021-05-05",44.700001,45.810001,44.560001,45.200001,10700100,45.200001
"2021-05-06",45.16,45.509998,44.16,44.93,9665700,44.93
"2021-05-07",44.869999,46.349998,44.77,46.110001,11195100,46.110001
"2021-05-10",46.299999,46.77,45.41,45.43,9054200,45.43
"2021-05-11",44.25,45.049999,43.610001,44.52,14139100,44.52
"2021-05-12",44.139999,44.740002,42.939999,43.029999,12187300,43.029999
"2021-05-13",43.400002,44.299999,42.939999,43.970001,11778100,43.970001
"2021-05-14",44.939999,46.439999,44.810001,46.310001,11537500,46.310001
"2021-05-17",46,46.830002,45.259998,46.75,11077700,46.75
"2021-05-18",46.950001,47.799999,46.389999,46.73,10684000,46.73
"2021-05-19",45.91,46.290001,45.130001,46.139999,11545800,46.139999
"2021-05-20",46.349998,46.369999,44.91,45.41,12341700,45.41
"2021-05-21",45.700001,46,45.110001,45.209999,9894400,45.209999
"2021-05-24",45.57,46.279999,45.009998,46.169998,8409100,46.169998
"2021-05-25",47.41,48.16,46.509998,46.669998,14657000,46.669998
"2021-05-26",47.049999,47.57,46.810001,47.490002,9746200,47.490002
"2021-05-27",48,48.200001,47.25,48.049999,8680700,48.049999
"2021-05-28",48.049999,48.060001,47.25,47.68,8370300,47.68
"2021-06-01",48.130001,48.540001,47.43,47.700001,11986200,47.700001
"2021-06-02",48,48.279999,47.419998,47.77,9108600,47.77
"2021-06-03",47.360001,47.380001,46.07,46.130001,11555600,46.130001
"2021-06-04",46.540001,46.73,45.68,45.98,7699400,45.98
"2021-06-07",45.990002,46.380001,45.889999,46.080002,6120200,46.080002
"2021-06-08",47.259998,47.380001,46.380001,47.040001,10714100,47.040001
"2021-06-09",47.349998,47.400002,46.48,46.52,6741200,46.52
"2021-06-10",47.200001,47.439999,45.990002,46.279999,9780800,46.279999
"2021-06-11",46.07,46.630001,46,46.5,8216100,46.5
"2021-06-14",46.330002,46.790001,45.720001,45.900002,11184200,45.900002
"2021-06-15",45.91,46.279999,45.310001,45.529999,7898500,45.529999
"2021-06-16",45.57,45.990002,45.130001,45.52,8565500,45.52
"2021-06-17",45.529999,46.049999,44.25,44.57,10144600,44.57
"2021-06-18",44.439999,45.380001,43.950001,44.959999,15219300,44.959999
"2021-06-21",45.040001,45.779999,44.82,45.77,9861400,45.77
"2021-06-22",45.77,45.790001,44.869999,45.369999,8499800,45.369999
"2021-06-23",45.360001,45.610001,45.009998,45.27,7406100,45.27
"2021-06-24",45.57,45.639999,44.59,44.91,9300300,44.91
"2021-06-25",44.919998,44.98,44.259998,44.43,23930400,44.43
"2021-06-28",44.099998,44.099998,42.580002,43.119999,17441500,43.119999
"2021-06-29",43,43.48,42.810001,42.869999,9477800,42.869999
"2021-06-30",42.830002,43.59,42.810001,43.259998,7845500,43.259998
"2021-07-01",43.5,44.419998,43.5,44.23,9873800,44.23
"2021-07-02",44.09,44.299999,43.720001,44.150002,5759900,44.150002
"2021-07-06",44.310001,44.540001,43,43.240002,7881000,43.240002
"2021-07-07",42.950001,43.470001,41.950001,42.540001,11858300,42.540001
"2021-07-08",41.720001,42.799999,41.119999,42.07,10363900,42.07
"2021-07-09",42.470001,43.200001,42.299999,42.919998,7707100,42.919998
"2021-07-12",42.369999,43.380001,42.029999,42.849998,10626000,42.849998
"2021-07-13",42.299999,42.549999,41.189999,41.330002,14610400,41.330002
"2021-07-14",41.529999,42.200001,40.119999,40.68,31085700,40.68
"2021-07-15",41.189999,42.27,40.68,41.349998,20896300,41.349998
"2021-07-16",41.830002,42.049999,39.84,40.060001,16726600,40.060001
"2021-07-19",38.27,39,37.560001,38.560001,27073800,38.560001
"2021-07-20",38.630001,40.82,38.43,40.66,17690600,40.66
"2021-07-21",41.009998,42.200001,41,41.610001,19145300,41.610001
"2021-07-22",41.34,41.560001,40.41,41.060001,10850600,41.060001
"2021-07-23",41.32,41.630001,40.32,40.41,10101600,40.41
"2021-07-26",40.34,41.700001,40.310001,41.669998,10014900,41.669998
"2021-07-27",41.360001,41.490002,40.5,40.959999,10508200,40.959999
"2021-07-28",41.369999,41.650002,40.630001,41.299999,7538600,41.299999
"2021-07-29",41.439999,41.630001,40.950001,41.23,8357400,41.23
"2021-07-30",40.650002,41.060001,39.75,39.900002,12202300,39.900002
"2021-08-02",40.040001,40.970001,39.400002,39.450001,11084800,39.450001
"2021-08-03",39.5,39.849998,38.549999,39.77,14670600,39.77
"2021-08-04",39.150002,39.48,37.900002,38.349998,23023700,38.349998
"2021-08-05",38.490002,40.16,38.470001,39.990002,15652400,39.990002
"2021-08-06",40.540001,40.68,39.48,40.32,11716100,40.32
"2021-08-09",40.02,40.02,38.75,39.290001,10985000,39.290001
"2021-08-10",39.349998,41.029999,39.209999,40.459999,13745300,40.459999
"2021-08-11",40,41.299999,39.68,41.299999,12452000,41.299999
"2021-08-12",41,41.130001,40.049999,40.529999,9802100,40.529999
"2021-08-13",40.310001,40.57,39.790001,39.900002,7211800,39.900002
"2021-08-16",39.450001,40.02,38.880001,39.93,10923400,39.93
"2021-08-17",39.25,39.459999,38.279999,38.779999,11442000,38.779999
"2021-08-18",38.689999,39.470001,38.400002,38.650002,8612300,38.650002
"2021-08-19",38.43,38.529999,37.310001,37.93,12294000,37.93
"2021-08-20",37.990002,38.25,37.75,38.119999,8213100,38.119999
"2021-08-23",38.790001,39.330002,38.630001,39.209999,8584700,39.209999
"2021-08-24",39.860001,40.869999,39.82,40.529999,10805000,40.529999
"2021-08-25",40.59,41.439999,40.16,41.299999,12455900,41.299999
"2021-08-26",41.110001,41.48,40.279999,40.77,10032900,40.77
"2021-08-27",40.849998,41.75,40.82,41.52,7936100,41.52
"2021-08-30",41.75,41.799999,39.880001,39.91,11882100,39.91
"2021-08-31",39.73,40.59,39.619999,40.439999,8627200,40.439999
"2021-09-01",40.57,40.580002,39.880001,40.400002,8434600,40.400002
"2021-09-02",40.450001,41.060001,39.860001,40.82,9345500,40.82
"2021-09-03",40.799999,41.189999,40.150002,40.25,6644300,40.25
"2021-09-07",40.18,40.52,39.84,40.349998,8233900,40.349998
"2021-09-08",40.400002,40.919998,39.599998,39.650002,7156100,39.650002
"2021-09-09",39.619999,41.77,39.450001,41.09,15509400,41.09
"2021-09-10",41.049999,41.130001,39.349998,39.360001,12501200,39.360001
"2021-09-13",39.700001,40.18,38.799999,40.18,11556300,40.18
"2021-09-14",39.84,40.18,39.220001,39.439999,8837700,39.439999
"2021-09-15",39.25,39.700001,38.82,39.639999,8175800,39.639999
"2021-09-16",39.869999,40.669998,39.68,40.220001,9485200,40.220001
"2021-09-17",40.549999,40.990002,39.790001,40.110001,11011500,40.110001
"2021-09-20",40.549999,40.84,39.419998,40.779999,16633900,40.779999
"2021-09-21",41.049999,41.740002,40.139999,40.360001,11837600,40.360001
"2021-09-22",40.68,41.950001,40.68,41.59,11599300,41.59
"2021-09-23",41.900002,42.77,41.720001,42.59,12651000,42.59
"2021-09-24",42.84,43.740002,42.669998,43.529999,13478500,43.529999
"2021-09-27",43.900002,45.060001,43.75,43.779999,14467500,43.779999
"2021-09-28",43.66,44.209999,43.310001,43.439999,9434700,43.439999
"2021-09-29",43.689999,43.990002,42.75,43.360001,9141100,43.360001
"2021-09-30",43.060001,43.080002,42.369999,42.610001,9789200,42.610001
"2021-10-01",43.950001,45.650002,43.889999,45.380001,19205700,45.380001
"2021-10-04",45.790001,46,44.810001,44.959999,13342500,44.959999
"2021-10-05",44.990002,45.560001,44.459999,44.740002,9596000,44.740002
"2021-10-06",43.709999,44.139999,43.220001,44.02,10145800,44.02
"2021-10-07",44.52,44.580002,43.52,43.68,8881200,43.68
