"","EA.Open","EA.High","EA.Low","EA.Close","EA.Volume","EA.Adjusted"
"2021-03-01",134.839996,137.860001,134.759995,137.270004,2867400,136.221832
"2021-03-02",137.149994,138.279999,135.600006,136.820007,2720500,135.943619
"2021-03-03",135.929993,136.75,132.720001,133.050003,2778500,132.197769
"2021-03-04",132.570007,134.770004,130.509995,131.289993,2938300,130.44902
"2021-03-05",131.529999,132.929993,129.509995,132.600006,2511000,131.750656
"2021-03-08",131.990005,132.520004,127.169998,127.209999,2182200,126.395172
"2021-03-09",130.240005,133.039993,129.970001,130.929993,2936700,130.091339
"2021-03-10",132.639999,132.639999,129.809998,130.119995,1842300,129.28653
"2021-03-11",132.460007,132.809998,131,131.339996,2218100,130.498718
"2021-03-12",129.929993,131,129.210007,130.490005,1327700,129.654175
"2021-03-15",130.440002,130.940002,129.139999,130.889999,2181700,130.051605
"2021-03-16",132.460007,133.699997,131.5,131.740005,2281000,130.896164
"2021-03-17",131.25,131.25,128.75,130.600006,2398600,129.763458
"2021-03-18",130.039993,130.580002,127.290001,128,3482500,127.180107
"2021-03-19",128.520004,129.809998,127.980003,128.399994,4191400,127.57753
"2021-03-22",129.410004,132.460007,128.600006,131.410004,3153600,130.568268
"2021-03-23",131.539993,134.479996,131.039993,133.050003,2521200,132.197769
"2021-03-24",132.970001,133.309998,129.710007,129.800003,2165800,128.968582
"2021-03-25",129.059998,130.429993,128.169998,130.029999,1956600,129.197113
"2021-03-26",130.240005,133,129.679993,132.850006,2229500,131.999054
"2021-03-29",132.509995,136.009995,131.529999,134.970001,2366900,134.105484
"2021-03-30",133.410004,134.509995,132.440002,134.429993,1952000,133.568924
"2021-03-31",134.710007,136.669998,134.270004,135.369995,2305100,134.502884
"2021-04-01",136.729996,138.419998,136.279999,137.960007,1724900,137.076309
"2021-04-05",137.509995,141.75,137.270004,141.539993,2424400,140.633377
"2021-04-06",141.089996,142.419998,140.399994,141.279999,2129800,140.375046
"2021-04-07",141.300003,142.770004,140.759995,142.009995,1910200,141.100372
"2021-04-08",142.839996,143.229996,140.690002,141.550003,1776000,140.643311
"2021-04-09",140.600006,140.729996,138.440002,140.460007,1765500,139.560303
"2021-04-12",139.419998,141.690002,139.330002,141.449997,2058100,140.543961
"2021-04-13",142.589996,143.880005,141.449997,142.110001,2105300,141.199722
"2021-04-14",141.919998,143.050003,141.270004,141.610001,1424900,140.702927
"2021-04-15",141.610001,142.970001,140.619995,142.770004,1654300,141.855499
"2021-04-16",142.110001,142.410004,140.270004,141.050003,2468400,140.146515
"2021-04-19",140,141.350006,138.75,139.630005,2856300,138.735626
"2021-04-20",139.600006,141.75,138.830002,140.860001,2058300,139.957748
"2021-04-21",140.309998,141.199997,139.089996,141.039993,1576700,140.136581
"2021-04-22",141.110001,143.270004,140.419998,141.259995,2498500,140.355164
"2021-04-23",142.520004,143.600006,140.839996,143.139999,2365300,142.223145
"2021-04-26",143.630005,145.389999,143.039993,143.789993,1749200,142.868958
"2021-04-27",144.360001,144.429993,142.5,143.460007,2159500,142.541077
"2021-04-28",144.089996,144.949997,143.320007,143.990005,1453500,143.067703
"2021-04-29",144.300003,146.720001,143.490005,146.339996,1698700,145.402618
"2021-04-30",145.100006,146.289993,141.899994,142.080002,2551400,141.169937
"2021-05-03",142.710007,143.470001,141.050003,141.179993,2242800,140.275696
"2021-05-04",140.729996,140.880005,135.75,137.059998,2511900,136.182068
"2021-05-05",138.020004,140.610001,137.630005,137.860001,2126700,136.976959
"2021-05-06",137.580002,141.419998,137.580002,141.339996,1957300,140.434662
"2021-05-07",142.589996,143.839996,141.779999,142.419998,1603800,141.507751
"2021-05-10",141.449997,143.330002,140.619995,140.649994,3119100,139.749084
"2021-05-11",138.899994,142.470001,138.690002,141.360001,4112800,140.454544
"2021-05-12",141.660004,142.699997,137.789993,139.669998,5809100,138.775345
"2021-05-13",138.919998,140.940002,138.029999,139.130005,2322900,138.2388
"2021-05-14",140.210007,140.710007,137.850006,138.619995,2494400,137.732071
"2021-05-17",137.050003,138.350006,136.449997,137.529999,2031200,136.649078
"2021-05-18",137.309998,140.690002,136.759995,138.059998,2079500,137.175659
"2021-05-19",135.979996,139.199997,135.559998,138.880005,1720100,137.990417
"2021-05-20",139.919998,143.100006,139.009995,141.809998,2459000,140.901657
"2021-05-21",142.470001,143.190002,139.880005,140.169998,2967400,139.272156
"2021-05-24",141.389999,142.669998,140.169998,142.089996,1649800,141.179855
"2021-05-25",142.589996,143.839996,141.5,143.259995,1897000,142.342346
"2021-05-26",144,145.729996,143.179993,143.990005,1617000,143.067703
"2021-05-27",143.320007,144.460007,142.520004,142.929993,1913200,142.014465
"2021-05-28",143.309998,144.210007,142.720001,142.929993,1341000,142.014465
"2021-06-01",142.169998,144.149994,142.169998,143.619995,2610300,142.869965
"2021-06-02",143.690002,143.860001,140.929993,141.399994,1522100,140.661575
"2021-06-03",140.889999,142.550003,140.649994,141.990005,1574900,141.24852
"2021-06-04",142.899994,145.820007,142.639999,145.210007,1919500,144.451675
"2021-06-07",144.740005,145.960007,144.050003,145.720001,1510500,144.95903
"2021-06-08",146.449997,147.259995,145.199997,145.5,1157900,144.740173
"2021-06-09",146.279999,147.440002,145.570007,145.820007,1769800,145.058502
"2021-06-10",146.360001,146.399994,142.309998,145.660004,3279100,144.899338
"2021-06-11",145.229996,146.759995,144.979996,146.389999,1247500,145.625534
"2021-06-14",146.660004,148.740005,146.149994,148.550003,1746200,147.774231
