"","DVN.Open","DVN.High","DVN.Low","DVN.Close","DVN.Volume","DVN.Adjusted"
"2020-11-30",14.57,14.63,13.96,13.99,11359000,12.655352
"2020-12-01",14.42,14.59,13.9,14,6989500,12.664398
"2020-12-02",13.9,15.28,13.78,14.8,11248500,13.388078
"2020-12-03",14.91,15.65,14.59,15.31,10305600,13.849423
"2020-12-04",15.75,16.74,15.66,16.719999,13820300,15.124907
"2020-12-07",16.41,16.52,15.9,15.95,10100800,14.428368
"2020-12-08",15.75,16.5,15.67,15.97,10695900,14.446458
"2020-12-09",16.209999,16.35,15.35,15.71,11767500,14.211264
"2020-12-10",15.58,16.719999,15.48,16.57,9436700,15.094912
"2020-12-11",16.469999,16.49,15.94,16.16,6840700,14.721412
"2020-12-14",16.540001,16.6,15.36,15.37,8244700,14.00174
"2020-12-15",15.56,15.83,15.22,15.79,6702600,14.384351
"2020-12-16",15.93,16.08,15.46,15.91,11101600,14.493668
"2020-12-17",16.110001,16.280001,15.72,16.1,10290000,14.666754
"2020-12-18",16.049999,16.25,15.44,15.63,18161900,14.238593
"2020-12-21",14.66,15.49,14.34,15.3,10013600,13.937971
"2020-12-22",15.32,15.35,14.81,14.83,5470700,13.509809
"2020-12-23",15.2,15.93,14.93,15.66,6573800,14.265922
"2020-12-24",15.68,15.7,15.13,15.33,2793200,13.965299
"2020-12-28",15.5,15.65,15.24,15.35,5395600,13.98352
"2020-12-29",15.5,15.55,15.1,15.31,5649800,13.94708
"2020-12-30",15.31,16.23,15.25,16.139999,8885700,14.703192
"2020-12-31",15.99,16.209999,15.65,15.81,8597400,14.40257
"2021-01-04",16,16.43,15.71,16.129999,10303800,14.694081
"2021-01-05",16.379999,17.940001,16.35,17.360001,17603600,15.814586
"2021-01-06",17.700001,18.65,17.51,18.32,89656100,16.689123
"2021-01-07",18.129999,19.27,17.969999,18.57,21497600,16.91687
"2021-01-08",18.790001,18.85,17.92,18.110001,13952000,16.497822
"2021-01-11",17.57,18.389999,17.299999,18.33,10890600,16.698235
"2021-01-12",18.719999,19.879999,18.360001,19.709999,17082400,17.955383
"2021-01-13",19.66,19.719999,19.01,19.129999,10870300,17.427017
"2021-01-14",19.27,20.77,19.25,20.280001,12994700,18.474644
"2021-01-15",19.9,19.940001,18.99,19.57,12581100,17.827847
"2021-01-19",19.99,20.139999,19.52,20,10915400,18.219568
"2021-01-20",20.24,20.299999,19.5,19.969999,10245700,18.19224
"2021-01-21",19.91,19.99,17.48,18.389999,21202300,16.752892
"2021-01-22",17.799999,18.08,17.299999,17.799999,16633700,16.215418
"2021-01-25",17.530001,17.629999,16.690001,17.370001,15034500,15.823697
"2021-01-26",17.68,17.93,16.83,16.85,11023100,15.349988
"2021-01-27",16.459999,17.57,16.110001,17.209999,15504100,15.677938
"2021-01-28",17.42,17.559999,16.66,17.200001,12285600,15.668829
"2021-01-29",17.01,17.610001,16.309999,16.459999,11201200,14.994704
"2021-02-01",16.799999,16.969999,16.17,16.76,9160500,15.267998
"2021-02-02",17.27,17.52,16.85,16.959999,10544500,15.450193
"2021-02-03",17.18,18.25,17.139999,18.200001,10508800,16.579807
"2021-02-04",18.35,18.379999,17.67,18.15,7402600,16.534258
"2021-02-05",18.629999,18.809999,17.860001,17.9,9425300,16.306513
"2021-02-08",18.120001,18.9,18.030001,18.75,10309200,17.080847
"2021-02-09",18.950001,19.139999,18.4,18.870001,8261000,17.190165
"2021-02-10",18.969999,19.84,18.85,19.73,11604800,17.973602
"2021-02-11",19.52,19.530001,18.690001,19.299999,7221000,17.581882
"2021-02-12",19.1,20,18.969999,19.98,9125700,18.201347
"2021-02-16",20.59,21.120001,20.360001,20.870001,14500300,19.012119
"2021-02-17",20.65,21.98,20.4,21.73,13098100,19.795561
"2021-02-18",21.52,21.68,20.5,20.540001,10717500,18.7115
"2021-02-19",20.629999,20.91,20.379999,20.83,9343800,18.975683
"2021-02-22",21.07,22.5,20.879999,21.25,19651000,19.358294
"2021-02-23",21.389999,21.75,19.610001,21.59,17987000,19.668026
"2021-02-24",21.700001,22.450001,21.32,22.27,15609200,20.287491
"2021-02-25",22.389999,22.66,21.23,21.35,17195300,19.449389
"2021-02-26",21.02,21.77,20.360001,21.540001,16250100,19.622478
"2021-03-01",22.049999,22.620001,21.85,22.4,11829700,20.405916
"2021-03-02",22.49,23.18,22.299999,22.48,10517000,20.478792
"2021-03-03",22.74,23.5,22.67,22.690001,13706100,20.670103
"2021-03-04",22.93,24.139999,22.4,23.620001,19432600,21.517313
"2021-03-05",24.52,26.129999,24.030001,25.610001,25108200,23.330156
"2021-03-08",25.75,25.969999,24.209999,24.57,22490300,22.38274
"2021-03-09",24.610001,24.860001,23.690001,23.83,11746000,21.708616
"2021-03-10",23.790001,24.190001,23.24,23.9,16969700,21.772385
"2021-03-11",24.200001,24.940001,24.110001,24.639999,13936600,22.44651
"2021-03-12",24.58,24.75,24.09,24.25,9798700,22.363508
"2021-03-15",24.23,24.76,23.66,24.610001,10401800,22.695507
"2021-03-16",24.030001,24.27,23.360001,23.51,9902600,21.681078
"2021-03-17",23.4,23.91,23.01,23.68,11863700,21.837852
"2021-03-18",23.549999,23.66,21.98,22.360001,17018600,20.620541
"2021-03-19",22.4,22.969999,22.120001,22.700001,18103700,20.934092
"2021-03-22",22.58,22.639999,22.1,22.33,11954200,20.592875
"2021-03-23",21.700001,22.440001,21.450001,21.74,13197700,20.048773
