"","HII.Open","HII.High","HII.Low","HII.Close","HII.Volume","HII.Adjusted"
"2021-01-04",169.639999,169.869995,162.179993,164.050003,473600,158.358719
"2021-01-05",164.179993,167.029999,164.029999,165.559998,392100,159.816315
"2021-01-06",163.220001,171.460007,163.220001,170.979996,463200,165.048294
"2021-01-07",171.649994,171.649994,168.600006,169.740005,471000,163.851334
"2021-01-08",170.960007,172.899994,167.029999,169.089996,404100,163.223862
"2021-01-11",167.759995,171.110001,167.759995,169.199997,262100,163.330048
"2021-01-12",169.800003,173.320007,169.119995,172.210007,271200,166.235626
"2021-01-13",171.589996,173,170.259995,171.300003,223600,165.357193
"2021-01-14",172.610001,175.350006,171.679993,172.020004,377100,166.052231
"2021-01-15",171.25,172.580002,168.119995,171.470001,297100,165.521317
"2021-01-19",173.160004,173.75,170.309998,170.570007,310000,164.652527
"2021-01-20",170.240005,170.839996,168.270004,168.460007,280900,162.615738
"2021-01-21",167.850006,170.169998,166.729996,166.889999,295800,161.100189
"2021-01-22",166.570007,168.570007,164.479996,167.639999,312000,161.824188
"2021-01-25",167.089996,169.169998,165.479996,166.509995,280800,160.733353
"2021-01-26",168.649994,169.690002,160.800003,160.880005,466400,155.298691
"2021-01-27",160,166.410004,159.850006,163.199997,758000,157.538223
"2021-01-28",163.949997,164.619995,161.279999,161.949997,379800,156.331573
"2021-01-29",161.279999,162.029999,157.100006,157.330002,346200,151.871872
"2021-02-01",158.009995,159.729996,156.360001,157.770004,421800,152.2966
"2021-02-02",159.910004,161.389999,158,159.619995,448800,154.082397
"2021-02-03",159.619995,161.660004,158.970001,161.199997,309600,155.607574
"2021-02-04",161.880005,162.399994,159.979996,161.25,549400,155.655853
"2021-02-05",162.800003,165.770004,162,163.899994,405400,158.213913
"2021-02-08",165.149994,166.25,163.839996,165.020004,296600,159.295074
"2021-02-09",165.330002,167.240005,164.5,167.220001,346200,161.418762
"2021-02-10",168.130005,169.100006,166.910004,167.770004,321700,161.949661
"2021-02-11",170.5,179.75,169.529999,170.529999,742400,164.613907
