"","PNW.Open","PNW.High","PNW.Low","PNW.Close","PNW.Volume","PNW.Adjusted"
"2021-07-15",83.690002,84.629997,83.690002,84.5,656800,79.749908
"2021-07-16",84.769997,86.870003,84.550003,86.389999,799500,81.533661
"2021-07-19",86.019997,86.559998,83.410004,84.309998,704600,79.570595
"2021-07-20",84.610001,86.029999,84.370003,84.870003,718400,80.099121
"2021-07-21",85.330002,85.470001,83.550003,83.639999,489000,78.938255
"2021-07-22",83.419998,83.760002,82.769997,83.18,804100,78.504112
"2021-07-23",83.879997,84.709999,83.519997,84.550003,384600,79.797104
"2021-07-26",84.540001,85.010002,84.309998,84.889999,410900,80.117989
"2021-07-27",84.889999,86.730003,84.470001,86.360001,433500,81.505356
"2021-07-28",86.230003,86.419998,84.5,85.32,533600,80.523811
"2021-07-29",85.480003,85.870003,85.040001,85.400002,418700,80.599319
"2021-07-30",84.5,85.339996,83.309998,83.550003,757800,79.627205
"2021-08-02",83.699997,84.910004,82.889999,83.160004,1192200,79.255524
"2021-08-03",82.589996,82.639999,80.110001,80.980003,1948000,77.177872
"2021-08-04",78.809998,79.699997,77.07,78.190002,1820200,74.518867
"2021-08-05",80.389999,80.389999,76.730003,79.459999,918400,75.72924
"2021-08-06",79.370003,81.019997,79.239998,80.339996,749200,76.567924
"2021-08-09",80.300003,80.419998,79.620003,80.32,928100,76.548866
"2021-08-10",80.389999,81.220001,79.68,80.330002,550400,76.558395
"2021-08-11",80.690002,80.989998,80.169998,80.400002,737600,76.625099
"2021-08-12",80.410004,80.610001,79.610001,79.669998,950500,75.929375
"2021-08-13",79.989998,80.169998,79.510002,79.779999,530000,76.03421
"2021-08-16",79.760002,80.949997,79.68,80.139999,930700,76.377312
"2021-08-17",80.029999,80.43,79.339996,80.150002,1019600,76.386848
"2021-08-18",80.150002,80.260002,79.129997,80.190002,646200,76.424965
"2021-08-19",80.199997,81.25,79.949997,80.080002,858500,76.320129
"2021-08-20",79.150002,80.489998,78.580002,80.160004,2482600,76.396378
"2021-08-23",80.459999,80.459999,78.800003,78.910004,829700,75.20507
"2021-08-24",78.809998,78.809998,77.730003,77.760002,828100,74.109062
"2021-08-25",77.639999,78.230003,76.989998,77.790001,592700,74.137642
"2021-08-26",77.720001,77.910004,76.5,76.709999,574400,73.108353
"2021-08-27",77.32,77.970001,77.050003,77.309998,714800,73.680183
"2021-08-30",77.18,77.279999,76.43,76.489998,488800,72.898682
"2021-08-31",76.410004,77.379997,75.739998,76.900002,710100,73.289436
"2021-09-01",77.300003,78.209999,77.07,77.779999,622700,74.128113
"2021-09-02",77.889999,78.360001,77.610001,78.260002,452500,74.585579
"2021-09-03",78.040001,78.129997,77.110001,77.18,525700,73.556297
"2021-09-07",77.139999,77.150002,75.720001,75.779999,502700,72.222015
"2021-09-08",75.57,76.620003,75.300003,76.339996,1043800,72.75573
"2021-09-09",76.059998,76.269997,75.489998,75.540001,703600,71.993286
"2021-09-10",75.5,75.589996,74.5,74.550003,783300,71.049782
"2021-09-13",75.050003,75.589996,74.68,75.099998,999700,71.573952
"2021-09-14",75.099998,75.68,73,74,2130900,70.525604
"2021-09-15",73.830002,74.459999,73.199997,73.93,1488800,70.458885
"2021-09-16",73.809998,74.050003,73.120003,73.349998,1046900,69.906113
"2021-09-17",73.18,74.660004,73.18,73.82,2268100,70.354042
"2021-09-20",73.57,74.199997,72.940002,73.639999,1056800,70.182495
"2021-09-21",73.660004,74.410004,73.389999,73.43,1369600,69.982346
"2021-09-22",73.769997,73.769997,72.779999,72.949997,569700,69.524887
"2021-09-23",72.75,73.550003,72.550003,72.589996,543500,69.181786
"2021-09-24",72.639999,73.410004,72.519997,72.550003,750600,69.143684
"2021-09-27",72.790001,73.839996,72.160004,72.290001,686900,68.895889
"2021-09-28",72.279999,72.919998,71.5,71.68,1159700,68.314522
"2021-09-29",71.690002,73.029999,71.400002,72.400002,1078800,69.000717
"2021-09-30",72.489998,72.870003,72.199997,72.360001,1559300,68.962593
"2021-10-01",72.699997,72.839996,71.980003,72.120003,1066500,68.733871
"2021-10-04",72.230003,74.400002,72.230003,73.970001,733600,70.497009
"2021-10-05",74,74.019997,72.550003,72.730003,830400,69.315216
"2021-10-06",72.459999,74.25,72.07,74.18,686400,70.697136
"2021-10-07",70.080002,71.290001,68.080002,68.190002,4158000,64.988388
"2021-10-08",67.870003,68.510002,65.940002,66.580002,2618800,63.453976
"2021-10-11",66.879997,67.510002,66.5,67.510002,2122300,64.340309
"2021-10-12",67.5,67.779999,66.480003,66.760002,2191200,63.625526
"2021-10-13",66.400002,66.699997,65.199997,66.489998,1562500,63.368198
"2021-10-14",66.660004,67.839996,66.25,67.529999,1578400,64.359367
"2021-10-15",67.980003,68.410004,67.639999,68.019997,2987100,64.826363
"2021-10-18",67.669998,67.709999,66,67.010002,1607700,63.863781
"2021-10-19",67.349998,67.760002,66.669998,67.230003,1253300,64.073463
"2021-10-20",67.370003,68.639999,67.370003,68.360001,1026100,65.150406
"2021-10-21",68.120003,68.690002,67.300003,67.339996,987400,64.178291
"2021-10-22",67.379997,67.379997,66.599998,67,867300,63.854256
"2021-10-25",67.019997,67.57,66.510002,67.07,1597500,63.920963
"2021-10-26",67.080002,68.650002,66.690002,67.620003,2722900,64.445145
"2021-10-27",68,68.290001,67.129997,67.290001,1071000,64.130638
"2021-10-28",66.879997,67.269997,65.529999,66.379997,1221400,63.263359
"2021-10-29",66.25,66.720001,64.440002,64.489998,2195400,61.462101
"2021-11-01",64.540001,65.690002,64.260002,65,1232500,61.948158
"2021-11-02",65.279999,65.410004,64.25,64.790001,783900,61.748016
"2021-11-03",64.379997,65.209999,64.029999,65,1237600,61.948158
"2021-11-04",65,65.459999,62.779999,63.599998,1427100,60.613888
"2021-11-05",62.970001,65.879997,62.900002,64.559998,1137400,61.528812
"2021-11-08",64.599998,64.989998,62.91,63.639999,1511300,60.652012
"2021-11-09",63.799999,64.610001,63.240002,63.360001,1266600,60.385155
"2021-11-10",63.509998,64.639999,63.049999,64.529999,2021900,61.500221
"2021-11-11",64.400002,65.279999,64.169998,65.260002,1528000,62.195957
"2021-11-12",64.989998,66.139999,64.739998,66.099998,2070300,62.99651
"2021-11-15",65.970001,66.220001,65.470001,65.919998,1342800,63.643364
"2021-11-16",66,66.68,65.980003,66.120003,1897000,63.836464
"2021-11-17",66,66.529999,65.779999,66.269997,990600,63.981277
"2021-11-18",66.279999,66.349998,65.120003,65.860001,1513600,63.585445
"2021-11-19",66.059998,67.18,65.75,66.959999,1668900,64.647446
"2021-11-22",66.790001,68.080002,66.440002,67.889999,1415000,65.545334
"2021-11-23",68.389999,68.730003,66.919998,67.110001,1410700,64.792267
"2021-11-24",67.230003,67.559998,66.629997,66.769997,953000,64.464012
"2021-11-26",65.959999,66.279999,65.010002,65.260002,875800,63.006168
"2021-11-29",65.660004,66.489998,65.110001,66.290001,1286000,64.000595
"2021-11-30",65.699997,66.040001,64.370003,65.050003,7919700,62.803421
"2021-12-01",65.730003,65.730003,64.029999,64.059998,1491300,61.847607
"2021-12-02",64.489998,66.099998,64.279999,65.550003,1204200,63.286152
"2021-12-03",65.970001,66.300003,64.739998,66.169998,864400,63.884735
"2021-12-06",66.870003,67.580002,66.239998,66.43,886200,64.13575
"2021-12-07",66.139999,66.900002,65.699997,66.559998,843100,64.261269
"2021-12-08",66.480003,67.279999,66.419998,66.660004,628700,64.357819
"2021-12-09",66.510002,67.050003,65.879997,66.720001,1049900,64.415749
"2021-12-10",67.019997,67.230003,66.110001,66.279999,897200,63.99094
"2021-12-13",66.239998,67.480003,66.129997,66.989998,823800,64.676414
"2021-12-14",67.239998,68.330002,67,67.269997,1711000,64.946747
