"","DHR.Open","DHR.High","DHR.Low","DHR.Close","DHR.Volume","DHR.Adjusted"
"2020-12-16",222.839996,223.589996,220.550003,221.899994,1781900,220.619385
"2020-12-17",222.830002,225.100006,222.440002,224.490005,1613300,223.194473
"2020-12-18",224.639999,227.410004,222.100006,226.110001,4221400,224.805115
"2020-12-21",223.470001,226.580002,220.309998,226.160004,2482700,224.854828
"2020-12-22",225.309998,226.070007,222.639999,222.929993,1824100,221.643433
"2020-12-23",223.460007,224.919998,220.470001,220.570007,1753300,219.297073
"2020-12-24",220.75,223.570007,220.570007,221.490005,611000,220.391617
"2020-12-28",223.279999,225.350006,221.460007,222.75,2115100,221.645355
"2020-12-29",225.389999,225.649994,222.660004,222.860001,1733600,221.754822
"2020-12-30",223.800003,224.850006,220.289993,220.679993,1427200,219.585617
"2020-12-31",220.830002,222.350006,219.669998,222.139999,1835500,221.038406
"2021-01-04",224.990005,225.660004,219.679993,223.229996,3192500,222.122986
"2021-01-05",222.729996,229.369995,222.729996,228.770004,3711900,227.635513
"2021-01-06",223.880005,237.639999,222.460007,236.350006,3965400,235.177933
"2021-01-07",238.449997,243.050003,237.889999,239.710007,3695200,238.521271
"2021-01-08",241.039993,244.960007,240.5,243.490005,2297400,242.282532
"2021-01-11",243.009995,244.220001,241.839996,244.119995,1541200,242.909393
"2021-01-12",244.570007,245.25,239.259995,240.690002,2216000,239.496414
"2021-01-13",239.970001,241.309998,235.710007,239.839996,3257700,238.65062
"2021-01-14",240.320007,241.369995,236.330002,236.699997,2068700,235.526184
"2021-01-15",236.699997,238.979996,234.940002,236.75,2599500,235.575958
"2021-01-19",239.160004,239.649994,235.449997,236.110001,2255900,234.939117
"2021-01-20",235.869995,237.539993,234.610001,237.050003,2051200,235.874451
"2021-01-21",236.75,238.529999,232.710007,233.100006,2379800,231.944046
"2021-01-22",234.350006,239.449997,233.850006,238.039993,2710500,236.859543
"2021-01-25",237.910004,239.300003,233.570007,238.149994,2168400,236.968979
"2021-01-26",238.860001,238.860001,233.979996,233.979996,1643200,232.819672
"2021-01-27",230.399994,230.399994,217.830002,222.199997,4670800,221.098099
"2021-01-28",225.600006,232,225.240005,228.570007,2621500,227.436493
"2021-01-29",227.940002,239.100006,225.949997,237.839996,5747700,236.660538
"2021-02-01",239.5,244.440002,239.059998,241.75,3584200,240.551147
"2021-02-02",244.75,246.119995,242.839996,245.089996,3655800,243.874588
"2021-02-03",244.020004,244.5,238.119995,238.229996,2836100,237.048584
"2021-02-04",237.619995,239.880005,234.610001,235.529999,2464200,234.362
"2021-02-05",236.25,238.350006,234.559998,235.589996,1470900,234.421692
"2021-02-08",236.160004,238.759995,234.080002,235.649994,1549300,234.4814
"2021-02-09",236.509995,238.429993,234.75,237,1871900,235.824692
"2021-02-10",238.850006,238.850006,236.220001,237.490005,1406300,236.312256
"2021-02-11",239.270004,240.949997,237.410004,240.660004,1849300,239.466553
"2021-02-12",240.240005,247.080002,240.190002,245.899994,2103500,244.680542
"2021-02-16",247.820007,248.860001,241.600006,242.270004,1637200,241.068573
"2021-02-17",241.059998,242.570007,239.300003,239.910004,1951800,238.720261
"2021-02-18",238.070007,238.600006,235.5,237.399994,1563800,236.222702
"2021-02-19",237.320007,238.539993,231.119995,231.240005,3080600,230.093277
"2021-02-22",231.699997,231.699997,225,225.5,3433400,224.381729
"2021-02-23",225.350006,226.639999,222.860001,223.850006,2184400,222.739914
"2021-02-24",224.5,226.240005,222.5,223,2880600,221.894119
"2021-02-25",222,224.130005,218.070007,219.259995,2923400,218.172668
"2021-02-26",222.130005,222.800003,219.559998,219.669998,3129400,218.580627
"2021-03-01",220.919998,226.729996,220.919998,225.669998,1987800,224.550888
"2021-03-02",225.080002,226.740005,222.130005,224.089996,2066000,222.978729
"2021-03-03",225,225.960007,219.460007,219.679993,2415500,218.590591
"2021-03-04",218.759995,220.070007,212.660004,214.410004,3561700,213.346725
"2021-03-05",216,219.320007,212.550003,218.350006,2432300,217.267197
"2021-03-08",218.009995,219.389999,212.089996,212.380005,2872400,211.326797
"2021-03-09",216.179993,219,215.699997,216.339996,4729100,215.267136
"2021-03-10",216.869995,219.270004,211.220001,212.929993,3285600,211.874054
"2021-03-11",215.839996,220,214.570007,219.220001,2423300,218.132858
"2021-03-12",217.630005,218.600006,213.839996,214.679993,2288300,213.615372
"2021-03-15",215.199997,218.429993,214.600006,217,1782700,215.923859
"2021-03-16",217.229996,218.039993,214.660004,215.899994,3921900,214.829315
"2021-03-17",214.429993,215.779999,212.800003,214.139999,2955300,213.078079
"2021-03-18",214.190002,218.360001,212.710007,215.949997,3482100,214.879089
"2021-03-19",216.800003,221.509995,216.050003,221.059998,4698100,219.963745
"2021-03-22",220.410004,223.910004,218.729996,223.550003,2713400,222.441391
"2021-03-23",222.919998,224.539993,219.259995,220.320007,2436700,219.227432
"2021-03-24",219.110001,220.610001,217.889999,219.470001,1792100,218.381638
"2021-03-25",220.449997,220.449997,215.380005,218.690002,2355700,217.813904
"2021-03-26",219.889999,226.5,217.990005,226.270004,2639400,225.363541
"2021-03-29",224.830002,228.399994,222.300003,226.880005,2350100,225.97113
"2021-03-30",225.660004,225.940002,222.220001,223,2458700,222.106644
"2021-03-31",224.5,227.360001,223.789993,225.080002,2669300,224.178314
"2021-04-01",225.520004,227.139999,224.139999,225.080002,1744400,224.178314
"2021-04-05",227.630005,228.149994,225.589996,226.529999,2553500,225.622498
