"","UHS.Open","UHS.High","UHS.Low","UHS.Close","UHS.Volume","UHS.Adjusted"
"2021-02-02",128.889999,130.690002,127.220001,128.020004,660400,126.914063
"2021-02-03",127.300003,129.960007,126.800003,129.580002,840900,128.460571
"2021-02-04",129.949997,132.009995,129.210007,131.699997,474600,130.562241
"2021-02-05",132.660004,132.660004,129.339996,130.690002,615900,129.561005
"2021-02-08",130.869995,132.059998,130.5,131.449997,389000,130.314407
"2021-02-09",132.240005,132.399994,129.020004,130.509995,527700,129.382538
"2021-02-10",130.660004,131.619995,129.809998,130.5,287200,129.372635
"2021-02-11",130.880005,131.949997,129.889999,130.039993,509800,128.91658
"2021-02-12",129.539993,130.490005,128.429993,129.279999,268900,128.163177
"2021-02-16",129.610001,129.740005,127.599998,128.210007,380200,127.102425
"2021-02-17",127.620003,129.289993,127.389999,129.020004,249200,127.905434
"2021-02-18",128.259995,128.759995,126.269997,127.43,420500,126.329155
"2021-02-19",127.550003,129.960007,126.75,129.669998,459300,128.549805
"2021-02-22",128.360001,132.610001,127.550003,131.779999,778000,130.641602
"2021-02-23",133,136.410004,131.369995,133.789993,739800,132.634201
"2021-02-24",133.899994,138.839996,133.899994,137.940002,777400,136.748383
"2021-02-25",138.009995,138.5,134.009995,134.919998,814100,133.75444
"2021-02-26",133.139999,133.970001,125.309998,125.330002,1061600,124.247292
"2021-03-01",125.940002,130.919998,125.940002,127.900002,1069200,126.795082
"2021-03-02",127.389999,130.509995,127.010002,129.350006,560500,128.232559
"2021-03-03",128.210007,129.149994,125.830002,126.779999,623600,125.684769
"2021-03-04",126.599998,129.860001,125,127.120003,1160500,126.021843
"2021-03-05",128.360001,132.190002,126.870003,131.339996,619400,130.205368
"2021-03-08",132.449997,135.490005,132.389999,134.580002,415200,133.417404
"2021-03-09",135.630005,136.699997,130.979996,131.360001,584600,130.225204
"2021-03-10",131.809998,134.690002,131.070007,133.589996,531500,132.435928
"2021-03-11",132.929993,135.559998,132.789993,132.929993,482200,131.781631
"2021-03-12",134.279999,137.630005,133.410004,137.539993,456500,136.557266
"2021-03-15",137.240005,140.149994,137.240005,140.130005,411800,139.128754
"2021-03-16",139.139999,139.330002,136.169998,136.619995,411700,135.643829
"2021-03-17",137.660004,139.639999,135.960007,138.800003,427800,137.808273
"2021-03-18",138,141.75,138,139.270004,444800,138.274918
"2021-03-19",139.020004,140.589996,137.130005,138,1098000,137.013992
"2021-03-22",136.830002,137.970001,135.399994,137.309998,726500,136.328918
"2021-03-23",136.570007,137.199997,131.630005,132.820007,396500,131.871002
"2021-03-24",133.429993,136.320007,132.910004,133.479996,491200,132.526276
"2021-03-25",133.789993,136.220001,131.970001,135.5,607900,134.531845
"2021-03-26",136.690002,136.690002,133.440002,135.149994,567500,134.184326
"2021-03-29",134.720001,137.5,133.960007,135.130005,453000,134.16449
"2021-03-30",135.009995,136.190002,133.820007,136.190002,370700,135.216934
"2021-03-31",136.5,137.429993,133.289993,133.389999,630600,132.43692
"2021-04-01",133.190002,134.880005,132,134.399994,386000,133.439713
"2021-04-05",135.5,136.710007,134.199997,136.369995,458800,135.39563
"2021-04-06",135.929993,137.740005,134.619995,137.020004,504500,136.040985
"2021-04-07",138,138.059998,135.940002,136.610001,492700,135.633911
"2021-04-08",135.479996,137.820007,133.940002,136.869995,513200,135.892059
"2021-04-09",137.619995,138.25,135.75,138.179993,320700,137.192688
"2021-04-12",138.619995,139.940002,138.619995,139.259995,301400,138.264969
"2021-04-13",137.630005,138.460007,135.509995,137.410004,708600,136.428192
"2021-04-14",137.529999,139.100006,136.850006,137.520004,396100,136.537415
"2021-04-15",138.029999,141.610001,137.320007,141.119995,1011900,140.111694
"2021-04-16",142,147.020004,142,146.139999,879700,145.09584
"2021-04-19",146.619995,147.279999,144,146.039993,538400,144.996536
"2021-04-20",146.440002,147.210007,144,144.880005,682400,143.844833
"2021-04-21",145,148.809998,144.75,147.880005,485300,146.82341
"2021-04-22",149.070007,150.589996,146,146.520004,884800,145.473114
"2021-04-23",146.110001,146.699997,144.100006,145.509995,527900,144.470306
"2021-04-26",145.800003,146.649994,144.690002,145.779999,637200,144.738403
"2021-04-27",143.389999,147.75,143.110001,145.910004,958200,144.867462
"2021-04-28",146.860001,150.070007,145.020004,147.809998,665500,146.753876
"2021-04-29",148.070007,150.869995,147.850006,148.589996,532900,147.52829
"2021-04-30",147.470001,149.690002,147.470001,148.410004,595400,147.349609
"2021-05-03",150,151.649994,148.580002,150.580002,469700,149.504105
"2021-05-04",150.169998,153.229996,150.169998,152.960007,620300,151.867096
"2021-05-05",153.649994,154.149994,151.270004,153.529999,495500,152.433029
"2021-05-06",153.550003,154.699997,152.350006,154.490005,439700,153.386154
"2021-05-07",153.429993,156.229996,152.610001,155.190002,367400,154.081161
"2021-05-10",156.220001,159.190002,155.309998,157.050003,443500,155.927887
"2021-05-11",155.889999,157.210007,154.649994,155.350006,596500,154.240005
"2021-05-12",155.559998,156.369995,153.770004,154.089996,926300,152.989029
"2021-05-13",153.210007,158.940002,152.449997,157.880005,640900,156.751938
"2021-05-14",158.279999,160.229996,157.710007,159.759995,428900,158.6185
"2021-05-17",159.759995,161.600006,159,160.600006,503600,159.452499
"2021-05-18",159.639999,160.809998,157.75,158.210007,625300,157.07959
"2021-05-19",157.149994,158,154.429993,156.929993,660400,155.808731
"2021-05-20",156.770004,159.369995,154.720001,158.100006,767900,156.970383
"2021-05-21",159.020004,160.289993,157.940002,158.050003,696100,156.920731
"2021-05-24",158.639999,160.229996,157.369995,159,658500,157.863922
"2021-05-25",158.990005,160.179993,157.850006,159.75,1471500,158.608597
"2021-05-26",159.929993,160.880005,159.270004,160.149994,1527500,159.005707
"2021-05-27",161.619995,162.509995,158.710007,159.130005,1014100,157.993011
"2021-05-28",159.5,160.050003,157.580002,159.630005,848300,158.489441
"2021-06-01",160.429993,161,158.279999,160.529999,686600,159.582947
"2021-06-02",160.990005,161.039993,157.270004,157.720001,1198900,156.78952
"2021-06-03",156.990005,159.399994,155.529999,158.860001,528400,157.922806
"2021-06-04",159.589996,160.240005,158.539993,159.759995,419700,158.81749
"2021-06-07",160.160004,160.820007,158.899994,158.979996,747200,158.042068
"2021-06-08",158.770004,160.100006,157.110001,159.669998,570900,158.728027
"2021-06-09",160.050003,160.190002,158.809998,159.470001,355400,158.52919
"2021-06-10",158.270004,160.270004,157.910004,159.529999,548700,158.588852
"2021-06-11",160.399994,160.490005,158.289993,160.380005,521500,159.433838
"2021-06-14",159.869995,160.330002,155.490005,156.369995,500200,155.447464
"2021-06-15",156.380005,157.899994,155.020004,156.610001,444700,155.686066
"2021-06-16",156.130005,156.729996,154.039993,154.149994,537100,153.24057
"2021-06-17",154.729996,155.119995,150.869995,151.880005,762600,150.983994
"2021-06-18",149.869995,150.300003,146.669998,146.710007,1462200,145.844498
"2021-06-21",147.460007,152.089996,147.440002,151.850006,510100,150.954163
"2021-06-22",151.539993,152.649994,150.600006,151.330002,401700,150.43721
"2021-06-23",151.309998,151.309998,149.610001,149.710007,557600,148.826782
"2021-06-24",150.960007,150.960007,148.520004,149.419998,657600,148.538483
"2021-06-25",149.75,151.509995,149.110001,151.179993,423100,150.288101
"2021-06-28",150.839996,150.889999,147,148.320007,993200,147.444992
"2021-06-29",148.389999,149.130005,146.110001,146.240005,513400,145.377258
"2021-06-30",146.399994,146.990005,144.809998,146.429993,906000,145.566132
"2021-07-01",147.080002,150.529999,147.080002,149.509995,637100,148.62796
"2021-07-02",149.389999,151.529999,149.389999,151.139999,941800,150.248337
"2021-07-06",150.289993,151.110001,147.639999,150.690002,714300,149.800995
"2021-07-07",149.770004,152.880005,149.770004,152.289993,826200,151.391556
"2021-07-08",150.210007,151.940002,148.529999,150.350006,667400,149.463013
"2021-07-09",152.820007,154.350006,151.740005,153.949997,563000,153.041748
"2021-07-12",153.289993,156.169998,152.240005,154.679993,603100,153.767456
"2021-07-13",154.149994,154.649994,151.699997,152.850006,541100,151.948257
"2021-07-14",153.5,154.389999,152.320007,153.080002,567600,152.176895
"2021-07-15",151.720001,153.960007,151.720001,153.139999,439300,152.236526
"2021-07-16",153.910004,154.110001,151.169998,151.330002,331800,150.43721
"2021-07-19",148.990005,149.449997,145.330002,146.289993,608100,145.426956
"2021-07-20",149.940002,156.699997,149.440002,153.169998,1004100,152.266373
"2021-07-21",154.919998,156.479996,153.240005,153.610001,343700,152.703781
"2021-07-22",153.009995,153.509995,149.330002,150.679993,463300,149.791046
"2021-07-23",152.330002,153.070007,150.940002,152.669998,410800,151.769318
"2021-07-26",153.190002,156.440002,152.070007,154.610001,841000,153.697861
"2021-07-27",165,165,154.860001,159.119995,1538700,158.181274
"2021-07-28",160,160,155.600006,157.899994,892100,156.968445
"2021-07-29",159.130005,159.710007,157.789993,158.970001,525200,158.032135
"2021-07-30",158.479996,160.910004,158.479996,160.410004,486100,159.463669
"2021-08-02",160.570007,162.229996,159.039993,159.630005,552900,158.688263
"2021-08-03",160,160.75,156.929993,160.619995,373600,159.672409
"2021-08-04",159.130005,160.809998,154.369995,154.440002,458800,153.52887
"2021-08-05",154.800003,155.410004,151.210007,152.529999,346700,151.630127
"2021-08-06",153.039993,153.850006,151.539993,152.770004,914000,151.868729
"2021-08-09",151.600006,151.600006,149.539993,150.490005,412000,149.602188
"2021-08-10",149.789993,151.100006,146.550003,147.100006,537500,146.232193
"2021-08-11",147.399994,148.520004,145.539993,148.360001,427100,147.484741
"2021-08-12",144.440002,149,144.440002,148.649994,711200,147.773041
"2021-08-13",148.660004,149.520004,148.210007,149.389999,331100,148.508667
"2021-08-16",148.850006,151.759995,148.259995,151.449997,309200,150.556519
"2021-08-17",150.210007,151.919998,150.039993,151.789993,359200,150.894485
"2021-08-18",150.970001,151.070007,148.589996,148.669998,461300,147.792908
"2021-08-19",147.449997,151.559998,147.210007,150.850006,540900,149.960068
"2021-08-20",150.550003,154.979996,150.550003,153.389999,602900,152.485062
"2021-08-23",154.110001,154.289993,151.639999,153.070007,499000,152.166962
"2021-08-24",153.300003,155.449997,152.009995,154.619995,640700,153.707794
"2021-08-25",154.289993,157.339996,153.270004,155.169998,365100,154.254562
"2021-08-26",155.089996,155.089996,153.080002,154.539993,513400,153.628281
"2021-08-27",154.960007,157.300003,154.190002,156.789993,502000,155.86499
"2021-08-30",157.199997,157.25,155.539993,156.020004,401800,155.099564
"2021-08-31",155.190002,157.380005,155.009995,155.759995,615300,155.03981
"2021-09-01",156.210007,156.619995,153.75,155.449997,425600,154.731262
"2021-09-02",155.589996,157.389999,155.210007,157.089996,469000,156.363663
"2021-09-03",156.720001,156.990005,154.75,156.220001,441300,155.497696
"2021-09-07",155.440002,156.199997,154.100006,155.380005,483000,154.661591
"2021-09-08",149.899994,152.360001,147.199997,148.729996,1076400,148.042313
"2021-09-09",148.550003,152.360001,148.460007,150.119995,554900,149.425903
"2021-09-10",150.559998,150.570007,146.880005,147.429993,517100,146.748322
"2021-09-13",148.399994,150.229996,147.259995,149.820007,580900,149.127289
"2021-09-14",150.589996,151.169998,146.710007,146.820007,885900,146.141159
"2021-09-15",146.419998,147.419998,144.529999,146.440002,685500,145.762909
"2021-09-16",146.720001,147.800003,145.350006,146.889999,424200,146.210831
"2021-09-17",146.190002,147.220001,144.509995,145.919998,1282000,145.245331
"2021-09-20",143.729996,145.270004,143.160004,144.580002,543100,143.911514
"2021-09-21",146.039993,147.520004,144.880005,145.25,552100,144.578415
"2021-09-22",146.470001,147.509995,145.259995,145.649994,633700,144.976563
"2021-09-23",146.669998,146.789993,144.380005,144.419998,1532300,143.752258
"2021-09-24",140.080002,145.389999,140.050003,144.759995,790000,144.090683
"2021-09-27",145.289993,147.710007,144.449997,144.649994,732900,143.981201
"2021-09-28",144.860001,145.429993,143.119995,143.649994,754700,142.985809
"2021-09-29",143.770004,144.100006,142.710007,143.270004,775900,142.607574
"2021-09-30",143.789993,143.880005,138.300003,138.369995,756900,137.730225
"2021-10-01",138.860001,139.649994,137.130005,138.830002,595500,138.18811
"2021-10-04",138.759995,141.070007,135.360001,135.910004,989800,135.281616
"2021-10-05",136.130005,136.309998,133.660004,133.860001,814700,133.241074
"2021-10-06",132.740005,133.619995,129.289993,132.440002,732000,131.827652
"2021-10-07",133.320007,134.600006,132.740005,133.160004,586600,132.544327
"2021-10-08",132.539993,132.869995,130.179993,130.429993,454700,129.826935
"2021-10-11",130.529999,131.100006,130.020004,130.100006,485700,129.498474
"2021-10-12",130.410004,131,128.759995,128.850006,608900,128.254257
"2021-10-13",128.570007,129.940002,125.900002,129.050003,714800,128.453323
"2021-10-14",129.809998,131.419998,129.660004,130.009995,644400,129.408875
"2021-10-15",131.070007,133.929993,131.009995,133.020004,787800,132.404968
"2021-10-18",132.029999,132.759995,130.5,132.550003,501600,131.937149
"2021-10-19",133.419998,134.490005,132.169998,132.240005,521000,131.628571
"2021-10-20",132.960007,135.210007,132.589996,133.789993,599500,133.171402
"2021-10-21",134.820007,137.479996,134.259995,137.350006,803400,136.714951
"2021-10-22",135,138.100006,134.589996,135.619995,716300,134.992935
"2021-10-25",135.800003,135.899994,133.570007,133.690002,771700,133.071869
"2021-10-26",127,130.75,125.760002,126.169998,1470800,125.586639
"2021-10-27",124.790001,127.160004,123.639999,124.919998,918800,124.342415
"2021-10-28",125.93,127.370003,125.389999,126.169998,693100,125.586639
"2021-10-29",126.010002,127.139999,123.459999,124.099998,995900,123.526207
"2021-11-01",124.389999,125.769997,123.959999,124.93,565000,124.352371
"2021-11-02",125.349998,125.709999,122.669998,122.93,653600,122.361618
"2021-11-03",121.940002,125.349998,121.230003,124.839996,954900,124.262779
"2021-11-04",125.050003,126.480003,124.330002,126.199997,698000,125.616493
"2021-11-05",126.580002,130.399994,125.860001,129.880005,1090800,129.27948
"2021-11-08",130.309998,131,127.150002,129.160004,520200,128.56282
"2021-11-09",129.190002,129.990005,127.980003,128.429993,599200,127.836182
"2021-11-10",128.839996,130.059998,128.490005,129.369995,415800,128.771835
"2021-11-11",129,130.389999,128.490005,130.270004,533600,129.667679
"2021-11-12",131.210007,131.449997,129.199997,130.839996,354600,130.235046
"2021-11-15",131,131,128.289993,128.679993,605400,128.085022
"2021-11-16",128.949997,129.190002,127.480003,128.679993,836400,128.085022
"2021-11-17",128.5,128.889999,127.07,127.260002,757400,126.6716
"2021-11-18",126.940002,127.279999,124.529999,125.830002,1125300,125.248215
"2021-11-19",125.269997,125.669998,122.610001,123.980003,926600,123.406769
"2021-11-22",124.309998,128.059998,123.5,127.230003,625100,126.641739
"2021-11-23",127.690002,130.179993,126.5,129.949997,719900,129.349167
"2021-11-24",130.020004,130.669998,128.770004,128.880005,571600,128.284103
"2021-11-26",125.43,126.099998,123.019997,124.360001,509800,123.785011
"2021-11-29",125.199997,125.519997,121.019997,121.269997,916600,120.709297
"2021-11-30",119.790001,120.879997,117.940002,118.730003,1320200,118.376266
"2021-12-01",120.449997,122.529999,116.230003,116.389999,1024900,116.043236
"2021-12-02",117.339996,123.230003,116.959999,121.620003,958300,121.257652
"2021-12-03",122.080002,123.75,121.099998,121.639999,1026600,121.277596
"2021-12-06",123.440002,127.699997,121.809998,126.059998,924000,125.684425
"2021-12-07",126.779999,130.039993,125.93,128.419998,727100,128.037399
"2021-12-08",128.470001,130.119995,127.529999,129.679993,803600,129.29364
"2021-12-09",129.350006,130.259995,127.919998,129.119995,656000,128.735306
"2021-12-10",129.919998,131.210007,126.860001,128.399994,855400,128.017441
"2021-12-13",128.380005,129.440002,127.739998,128.800003,402100,128.41626
"2021-12-14",128.669998,130.899994,127.660004,127.889999,549600,127.508972
"2021-12-15",127.739998,129.639999,127.010002,129.410004,801700,129.024445
"2021-12-16",130.210007,130.550003,127.769997,128.300003,521600,127.917763
"2021-12-17",128.289993,128.759995,125.940002,127.800003,1464300,127.419243
"2021-12-20",126.080002,126.080002,121.589996,124.610001,515000,124.238747
"2021-12-21",124.959999,127.830002,124.639999,127.699997,706200,127.319534
"2021-12-22",128,129.199997,126.839996,127.599998,498200,127.219833
"2021-12-23",128.240005,129.720001,127.699997,128.130005,307600,127.748268
"2021-12-27",128.190002,128.820007,127.480003,128.710007,209400,128.326538
"2021-12-28",128.970001,131.179993,128.919998,130.649994,292300,130.260742
"2021-12-29",130.639999,131.970001,130.320007,131,256600,130.609695
"2021-12-30",131.330002,132,130.5,130.75,234700,130.360458
"2021-12-31",130.289993,131.190002,129.100006,129.660004,307100,129.273712
"2022-01-03",130.149994,132.149994,129.699997,132.020004,569400,131.626663
"2022-01-04",132.300003,136,132.199997,133.820007,570900,133.421326
"2022-01-05",132.899994,137.720001,132.899994,133.800003,664100,133.401367
"2022-01-06",134,134.839996,130.570007,130.979996,669000,130.589752
"2022-01-07",130.979996,133.570007,130.830002,131.970001,757300,131.576828
"2022-01-10",132.820007,132.889999,130.699997,132.860001,568500,132.464157
"2022-01-11",128,131.759995,126.050003,130.820007,1256700,130.430252
"2022-01-12",131.139999,132.369995,127.760002,129.110001,798200,128.725342
"2022-01-13",129.339996,134.880005,128.649994,133.050003,953300,132.653595
