"","OGN.Open","OGN.High","OGN.Low","OGN.Close","OGN.Volume","OGN.Adjusted"
"2021-09-24",33.5,33.950001,33,33.689999,1888100,32.864098
"2021-09-27",33.689999,33.869999,33.419998,33.540001,1281300,32.717773
"2021-09-28",33.5,33.52,32.895,33.040001,1286800,32.230034
"2021-09-29",33.02,34,33.009998,33.98,1306300,33.146984
"2021-09-30",33.924999,34.169998,32.779999,32.790001,1481600,31.986158
"2021-10-01",32.880001,33.599998,32.560001,33.330002,1497500,32.512924
"2021-10-04",33.18,33.580002,32.82,32.939999,1784800,32.132481
"2021-10-05",32.68,33.139999,32.490002,32.529999,2452800,31.732531
"2021-10-06",32.23,33.139999,31.92,33.07,2533300,32.259296
"2021-10-07",32.990002,33.32,32.740002,32.84,1339600,32.034931
"2021-10-08",32.790001,32.869999,32.220001,32.57,1249000,31.771557
"2021-10-11",32.580002,33.257,32.549999,33.209999,1319400,32.395863
"2021-10-12",33.18,33.540001,32.759998,32.84,1271300,32.034931
"2021-10-13",33,33.325001,32.66,33.150002,1251100,32.337334
"2021-10-14",33.150002,33.939999,33.099998,33.639999,1624700,32.815323
"2021-10-15",33.959999,35.25,33.759998,34.889999,1675900,34.034679
"2021-10-18",34.82,35.119999,34.459999,34.799999,1236200,33.946888
"2021-10-19",34.830002,35.389999,34.700001,35.060001,1246500,34.200516
"2021-10-20",35.189999,36.220001,34.98,35.759998,1161000,34.88335
"2021-10-21",35.66,35.75,35.130001,35.360001,1100500,34.493156
"2021-10-22",35.330002,35.790001,35.110001,35.66,765500,34.785801
"2021-10-25",35.490002,36.959999,35.41,36.91,1497900,36.005161
"2021-10-26",36.779999,37.34,36.5,36.709999,1598500,35.810059
"2021-10-27",36.700001,36.700001,35.514999,35.720001,1013500,34.844334
"2021-10-28",35.860001,36.68,35.619999,36.52,1282500,35.624718
"2021-10-29",36.459999,37.229,36.380001,36.75,1800000,35.849079
"2021-11-01",36.700001,37.310001,36.48,37.130001,1108600,36.219769
"2021-11-02",37.220001,37.299999,36.400002,36.490002,1326000,35.595455
"2021-11-03",36.220001,37.02,36.220001,36.82,1549600,35.917366
"2021-11-04",36.810001,37.189999,36.200001,36.259998,1777200,35.371094
"2021-11-05",36.380001,36.720001,35.540001,36.279999,2381000,35.390602
"2021-11-08",36.549999,37.349998,36.41,36.990002,3474500,36.083199
"2021-11-09",36.950001,37,36.43,36.639999,2567400,35.741776
"2021-11-10",36.540001,37.369999,36.231998,36.630001,4025500,35.732021
"2021-11-11",35.41,35.435001,32.75,34.720001,5810200,33.868847
"2021-11-12",34.650002,34.720001,33.52,33.700001,2531700,32.873856
"2021-11-15",33.700001,33.75,33.009998,33.380001,2553500,32.561699
"2021-11-16",33.310001,33.759998,32.900002,33.540001,2385400,32.717773
"2021-11-17",33.450001,33.529999,32.630001,32.950001,2008700,32.142239
"2021-11-18",32.939999,32.990002,31.339001,31.6,2625800,30.825333
"2021-11-19",31.610001,31.82,30.879999,31.25,2631300,30.756437
"2021-11-22",31.459999,31.99,31.450001,31.639999,2183200,31.140278
"2021-11-23",31.690001,31.690001,30.950001,31.200001,2008500,30.707228
"2021-11-24",31.26,31.639999,30.959999,31.540001,1872700,31.041859
"2021-11-26",31.059999,31.6,30.709999,31.129999,1287200,30.638332
"2021-11-29",31.040001,31.055,30.129999,30.620001,2286900,30.136389
"2021-11-30",30.389999,30.49,29.049999,29.23,3273000,28.768341
"2021-12-01",29.57,29.959999,28.57,28.73,2858600,28.276239
"2021-12-02",28.889999,29.969999,28.700001,29.67,2700900,29.201393
"2021-12-03",29.68,29.790001,28.5,28.83,2416100,28.37466
"2021-12-06",29.1,29.67,28.799999,29.309999,2134800,28.847078
"2021-12-07",29.51,29.690001,29.08,29.309999,2348900,28.847078
"2021-12-08",29.379999,29.48,28.75,29.33,2155600,28.866762
"2021-12-09",29.43,29.540001,28.6,28.67,2045900,28.217186
"2021-12-10",28.76,29.190001,28.549999,28.74,2252800,28.286081
"2021-12-13",28.879999,29.379999,28.65,28.870001,2693200,28.414028
"2021-12-14",28.93,29.49,28.610001,28.85,3676900,28.394344
"2021-12-15",28.91,29.450001,28.77,29.33,2113200,28.866762
"2021-12-16",29.709999,30.969999,29.48,30.33,2527800,29.850967
"2021-12-17",30.35,30.49,29.620001,30.190001,4749400,29.713181
"2021-12-20",30,30.18,28.99,29.360001,1855500,28.89629
"2021-12-21",29.299999,30.059999,29.25,29.790001,1555300,29.319498
"2021-12-22",29.91,30.059999,29.530001,30.01,1160000,29.536024
"2021-12-23",30,30.379999,29.9,30.219999,957700,29.742706
"2021-12-27",30.17,30.280001,29.827,30.09,1250100,29.614759
"2021-12-28",29.93,30.23,29.85,29.889999,1256700,29.417919
"2021-12-29",29.879999,29.98,29.629999,29.82,1309100,29.349024
"2021-12-30",29.940001,30.799999,29.940001,30.73,1385100,30.244652
"2021-12-31",30.575001,30.77,30.4,30.450001,1018800,29.969074
"2022-01-03",30.57,31.18,30.285,31.16,1331900,30.66786
"2022-01-04",31.215,31.635,30.74,31.52,1641700,31.022175
"2022-01-05",31.620001,32,31.049999,31.1,1979300,30.608809
"2022-01-06",31.049999,31.889999,30.41,31.51,2012000,31.012333
"2022-01-07",31.52,32.470001,31.52,32.41,1350800,31.898117
"2022-01-10",31.99,32.540001,31.690001,32.209999,2822500,31.701275
"2022-01-11",32.299999,32.790001,32.02,32.75,2090100,32.232746
"2022-01-12",32.860001,32.900002,32.259998,32.610001,1569800,32.094959
"2022-01-13",32.389999,33.18,32.299999,32.900002,1578600,32.380379
"2022-01-14",32.849998,33.34,32.290001,32.860001,1771100,32.341011
"2022-01-18",32.665001,33.07,31.4,32.07,1900400,31.563486
"2022-01-19",32.029999,32.73,32,32.240002,1992500,31.730804
"2022-01-20",32.209999,32.709999,31.780001,31.82,1740200,31.317436
"2022-01-21",31.75,31.77,30.655001,30.969999,1900600,30.48086
"2022-01-24",30.32,30.629999,28.941999,30.450001,2614600,29.969074
"2022-01-25",29.93,31.002001,29.629999,30.709999,1955200,30.224966
"2022-01-26",30.85,31.49,30.325001,30.73,1374900,30.244652
"2022-01-27",31.1,31.639999,30.48,30.700001,1939100,30.215126
"2022-01-28",30.459999,31.469999,30.41,31.450001,1680900,30.953281
"2022-01-31",31.200001,32.099998,31.200001,31.91,4413700,31.406015
"2022-02-01",32.18,33.02,32.009998,32.990002,1846600,32.46896
