"","BALL.Open","BALL.High","BALL.Low","BALL.Close","BALL.Volume","BALL.Adjusted"
"2021-05-13",87.989998,89.089996,87.959999,88.459999,1245000,87.497498
"2021-05-14",88.779999,89.669998,88.459999,89.099998,1014400,88.130539
"2021-05-17",89.029999,89.269997,88.459999,88.629997,998000,87.665649
"2021-05-18",88.419998,88.480003,87,87.050003,1727500,86.102844
"2021-05-19",86.25,86.489998,85.330002,85.82,1309500,84.886223
"2021-05-20",86.910004,87.93,86.730003,87.279999,1422100,86.330345
"2021-05-21",87.410004,88.089996,86.57,86.779999,1532500,85.835793
"2021-05-24",87.099998,87.730003,86.550003,87.110001,1312700,86.162193
"2021-05-25",87.209999,87.269997,85.300003,85.870003,1964200,84.935692
"2021-05-26",83.800003,84.68,81.5,82.239998,4470700,81.345177
"2021-05-27",82.879997,83.529999,82.25,82.650002,3876900,81.750725
"2021-05-28",82.379997,82.650002,81.779999,82.160004,2677400,81.413803
"2021-06-01",82.639999,82.870003,81.660004,82.220001,1994600,81.473267
"2021-06-02",82.410004,82.720001,81.370003,81.809998,1907800,81.066986
"2021-06-03",81.300003,83.690002,81.300003,83.370003,2337400,82.612823
"2021-06-04",83.639999,83.760002,81.589996,82.540001,2264200,81.790359
"2021-06-07",82.379997,82.690002,81.040001,81.360001,1714800,80.621086
"2021-06-08",81.419998,81.699997,80.120003,80.589996,1443800,79.858055
"2021-06-09",80.879997,81.110001,80.239998,80.900002,1526300,80.165253
"2021-06-10",80.910004,81.25,80.18,80.459999,2468800,79.729256
"2021-06-11",81.019997,81.559998,80.330002,81.529999,2374000,80.789528
"2021-06-14",81.629997,81.879997,80.550003,81.120003,1620700,80.383263
"2021-06-15",81.279999,81.839996,81.129997,81.410004,2266800,80.670624
"2021-06-16",81.690002,81.889999,80.339996,80.489998,1932600,79.75898
"2021-06-17",80.269997,80.610001,79.660004,79.940002,2521900,79.213982
"2021-06-18",79.120003,79.860001,78.690002,79.190002,3395800,78.470787
"2021-06-21",79.68,80.190002,79.209999,79.959999,1604700,79.23378
"2021-06-22",81.029999,82.07,80.82,81.68,2217900,80.938171
"2021-06-23",81.699997,82.099998,81.349998,81.489998,1859200,80.749886
"2021-06-24",81.650002,82.599998,81.470001,82.029999,1891400,81.284988
"2021-06-25",82.480003,83.459999,82.419998,82.809998,6174900,82.057899
"2021-06-28",82.690002,82.75,81.349998,81.870003,1661500,81.12645
"2021-06-29",82.080002,82.339996,81.43,81.629997,1367700,80.888626
"2021-06-30",81.599998,82.010002,80.709999,81.019997,1366100,80.284157
"2021-07-01",81.32,82.650002,81.32,82.389999,2027000,81.641716
"2021-07-02",82.669998,82.669998,81.540001,81.830002,1055600,81.086807
"2021-07-06",82,82.5,81.580002,82.07,1222400,81.324623
"2021-07-07",81.970001,82.980003,81.970001,82.82,1456800,82.067825
"2021-07-08",82.190002,85.940002,82.160004,85.290001,4452800,84.515381
"2021-07-09",85.290001,85.529999,84.080002,84.790001,2159300,84.019928
"2021-07-12",84.129997,84.849998,83.43,84.760002,2146300,83.990196
"2021-07-13",84.809998,85.269997,83.879997,84.309998,1615400,83.544281
"2021-07-14",84.089996,85.089996,83.550003,84.589996,1861900,83.821732
"2021-07-15",84.669998,85.050003,84,84.940002,1987800,84.168571
"2021-07-16",85.199997,86.68,84.879997,85.75,5580800,84.971207
"2021-07-19",85.25,85.25,82.910004,83.75,2082000,82.989372
"2021-07-20",84.370003,85.540001,83.949997,84.419998,1865300,83.653282
"2021-07-21",84.330002,84.779999,82.660004,82.699997,1614700,81.948898
"2021-07-22",82.809998,83.330002,81.489998,81.730003,1599700,80.987717
"2021-07-23",81,81.43,78.43,80,3874900,79.273422
"2021-07-26",80,81.550003,79.389999,81.169998,1325500,80.432793
"2021-07-27",81.129997,81.709999,80.760002,81.120003,1133500,80.383263
"2021-07-28",81.050003,81.470001,80.82,81.169998,1032300,80.432793
"2021-07-29",81.709999,82.279999,80.860001,81.010002,1093200,80.274254
"2021-07-30",80.949997,81.690002,80.669998,80.879997,1189800,80.145432
"2021-08-02",80.970001,81.669998,80.760002,81.389999,1350900,80.650803
"2021-08-03",81.209999,81.419998,80,80.440002,1176500,79.709427
"2021-08-04",80.25,80.5,78.629997,79.029999,1719900,78.312241
"2021-08-05",80.050003,80.959999,77.949997,80.779999,2710800,80.046341
"2021-08-06",81.32,86.32,81.32,85.239998,3959400,84.465828
"2021-08-09",85.209999,87.879997,85.209999,87.349998,3397700,86.556671
"2021-08-10",87.349998,89.629997,87.230003,88.830002,2015900,88.023232
"2021-08-11",89.110001,90.5,88.559998,89.540001,2880900,88.726784
"2021-08-12",89.269997,89.910004,88.699997,89.449997,2054000,88.637596
"2021-08-13",89.620003,89.629997,88.480003,88.68,1542400,87.874596
"2021-08-16",88.379997,89.419998,87.720001,89.07,1524400,88.261047
"2021-08-17",89.470001,90.120003,88.720001,89.389999,1560500,88.578148
"2021-08-18",89.389999,90.949997,89.389999,90.709999,2518700,89.886162
"2021-08-19",90.709999,92.849998,90.440002,92.5,2538200,91.659904
"2021-08-20",92.849998,94.889999,92.639999,94.629997,2560900,93.770554
"2021-08-23",94.410004,94.949997,93.720001,94.849998,1758700,93.988548
"2021-08-24",94.989998,95.25,94.089996,94.510002,2147900,93.651642
"2021-08-25",94.089996,95,93.889999,94.660004,1818800,93.800285
"2021-08-26",94.57,94.699997,93.959999,94.309998,1153100,93.453453
"2021-08-27",94.309998,94.900002,94.160004,94.370003,1151400,93.512924
"2021-08-30",94.68,96.18,94.589996,95.690002,1314700,94.82093
"2021-08-31",95.779999,96.230003,95.089996,95.959999,2281900,95.287636
"2021-09-01",95.190002,96.839996,94.440002,96.660004,1352600,95.982735
"2021-09-02",97,97.849998,96.669998,97.790001,2005800,97.10482
"2021-09-03",97.699997,98.089996,97.279999,97.379997,1420400,96.697685
"2021-09-07",97.389999,97.449997,96.220001,96.93,1849800,96.250839
"2021-09-08",96.690002,97.230003,96.519997,96.68,2534200,96.002594
