"","ZBH.Open","ZBH.High","ZBH.Low","ZBH.Close","ZBH.Volume","ZBH.Adjusted"
"2021-05-05",168.669907,169.679611,166.048538,168.495148,1029279,166.965347
"2021-05-06",168,168.631073,164.805832,168.184464,783315,166.657471
"2021-05-07",167.990295,169.747574,167.29126,167.466019,1021142,165.945557
"2021-05-10",167.631073,168.135925,166.252426,166.941742,1197375,165.426025
"2021-05-11",166.70874,166.834946,162.203888,162.669907,1450240,161.192993
"2021-05-12",161.242722,162.116501,158.883499,159,1475269,157.556396
"2021-05-13",159.29126,161.572815,159.165054,160.805832,1166166,159.34584
"2021-05-14",161.320389,163.58252,160.43689,162.398056,582568,160.923615
"2021-05-17",161.980576,162.475723,160.669907,160.980576,616661,159.518997
"2021-05-18",160.941742,162.85437,160.912628,161.689316,888581,160.221298
"2021-05-19",160.242722,161.048538,159.038834,160.932037,760552,159.470901
"2021-05-20",160.990295,162.776703,160.601944,162.067963,791040,160.596512
"2021-05-21",163.106796,164.572815,162.262131,162.446609,849132,160.97171
"2021-05-24",163.70874,164.116501,162.728149,162.970871,807005,161.491211
"2021-05-25",163.864075,164.572815,162.543686,162.873779,652608,161.394989
"2021-05-26",161.825241,162.262131,158.320389,159.398056,1424799,157.950851
"2021-05-27",160.194168,163.038834,159.728149,162.747574,1894685,161.269943
"2021-05-28",164.019424,164.58252,162.893204,163.427185,1408010,161.94339
"2021-06-01",164.533981,165.029129,161.155334,161.378647,942450,159.913452
"2021-06-02",161.262131,161.359222,155.621353,156.368927,1977600,154.949219
"2021-06-03",155.70874,156.165054,153.300964,155.281555,2051966,153.871735
"2021-06-04",156.087372,156.087372,154.330093,154.495148,2130658,153.092453
"2021-06-07",155.310684,155.339813,152.815536,153.300964,1836902,151.909103
"2021-06-08",154.252426,154.281555,151.194168,152.951462,1094375,151.56279
"2021-06-09",153.126221,154.058258,152.699036,153.611649,809065,152.21698
"2021-06-10",153.932037,155.213593,153.883499,154.621353,880341,153.217499
"2021-06-11",154.485443,154.650482,152.796112,153.669907,1146287,152.274704
"2021-06-14",153.601944,154.097092,152.126221,152.961166,1309954,151.572418
"2021-06-15",153.242722,154.601944,152.514557,153.728149,1418104,152.332413
"2021-06-16",153.990295,154.58252,151.922333,153.427185,1468883,152.03418
"2021-06-17",153.116501,156.223297,153.116501,155.718445,1408113,154.304642
"2021-06-18",154.737869,155.378647,153.398056,153.893204,2306170,152.495987
"2021-06-21",154.796112,159.29126,154.14563,158.718445,1627503,157.277405
"2021-06-22",159.029129,162.281555,158.038834,161.533981,2144460,160.067352
"2021-06-23",161.533981,161.864075,159.669907,159.679611,1223022,158.229843
"2021-06-24",160.58252,160.58252,158.834946,159.601944,1123524,158.152893
"2021-06-25",159.737869,162.70874,159.737869,161.019424,1104572,159.790771
"2021-06-28",161.262131,161.262131,157.184464,158.932037,1703414,157.719315
"2021-06-29",158.922333,159.271851,156.310684,156.485443,1133618,155.291397
"2021-06-30",155.961166,157.097092,155.378647,156.135925,1278333,154.944534
"2021-07-01",156.796112,158.41748,156.029129,158.388351,1170286,157.179794
"2021-07-02",158.233017,159.067963,157.378647,158.757278,920614,157.545898
"2021-07-06",158.106796,158.699036,157.233017,158.038834,1254540,156.832932
"2021-07-07",158.427185,158.815536,155.689316,156.407761,1528005,155.21431
"2021-07-08",154.834946,155.56311,153.359222,154.621353,1092727,153.441528
"2021-07-09",154.611649,155.514557,153.689316,154.669907,745308,153.489716
"2021-07-12",154.126221,155.718445,153.41748,155.106796,774045,153.923248
"2021-07-13",154.844666,155.533981,152.087372,152.466019,939154,151.302643
"2021-07-14",152.864075,153.135925,150.699036,151.048538,1171625,149.895966
"2021-07-15",150.184464,150.805832,148.038834,148.640778,1524709,147.506577
"2021-07-16",148.990295,149.446609,146.689316,148.932037,2086986,147.795624
"2021-07-19",147.029129,147.504852,144.990295,145.796112,1439219,144.68364
"2021-07-20",145.883499,151.475723,145.883499,151.097092,1792715,149.944153
"2021-07-21",152.932037,155.184464,151.737869,154.922333,1806311,153.740204
"2021-07-22",155.320389,155.320389,152.271851,154.038834,886418,152.863449
"2021-07-23",155,156.097092,154.485443,155.310684,815863,154.125595
"2021-07-26",154.524277,155.43689,153.378647,155,585040,153.817291
"2021-07-27",154.446609,158.514557,153.912628,158.097092,980251,156.890732
"2021-07-28",158.572815,158.825241,157.184464,157.825241,910211,156.620972
"2021-07-29",158.533981,158.737869,156.029129,158,930090,156.794388
"2021-07-30",158.048538,160.174759,157.679611,158.660187,1154527,157.449554
"2021-08-02",159.300964,160.58252,158.038834,158.262131,1721336,157.05452
"2021-08-03",148.533981,150.58252,145.669907,149.233017,4462269,148.094315
"2021-08-04",148.300964,149.029129,143.155334,143.912628,2456653,142.814529
"2021-08-05",143.893204,145.883499,143,145.796112,1786432,144.68364
"2021-08-06",145.922333,146.242722,143.203888,144.660187,1653974,143.556366
"2021-08-09",144.660187,144.757278,142.485443,143.14563,1766553,142.05336
"2021-08-10",142.912628,142.932037,139.475723,141.524277,3133466,140.444382
"2021-08-11",142.553391,142.592239,141.330093,141.456314,1368767,140.376938
"2021-08-12",141.203888,142.737869,141.097092,142.14563,2221813,141.061005
"2021-08-13",141.747574,142.485443,140.737869,141.834946,1501431,140.752686
"2021-08-16",141.70874,142.786407,140.252426,142.300964,1828147,141.215134
"2021-08-17",141.815536,143.864075,140.339813,143.553391,2029100,142.458023
"2021-08-18",143.747574,144,140.126221,140.174759,1338382,139.105179
"2021-08-19",138.699036,140.611649,138.699036,139.922333,1201392,138.854675
"2021-08-20",140.41748,141.893204,139,141.223297,1049673,140.145691
"2021-08-23",141.796112,142.184464,139.922333,141.106796,1131043,140.030106
"2021-08-24",141.009705,145,141.009705,144.407761,2439761,143.305862
"2021-08-25",144.660187,147.300964,144.009705,146.009705,1715053,144.895599
"2021-08-26",145.485443,146.56311,144.669907,145.233017,1127438,144.124832
"2021-08-27",145.56311,146.631073,144.883499,145.699036,1114048,144.587296
"2021-08-30",145.864075,146.611649,145.058258,145.41748,921438,144.307892
"2021-08-31",145.747574,146.533981,145.407761,146.067963,1222095,144.953415
"2021-09-01",146.368927,146.737869,145.203888,146.475723,913095,145.358047
"2021-09-02",147.038834,147.902908,144.203888,144.747574,1348682,143.643097
"2021-09-03",144.543686,144.932037,141.757278,142.466019,2822715,141.378937
"2021-09-07",142.077667,143.009705,140.679611,142.349518,1550871,141.263321
"2021-09-08",142.038834,144.019424,141.067963,143.184464,1365677,142.091904
"2021-09-09",143.077667,145.281555,140.067963,140.135925,1377522,139.06665
"2021-09-10",140.233017,140.543686,136.271851,136.349518,1349403,135.309113
"2021-09-13",136.786407,138.368927,136.407761,136.893204,1549841,135.848663
"2021-09-14",136.893204,145.728149,135.252426,143.378647,4260286,142.284592
"2021-09-15",143.427185,143.932037,140.572815,141.757278,2014474,140.675629
"2021-09-16",142.43689,143.631073,141.184464,141.970871,1464660,140.887573
"2021-09-17",141.271851,142.650482,140.14563,142.446609,1877278,141.35968
"2021-09-20",140.815536,141.621353,138.194168,139.85437,1240841,138.787216
"2021-09-21",141.310684,141.592239,138.572815,138.601944,1502770,137.544357
"2021-09-22",139.58252,142.689316,139,141.456314,1082118,140.376938
"2021-09-23",141.689316,147.233017,141.300964,146.019424,2297827,144.905258
"2021-09-24",146.009705,147.310684,144.844666,146.825241,1707534,145.70491
"2021-09-27",146.233017,149.281555,145.970871,147.126221,1626782,146.003586
"2021-09-28",146.640778,147.961166,145.660187,146.456314,1664377,145.338791
"2021-09-29",146.087372,146.728149,144.485443,145.009705,941317,144.132538
"2021-09-30",145.524277,146.048538,142.048538,142.097092,1017331,141.237549
"2021-10-01",143.194168,145.757278,142.728149,145.116501,1426550,144.238693
"2021-10-04",144.475723,145.660187,140.980576,142.456314,1168329,141.594589
"2021-10-05",142.504852,144.669907,141.669907,141.757278,1190577,140.899796
"2021-10-06",140.233017,142.339813,138.524277,142.077667,1129807,141.218216
"2021-10-07",143.135925,145.504852,142.679611,143.43689,1020524,142.569244
"2021-10-08",143.349518,143.825241,142.135925,142.378647,513867,141.517395
"2021-10-11",142.106796,143.70874,139.572815,139.601944,816378,138.757477
"2021-10-12",139.621353,140.223297,138.155334,138.650482,796087,137.811783
"2021-10-13",138.679611,138.961166,137.349518,138.611649,907018,137.773178
"2021-10-14",139.873779,141.650482,139.669907,141.388351,821219,140.533081
"2021-10-15",142.572815,142.902908,141.524277,142.097092,909799,141.237549
"2021-10-18",140.961166,141.524277,138.766983,140.747574,1057295,139.896179
"2021-10-19",139.320389,145.456314,139.320389,144.58252,1049776,143.707916
"2021-10-20",145.631073,146.85437,143.796112,145.757278,1119095,144.87558
"2021-10-21",145.766983,147.310684,145.29126,146.41748,761685,145.531799
"2021-10-22",146.359222,147.126221,145.553391,146.038834,330424,145.155441
"2021-10-25",145.990295,147.427185,144.922333,146.631073,849853,145.74408
"2021-10-26",147.126221,147.126221,145.41748,145.466019,476066,144.58609
"2021-10-27",145.611649,145.611649,142.009705,142.048538,678564,141.189285
"2021-10-28",141.834946,142.718445,140.70874,141.281555,952029,140.426926
"2021-10-29",138.844666,139.310684,135.184464,138.951462,1681063,138.110931
"2021-11-01",139.359222,142.893204,138.961166,141.543686,1176672,140.687469
"2021-11-02",141.640778,142.456314,140.300964,141.427185,910932,140.571686
"2021-11-03",140.980576,144.407761,140.980576,144.407761,1450034,143.534225
"2021-11-04",140.766983,141.747574,132.70874,133.737869,3757440,132.928879
"2021-11-05",138.116501,141.834946,135.796112,137.533981,3066413,136.702042
"2021-11-08",137.29126,137.85437,133.029129,133.572815,2834251,132.764832
"2021-11-09",132.990295,134.359222,129.893204,130.466019,4217541,129.676819
"2021-11-10",130.097092,132.067963,129.543686,129.970871,1354038,129.184662
"2021-11-11",129.43689,130.281555,126.466019,128.825241,1642026,128.045975
"2021-11-12",129.320389,129.475723,127.601944,128.524277,1666746,127.746826
"2021-11-15",128.601944,129.058258,126.359222,127.310677,1500504,126.540565
"2021-11-16",126.902916,129.543686,126.155342,127.922333,1663759,127.148529
"2021-11-17",127.310677,128.776703,126.300972,127.262138,1361042,126.492325
