"","USB.Open","USB.High","USB.Low","USB.Close","USB.Volume","USB.Adjusted"
"2021-06-04",60.689999,60.779999,60.119999,60.77,4581600,58.322453
"2021-06-07",60.93,60.950001,60.43,60.540001,4520800,58.101715
"2021-06-08",60.209999,60.580002,59.490002,60.290001,5617400,57.861786
"2021-06-09",59.790001,59.860001,59.200001,59.25,6549800,56.863674
"2021-06-10",60.119999,60.23,58.599998,58.610001,4873800,56.249447
"2021-06-11",58.779999,59.23,58.580002,59.139999,5659300,56.758095
"2021-06-14",58.959999,59.119999,57.77,58.16,5035400,55.817574
"2021-06-15",58.130001,58.790001,57.939999,58.509998,5807800,56.153473
"2021-06-16",58.09,58.91,57.34,58.439999,8635300,56.086292
"2021-06-17",58.889999,58.959999,55.529999,55.720001,8333100,53.475849
"2021-06-18",54.77,55.23,54.060001,54.740002,19017200,52.535316
"2021-06-21",55.060001,56.119999,55.060001,55.98,5680700,53.725372
"2021-06-22",56.240002,56.25,55.349998,55.939999,4183300,53.686981
"2021-06-23",56.02,56.52,55.77,56.139999,5655900,53.878925
"2021-06-24",56.290001,57.139999,56.009998,56.880001,5761900,54.589123
"2021-06-25",57.330002,57.970001,56.82,57.849998,4931100,55.520058
"2021-06-28",57.66,57.77,56.959999,57.540001,5143200,55.222546
"2021-06-29",57.18,57.790001,56.450001,56.66,6974000,54.777821
"2021-06-30",56.630001,57.220001,56.48,56.970001,4664100,55.077526
"2021-07-01",57.349998,57.599998,57,57.580002,3660400,55.667259
"2021-07-02",57.610001,57.740002,57.18,57.57,3520900,55.657593
"2021-07-06",57.099998,57.330002,55.630001,56.009998,5008700,54.149414
"2021-07-07",55.669998,56.48,55.459999,55.990002,5125700,54.130081
"2021-07-08",55.119999,55.639999,54.669998,55.040001,5977700,53.211636
"2021-07-09",56.080002,57.040001,55.849998,56.970001,4437300,55.077526
"2021-07-12",56.459999,57.75,56,57.580002,5403100,55.667259
"2021-07-13",57.400002,57.59,56.540001,56.919998,4387500,55.029186
"2021-07-14",57,57.43,56.23,56.990002,6398100,55.096863
"2021-07-15",56.630001,59.73,56.369999,58.82,10314800,56.866066
"2021-07-16",58.950001,59.02,57.049999,57.169998,5779400,55.270878
"2021-07-19",55.860001,56.330002,54.200001,54.509998,8560800,52.699242
"2021-07-20",54.599998,56.790001,54.310001,56.09,6271100,54.226757
"2021-07-21",56.57,57.509998,56.490002,57.200001,5544800,55.299881
"2021-07-22",57.189999,57.240002,55.639999,55.810001,4042900,53.956059
"2021-07-23",56.299999,56.709999,55.549999,55.720001,3570500,53.869049
"2021-07-26",55.689999,56.41,55.52,56.18,3721700,54.313766
"2021-07-27",55.5,56.360001,55.099998,56.150002,4332400,54.284763
"2021-07-28",56.5,56.619999,55.470001,56.040001,4063600,54.178421
"2021-07-29",56.560001,56.790001,55.82,56.439999,7566000,54.565128
"2021-07-30",56.09,56.560001,55.130001,55.540001,6478400,53.695026
"2021-08-02",55.869999,56.82,55.110001,55.130001,4741300,53.298649
"2021-08-03",55.529999,56.02,54.349998,55.889999,5102700,54.033398
"2021-08-04",55.34,55.740002,54.880001,55.060001,4101400,53.230972
"2021-08-05",55.540001,55.959999,55.360001,55.810001,3774500,53.956059
"2021-08-06",56.560001,57.5,56.369999,57,4756100,55.106529
"2021-08-09",56.900002,57.549999,56.41,57.040001,3672300,55.145199
"2021-08-10",56.889999,57.880001,56.84,57.669998,3759600,55.754269
"2021-08-11",57.900002,58.830002,57.450001,58.790001,5462200,56.837063
"2021-08-12",58.73,59,58.27,58.849998,3758200,56.895069
"2021-08-13",59.02,59.169998,58.080002,58.220001,3630500,56.285999
"2021-08-16",57.790001,57.939999,56.959999,57.57,3219600,55.657593
"2021-08-17",57.09,57.52,56.119999,56.759998,3474500,54.8745
"2021-08-18",56.419998,57.040001,56,56.049999,4656800,54.188084
"2021-08-19",55.5,55.990002,54.82,55.34,5568800,53.501671
"2021-08-20",55.200001,55.779999,55,55.68,3650900,53.830376
"2021-08-23",55.959999,56.48,55.93,56.169998,3674900,54.304096
"2021-08-24",56.32,56.91,56.139999,56.810001,3210400,54.92284
"2021-08-25",57.080002,58.16,56.880001,57.639999,3983400,55.725269
"2021-08-26",57.869999,57.970001,57.139999,57.240002,3340500,55.338562
"2021-08-27",57.43,58.369999,57.259998,58.299999,4432400,56.363342
"2021-08-30",58.220001,58.43,56.959999,57.080002,4848600,55.183868
"2021-08-31",57.220001,57.830002,56.900002,57.389999,6869000,55.483574
"2021-09-01",57.610001,57.610001,56.110001,56.169998,6533600,54.304096
"2021-09-02",56.25,56.759998,56.029999,56.439999,5307500,54.565128
"2021-09-03",56.490002,56.549999,55.810001,56.150002,3921800,54.284763
"2021-09-07",56.279999,56.950001,55.73,55.830002,4879100,53.975395
"2021-09-08",55.630001,55.880001,55.110001,55.34,3501700,53.501671
"2021-09-09",55.310001,56.459999,55.189999,55.82,4810100,53.965721
"2021-09-10",56.189999,56.360001,55.419998,55.450001,3856300,53.608017
"2021-09-13",55.939999,56.560001,55.830002,56.540001,5448400,54.661808
"2021-09-14",56.75,56.959999,55.459999,55.91,5432200,54.052734
"2021-09-15",56.23,57.970001,56.139999,57.799999,7194300,55.879948
"2021-09-16",58,58.34,56.82,57.099998,6056000,55.203205
"2021-09-17",56.869999,57.5,56.860001,57.009998,10014300,55.116192
"2021-09-20",55.439999,55.779999,54.59,55.68,8945100,53.830376
"2021-09-21",56.119999,57.459999,55.880001,57.099998,10332300,55.203205
"2021-09-22",57.880001,58.919998,57.73,57.919998,8715700,55.995964
"2021-09-23",58.59,59.630001,58.490002,59.290001,8216800,57.320457
"2021-09-24",59.400002,60.32,59.27,59.790001,4770700,57.803848
"2021-09-27",60.48,61.330002,60.439999,61.099998,5388200,59.070324
"2021-09-28",61.310001,61.66,60.310001,60.419998,7223100,58.412918
"2021-09-29",60,60.66,59.630001,60.259998,4934700,58.705177
"2021-09-30",60.619999,60.66,59.380001,59.439999,5648600,57.906334
"2021-10-01",59.75,61.119999,59.599998,60.759998,6334000,59.192276
"2021-10-04",60.560001,61.610001,60.360001,60.529999,5305300,58.968212
"2021-10-05",60.93,61.68,60.490002,61.290001,5365100,59.708603
"2021-10-06",60.939999,61.5,60.18,61.450001,5037100,59.864475
"2021-10-07",62.009998,62.529999,61.610001,61.880001,5104900,60.283379
"2021-10-08",61.93,62.619999,61.650002,62.330002,4554500,60.721771
"2021-10-11",62.779999,63,61.830002,61.849998,3713300,60.25415
"2021-10-12",61.689999,62.139999,61.18,61.66,4108300,60.069054
"2021-10-13",61.48,61.639999,60.189999,61.459999,5000800,59.874214
"2021-10-14",60,60.330002,58.599998,60.080002,8490700,58.529823
"2021-10-15",60.240002,60.66,59.029999,60.23,9158100,58.675953
"2021-10-18",59.830002,60.939999,59.830002,60.580002,5212200,59.016922
"2021-10-19",60.869999,61.369999,60.650002,61.349998,3506800,59.767052
"2021-10-20",61.18,62.59,60.779999,62.580002,4806200,60.965321
"2021-10-21",62.57,62.790001,61.779999,62.18,4699000,60.575638
"2021-10-22",62.27,62.810001,61.889999,62.740002,5251100,61.121189
"2021-10-25",62.849998,63.009998,62.369999,62.52,3043600,60.906868
