"","SJM.Open","SJM.High","SJM.Low","SJM.Close","SJM.Volume","SJM.Adjusted"
"2021-05-24",135.639999,136.880005,135.199997,135.610001,577400,131.674118
"2021-05-25",135.470001,135.869995,133.899994,135.289993,661000,131.363388
"2021-05-26",134.940002,135.289993,134.160004,134.5,713300,130.596344
"2021-05-27",134.440002,135.190002,132.070007,132.520004,1677000,128.673798
"2021-05-28",132.820007,135.570007,132.660004,133.289993,1059900,129.421448
"2021-06-01",133.460007,134.710007,132.830002,133.509995,1048000,129.635056
"2021-06-02",133.509995,136.380005,133.149994,135.929993,1138300,131.984833
"2021-06-03",136.690002,139.449997,136.179993,137.880005,1535200,133.87825
"2021-06-04",138.669998,140.649994,137.740005,139.820007,988000,135.761948
"2021-06-07",139.800003,140.160004,136.559998,138.130005,899100,134.120972
"2021-06-08",138.130005,138.429993,136.050003,136.869995,984500,132.897537
"2021-06-09",135.740005,136.820007,134.729996,135.970001,1070400,132.023666
"2021-06-10",136.330002,136.669998,135.309998,135.679993,622600,131.742096
"2021-06-11",136.080002,136.350006,135.059998,136.240005,526100,132.285828
"2021-06-14",136.240005,136.240005,133.970001,136.100006,505200,132.149902
"2021-06-15",136.470001,136.470001,134.580002,134.779999,454200,130.868195
"2021-06-16",135.050003,135.399994,133.690002,133.779999,688200,129.897232
"2021-06-17",133.919998,134.25,132.309998,133.610001,835300,129.732162
"2021-06-18",133.130005,133.190002,130.130005,130.300003,1372800,126.518227
"2021-06-21",130.679993,131.679993,130.570007,131.119995,673200,127.31443
"2021-06-22",131.479996,132.039993,130.369995,130.520004,848100,126.73185
"2021-06-23",130,130.679993,129.059998,129.059998,612000,125.314217
"2021-06-24",128.570007,129.550003,127.25,128.570007,574800,124.838455
"2021-06-25",128.100006,129.789993,127.980003,129.419998,786100,125.663773
"2021-06-28",129.699997,131.240005,129.289993,130.839996,576500,127.042549
"2021-06-29",130.869995,131.729996,129.520004,130.139999,608200,126.362877
"2021-06-30",130.149994,131.389999,129.080002,129.570007,1303400,125.809425
"2021-07-01",129.350006,131.300003,129.100006,130.050003,552700,126.275505
