"","PLD.Open","PLD.High","PLD.Low","PLD.Close","PLD.Volume","PLD.Adjusted"
"2021-06-02",120.190002,121.849998,119.980003,121.739998,3934300,118.615471
"2021-06-03",121.75,122.160004,121.110001,121.870003,4006000,118.742142
"2021-06-04",122.360001,122.730003,121.470001,122.389999,2521400,119.248787
"2021-06-07",122.82,123.169998,122.400002,122.68,1688000,119.531342
"2021-06-08",123.120003,124.459999,122.75,123.660004,2564200,120.486191
"2021-06-09",124.110001,124.309998,123.18,123.610001,1538200,120.437477
"2021-06-10",123.550003,126.32,123.419998,126.279999,2550900,123.038948
"2021-06-11",126.18,126.18,123.900002,124.709999,2385300,121.509239
"2021-06-14",124.93,126.169998,124.43,126.160004,1977900,122.922028
"2021-06-15",125.330002,125.919998,123.050003,123.139999,2666500,120.581688
"2021-06-16",123.669998,124.220001,121.349998,121.419998,4271600,118.897423
"2021-06-17",121.150002,122.839996,121.099998,122.610001,3612600,120.062698
"2021-06-18",122.18,122.989998,119.419998,119.57,7018100,117.085861
"2021-06-21",119.959999,122.879997,119.5,122.589996,2745100,120.043106
"2021-06-22",122.400002,122.720001,121.699997,121.980003,2078400,119.445793
"2021-06-23",121.93,122.230003,121.029999,121.120003,2583600,118.603645
"2021-06-24",121.489998,121.830002,120.470001,121.269997,2340400,118.750534
"2021-06-25",121.050003,122.080002,120.589996,122,2075800,119.465363
"2021-06-28",122.470001,122.489998,120.610001,121.620003,1447000,119.093269
"2021-06-29",121.440002,122.699997,121.279999,121.449997,1743800,118.926796
"2021-06-30",121.089996,122.239998,119.43,119.529999,2910800,117.046692
"2021-07-01",119.540001,121.139999,119.150002,119.980003,3211500,117.487335
"2021-07-02",120.410004,121.790001,120.080002,121.029999,1789900,118.515518
"2021-07-06",121.260002,122.709999,120.25,122.540001,2864500,119.994148
"2021-07-07",122.639999,123.940002,121.82,123.290001,2980300,120.728569
"2021-07-08",122.639999,123.879997,122.5,123.110001,1927000,120.552307
"2021-07-09",123.470001,125.449997,122.940002,125.389999,2311200,122.78495
"2021-07-12",125.839996,127.82,125.830002,127.410004,2730500,124.762978
"2021-07-13",126.870003,127.290001,125.040001,125.610001,1811300,123.000374
"2021-07-14",125.470001,127.059998,125.230003,126.230003,2133000,123.607498
"2021-07-15",126.330002,127.410004,126.010002,126.93,1426900,124.292946
"2021-07-16",127.120003,128.759995,126.879997,127.279999,2633100,124.635674
"2021-07-19",127.07,128.570007,125.790001,126.779999,2878200,124.146057
"2021-07-20",127.879997,128.869995,126.949997,127.989998,2453100,125.330917
"2021-07-21",127.769997,128.199997,126.440002,126.900002,1863500,124.263573
"2021-07-22",126.690002,127.370003,126.309998,127.169998,1448900,124.527954
"2021-07-23",127.620003,128.089996,126.669998,127.889999,1496400,125.233002
"2021-07-26",127.440002,128.059998,127.019997,127.980003,1874500,125.321129
"2021-07-27",127.599998,129.350006,127.190002,129.190002,1631900,126.505997
"2021-07-28",129.130005,129.130005,127.169998,127.629997,1914300,124.978401
"2021-07-29",127.949997,128.429993,127.360001,127.889999,1330200,125.233002
"2021-07-30",128.160004,129.490005,127.889999,128.039993,2156500,125.379875
"2021-08-02",128.720001,129.600006,128.050003,128.460007,2059100,125.791168
"2021-08-03",129.070007,129.679993,128.119995,129.669998,1888600,126.976028
"2021-08-04",129.75,130.169998,128.5,128.899994,1854300,126.222008
"2021-08-05",129.550003,130.520004,128.809998,130.449997,1662100,127.739807
"2021-08-06",129.910004,130.449997,128.800003,129.710007,3207800,127.01519
"2021-08-09",129.770004,130.169998,129.119995,130.009995,1055600,127.308945
"2021-08-10",130.009995,130.190002,128.75,129.350006,2259300,126.662674
"2021-08-11",130.070007,130.309998,128.429993,128.899994,2527300,126.222008
"2021-08-12",129.380005,130.169998,128.559998,130.070007,1422000,127.367714
"2021-08-13",130.330002,132.080002,129.899994,131.979996,1557600,129.238022
"2021-08-16",132.179993,133.910004,132.009995,133.690002,2972200,130.912491
"2021-08-17",133.339996,134.190002,133.029999,134.080002,2541600,131.294403
"2021-08-18",134.029999,134.490005,131.960007,132.5,2719300,129.747223
"2021-08-19",132.039993,133.350006,131.880005,133.149994,1473800,130.383713
"2021-08-20",133.100006,134.660004,131.979996,134.25,2488600,131.460876
"2021-08-23",134.149994,134.699997,133.130005,133.389999,1583500,130.618729
"2021-08-24",133.389999,133.429993,130.660004,130.75,1986600,128.033585
"2021-08-25",130.529999,131.320007,129.690002,130.529999,2242200,127.818146
"2021-08-26",130.720001,131.199997,129.669998,130.619995,2526400,127.906288
"2021-08-27",131.449997,131.570007,130.559998,131.309998,1646100,128.581955
"2021-08-30",131.309998,133.889999,131.279999,133.729996,1491800,130.951675
"2021-08-31",133.690002,135.029999,132.770004,134.660004,2890900,131.862335
"2021-09-01",135,138.070007,134.580002,137.789993,3575500,134.927322
"2021-09-02",137.75,138.649994,136.880005,138.470001,2758800,135.593201
"2021-09-03",138.039993,139.330002,136.610001,138.990005,2520000,136.102386
"2021-09-07",138.210007,138.389999,135.949997,137.649994,2737500,134.790222
"2021-09-08",137.220001,139.600006,136.869995,138.539993,2030700,135.661728
"2021-09-09",137.600006,138,134.690002,134.720001,2566600,131.921112
"2021-09-10",135.130005,135.339996,133.520004,133.630005,1963500,130.85376
"2021-09-13",134.770004,134.949997,132.610001,132.779999,1713800,130.021393
"2021-09-14",133.25,133.669998,131.720001,132.550003,1781400,129.796188
"2021-09-15",133.009995,134.300003,132.059998,133.289993,2223700,130.520813
"2021-09-16",132.660004,133.720001,131.619995,132.580002,2126400,130.442108
"2021-09-17",131.369995,132.139999,129.770004,130.110001,8745900,128.011932
"2021-09-20",128.960007,130.270004,127.699997,129.059998,2159500,126.978859
"2021-09-21",129.630005,130.839996,128.809998,128.850006,1793900,126.772247
"2021-09-22",129.589996,130.580002,128.899994,130.009995,2840600,127.913528
"2021-09-23",129.850006,130.169998,128.830002,128.839996,2275200,126.762405
"2021-09-24",128.75,129.190002,127.459999,127.900002,2092800,125.83757
"2021-09-27",127.260002,128.520004,126.089996,126.190002,2126900,124.155144
"2021-09-28",125.25,126.160004,123.900002,125.580002,3054100,123.554977
"2021-09-29",126.080002,127.300003,125.889999,126.440002,1608200,124.401115
"2021-09-30",127.199997,127.68,125.360001,125.43,3214000,123.407394
"2021-10-01",125.709999,127.349998,124.209999,126.43,1708700,124.391273
"2021-10-04",125.830002,127.209999,125.260002,126.830002,2061900,124.784821
"2021-10-05",127.199997,127.599998,125.769997,126.43,1924300,124.391273
"2021-10-06",126.160004,127.830002,124.5,127.790001,2242600,125.729347
"2021-10-07",128.830002,131.080002,128.830002,129.380005,2559200,127.293701
"2021-10-08",128.960007,129.240005,128.300003,128.529999,1403400,126.457405
"2021-10-11",128,129.179993,127.279999,128.940002,1468600,126.860794
"2021-10-12",129.330002,132.960007,128.839996,132.289993,2700100,130.156784
"2021-10-13",132.039993,134.169998,131.820007,133.899994,2165400,131.740814
"2021-10-14",134.100006,136.029999,133.809998,135.729996,1997400,133.541306
"2021-10-15",138.559998,139.080002,135.860001,136.979996,3509000,134.771149
"2021-10-18",136.860001,140.809998,136.259995,139.789993,2614700,137.535828
"2021-10-19",139.990005,140.160004,138.770004,139.119995,1843500,136.876648
"2021-10-20",139.940002,143.449997,139.149994,143.419998,2646500,141.1073
