"","PHM.Open","PHM.High","PHM.Low","PHM.Close","PHM.Volume","PHM.Adjusted"
"2021-11-17",51.459999,52.459999,51.07,52.360001,2592000,51.871178
"2021-11-18",52.5,52.66,51.619999,51.740002,1716600,51.256973
"2021-11-19",51.900002,53.709999,51.860001,52.25,3572000,51.762203
"2021-11-22",52.540001,52.93,51.68,52.419998,1953900,51.930618
"2021-11-23",52.259998,53.029999,51.860001,52.900002,1431000,52.406139
"2021-11-24",52.849998,53.25,52.299999,52.650002,1469000,52.158474
"2021-11-26",51.599998,52.52,50.860001,51.59,1516600,51.108368
"2021-11-29",51.759998,52.189999,51.029999,51.509998,1822500,51.029114
"2021-11-30",51.130001,52.169998,49.759998,50.029999,3505500,49.562927
"2021-12-01",50.799999,51.790001,50.060001,50.07,2579100,49.602558
"2021-12-02",51.209999,52.73,50.369999,52.490002,2947600,51.999969
"2021-12-03",52.73,53.029999,51.720001,52.09,2713500,51.603699
"2021-12-06",52.790001,54.119999,52.34,53.970001,3480300,53.466148
"2021-12-07",54.470001,55.279999,53.889999,54.669998,2323900,54.159615
"2021-12-08",55.009998,55.549999,54.669998,55.369999,2427100,54.853077
"2021-12-09",55.419998,56.470001,55.07,55.369999,2265900,54.853077
"2021-12-10",55.740002,56.27,55.419998,56.220001,2111000,55.695145
"2021-12-13",56.360001,56.740002,54.650002,54.990002,1982500,54.476627
"2021-12-14",54.200001,54.32,53.23,53.860001,2514300,53.50312
"2021-12-15",54.07,55.380001,53.77,55.32,2570300,54.953442
"2021-12-16",54.639999,55.16,53.84,53.990002,2621100,53.632259
"2021-12-17",53.75,53.950001,52.360001,52.98,5114800,52.628948
"2021-12-20",52.43,52.459999,50.860001,51.48,2055900,51.138885
"2021-12-21",51.400002,53.009998,51.400002,52.990002,1482500,52.638885
"2021-12-22",53.09,54.57,52.93,54.540001,1524700,54.178616
"2021-12-23",54.990002,55.119999,54.580002,54.650002,1080100,54.287884
"2021-12-27",54.91,55.389999,54.509998,55.380001,1154200,55.01305
"2021-12-28",55.389999,56.43,55.360001,56.279999,1368000,55.907085
"2021-12-29",56.27,57.779999,56.099998,57.650002,3453700,57.268005
"2021-12-30",57.639999,58,56.540001,56.650002,1582000,56.274632
"2021-12-31",56.790001,57.380001,56.389999,57.16,905100,56.781254
"2022-01-03",57.330002,57.560001,55.799999,56.09,1916100,55.718346
"2022-01-04",56.540001,57.07,56.380001,56.91,2157100,56.532909
"2022-01-05",56.860001,57.939999,56.029999,56.110001,2249100,55.738213
"2022-01-06",56.16,56.16,54.759998,55.029999,2259000,54.665363
"2022-01-07",54.970001,54.970001,52.259998,52.279999,3247800,51.933586
"2022-01-10",51.599998,53.049999,50.990002,53,2378200,52.648819
