"","ALGN.Open","ALGN.High","ALGN.Low","ALGN.Close","ALGN.Volume","ALGN.Adjusted"
"2021-10-22",599,600.150024,586.900024,590.559998,877200,590.559998
"2021-10-25",590,597,583.650024,589.809998,1110100,589.809998
"2021-10-26",594.659973,603.340027,586.799988,593.299988,793800,593.299988
"2021-10-27",591.280029,615.25,583.380005,604.390015,1577900,604.390015
"2021-10-28",658.390015,662,607.280029,631.799988,1927900,631.799988
"2021-10-29",629.179993,629.179993,619.700012,624.369995,987100,624.369995
"2021-11-01",631.5,667.099976,631.5,661.460022,1246000,661.460022
"2021-11-02",663,678.719971,649.190002,667.059998,606900,667.059998
"2021-11-03",667.059998,675.75,657.869995,673.609985,426000,673.609985
"2021-11-04",673.460022,680.789978,670.869995,679.26001,355200,679.26001
"2021-11-05",680.400024,687.27002,675.429993,687.190002,383000,687.190002
"2021-11-08",690.469971,711.609985,682.880005,710.869995,876900,710.869995
"2021-11-09",711.179993,713.330017,699.47998,711.02002,779500,711.02002
"2021-11-10",702.169983,709.97998,687.099976,689.609985,645300,689.609985
"2021-11-11",696.98999,697.890015,681.659973,685.909973,340000,685.909973
"2021-11-12",688.98999,693.340027,686.309998,687.799988,250200,687.799988
"2021-11-15",692.059998,692.059998,674.51001,680.190002,325100,680.190002
"2021-11-16",682.419983,691.950012,679,689.059998,329500,689.059998
"2021-11-17",689.059998,698.809998,680.340027,692.320007,348900,692.320007
"2021-11-18",692.539978,695.940002,677.960022,683.830017,322200,683.830017
"2021-11-19",685.549988,691.960022,679.179993,683.289978,433500,683.289978
"2021-11-22",678.340027,682.97998,665.359985,669.679993,463300,669.679993
"2021-11-23",665.969971,666.469971,650.400024,657.26001,419800,657.26001
"2021-11-24",653.159973,657.73999,642.549988,653.200012,528000,653.200012
"2021-11-26",653.200012,654.150024,627,634.219971,444500,634.219971
"2021-11-29",636.859985,642.140015,629.539978,634.469971,537200,634.469971
"2021-11-30",632.609985,638.940002,607.469971,611.530029,972800,611.530029
"2021-12-01",622.919983,624,601.72998,602.289978,486000,602.289978
"2021-12-02",602.799988,628.72998,595.070007,624.929993,732900,624.929993
"2021-12-03",629.359985,632.570007,605.48999,619.75,536100,619.75
"2021-12-06",622,641.280029,615,638.919983,470800,638.919983
"2021-12-07",649.159973,675.210022,648.659973,666.719971,581500,666.719971
"2021-12-08",670.27002,676.940002,663.669983,675.219971,303700,675.219971
"2021-12-09",670,688.599976,670,673.590027,354900,673.590027
"2021-12-10",672.559998,683.830017,660.590027,668.119995,394400,668.119995
"2021-12-13",665.719971,666.5,628.77002,629.909973,527800,629.909973
"2021-12-14",620.200012,631.820007,598.919983,605.72998,668800,605.72998
"2021-12-15",605.72998,610.200012,591.059998,602.01001,1132300,602.01001
"2021-12-16",610.01001,611.320007,592.409973,595.059998,830100,595.059998
"2021-12-17",592.469971,619,586.909973,609.059998,1006600,609.059998
"2021-12-20",597.830017,599.950012,581.289978,593.940002,544000,593.940002
"2021-12-21",601.47998,630.840027,599.869995,628.719971,550700,628.719971
"2021-12-22",623.200012,646.599976,616.869995,645.890015,377800,645.890015
"2021-12-23",648.280029,663.609985,647.210022,653.97998,387400,653.97998
"2021-12-27",656.719971,663.619995,651.789978,661.070007,257300,661.070007
"2021-12-28",667.469971,668.820007,652.330017,656.369995,269100,656.369995
"2021-12-29",649.919983,660,649.919983,653.340027,231800,653.340027
"2021-12-30",658.570007,671.01001,656.440002,662.219971,261200,662.219971
"2021-12-31",659.469971,674.890015,655.619995,657.179993,464300,657.179993
"2022-01-03",656.299988,658.5,641.119995,648.049988,428200,648.049988
"2022-01-04",645.859985,652.190002,617.369995,623.5,552000,623.5
"2022-01-05",616.950012,621.039978,578.25,578.840027,980000,578.840027
"2022-01-06",575.47998,587.48999,563.599976,567.619995,1149400,567.619995
"2022-01-07",567.130005,567.130005,545.859985,546.98999,1190500,546.98999
"2022-01-10",533.02002,549.559998,524.340027,548.909973,1388400,548.909973
"2022-01-11",547.450012,561.559998,535.320007,559.640015,1048000,559.640015
"2022-01-12",562.23999,562.26001,534.52002,539.469971,841200,539.469971
"2022-01-13",542.669983,547.969971,523.01001,524.780029,914000,524.780029
"2022-01-14",519.929993,529.409973,510.829987,524.630005,809500,524.630005
"2022-01-18",509.25,511.98999,487.5,489.559998,1390900,489.559998
"2022-01-19",491.790009,506.98999,486.109985,497.589996,1352800,497.589996
"2022-01-20",502.269989,518.409973,489.799988,490.709991,710500,490.709991
