"","TRV.Open","TRV.High","TRV.Low","TRV.Close","TRV.Volume","TRV.Adjusted"
"2021-11-08",160.210007,160.880005,158.610001,158.699997,937400,156.137375
"2021-11-09",158.119995,159,157.270004,157.399994,1000700,154.858368
"2021-11-10",157.679993,160.580002,157.330002,158.220001,909800,155.665115
"2021-11-11",157.699997,158.289993,157.240005,157.830002,856000,155.281433
"2021-11-12",157.979996,158.449997,156.940002,157.419998,985900,154.878036
"2021-11-15",158.009995,159.089996,157.380005,158.059998,1170000,155.507721
"2021-11-16",158.639999,160.320007,158.460007,158.990005,1452200,156.422699
"2021-11-17",158.550003,158.550003,156.160004,156.419998,1594400,153.89418
"2021-11-18",156.800003,157.809998,155.940002,156.029999,2103800,153.510498
"2021-11-19",155.210007,155.369995,152.470001,152.529999,1619800,150.067001
"2021-11-22",153.110001,158.100006,152.179993,156.869995,2021000,154.336914
"2021-11-23",158.539993,161.470001,157.529999,160.259995,1441800,157.67218
"2021-11-24",160.169998,160.809998,158.860001,158.970001,1139700,156.403015
"2021-11-26",154.399994,155.130005,151.559998,153.660004,1262500,151.178772
"2021-11-29",155.330002,155.330002,151.809998,152.399994,1468100,149.939102
"2021-11-30",150.520004,150.979996,146.539993,146.949997,3522700,144.577118
"2021-12-01",149.770004,151.270004,145.399994,145.479996,1624800,143.130844
"2021-12-02",146.699997,150.770004,146.270004,150.160004,1413500,147.735291
"2021-12-03",150.020004,150.949997,147.699997,149.160004,1380500,146.751419
"2021-12-06",150.429993,153.020004,150.339996,151.820007,1717600,149.368484
"2021-12-07",152.339996,153.490005,151.800003,153.089996,1175800,150.617966
"2021-12-08",153.300003,154.490005,152.550003,153.679993,1144600,151.198441
"2021-12-09",152.679993,154.479996,151.940002,153.490005,1064700,151.88121
"2021-12-10",154.520004,154.809998,153.360001,154.25,940100,152.63324
"2021-12-13",154.389999,154.460007,152.470001,153.179993,1106100,151.574432
"2021-12-14",153.470001,158.220001,153.210007,156.729996,2033100,155.087234
"2021-12-15",156.839996,159.059998,155.350006,158.369995,1648900,156.710052
"2021-12-16",160.029999,163,159.089996,162.020004,2574800,160.321793
"2021-12-17",161.820007,161.820007,158.020004,158.190002,3434600,156.531937
"2021-12-20",156.289993,156.440002,151.970001,153.529999,1811800,151.920776
"2021-12-21",154.460007,157.220001,154.460007,155.520004,1029800,153.889923
"2021-12-22",155.479996,156.039993,154.460007,154.690002,951700,153.068619
"2021-12-23",154.990005,156.179993,154.490005,154.649994,1715000,153.029037
"2021-12-27",154.509995,156.100006,153.440002,156.039993,655100,154.404465
"2021-12-28",156.029999,157.740005,156.029999,157.119995,914500,155.47316
"2021-12-29",157.649994,158,157.119995,157.5,683400,155.849167
"2021-12-30",157.860001,158.419998,156.710007,156.809998,420400,155.166397
"2021-12-31",156.529999,157.110001,156.110001,156.429993,682400,154.79039
"2022-01-03",156.919998,157.240005,154.929993,155.75,1103400,154.117508
