"","AME.Open","AME.High","AME.Low","AME.Close","AME.Volume","AME.Adjusted"
"2021-01-05",117.919998,119.910004,117.919998,119.199997,837400,118.062134
"2021-01-06",120.459999,125.260002,120.459999,124.25,848400,123.063942
"2021-01-07",124.959999,125.809998,123.43,124.400002,734900,123.212517
"2021-01-08",125.029999,125.32,122.050003,123.540001,675300,122.360718
"2021-01-11",122.010002,124.93,121.919998,124.150002,640000,122.964897
"2021-01-12",124.07,124.830002,123.300003,124.120003,640100,122.935188
"2021-01-13",123.889999,123.980003,121.339996,121.440002,660800,120.280769
"2021-01-14",121.610001,121.839996,120.019997,120.720001,679700,119.567635
"2021-01-15",119.720001,119.720001,116.900002,119,1241900,117.864052
"2021-01-19",120.190002,121.07,118.459999,118.949997,814900,117.814529
"2021-01-20",119.370003,120.669998,118.650002,120.110001,731600,118.963455
"2021-01-21",120.269997,121.519997,119.279999,119.480003,758100,118.339478
"2021-01-22",119,119.650002,116.910004,117.349998,974800,116.229805
"2021-01-25",116.599998,117,114.43,116.349998,1041800,115.239349
"2021-01-26",117.160004,117.419998,113.239998,113.300003,930300,112.218475
"2021-01-27",111.699997,112.010002,106.959999,111.059998,2026000,109.99984
"2021-01-28",112.489998,116,111.75,114.779999,1323800,113.684341
"2021-01-29",113.769997,115.389999,112.529999,113.260002,1505500,112.178856
"2021-02-01",114,115.110001,112.690002,114.879997,1177000,113.783371
"2021-02-02",116.440002,117.160004,115.629997,116.489998,836500,115.378014
"2021-02-03",116.150002,116.779999,115.419998,116.529999,956100,115.417633
"2021-02-04",117.519997,119.57,115.669998,117.150002,2128900,116.031715
"2021-02-05",117.410004,118.800003,116.849998,117,2011100,115.883133
"2021-02-08",117.839996,120.120003,117.68,119.889999,1291200,118.74556
"2021-02-09",120,122.110001,119.480003,120.910004,1397100,119.755829
"2021-02-10",121.349998,121.349998,119.68,120.480003,983100,119.329933
"2021-02-11",121.529999,122,120,121.650002,739000,120.488754
"2021-02-12",121.07,122.019997,120.389999,121.75,630800,120.587799
"2021-02-16",122.480003,122.599998,120.620003,121.230003,632100,120.072769
"2021-02-17",120.629997,121.260002,119.629997,120.209999,848200,119.0625
"2021-02-18",119.730003,119.93,117.959999,118.949997,810300,117.814529
"2021-02-19",119.779999,122.300003,119.389999,120.860001,863600,119.706299
"2021-02-22",120.25,120.879997,119,120.139999,762700,118.993172
"2021-02-23",119.610001,120.550003,118.07,119.940002,1300700,118.795082
"2021-02-24",120.519997,123.699997,119.919998,123.010002,816000,121.835777
"2021-02-25",123.129997,123.849998,119.68,120.300003,859500,119.151649
"2021-02-26",120.919998,120.919998,117.800003,117.970001,1426100,116.843895
"2021-03-01",119.529999,123.059998,119.529999,122.279999,828400,121.112747
"2021-03-02",122.529999,122.949997,121.82,122.389999,717300,121.221695
"2021-03-03",122.019997,124,121.809998,122.480003,839200,121.310837
