"","LUV.Open","LUV.High","LUV.Low","LUV.Close","LUV.Volume","LUV.Adjusted"
"2021-08-26",50.93,51.299999,49.830002,50.27,5779400,50.27
"2021-08-27",50.310001,51.34,50.310001,50.880001,5940900,50.880001
"2021-08-30",51.029999,51.130001,49.110001,49.169998,6216300,49.169998
"2021-08-31",49.02,50.029999,48.889999,49.779999,6431200,49.779999
"2021-09-01",50,50.110001,49.419998,49.549999,4509200,49.549999
"2021-09-02",49.560001,50.16,49.040001,49.599998,4966700,49.599998
"2021-09-03",49.34,49.82,48.669998,48.860001,5201800,48.860001
"2021-09-07",48.360001,48.740002,47.990002,48.529999,6474400,48.529999
"2021-09-08",48.759998,49.380001,48.09,48.119999,4901900,48.119999
"2021-09-09",47.91,50.189999,47.82,49.23,7098200,49.23
"2021-09-10",49.380001,49.419998,47.869999,47.900002,6585100,47.900002
"2021-09-13",48.529999,49.07,47.490002,48.73,5511900,48.73
"2021-09-14",48.529999,48.959999,47.73,48.029999,4827500,48.029999
"2021-09-15",48.099998,48.490002,47.34,48.459999,4800100,48.459999
"2021-09-16",48.880001,49.52,48.599998,49.119999,5701300,49.119999
"2021-09-17",49.389999,49.830002,48.57,49.080002,7289500,49.080002
"2021-09-20",48.830002,49.639999,47.919998,49.580002,7771200,49.580002
"2021-09-21",49.799999,50.310001,48.810001,49.150002,7660400,49.150002
"2021-09-22",49.369999,51.23,49.369999,50.650002,9763600,50.650002
"2021-09-23",51.23,52.790001,51.049999,52.32,10282400,52.32
"2021-09-24",52.400002,53.200001,52.23,52.849998,7030200,52.849998
"2021-09-27",53.5,54.400002,52.84,52.959999,8380100,52.959999
"2021-09-28",52.91,53.619999,52.57,53.049999,6898900,53.049999
"2021-09-29",53.200001,53.369999,52.41,52.540001,4848800,52.540001
"2021-09-30",52.200001,52.25,50.880001,51.43,6404600,51.43
"2021-10-01",53.77,54.709999,52.709999,54.349998,12554000,54.349998
"2021-10-04",55.720001,56.330002,54.799999,55.060001,11905900,55.060001
"2021-10-05",54.939999,55.490002,54.380001,54.470001,5505200,54.470001
"2021-10-06",53.57,54.5,52.919998,54.450001,6351600,54.450001
"2021-10-07",54.889999,54.98,54.009998,54.040001,5066200,54.040001
"2021-10-08",54.290001,54.369999,53.52,53.919998,3220100,53.919998
"2021-10-11",51.990002,53.330002,51.599998,51.669998,15630900,51.669998
"2021-10-12",51.73,52.459999,51.369999,52.18,8399400,52.18
