"","CDAY.Open","CDAY.High","CDAY.Low","CDAY.Close","CDAY.Volume","CDAY.Adjusted"
"2021-03-30",80.709999,82.120003,79.260002,81.910004,602300,81.910004
"2021-03-31",83.269997,85.959999,82.565002,84.269997,950200,84.269997
"2021-04-01",86.080002,87,84.055,84.580002,697100,84.580002
"2021-04-05",85.389999,87.129997,84.139999,87,1519500,87
"2021-04-06",86.360001,87.870003,85.330002,86.559998,2053500,86.559998
"2021-04-07",86.089996,87.080002,84.769997,86.510002,963300,86.510002
"2021-04-08",87.669998,89.470001,86.75,89.400002,1176100,89.400002
"2021-04-09",88.089996,89.779999,87.580002,89.660004,537700,89.660004
"2021-04-12",89.029999,91.120003,88.535004,90.830002,650800,90.830002
"2021-04-13",92,93.080002,91.330002,92.629997,514600,92.629997
"2021-04-14",93.150002,94.510002,91.519997,91.75,999400,91.75
"2021-04-15",92.629997,95.449997,92.629997,95.029999,676100,95.029999
"2021-04-16",95.019997,95.480003,93.470001,93.940002,374800,93.940002
"2021-04-19",93.190002,94.650002,91.029999,92.139999,751700,92.139999
"2021-04-20",92.279999,93.5,90.029999,91.050003,352900,91.050003
"2021-04-21",90.919998,93.279999,90.849998,92.980003,526100,92.980003
"2021-04-22",93.07,95.239998,92.635002,93.550003,323100,93.550003
"2021-04-23",95.599998,95.75,94.050003,94.220001,1019900,94.220001
"2021-04-26",94,95.255997,92.620003,94.629997,1102300,94.629997
"2021-04-27",94.470001,96.239998,93.839996,96.150002,1096000,96.150002
"2021-04-28",96.300003,98.57,95.099998,98.230003,629900,98.230003
"2021-04-29",99,99.279999,95.769997,97.139999,546700,97.139999
"2021-04-30",96.379997,97.610001,94.18,94.480003,951500,94.480003
"2021-05-03",95.550003,96.540001,92.974998,93.07,937800,93.07
"2021-05-04",92.5,93.459999,88.650002,89.769997,1095200,89.769997
"2021-05-05",90.599998,91.709999,88.349998,89.099998,1660600,89.099998
"2021-05-06",91,92.540001,84.050003,88.809998,2301200,88.809998
"2021-05-07",89.5,90.910004,86.800003,87.400002,1224900,87.400002
"2021-05-10",84.800003,86.919998,83.440002,83.93,1300900,83.93
"2021-05-11",81.360001,87.785004,81,86.809998,1225100,86.809998
"2021-05-12",84.870003,86.379997,83.800003,83.900002,796300,83.900002
"2021-05-13",84.629997,85.870003,83.059998,85.099998,721200,85.099998
"2021-05-14",86.029999,89.019997,84.510002,88.309998,725300,88.309998
"2021-05-17",87.529999,88.07,86,87.839996,662900,87.839996
"2021-05-18",88.599998,89.980003,87.300003,88.199997,730300,88.199997
"2021-05-19",85.970001,88,85.150002,87.089996,1118200,87.089996
"2021-05-20",87.279999,89.57,86.860001,89.139999,727700,89.139999
"2021-05-21",89.400002,89.650002,86.959999,87.830002,993800,87.830002
"2021-05-24",89.169998,89.93,88.43,89.300003,559100,89.300003
"2021-05-25",90,90.260002,88.129997,88.370003,648000,88.370003
"2021-05-26",89.300003,90.150002,88.620003,89.629997,800200,89.629997
"2021-05-27",89.550003,89.910004,87.379997,89.580002,1146900,89.580002
"2021-05-28",90.5,90.5,89.209999,89.459999,605100,89.459999
"2021-06-01",89.269997,89.790001,87.589996,88.540001,658500,88.540001
"2021-06-02",88.519997,89.059998,86.830002,87.029999,662900,87.029999
"2021-06-03",86.059998,87.029999,84.269997,84.739998,939900,84.739998
"2021-06-04",85.019997,86.459999,85.019997,86.43,580300,86.43
