"","COF.Open","COF.High","COF.Low","COF.Close","COF.Volume","COF.Adjusted"
"2021-03-02",123.5,124.709999,122.870003,123.459999,2486600,120.670303
"2021-03-03",124.339996,127.050003,124.339996,125.410004,3043800,122.576241
"2021-03-04",124.43,126.190002,122,125.940002,4583700,123.094254
"2021-03-05",127.300003,128.449997,120.779999,127.699997,4443000,124.814491
"2021-03-08",128.699997,130.639999,127.900002,128.690002,2684200,125.782127
"2021-03-09",127.18,129.139999,125.510002,126.300003,2564100,123.446129
"2021-03-10",127.25,130.039993,126.919998,129.529999,2068600,126.603142
"2021-03-11",128.830002,132.610001,128.720001,132.100006,2296100,129.115097
"2021-03-12",133.949997,134.699997,131.649994,132.550003,2217400,129.554916
"2021-03-15",132.5,132.729996,128.800003,132.600006,3208100,129.603775
"2021-03-16",131.509995,131.669998,128.119995,128.490005,3221700,125.586647
"2021-03-17",129.940002,131.679993,127.279999,131.649994,2840800,128.675247
"2021-03-18",132.289993,133.580002,127.639999,128.309998,2443800,125.410698
"2021-03-19",127.379997,128.070007,123.949997,126.43,3318700,123.573189
"2021-03-22",125.480003,126.419998,124.389999,125.220001,2090400,122.390533
"2021-03-23",123.949997,125.330002,121.209999,122.410004,3862500,119.644035
"2021-03-24",124.290001,126.410004,123.529999,123.910004,2096700,121.110138
"2021-03-25",123.370003,128.130005,121.440002,127.870003,2716500,124.980652
"2021-03-26",129.860001,130.490005,126.57,129.589996,2864900,126.661781
"2021-03-29",127.660004,128.399994,124.949997,126.489998,2128500,123.631828
"2021-03-30",127.220001,128.850006,126.459999,128.559998,2732400,125.65506
"2021-03-31",128.220001,129.470001,126.910004,127.230003,2389100,124.355118
"2021-04-01",128.410004,130.770004,128.210007,129.779999,2589000,126.847496
"2021-04-05",131.360001,133.740005,131,132.600006,2583100,129.603775
"2021-04-06",132.100006,132.979996,131.050003,132.029999,2264500,129.046646
"2021-04-07",133.089996,134.350006,132.490005,132.970001,1805900,129.965408
"2021-04-08",131.380005,133.320007,129.889999,132.729996,2193500,129.730835
"2021-04-09",134,134.449997,132.410004,134.169998,2107200,131.13829
"2021-04-12",133.720001,134.630005,132.869995,134.240005,2384600,131.206726
"2021-04-13",133.630005,133.800003,131.380005,132.669998,2335600,129.672195
"2021-04-14",132.539993,136.449997,132.320007,135.770004,2924400,132.702148
"2021-04-15",136.070007,136.080002,132.850006,134.869995,3432600,131.822479
"2021-04-16",136.039993,137.75,135.259995,136.679993,2888900,133.591583
"2021-04-19",135.919998,136.259995,133.889999,135.410004,2383900,132.350296
"2021-04-20",134.339996,134.559998,129.979996,131.5,2459000,128.528641
"2021-04-21",130.320007,133.419998,127.800003,132.910004,3035000,129.906754
"2021-04-22",133.550003,134.740005,132.229996,133,2305200,129.99472
"2021-04-23",132.589996,136.229996,131.380005,135.679993,2531200,132.614166
"2021-04-26",137,139.940002,136.809998,138.289993,2169600,135.165207
"2021-04-27",138.610001,139.539993,138.039993,138.949997,3486700,135.810287
"2021-04-28",143,147.039993,142,144.360001,4601700,141.098053
"2021-04-29",146.009995,149.669998,145.710007,149.229996,3349500,145.858002
"2021-04-30",148.130005,150.009995,147.779999,149.080002,3817300,145.711395
"2021-05-03",151.070007,151.839996,148.529999,149.919998,2636400,146.53241
"2021-05-04",148.889999,152.380005,147.800003,152.020004,4227200,148.584961
"2021-05-05",152.820007,154.470001,151.449997,153.600006,3118700,150.129288
"2021-05-06",155,156.509995,152.509995,156.440002,3664300,152.90509
"2021-05-07",153.679993,157.979996,153.229996,157.710007,2480700,154.146393
"2021-05-10",159.139999,160.369995,157.300003,157.380005,3298300,153.823868
"2021-05-11",154.809998,156.929993,153.259995,154.759995,4332000,151.263046
"2021-05-12",155.899994,156.779999,152.300003,152.970001,3298000,149.513489
"2021-05-13",152.240005,157.210007,152,156.289993,2952900,152.758469
"2021-05-14",156.979996,159.259995,156.820007,158.110001,2855700,154.933884
"2021-05-17",158.029999,160.479996,157.570007,159.899994,2229500,156.687927
"2021-05-18",159.289993,160.850006,156.830002,156.910004,2247700,153.75798
"2021-05-19",154.119995,157.339996,152.860001,157.149994,3298100,153.993149
"2021-05-20",157.639999,159.009995,155.639999,157.809998,2893400,154.639908
"2021-05-21",158.589996,162.330002,158.389999,159.050003,3552000,155.855011
"2021-05-24",159.990005,161.679993,159.339996,160.740005,2087700,157.511063
"2021-05-25",161.470001,162.479996,158.130005,158.220001,2670200,155.041672
"2021-05-26",159.320007,160.5,157.979996,159.839996,3143500,156.62912
"2021-05-27",161.850006,162.75,160.339996,161.789993,3488600,158.539963
"2021-05-28",161.830002,162.240005,159.220001,160.779999,3365300,157.550247
"2021-06-01",165.270004,166.630005,163.740005,166.25,4188000,162.91037
"2021-06-02",167,167.399994,164.970001,165.919998,3099400,162.58699
"2021-06-03",165.059998,167.339996,164.309998,166.289993,2513400,162.949554
"2021-06-04",167.070007,168,165.029999,166.259995,2886600,162.920166
"2021-06-07",163.5,165.309998,162.589996,163.550003,3223800,160.264618
"2021-06-08",162.699997,163.839996,161.039993,162.729996,3513500,159.461075
"2021-06-09",162.600006,162.619995,159.300003,160.600006,3284500,157.373856
"2021-06-10",162.990005,163.860001,158.600006,158.740005,3710600,155.551254
"2021-06-11",159.199997,160.690002,159.100006,160.649994,3826800,157.422852
