"","AIZ.Open","AIZ.High","AIZ.Low","AIZ.Close","AIZ.Volume","AIZ.Adjusted"
"2020-12-24",132.550003,132.850006,131.850006,132.619995,86700,129.267319
"2020-12-28",132.990005,134.039993,132.5,133.380005,188300,130.008118
"2020-12-29",133.889999,133.889999,132.009995,132.529999,204500,129.179596
"2020-12-30",132.429993,134.529999,132.429993,134.029999,210900,130.641678
"2020-12-31",134.460007,136.399994,133.869995,136.220001,233100,132.776321
"2021-01-04",136.210007,136.589996,131.050003,132.110001,395700,128.770233
"2021-01-05",132.360001,133.449997,131,132.149994,258700,128.809219
"2021-01-06",133.649994,138.889999,133.199997,137.949997,371300,134.46257
"2021-01-07",138.479996,140.75,138.220001,139.339996,381000,135.817459
"2021-01-08",139.389999,139.389999,136.529999,138.610001,188700,135.105896
"2021-01-11",137.330002,138.899994,137.279999,137.809998,183200,134.326111
"2021-01-12",139.240005,141.320007,138.869995,141.169998,353400,137.601181
"2021-01-13",140.710007,141.479996,139.75,140.350006,333800,136.801926
"2021-01-14",140.300003,141.160004,138.589996,139.130005,328100,135.612762
"2021-01-15",138.009995,140.190002,137.529999,140.169998,306100,136.626465
"2021-01-19",141.389999,143.369995,140.179993,142.979996,321400,139.365417
"2021-01-20",142.440002,143.669998,141.960007,142.009995,277200,138.419937
"2021-01-21",141.660004,142.600006,137.130005,137.710007,262100,134.228668
"2021-01-22",136.880005,137.470001,134.720001,134.899994,305300,131.489685
"2021-01-25",133.690002,134.880005,132.460007,132.729996,340100,129.374542
"2021-01-26",133.470001,133.830002,129.259995,130.470001,455900,127.171684
"2021-01-27",129.649994,131.399994,128,130.789993,626100,127.483582
"2021-01-28",131.960007,134.979996,131.539993,133.5,452900,130.125076
"2021-01-29",132.940002,136.039993,132.419998,135.470001,632600,132.045273
"2021-02-01",135.830002,136.130005,130.259995,134.490005,673100,131.090057
"2021-02-02",136.050003,136.289993,133.380005,133.509995,697200,130.134827
"2021-02-03",133.5,134.5,131.589996,133.25,409300,129.881409
"2021-02-04",134.080002,136.059998,131.070007,131.880005,783300,128.546036
"2021-02-05",132.729996,134.619995,131.570007,134.360001,558600,130.963348
"2021-02-08",134.809998,135.759995,134.100006,135.440002,392200,132.016037
"2021-02-09",134.809998,136.139999,133.570007,136.130005,695800,132.688599
"2021-02-10",135.059998,135.059998,128.279999,128.429993,1373500,125.183243
"2021-02-11",128.009995,131.210007,126.769997,130.479996,984900,127.181419
"2021-02-12",129.429993,130.229996,126.769997,128.130005,605900,124.890839
"2021-02-16",129.080002,129.080002,125.379997,125.949997,690900,122.765945
"2021-02-17",125.440002,126.519997,124.93,125.720001,901000,122.541763
"2021-02-18",125.440002,125.809998,122.489998,122.769997,607300,119.666336
"2021-02-19",122.5,123.879997,121.550003,123.309998,817200,120.842331
"2021-02-22",122.720001,127.029999,122.239998,126.889999,857000,124.350677
"2021-02-23",127.400002,128.399994,126.019997,127.669998,572100,125.115074
"2021-02-24",128.059998,130.080002,128.059998,128.130005,420700,125.565865
"2021-02-25",128.5,128.75,124.970001,125.169998,326400,122.665108
"2021-02-26",124.980003,125.720001,122.470001,123.220001,746400,120.75412
"2021-03-01",124.43,127.720001,124.43,126.300003,519800,123.772499
"2021-03-02",125.980003,126.870003,125.07,126.639999,378300,124.10569
"2021-03-03",126.900002,129.710007,126.269997,128.039993,470000,125.477661
"2021-03-04",128.669998,129.960007,127.059998,128.080002,695200,125.516876
"2021-03-05",128.990005,132.229996,128.600006,131.919998,375600,129.280014
"2021-03-08",132.600006,136.119995,132.169998,133.800003,371200,131.122406
"2021-03-09",135.490005,138.309998,134.720001,134.919998,677900,132.219986
"2021-03-10",134.910004,138.869995,134.100006,138.740005,569100,135.963547
"2021-03-11",137.529999,138.669998,136.339996,136.470001,495100,133.738968
"2021-03-12",137.350006,138.899994,135.990005,136.279999,457100,133.55278
"2021-03-15",136.300003,138.300003,135.070007,138.160004,374400,135.395157
"2021-03-16",137.449997,137.990005,136.029999,137.389999,473300,134.640564
"2021-03-17",138.509995,139.5,137.009995,138.639999,654400,135.86554
"2021-03-18",139.880005,144.630005,139.470001,142.610001,673900,139.756104
"2021-03-19",143.160004,144.580002,141.210007,143.710007,1450100,140.834076
"2021-03-22",143.25,143.600006,139.800003,140.75,560500,137.933319
"2021-03-23",139.710007,142.509995,139.710007,140.619995,332800,137.805923
"2021-03-24",141.279999,143.669998,140.619995,142,402500,139.15831
"2021-03-25",142.360001,143.850006,140.759995,143.539993,319800,140.66748
"2021-03-26",144.119995,144.850006,142.869995,144.649994,327600,141.755264
"2021-03-29",143.080002,144.720001,142.770004,143.770004,287900,140.892899
"2021-03-30",143.5,144.929993,142.800003,144.710007,371900,141.814087
"2021-03-31",143.639999,144.800003,141.699997,141.770004,434400,138.932907
"2021-04-01",141.149994,142.360001,139.889999,142.300003,263400,139.452301
"2021-04-05",142.5,143.570007,141.800003,142.789993,267100,139.93248
"2021-04-06",142.850006,144.169998,141.779999,143.399994,228400,140.530289
"2021-04-07",143.740005,145.850006,142.990005,145.580002,339100,142.666656
"2021-04-08",144.929993,146.270004,144.759995,145.320007,390800,142.411865
"2021-04-09",146.100006,147.149994,145.110001,146.960007,242400,144.019043
"2021-04-12",147.309998,148.130005,146.649994,147.910004,313800,144.950027
"2021-04-13",146.949997,148.740005,146.309998,148.289993,329000,145.322433
"2021-04-14",148.529999,150.149994,148.410004,149.5,416300,146.508224
"2021-04-15",149.649994,150.789993,149.630005,150.070007,408300,147.066818
"2021-04-16",151.789993,152.979996,151.690002,152.5,378000,149.448181
"2021-04-19",153.520004,154.190002,152.690002,153.240005,253400,150.173386
"2021-04-20",153.190002,154.940002,152.119995,154.029999,258700,150.947556
"2021-04-21",154.449997,156.029999,153.949997,155.740005,291700,152.623322
"2021-04-22",155.220001,155.460007,153.190002,153.850006,227800,150.771149
"2021-04-23",154.389999,156.25,154.179993,155.789993,166400,152.672333
"2021-04-26",156.100006,157.399994,155.080002,155.169998,189200,152.064743
"2021-04-27",155.630005,156.449997,154.289993,156.339996,243200,153.211319
"2021-04-28",156.339996,156.479996,154.369995,154.589996,246400,151.496353
"2021-04-29",154.669998,156.720001,154.669998,156.490005,229500,153.358353
"2021-04-30",156.169998,156.779999,155.100006,155.600006,285200,152.486145
"2021-05-03",156.5,159.100006,156.5,157.789993,203400,154.632294
"2021-05-04",157.550003,158.580002,156.869995,157.610001,336900,154.455933
"2021-05-05",156.410004,160.160004,153.740005,159.399994,530100,156.210098
"2021-05-06",159.639999,163.240005,158.740005,161.880005,425700,158.640457
"2021-05-07",160.020004,161.210007,158.929993,160.710007,254500,157.493866
"2021-05-10",161.889999,162.610001,159.889999,159.960007,322600,156.758881
"2021-05-11",160.139999,160.139999,155.619995,156.169998,412200,153.044724
"2021-05-12",157.419998,158.600006,156,156.330002,239700,153.201538
