"","UNH.Open","UNH.High","UNH.Low","UNH.Close","UNH.Volume","UNH.Adjusted"
"2021-07-12",411.019989,416.399994,410.309998,416.040009,2802600,410.55365
"2021-07-13",416.380005,419.690002,415.709991,418.540009,2948900,413.020691
"2021-07-14",420.769989,422.529999,413.350006,414.73999,3538700,409.270752
"2021-07-15",411.910004,421.730011,407.200012,420.049988,3546500,414.510742
"2021-07-16",421.359985,422.290009,417.640015,419.700012,2625400,414.165375
"2021-07-19",417.23999,419.529999,406.809998,409.059998,3611300,403.665649
"2021-07-20",411,417.730011,410.609985,412.970001,3186700,407.524078
"2021-07-21",417.059998,417.230011,410.829987,414.640015,1863700,409.172119
"2021-07-22",416.019989,416.829987,413.730011,415.769989,1421900,410.28717
"2021-07-23",417.899994,419.339996,415.98999,417.700012,1611700,412.191772
"2021-07-26",416.829987,417.670013,410.899994,413.540009,2232600,408.086578
"2021-07-27",412,415.26001,409.459991,415.100006,2630600,409.626007
"2021-07-28",414.48999,414.48999,406.799988,409.170013,2446600,403.774231
"2021-07-29",411.279999,412.579987,408.420013,412.079987,1597300,406.645844
"2021-07-30",410.76001,413.769989,410.25,412.220001,1864200,406.784027
"2021-08-02",413.570007,416.440002,412.809998,415.570007,1806500,410.089813
"2021-08-03",415.820007,422.140015,415.079987,421.899994,2496500,416.336334
"2021-08-04",422.049988,423.660004,419.709991,421.540009,1995400,415.98111
"2021-08-05",422.059998,422.25,407.890015,411.190002,3598600,405.767548
"2021-08-06",412.01001,416.769989,412.01001,415.119995,1944000,409.645782
"2021-08-09",414.950012,416.230011,410.350006,410.869995,1509800,405.451782
"2021-08-10",410.51001,413.649994,408.570007,411.779999,1441800,406.349792
"2021-08-11",413.029999,413.929993,407.51001,407.73999,1542600,402.363068
"2021-08-12",407,408.730011,404.299988,405.959991,1939900,400.606537
"2021-08-13",407.079987,410.049988,405.920013,409.670013,1537800,404.267639
"2021-08-16",409.839996,417.420013,407.329987,417.209991,2377500,411.70816
"2021-08-17",417.100006,422.5,416.630005,421.779999,2258000,416.217926
"2021-08-18",421.350006,421.589996,417.089996,417.320007,3037000,411.816742
"2021-08-19",415.380005,428.350006,412.399994,427.890015,3204500,422.247406
"2021-08-20",428.350006,431.359985,426.910004,429.709991,2401900,424.043365
"2021-08-23",430.559998,430.559998,424.899994,425.359985,2375900,419.750671
"2021-08-24",425.519989,425.940002,421.720001,423.410004,1619300,417.826416
"2021-08-25",421.850006,423.619995,419.450012,419.73999,1939000,414.204803
"2021-08-26",419.769989,421.390015,416.630005,416.850006,1385400,411.352936
"2021-08-27",418.01001,420.350006,416.119995,418.76001,1621600,413.237762
"2021-08-30",418.76001,420.570007,417.890015,418.299988,1284200,412.783783
"2021-08-31",417,420.73999,414.220001,416.269989,4249100,410.780609
"2021-09-01",416.540009,419.869995,411.23999,417.350006,2034400,411.846375
"2021-09-02",419.160004,424.399994,418.23999,423.709991,3137400,418.122467
"2021-09-03",421.929993,424,420.609985,422.859985,1604800,417.283691
"2021-09-07",420.299988,422.26001,417.579987,421.23999,1920300,415.685028
"2021-09-08",421.190002,422.869995,414.200012,415.390015,2262500,409.912201
"2021-09-09",415.339996,420.220001,413.929993,414.549988,3508500,409.083252
"2021-09-10",415.559998,416,402.589996,403.910004,4215800,399.982605
"2021-09-13",407.980011,416.809998,406.450012,414.519989,3068200,410.489502
"2021-09-14",417.589996,417.589996,411.369995,412.540009,2879800,408.528748
"2021-09-15",412.519989,421.420013,409.5,417.519989,3180600,413.460266
"2021-09-16",419.670013,423.399994,414.959991,416.839996,2262700,412.786896
"2021-09-17",414.970001,421.089996,414.970001,420.160004,4534200,416.074646
"2021-09-20",416.920013,419.299988,408.720001,412.700012,2799800,408.687164
"2021-09-21",415.01001,418.779999,412.209991,412.339996,2382200,408.330658
"2021-09-22",404.940002,412,404.940002,408.700012,3629400,404.726074
"2021-09-23",409.799988,414.850006,407.51001,408.029999,2681600,404.062592
"2021-09-24",406.940002,407.890015,405.230011,407.079987,1950400,403.121826
"2021-09-27",407.829987,412.149994,404.959991,405.269989,2608600,401.329407
"2021-09-28",402.600006,404,397.019989,398.619995,3115400,394.74408
"2021-09-29",397,401.850006,395.799988,400.410004,2056300,396.516663
"2021-09-30",401.48999,403.48999,390.459991,390.73999,3779900,386.940674
"2021-10-01",391.600006,393.690002,383.119995,392.429993,3146600,388.614258
"2021-10-04",391.619995,395.149994,384.76001,387.01001,3074800,383.246948
"2021-10-05",389.339996,396.01001,389.23999,393.429993,3269400,389.604553
"2021-10-06",390.75,394.779999,385.839996,394.25,2809200,390.416565
"2021-10-07",396.76001,408.170013,396.709991,404.700012,2813700,400.764984
"2021-10-08",406.410004,409.119995,402.640015,408.459991,2012200,404.488373
"2021-10-11",408,411.220001,404.209991,404.98999,2164200,401.052124
"2021-10-12",405.109985,408.380005,402.309998,403.23999,2415700,399.319153
"2021-10-13",403.339996,405.309998,398.109985,403.549988,3021800,399.626129
"2021-10-14",425.660004,433.5,417.799988,420.359985,6038800,416.272675
"2021-10-15",422.049988,430.48999,421.5,428.070007,3312000,423.907715
"2021-10-18",428,428,423.839996,424.619995,2232800,420.491272
"2021-10-19",426.829987,427.820007,423.399994,424.380005,1616800,420.253601
"2021-10-20",427,435.529999,426.839996,435.089996,2764000,430.859467
"2021-10-21",435.5,442.5,435.079987,442.279999,2465100,437.979553
"2021-10-22",440.839996,449.290009,440.459991,449.160004,2736200,444.792633
"2021-10-25",450,452.640015,446.440002,449.48999,3553500,445.119446
"2021-10-26",450.48999,457.709991,447.589996,454.640015,3103900,450.219391
"2021-10-27",454.640015,460.440002,453.480011,453.480011,3520400,449.070679
"2021-10-28",453,457.899994,452.519989,455.440002,1672600,451.011566
"2021-10-29",454.410004,461.390015,453.059998,460.470001,2497800,455.992676
"2021-11-01",461.820007,465.76001,451.179993,454.109985,2203100,449.694519
"2021-11-02",456.26001,456.440002,450.380005,452.040009,2600000,447.644653
"2021-11-03",450.420013,457.519989,447.040009,457.329987,2438200,452.88324
"2021-11-04",457.600006,458.51001,452.160004,456.76001,2517300,452.318787
"2021-11-05",457.829987,461.519989,454.579987,455.809998,2905000,451.377991
"2021-11-08",456.850006,464.190002,454.309998,462.619995,2279900,458.121765
"2021-11-09",462.619995,464.470001,460.290009,464.350006,2657800,459.834961
"2021-11-10",465.390015,466,456.630005,459.899994,2818200,455.428223
"2021-11-11",460,460.850006,455.440002,457.390015,2246800,452.942657
"2021-11-12",460.670013,461,457.079987,458.98999,2609500,454.527039
"2021-11-15",458,458.209991,450.5,450.799988,2849600,446.416687
"2021-11-16",452.98999,458.350006,449.369995,449.619995,3383800,445.248169
"2021-11-17",450.390015,453.959991,448.730011,448.950012,2281500,444.584717
"2021-11-18",448.730011,452.809998,447.109985,449.470001,2073800,445.09964
"2021-11-19",448.130005,449.450012,439.5,440,3536100,435.72171
"2021-11-22",442.820007,443.75,437.390015,437.540009,2598700,433.285675
"2021-11-23",436.01001,447.519989,436,447.130005,2857000,442.78241
"2021-11-24",446.640015,450.980011,445.640015,450.160004,2248800,445.782928
"2021-11-26",444.920013,448.179993,438.209991,439.910004,2480600,435.632599
"2021-11-29",443.559998,453.079987,440.549988,452,4079700,447.605042
"2021-11-30",447.059998,451.350006,441.25,444.220001,7435400,439.900696
"2021-12-01",452.890015,455.920013,444.140015,444.339996,4325500,440.019501
"2021-12-02",443.149994,447.890015,439.220001,446.019989,4738700,441.683167
"2021-12-03",447.769989,454.440002,445.170013,449.320007,3038300,446.402344
"2021-12-06",452.149994,461.779999,451.519989,460.109985,4721500,457.122253
"2021-12-07",462.75,465.75,460.230011,464.730011,3105200,461.71228
"2021-12-08",466.089996,470.170013,462.48999,468.859985,3228300,465.81543
"2021-12-09",468.529999,474.480011,467.359985,473.320007,2977400,470.246521
"2021-12-10",472,478.480011,471.01001,478.230011,2572300,475.124634
"2021-12-13",477.019989,480.26001,474.01001,478.140015,2724800,475.035217
"2021-12-14",479.75,483.040009,477.179993,479.459991,3018000,476.346619
"2021-12-15",480.600006,495.399994,480.140015,494.380005,4188600,491.169769
"2021-12-16",494.01001,496.959991,490.109985,492.859985,4080800,489.659576
"2021-12-17",491.420013,493.130005,486.380005,487.119995,5707200,483.956848
"2021-12-20",482,485.01001,475.26001,483.730011,3145600,480.588898
"2021-12-21",487.019989,489,482.200012,487.209991,2536000,484.046295
"2021-12-22",487.149994,495.450012,485.899994,494.130005,1687500,490.921387
"2021-12-23",495,498.149994,492.809998,495.380005,1706500,492.163239
"2021-12-27",498.679993,500.299988,496.640015,499.5,1349400,496.2565
"2021-12-28",502,505.320007,500.399994,502.940002,1495500,499.674164
"2021-12-29",504.779999,507.220001,502,505.579987,1573900,502.296997
"2021-12-30",507.929993,509.230011,503.649994,504.429993,1309800,501.15448
