"","FDS.Open","FDS.High","FDS.Low","FDS.Close","FDS.Volume","FDS.Adjusted"
"2021-04-23",323.730011,365.769989,318.149994,347.100006,1450500,343.341278
"2021-04-26",347.790009,349.980011,335.109985,336.910004,435300,333.261566
"2021-04-27",336.799988,342.589996,332.25,342.160004,291600,338.454712
"2021-04-28",342.929993,342.929993,335.369995,336.399994,224700,332.75708
"2021-04-29",337.790009,341.730011,334.470001,341.269989,144700,337.57431
"2021-04-30",341.309998,344.420013,334.75,336.220001,280600,332.579041
"2021-05-03",336.970001,344.679993,334.799988,342.059998,181900,338.355804
"2021-05-04",339.970001,346.040009,337.700012,345.600006,204000,341.857422
"2021-05-05",345.450012,345.450012,336.25,336.549988,347400,332.905457
"2021-05-06",336.700012,339.910004,334.589996,338.059998,150000,334.399109
"2021-05-07",340.019989,341.070007,334.049988,337.049988,220400,333.400024
"2021-05-10",338.109985,341.600006,335.100006,335.109985,197300,331.481079
"2021-05-11",331.690002,335.76001,327.98999,331.859985,162800,328.266235
"2021-05-12",330.23999,333.339996,325.76001,326.51001,219600,322.974182
"2021-05-13",327,333.519989,326.600006,328.529999,211000,324.972351
"2021-05-14",330.290009,332.190002,326.679993,330.910004,150400,327.326538
"2021-05-17",331.73999,332.649994,324.040009,326.529999,159100,322.994019
"2021-05-18",326.329987,326.940002,321.390015,321.720001,96700,318.236084
"2021-05-19",317.970001,322.48999,317.549988,322.399994,131900,318.908661
"2021-05-20",322.829987,330.540009,322.829987,327.309998,172300,323.765503
"2021-05-21",327.98999,332.5,326.929993,328.149994,125500,324.596436
"2021-05-24",329.850006,332.119995,327.470001,328.940002,118800,325.377899
"2021-05-25",330,332.320007,326.920013,329.730011,79900,326.159332
"2021-05-26",330.880005,332.440002,328.019989,331.51001,160800,327.920074
"2021-05-27",330.640015,334.890015,327.529999,332.26001,265700,329.476929
"2021-05-28",331.890015,337.429993,331.829987,334.359985,124600,331.559296
"2021-06-01",334.899994,337.420013,323.709991,324.109985,167300,321.395142
"2021-06-02",323.76001,328.029999,321.26001,327.48999,143400,324.746857
"2021-06-03",325.619995,325.619995,321.799988,324.980011,159900,322.257904
"2021-06-04",327.26001,327.26001,321.75,325.420013,114700,322.694214
"2021-06-07",325.350006,325.350006,320.450012,323.149994,146100,320.443207
"2021-06-08",323.779999,324.230011,321.220001,323.399994,119400,320.691132
"2021-06-09",323.23999,324.359985,320.619995,321.779999,105400,319.084625
"2021-06-10",321.089996,325.399994,319.649994,324.440002,106300,321.722412
"2021-06-11",325.089996,328.649994,325.089996,328.399994,79800,325.649231
"2021-06-14",328.549988,330.5,325.890015,328,144300,325.252594
"2021-06-15",328.670013,332.380005,326.98999,327.980011,151800,325.232758
"2021-06-16",328.980011,333.140015,324.459991,326.470001,131800,323.735413
"2021-06-17",327.119995,329.820007,325.820007,328.579987,158100,325.827698
"2021-06-18",327.720001,329.170013,324.339996,325.339996,403900,322.614838
"2021-06-21",325.329987,332.470001,325.329987,329.670013,182200,326.90863
"2021-06-22",328.519989,332.829987,328.519989,330.790009,174100,328.019196
"2021-06-23",330.369995,331.200012,327.75,328.519989,104000,325.768188
"2021-06-24",330.339996,331.820007,328.75,330.630005,136900,327.860535
"2021-06-25",331.769989,333.540009,330.51001,332.079987,326500,329.29837
"2021-06-28",335.480011,338.230011,332.149994,337.029999,206800,334.20694
"2021-06-29",331.660004,339.720001,326.209991,336.109985,246500,333.294617
"2021-06-30",335.959991,341,334.329987,335.609985,267300,332.798767
"2021-07-01",335.279999,339.809998,335.279999,335.829987,218500,333.016968
"2021-07-02",336.619995,339.570007,336.170013,338.470001,112600,335.634857
"2021-07-06",339.98999,342.309998,336.820007,341.01001,163300,338.153625
"2021-07-07",342.73999,342.799988,338.26001,339.589996,150400,336.745514
"2021-07-08",337.559998,343.459991,336.279999,340.839996,146100,337.985046
"2021-07-09",342.549988,344.25,340.73999,343.200012,117300,340.325287
"2021-07-12",343.130005,343.369995,336.640015,339.540009,193900,336.695953
"2021-07-13",337.869995,338.399994,334.75,335.5,162600,332.689758
"2021-07-14",336.910004,337.899994,334.910004,335.709991,123500,332.89801
"2021-07-15",334.649994,339.940002,334.290009,338.839996,120600,336.001801
"2021-07-16",340.100006,343.5,339.459991,341.179993,125300,338.322174
"2021-07-19",340.230011,341.01001,332.670013,337.179993,184400,334.355682
"2021-07-20",337.160004,344.109985,337.160004,339.929993,254000,337.082642
"2021-07-21",340.130005,342.369995,339.559998,340.48999,110100,337.63797
"2021-07-22",341.679993,341.869995,339.339996,340.829987,145100,337.975067
"2021-07-23",342.440002,346.190002,342.440002,345.230011,103700,342.338257
"2021-07-26",344.679993,346.230011,340.709991,342.75,125000,339.879028
"2021-07-27",342.880005,345.910004,341.420013,344.089996,93100,341.207794
"2021-07-28",344.559998,346.109985,342.200012,345.350006,107000,342.457245
"2021-07-29",346.589996,350,345.160004,349.200012,107200,346.275024
"2021-07-30",348.829987,357.920013,348.829987,357.279999,280400,354.287292
"2021-08-02",356.720001,360.820007,355.190002,359.220001,188500,356.21109
"2021-08-03",360.769989,360.98999,353.070007,357.980011,146400,354.981445
"2021-08-04",356.440002,361.920013,355.799988,358.790009,113000,355.784698
"2021-08-05",359.109985,362.48999,356.649994,358.98999,153900,355.982971
"2021-08-06",358.820007,362.839996,356.459991,362.190002,123500,359.156189
"2021-08-09",363.320007,364.640015,361.440002,362.609985,129500,359.572632
"2021-08-10",364.179993,365.040009,359.589996,362,122800,358.967773
"2021-08-11",362.480011,364.980011,362,364.339996,162100,361.288147
"2021-08-12",363.940002,365.160004,361.23999,362.779999,132800,359.741211
"2021-08-13",362.519989,368.609985,361.540009,368.119995,115800,365.03653
"2021-08-16",368.589996,374.109985,367.600006,373.940002,125800,370.8078
"2021-08-17",374.079987,376.579987,371.420013,374.570007,155600,371.432495
"2021-08-18",375.230011,375.98999,360.899994,361.170013,205900,358.144775
"2021-08-19",358.779999,366.519989,358.779999,365.160004,141300,362.101288
"2021-08-20",364.529999,369.649994,364.529999,368.980011,90000,365.889343
"2021-08-23",370.059998,372.230011,366.450012,366.609985,157300,363.539154
"2021-08-24",366.5,370.100006,365.470001,367.640015,113600,364.560577
"2021-08-25",375,376.299988,370.109985,376,195100,372.850525
"2021-08-26",375.549988,375.779999,373.119995,374.01001,124200,370.877197
"2021-08-27",375.559998,379.829987,373.01001,376.579987,148400,373.425629
"2021-08-30",375.519989,382.470001,375.320007,380.079987,109000,377.718811
"2021-08-31",380.070007,383.209991,378.549988,380.220001,277600,377.857971
"2021-09-01",380.410004,388.859985,377.359985,385.839996,162700,383.443054
"2021-09-02",387.100006,389.869995,383.790009,386.910004,175900,384.506378
"2021-09-03",384.859985,388.799988,384.859985,385.910004,95200,383.512604
