"","EIX.Open","EIX.High","EIX.Low","EIX.Close","EIX.Volume","EIX.Adjusted"
"2020-11-12",62.48,63.369999,61.77,62.790001,1977800,58.168941
"2020-11-13",63,64.75,62.91,64.059998,1457400,59.34547
"2020-11-16",64.989998,65.400002,64.019997,65.169998,1862600,60.373783
"2020-11-17",64.769997,66.550003,64.639999,65.599998,1468700,60.772133
"2020-11-18",66.010002,66.68,64.459999,64.540001,1624000,59.79015
"2020-11-19",64.150002,64.5,63.09,63.619999,2676400,58.937851
"2020-11-20",63.709999,64.160004,63,63.380001,2987000,58.715515
"2020-11-23",63.560001,64.379997,63.150002,64.150002,2692600,59.428848
"2020-11-24",64.989998,65.739998,64.610001,65.449997,1737300,60.633171
"2020-11-25",64.919998,65.050003,63.139999,63.709999,2866700,59.021233
"2020-11-27",63.669998,63.889999,62.509998,62.790001,968300,58.168941
"2020-11-30",62.380001,62.43,60.889999,61.360001,2684400,56.844177
"2020-12-01",61.880001,63.099998,61.84,62.09,1514500,57.520454
"2020-12-02",62.040001,62.209999,61.07,62.189999,1740000,57.613094
"2020-12-03",62.049999,62.759998,61.400002,61.540001,1917500,57.010937
"2020-12-04",61.759998,62.150002,61.150002,61.830002,1172900,57.279591
"2020-12-07",61.299999,62.189999,61.130001,61.939999,1449000,57.381489
"2020-12-08",61.43,62.200001,61.34,61.889999,1467100,57.335171
"2020-12-09",62.09,63.009998,62.080002,62.91,1434900,58.280102
"2020-12-10",63,63.009998,62.220001,62.880001,1400100,58.252316
"2020-12-11",62.889999,63.419998,62.619999,62.799999,1640600,58.178196
"2020-12-14",63,63.299999,62.18,62.259998,1413600,57.677937
"2020-12-15",62.490002,63.779999,62.369999,63.759998,1860800,59.067547
"2020-12-16",63.66,63.830002,62.560001,62.700001,1512700,58.085564
"2020-12-17",62.860001,63.330002,62.73,62.900002,1424700,58.270844
"2020-12-18",62.91,63.470001,62.009998,62.540001,3717900,57.937336
"2020-12-21",61.73,62.25,60.450001,61.880001,2180700,57.325912
"2020-12-22",61.82,61.82,60.970001,61.32,1043400,56.807125
"2020-12-23",61.669998,62.119999,61.290001,61.299999,1526400,56.788589
"2020-12-24",61.73,62.23,61.02,62.189999,382300,57.613094
"2020-12-28",62.299999,63.169998,62.16,62.450001,805000,57.853962
"2020-12-29",62.68,63.02,61.959999,62.18,847600,57.603828
"2020-12-30",61.560001,62.139999,61.459999,61.630001,911300,57.709648
"2020-12-31",61.799999,62.889999,61.459999,62.82,943900,58.823948
"2021-01-04",62.759998,62.939999,60.049999,60.490002,1628200,56.642162
"2021-01-05",60.669998,60.939999,59.91,60.810001,1216000,56.941807
"2021-01-06",61.830002,63.07,61.099998,62.619999,1745200,58.636665
"2021-01-07",62.810001,62.880001,61.509998,62.049999,1556600,58.102924
"2021-01-08",62.189999,62.43,61.709999,62.299999,1430500,58.337025
"2021-01-11",62.18,62.360001,61.16,61.669998,971200,57.747097
"2021-01-12",61.580002,63.5,61.580002,62.509998,2531900,58.533665
"2021-01-13",62.470001,63.59,62.25,63.200001,997700,59.179779
"2021-01-14",63.299999,63.389999,61.57,61.630001,1374000,57.709648
"2021-01-15",61.32,62,60.200001,61.869999,1580900,57.93438
"2021-01-19",62.049999,62.299999,60.779999,60.869999,1877600,56.997986
"2021-01-20",60.209999,60.52,59.75,60.220001,1801600,56.389332
"2021-01-21",59.869999,60.41,59.279999,59.330002,1378200,55.55595
"2021-01-22",59,59.529999,58.529999,59.299999,1911400,55.527859
"2021-01-25",59.07,60.029999,58.970001,59.400002,1672000,55.621498
"2021-01-26",59.5,59.830002,58.810001,59.099998,2076400,55.340576
"2021-01-27",58.57,59.040001,56.93,57,2810600,53.374161
"2021-01-28",57.34,59.959999,57.25,58.889999,1857900,55.14394
"2021-01-29",58.459999,58.889999,57.68,58.16,1707900,54.460377
"2021-02-01",58.110001,58.490002,57.549999,58.009998,1077900,54.319912
"2021-02-02",58.049999,59.66,57.830002,59.169998,1548700,55.406124
"2021-02-03",58.880001,59.459999,58.810001,58.93,2442900,55.181393
"2021-02-04",59.029999,59.380001,58.57,58.889999,2327200,55.14394
"2021-02-05",59.360001,59.360001,58.470001,58.650002,2124800,54.919209
"2021-02-08",58.549999,58.560001,57.380001,57.73,1495300,54.057724
"2021-02-09",57.759998,57.939999,56.73,57.779999,2186600,54.104549
"2021-02-10",58.130001,58.98,57.919998,58.529999,2089600,54.806835
"2021-02-11",58.529999,58.709999,58.259998,58.34,886900,54.628925
"2021-02-12",58.150002,58.470001,57.34,57.91,1207500,54.226273
"2021-02-16",57.970001,58.43,56.959999,56.98,2538200,53.355434
"2021-02-17",57.110001,57.110001,56.099998,56.490002,2151300,52.89661
"2021-02-18",56.150002,56.279999,55.630001,55.689999,3642900,52.147495
"2021-02-19",55.75,56.16,55.200001,55.220001,3288800,51.707394
"2021-02-22",55.16,55.59,54.610001,55.349998,2583400,51.829117
"2021-02-23",55.98,56.639999,55.380001,55.919998,2760000,52.362862
"2021-02-24",55.689999,56.790001,55.290001,56.470001,1884000,52.87788
"2021-02-25",56.310001,56.759998,55.389999,55.66,2221800,52.1194
"2021-02-26",55.470001,56.130001,53.919998,53.990002,2913700,50.55563
"2021-03-01",54.599998,56.049999,54.529999,54.91,1650900,51.417114
"2021-03-02",54.860001,55.439999,54.259998,54.900002,1672700,51.407745
"2021-03-03",54.73,56.200001,54.380001,55.799999,3506900,52.2505
"2021-03-04",56.25,57.52,55.709999,57.02,3795400,53.392891
"2021-03-05",57.369999,58.389999,57.040001,57.700001,2615200,54.029633
"2021-03-08",57.91,58.32,57.360001,57.389999,2926600,53.739361
"2021-03-09",57.41,57.810001,56.84,57.459999,6319000,53.804901
"2021-03-10",57.700001,58.259998,57.110001,58.220001,2590100,54.516556
"2021-03-11",57.740002,58.880001,57.369999,57.509998,1442700,53.851723
"2021-03-12",57.869999,58.380001,57.700001,58.220001,1586900,54.516556
"2021-03-15",58.470001,59.919998,58.470001,59.57,1305800,55.780682
"2021-03-16",59.099998,59.619999,59.07,59.560001,1159500,55.77132
"2021-03-17",59.740002,60.23,59.459999,59.540001,1494800,55.752594
"2021-03-18",59.540001,59.740002,58.549999,58.560001,1928300,54.834934
"2021-03-19",58.669998,60.279999,58.52,59.470001,6412500,55.68705
"2021-03-22",58.91,59.27,58.490002,59.18,2134900,55.415493
"2021-03-23",59.099998,59.779999,58.740002,59.049999,2426400,55.293766
"2021-03-24",58.700001,60.349998,58.700001,59.93,1918000,56.117783
"2021-03-25",60.139999,60.419998,59.57,60.32,2529300,56.482975
"2021-03-26",60.490002,60.73,59.860001,60.68,961300,56.820076
"2021-03-29",60.360001,60.98,60.029999,60.419998,1663700,56.576611
"2021-03-30",59.59,59.610001,59.02,59.439999,1664500,56.276485
"2021-03-31",59.580002,59.68,58.52,58.599998,3008900,55.48119
"2021-04-01",58.5,58.77,57.959999,58.290001,3226000,55.187695
"2021-04-05",58.830002,60.709999,58.66,59.810001,1592400,56.626793
"2021-04-06",59.529999,60.23,59.27,60.220001,1604800,57.014973
"2021-04-07",60.25,60.639999,59.549999,59.959999,1340500,56.76881
"2021-04-08",60.009998,60.400002,59.82,60.330002,1617000,57.119122
"2021-04-09",60.330002,60.459999,59.52,59.709999,1591300,56.532116
"2021-04-12",59.709999,60.150002,59.540001,59.84,1580500,56.655197
"2021-04-13",59.34,60.639999,59.290001,60.369999,1244900,57.15699
"2021-04-14",60.169998,61.060001,60.169998,61.049999,1446300,57.8008
"2021-04-15",60.889999,61.439999,60.599998,61.439999,1329200,58.170044
"2021-04-16",61.73,61.75,61.18,61.360001,1425100,58.094299
"2021-04-19",61.529999,61.669998,60.810001,61.119999,961700,57.867073
"2021-04-20",60.970001,61.73,60.970001,61.52,1522700,58.245785
"2021-04-21",61.419998,61.75,60.860001,61.150002,1872500,57.895481
"2021-04-22",61.150002,61.25,59.470001,59.48,1611900,56.314358
"2021-04-23",59.639999,59.759998,58.93,59.189999,1557800,56.039791
"2021-04-26",59.16,59.189999,58.639999,58.869999,1504400,55.73682
"2021-04-27",58.720001,58.889999,58.48,58.5,1440600,55.386513
"2021-04-28",58.599998,58.799999,57.619999,58.400002,2250000,55.291836
"2021-04-29",58.540001,59.380001,58.369999,58.860001,1338700,55.727356
"2021-04-30",59.040001,59.450001,58.689999,59.450001,2061700,56.285954
"2021-05-03",59.610001,60.32,59.34,59.380001,2380600,56.219681
"2021-05-04",59.619999,59.779999,58.68,59.610001,1710600,56.437435
"2021-05-05",59.369999,59.450001,57.639999,58.240002,1560800,55.140354
"2021-05-06",58.439999,58.990002,57.959999,58.91,1978200,55.774689
"2021-05-07",58.669998,59.639999,58.540001,58.580002,1839200,55.462261
"2021-05-10",59,59.73,58.830002,58.990002,1889200,55.850433
"2021-05-11",58.93,59.119999,58.029999,58.630001,1662900,55.509598
"2021-05-12",58.869999,58.900002,56.810001,56.810001,1889800,53.786465
"2021-05-13",56.799999,58.610001,56.66,58.32,1527400,55.216091
"2021-05-14",58.419998,58.98,58.23,58.389999,1401800,55.282368
"2021-05-17",58.349998,58.529999,57.709999,57.77,1088700,54.69537
"2021-05-18",57.41,57.779999,56.970001,57.560001,2548600,54.496548
"2021-05-19",57.360001,57.709999,56.889999,57.639999,1521100,54.572281
"2021-05-20",57.599998,58.07,57.540001,57.68,1221000,54.610157
"2021-05-21",57.790001,58.290001,57.57,58.169998,1540800,55.074074
"2021-05-24",58.470001,58.619999,57.889999,58.369999,1156100,55.263435
"2021-05-25",58.290001,58.439999,55.689999,55.75,2901200,52.782875
"2021-05-26",55.93,56.619999,55.610001,56.119999,2567600,53.133183
"2021-05-27",56.349998,56.43,55.34,55.419998,3934500,52.47044
"2021-05-28",55.860001,56.029999,55.5,55.869999,1344200,52.896488
"2021-06-01",56.049999,56.349998,55.220001,55.619999,2158000,52.659794
"2021-06-02",55.639999,56.279999,55.34,56.09,1963600,53.104778
"2021-06-03",56,56.5,55.75,56.23,1554100,53.237328
"2021-06-04",56.34,56.57,56.27,56.470001,1366900,53.464558
"2021-06-07",56.709999,56.82,56.200001,56.209999,1601500,53.218391
"2021-06-08",56.220001,56.950001,55.799999,56.790001,1928300,53.767525
"2021-06-09",56.900002,57.139999,56.790001,56.889999,1766100,53.862202
"2021-06-10",56.98,57.639999,56.82,57.490002,2112200,54.430275
"2021-06-11",57.540001,58.09,57.360001,57.970001,1757500,54.884724
"2021-06-14",58.43,58.950001,58.18,58.68,2670300,55.556938
"2021-06-15",58.740002,59.110001,58.380001,58.59,2678500,55.471725
"2021-06-16",58.939999,59.209999,57.779999,57.779999,1766100,54.704838
"2021-06-17",57.73,58,56.959999,56.98,1666100,53.947411
"2021-06-18",56.450001,57.23,55.57,55.580002,3978400,52.621925
"2021-06-21",56.029999,56.290001,55.419998,56.099998,2345500,53.11425
"2021-06-22",55.93,56.310001,55.619999,55.66,1983200,52.697662
"2021-06-23",55.470001,55.689999,54.68,55.009998,1453700,52.08226
"2021-06-24",55,55.419998,54.790001,55.279999,1629400,52.337887
"2021-06-25",55.209999,57.009998,55.169998,57,3778200,53.966347
"2021-06-28",57.02,57.709999,56.529999,57.630001,2359000,54.562817
"2021-06-29",57.650002,58.330002,57.279999,57.419998,2510100,54.363987
"2021-06-30",57.5,58.080002,57.450001,57.82,1985500,54.74271
"2021-07-01",57.43,58.029999,57.07,57.91,2702400,54.827911
"2021-07-02",57.34,57.369999,56.689999,57.049999,1560200,54.639236
"2021-07-06",57.049999,57.41,56.619999,57.369999,1929700,54.945717
"2021-07-07",57.360001,57.68,56.939999,57.650002,1456800,55.21389
"2021-07-08",57.5,57.709999,57.200001,57.52,2035800,55.089378
"2021-07-09",57.919998,58.360001,57.639999,58.279999,1487900,55.817261
"2021-07-12",58.130001,58.299999,57.77,58.200001,1441200,55.740646
"2021-07-13",57.810001,57.869999,56.919998,57.310001,2824100,54.888256
"2021-07-14",57.189999,57.48,56.529999,57.240002,2515200,54.821213
"2021-07-15",57.009998,57.709999,56.77,57.66,1873400,55.223465
"2021-07-16",57.889999,58.66,57.759998,57.990002,1970400,55.539524
"2021-07-19",57.68,57.75,55.360001,56.189999,2757400,53.815578
"2021-07-20",56.16,57.23,56.139999,56.849998,2024300,54.447689
"2021-07-21",57.060001,57.549999,56.169998,56.200001,1523300,53.825161
"2021-07-22",56.080002,56.279999,55.68,55.900002,1353300,53.537838
"2021-07-23",55.900002,56.349998,55.59,56.23,1925300,53.853889
"2021-07-26",56.169998,56.540001,54.849998,55.490002,3255100,53.145161
"2021-07-27",55.259998,57.200001,55,57.150002,2864800,54.735016
"2021-07-28",57.009998,57.549999,56.349998,56.82,1384900,54.418957
"2021-07-29",57.150002,57.540001,56.619999,57.220001,1581900,54.802055
"2021-07-30",56.939999,57.25,54.139999,54.5,4615600,52.196995
"2021-08-02",54.689999,56,54.689999,55.099998,1737200,52.771641
"2021-08-03",55.150002,55.52,54.580002,55.389999,1922300,53.049385
"2021-08-04",55,55.130001,54.27,54.860001,1565200,52.541782
"2021-08-05",54.830002,55.540001,54.669998,55.23,1475600,52.896149
"2021-08-06",55.459999,55.459999,55,55.07,1451000,52.742908
"2021-08-09",55.150002,55.59,55.07,55.439999,1291600,53.097271
"2021-08-10",55.43,56.27,55.18,55.880001,1366000,53.518684
"2021-08-11",55.990002,57.200001,55.830002,57.139999,1736400,54.725437
"2021-08-12",57.099998,57.34,56.740002,57.029999,1181600,54.620083
"2021-08-13",57.299999,57.299999,56.82,57,1531900,54.591351
"2021-08-16",57.139999,57.98,56.830002,57.279999,1270400,54.859524
"2021-08-17",57.009998,57.599998,56.860001,57.59,1330800,55.156422
"2021-08-18",57.700001,58.66,57.389999,58.57,2052500,56.095013
"2021-08-19",58.580002,59.330002,57.939999,58.200001,2674900,55.740646
"2021-08-20",58.080002,59.630001,57.720001,59.529999,1490400,57.014442
"2021-08-23",59.669998,59.779999,58.939999,59.16,1815300,56.66008
"2021-08-24",59.349998,59.349998,58.59,58.950001,1403600,56.458954
"2021-08-25",58.860001,59.029999,58.23,58.380001,1359000,55.91304
"2021-08-26",58.369999,58.369999,57.439999,57.66,2131800,55.223465
"2021-08-27",57.66,57.959999,57.27,57.529999,1616900,55.098953
"2021-08-30",57.529999,57.740002,57.200001,57.529999,1577100,55.098953
"2021-08-31",57.509998,57.98,57.279999,57.84,2297500,55.395855
"2021-09-01",58.130001,58.639999,57.720001,58.240002,1324900,55.778957
"2021-09-02",58.490002,59.139999,58.27,59.130001,1040100,56.631344
"2021-09-03",59.009998,59.119999,58.459999,58.650002,924500,56.171631
"2021-09-07",58.57,58.959999,57.970001,58.630001,1443000,56.152477
"2021-09-08",58.669998,59.689999,58.389999,59.09,1420300,56.593037
"2021-09-09",58.549999,58.849998,58.490002,58.66,1570800,56.18121
"2021-09-10",58.599998,58.73,58.040001,58.130001,2069600,55.673603
"2021-09-13",58.66,59.580002,58.549999,59.060001,1336800,56.564308
"2021-09-14",59.200001,59.259998,58.25,58.48,1434800,56.008812
"2021-09-15",58.400002,59.32,58.200001,59.040001,1265900,56.545151
"2021-09-16",58.91,59.009998,57.5,57.540001,1623100,55.108532
"2021-09-17",57.400002,58.52,57.400002,57.75,3476300,55.309658
"2021-09-20",57.07,58.189999,57.02,57.59,2009200,55.156422
"2021-09-21",57.669998,58.23,57.619999,57.720001,1217800,55.28093
"2021-09-22",58.18,58.810001,57.82,58.349998,1570100,55.884308
"2021-09-23",58.57,58.889999,57.599998,57.610001,1534100,55.175575
"2021-09-24",57.66,57.900002,57.389999,57.57,1267600,55.137268
"2021-09-27",57.759998,58.66,57.549999,57.700001,2018100,55.261772
"2021-09-28",57.830002,58.040001,56.849998,57.119999,2042100,54.706284
"2021-09-29",56.459999,57.009998,56.23,56.43,1808600,54.680122
"2021-09-30",56.369999,56.540001,55.43,55.470001,2145600,53.749897
"2021-10-01",55.950001,55.950001,54.98,55.040001,1721500,53.333225
"2021-10-04",55.040001,56.380001,55.040001,56.23,1645300,54.486324
"2021-10-05",56.259998,56.59,55.580002,55.68,1194300,53.953381
"2021-10-06",55.34,56.639999,55.099998,56.610001,1197500,54.854538
"2021-10-07",56.599998,58,56.43,57.119999,2180000,55.348724
"2021-10-08",57.139999,57.5,56.959999,57.139999,1320600,55.368107
"2021-10-11",57.119999,57.25,55.950001,56.09,1732800,54.350666
"2021-10-12",55.959999,56.209999,55.360001,55.529999,1860100,53.808029
"2021-10-13",55.68,56.599998,55.389999,56.419998,1389800,54.670429
"2021-10-14",56.610001,56.720001,56.310001,56.599998,1607000,54.844849
"2021-10-15",56.75,57.59,56.75,57.349998,2347700,55.571594
"2021-10-18",56.880001,57.549999,56.599998,57.16,1612500,55.387486
"2021-10-19",57.59,57.939999,57.169998,57.52,1587600,55.73632
"2021-10-20",57.759998,58.990002,57.709999,58.950001,1494100,57.121975
"2021-10-21",58.77,59.34,58.650002,59.299999,1328500,57.461124
"2021-10-22",59.400002,60.490002,59.299999,60.450001,1428200,58.575462
"2021-10-25",60.48,61.369999,60.240002,61.099998,1851400,59.205303
"2021-10-26",61.18,61.889999,60.93,61.470001,1574800,59.563831
"2021-10-27",61.700001,62.279999,61.580002,62.209999,1706300,60.280884
"2021-10-28",62.240002,62.84,62.099998,62.799999,1743400,60.852585
"2021-10-29",62.599998,63.049999,62.48,62.93,3686200,60.978561
"2021-11-01",62.959999,63.380001,62.73,63.299999,1748700,61.337086
"2021-11-02",63.419998,63.650002,62.59,63.540001,3139900,61.569641
"2021-11-03",61.810001,62.810001,61.150002,62.799999,4351000,60.852585
"2021-11-04",62.439999,63.119999,62.029999,63.040001,3716300,61.085148
"2021-11-05",63.459999,64.199997,63.150002,64.050003,3085500,62.063828
"2021-11-08",64.029999,64.169998,63.150002,64.07,3263100,62.083206
"2021-11-09",64.260002,65.139999,63.810001,64.599998,4093400,62.596771
"2021-11-10",64.699997,65.610001,64.440002,65.459999,2860300,63.430107
"2021-11-11",65.209999,65.540001,64.599998,65.220001,2435900,63.197544
"2021-11-12",65.129997,65.32,64.139999,64.239998,1114100,62.247932
"2021-11-15",64.699997,65.290001,64.400002,64.580002,1928300,62.577396
