"","HSY.Open","HSY.High","HSY.Low","HSY.Close","HSY.Volume","HSY.Adjusted"
"2021-11-01",175.399994,176.199997,173.929993,174.679993,753300,172.278824
"2021-11-02",175.270004,176.270004,172.720001,175.5,709700,173.08757
"2021-11-03",175.509995,177,174.889999,176.559998,618400,174.132996
"2021-11-04",176.369995,176.850006,174.410004,175.369995,6e+05,172.959351
"2021-11-05",175.929993,177.059998,174.949997,175.389999,900300,172.97908
"2021-11-08",175.869995,175.869995,173.119995,174.740005,560700,172.338013
"2021-11-09",174.279999,176.199997,174.089996,176.179993,763800,173.758224
"2021-11-10",176.699997,180,176.110001,179.559998,874200,177.091751
"2021-11-11",179.550003,179.550003,177.490005,178.350006,433200,175.898407
"2021-11-12",178.850006,178.970001,177.460007,177.690002,564700,175.247482
"2021-11-15",178.089996,178.479996,176.619995,177.470001,659100,175.030502
"2021-11-16",177.889999,179.050003,177.589996,177.720001,745800,175.277054
"2021-11-17",177.720001,179.75,177.440002,179.300003,645400,176.835342
"2021-11-18",178.419998,180.539993,177.990005,180.110001,840300,178.531342
"2021-11-19",181,181.419998,178.789993,179.330002,1277700,177.758179
"2021-11-22",178.759995,182.479996,177.919998,181.149994,750500,179.56221
"2021-11-23",181.270004,183.729996,181.270004,182.210007,1283700,180.61293
"2021-11-24",182.210007,182.550003,180.220001,180.970001,708300,179.383789
"2021-11-26",180.429993,181.770004,177.470001,177.919998,609500,176.360535
"2021-11-29",178.559998,179.919998,176.970001,179.160004,1057200,177.589676
"2021-11-30",178.100006,179.320007,176.25,177.490005,3210300,175.934296
"2021-12-01",178.809998,179.369995,175.080002,175.509995,1263700,173.971649
"2021-12-02",176.190002,178.229996,175.779999,176.690002,921500,175.141312
"2021-12-03",178.029999,179.940002,177.740005,179.610001,944500,178.035706
"2021-12-06",181.190002,182.009995,180.270004,180.699997,975300,179.116165
"2021-12-07",180.779999,183.279999,179.889999,182,735100,180.40477
"2021-12-08",181.949997,183.509995,180.580002,183.220001,1010300,181.61409
"2021-12-09",183.149994,184.660004,182.509995,183.5,701400,181.891617
"2021-12-10",184.660004,186.770004,183.990005,186.509995,659100,184.875229
"2021-12-13",186.199997,189.5,185.169998,188.649994,731700,186.996475
"2021-12-14",188.949997,189.419998,186.850006,187.690002,770600,186.044891
"2021-12-15",187.940002,190.419998,187.940002,189.770004,796800,188.106674
"2021-12-16",189.770004,192.660004,189.369995,192.130005,958700,190.445984
"2021-12-17",191.380005,192.660004,187.270004,187.619995,1694300,185.975494
"2021-12-20",186.660004,188.080002,185.720001,187.789993,568200,186.144012
"2021-12-21",187.740005,189.410004,186.080002,187.330002,599500,185.688049
"2021-12-22",187.979996,189.199997,187.279999,188.869995,549500,187.214539
"2021-12-23",189.279999,190.050003,188.289993,188.460007,292100,186.808151
"2021-12-27",188.690002,189.929993,188.169998,189.880005,282300,188.215714
"2021-12-28",189.910004,191.289993,189.910004,190.970001,401400,189.296143
"2021-12-29",191.009995,192.699997,190.5,191.820007,413400,190.138702
"2021-12-30",192.589996,192.589996,191.039993,191.270004,313800,189.593521
"2021-12-31",190.949997,194.009995,190.949997,193.470001,538000,191.774231
"2022-01-03",192.880005,193.470001,190.929993,193.210007,798600,191.516525
"2022-01-04",193.380005,196.179993,193.089996,194.860001,721600,193.152054
"2022-01-05",195.699997,198.169998,195.690002,197,963400,195.273285
"2022-01-06",197.580002,198.639999,196.139999,196.570007,710600,194.847076
"2022-01-07",196.449997,197.199997,195.320007,195.850006,998300,194.133377
