"","VLO.Open","VLO.High","VLO.Low","VLO.Close","VLO.Volume","VLO.Adjusted"
"2021-02-12",63.830002,64.779999,63.799999,64.739998,2578100,61.02837
"2021-02-16",66,67.730003,65.739998,66.959999,4645500,63.121086
"2021-02-17",67.300003,68.580002,66.370003,68.120003,3352600,64.214584
"2021-02-18",67.779999,68.410004,66.349998,67.830002,3096500,63.941212
"2021-02-19",68.269997,72.150002,68.18,71.529999,5783400,67.429085
"2021-02-22",71.669998,75.379997,71.620003,74.25,4771800,69.993141
"2021-02-23",75.459999,76.199997,72.779999,75.809998,4794700,71.463699
"2021-02-24",76.400002,78.43,76.25,78.160004,4578400,73.678978
"2021-02-25",78.870003,79.459999,77.050003,78.150002,6460800,73.669563
"2021-02-26",77.209999,78.029999,73.260002,76.980003,5344400,72.566628
"2021-03-01",78.5,79.199997,77.720001,77.800003,2974200,73.339622
"2021-03-02",77.690002,78.760002,76.580002,76.629997,3458500,72.236687
"2021-03-03",77.410004,79.760002,76.970001,77.529999,4145800,73.085091
"2021-03-04",78,78.610001,73.800003,76.370003,6359300,71.991608
"2021-03-05",78,79.059998,74.82,79.029999,4664400,74.4991
"2021-03-08",80,82.599998,79.540001,80.559998,4834600,75.941376
"2021-03-09",79.75,81.339996,76.510002,76.580002,5459600,72.18956
"2021-03-10",77.599998,81.5,77.099998,81.370003,4069300,76.704948
"2021-03-11",81.550003,84.389999,81.480003,82.480003,4254300,77.751312
"2021-03-12",82.870003,83.739998,81.650002,82.419998,2492000,77.69474
"2021-03-15",82.709999,83.239998,80.209999,81.830002,2961000,77.138573
"2021-03-16",80.5,80.919998,78.699997,79.32,3793200,74.772469
"2021-03-17",78.68,79.800003,77.080002,79.139999,3556900,74.602783
"2021-03-18",78.690002,78.809998,73.5,73.699997,6233000,69.47467
"2021-03-19",74.010002,74.970001,72.650002,73.699997,11305400,69.47467
"2021-03-22",73.519997,73.629997,71.43,72.279999,4149100,68.136086
"2021-03-23",70.830002,72.160004,69.720001,70.080002,4084700,66.062225
"2021-03-24",71.669998,73.449997,71.379997,71.779999,2895500,67.664749
"2021-03-25",70.040001,72.809998,69.050003,72.419998,3263000,68.268066
"2021-03-26",73.989998,74.669998,71.800003,73.110001,2730800,68.918503
"2021-03-29",72.089996,72.970001,70.720001,71.860001,2406200,67.740158
"2021-03-30",71.160004,72.870003,70.849998,71.779999,2364700,67.664749
"2021-03-31",71.449997,72.410004,70.949997,71.599998,3014500,67.495071
"2021-04-01",72.139999,75.330002,71.309998,75.300003,3792700,70.982956
"2021-04-05",76.099998,76.199997,73.099998,74.620003,3820200,70.341942
"2021-04-06",75.099998,76.959999,73.32,74.18,3626100,69.927155
"2021-04-07",74.330002,75.25,73.779999,74.410004,2774000,70.143974
"2021-04-08",73.419998,73.779999,71.910004,72.879997,4285400,68.701683
"2021-04-09",72.550003,73.230003,70.779999,71.089996,3503600,67.014313
"2021-04-12",71.93,72.82,70.120003,70.300003,3111800,66.269608
"2021-04-13",70.120003,70.860001,69.540001,70.279999,3951900,66.250748
"2021-04-14",71.120003,73.510002,70.980003,72.279999,3461300,68.136086
"2021-04-15",71.800003,72.199997,70.599998,71.389999,2820300,67.297112
"2021-04-16",72.82,73.800003,70.940002,72.5,5629600,68.343468
"2021-04-19",72.010002,72.650002,70.169998,70.849998,3653900,66.788063
"2021-04-20",70.080002,70.57,67.610001,68.68,4263100,64.742477
"2021-04-21",67.800003,70.660004,67.43,70.300003,2644600,66.269608
"2021-04-22",70.339996,70.589996,68.129997,68.480003,4375000,64.553947
"2021-04-23",69.18,70.440002,68.400002,70.18,3065700,66.156487
"2021-04-26",70.139999,70.900002,69.699997,70.519997,2142700,66.47699
"2021-04-27",70.790001,72.059998,70.519997,71.82,2457900,67.702461
"2021-04-28",72.190002,74.379997,72.190002,74.120003,3892000,69.870598
"2021-04-29",75.199997,75.860001,74.190002,74.860001,3792000,70.568176
"2021-04-30",73.860001,75.830002,73.239998,73.959999,3160600,69.71978
"2021-05-03",75.519997,78.470001,75.349998,78.150002,4577900,73.669563
"2021-05-04",78.199997,79.220001,76.720001,78.160004,3802600,73.678978
"2021-05-05",78.650002,80.25,77.529999,80.059998,4558000,75.470039
"2021-05-06",80.410004,80.580002,78.760002,80.459999,2787500,75.847122
"2021-05-07",79.269997,81.120003,79.089996,80.489998,3186800,75.875397
"2021-05-10",81.089996,81.82,79.599998,79.639999,4286200,75.074127
"2021-05-11",77.879997,79.029999,76.529999,77.690002,3421300,73.235931
"2021-05-12",78.209999,82.470001,77.809998,79.970001,5653600,75.385208
"2021-05-13",79.129997,80.830002,77.57,78.5,3693400,73.999489
"2021-05-14",78.720001,81.279999,78.300003,81.209999,5325600,77.521896
"2021-05-17",80.730003,81.889999,79.400002,81.620003,3612400,77.913284
"2021-05-18",81.540001,82.099998,79.529999,79.580002,3046300,75.965935
"2021-05-19",77.730003,78.220001,76.080002,77.279999,4503600,73.770386
"2021-05-20",77.080002,77.699997,76.099998,76.989998,3308400,73.493553
"2021-05-21",77.959999,79.040001,77.120003,77.199997,2826200,73.694016
"2021-05-24",78.010002,78.889999,77.339996,78.309998,2217000,74.753609
"2021-05-25",78.269997,78.269997,76.739998,77.330002,3340200,73.818108
"2021-05-26",77.550003,79.309998,77.269997,79.089996,3333500,75.498177
"2021-05-27",79.32,80.970001,79.32,80.790001,4947700,77.120979
"2021-05-28",81.25,81.379997,80.129997,80.400002,2321900,76.748695
"2021-06-01",81.529999,82.940002,81.519997,82.18,3153600,78.447853
"2021-06-02",82.82,84.790001,81.790001,84.389999,3441300,80.557487
"2021-06-03",83.919998,84.949997,83.150002,83.32,3027300,79.536079
"2021-06-04",83.739998,84.260002,81.959999,83.239998,2980000,79.459717
"2021-06-07",83.150002,84.019997,82.419998,82.690002,2597400,78.9347
"2021-06-08",82.400002,83.519997,80.870003,83.260002,3197700,79.478813
"2021-06-09",83.610001,84.139999,81.900002,81.93,3366300,78.209206
"2021-06-10",83.419998,84.199997,81.279999,81.940002,2903800,78.21875
"2021-06-11",82.540001,82.860001,81.239998,81.290001,2194200,77.598274
"2021-06-14",81.660004,82.650002,81.239998,81.949997,3042300,78.228302
"2021-06-15",82.610001,83.769997,81.550003,82.300003,2819300,78.562408
"2021-06-16",81.699997,82.440002,79.760002,81.459999,3326500,77.760551
