"","ZTS.Open","ZTS.High","ZTS.Low","ZTS.Close","ZTS.Volume","ZTS.Adjusted"
"2021-05-07",169.190002,173.259995,169,171.550003,1492500,170.243378
"2021-05-10",172,173.240005,170.770004,171.169998,1472300,169.866272
"2021-05-11",169.899994,171.149994,169.289993,170.229996,1596500,168.933441
"2021-05-12",169.529999,170.360001,167.460007,168.039993,1612100,166.760117
"2021-05-13",168.369995,171.270004,167.830002,170.850006,1317900,169.548752
"2021-05-14",171.710007,172.979996,170.850006,172.289993,1232600,170.977753
"2021-05-17",172.25,172.979996,170.039993,170.270004,1003600,168.973129
"2021-05-18",169.270004,170.979996,168.630005,170.110001,1149500,168.814362
"2021-05-19",169.050003,171.350006,167.809998,171.279999,1537900,169.975433
"2021-05-20",171.520004,175.979996,170.779999,175.800003,2223000,174.461044
"2021-05-21",176.550003,177.710007,175.110001,176.020004,3329900,174.679352
"2021-05-24",177.050003,178.710007,175.979996,176.399994,2273000,175.056442
"2021-05-25",176,176.729996,174.460007,176.619995,2096400,175.27478
"2021-05-26",178.009995,178.490005,174.779999,175.320007,1590300,173.984695
"2021-05-27",175,176.509995,174.339996,174.669998,3201800,173.33963
"2021-05-28",176.199997,178.149994,175.570007,176.679993,1439900,175.33432
"2021-06-01",177.360001,177.479996,173.830002,174.190002,1367300,172.863281
"2021-06-02",174,174.940002,172.229996,172.949997,1402900,171.632706
"2021-06-03",172.369995,174.520004,171.880005,173.820007,1030300,172.496094
"2021-06-04",174.830002,176.080002,174.070007,175.199997,1225200,173.865585
"2021-06-07",175.410004,176.740005,174.490005,175.100006,1355100,173.766357
"2021-06-08",175.889999,176.220001,173.130005,174.100006,946500,172.773972
"2021-06-09",175.399994,176.910004,174.649994,176.690002,1349100,175.344254
"2021-06-10",176.979996,182.850006,176.979996,182.100006,1890600,180.713043
"2021-06-11",182,182.639999,179.610001,182.199997,1622600,180.812271
"2021-06-14",182.070007,184.770004,181.190002,184.580002,3695600,183.174149
"2021-06-15",184.660004,186.100006,183.889999,185.669998,1629700,184.255844
"2021-06-16",186,186.839996,183.360001,184.110001,1933800,182.707733
"2021-06-17",184.089996,186.929993,183.779999,186.440002,1245500,185.019989
"2021-06-18",184.75,186.940002,184.490005,185.389999,3361800,183.977966
"2021-06-21",185.550003,187.320007,183.660004,186.600006,1980700,185.178772
"2021-06-22",186.529999,187,185.880005,186.619995,1416600,185.198593
"2021-06-23",186,186.550003,185.279999,186.119995,1279700,184.702423
"2021-06-24",186.919998,187.369995,184.979996,185.380005,1686000,183.968048
"2021-06-25",185.5,187.289993,184.5,187.229996,1994900,185.803955
"2021-06-28",187.339996,187.929993,185.639999,187.080002,1386100,185.655106
"2021-06-29",187.089996,188.190002,186.089996,187.990005,853900,186.558167
"2021-06-30",188.110001,188.529999,185.580002,186.360001,1203600,184.940598
"2021-07-01",187,189.460007,186.610001,189.289993,1997200,187.848267
"2021-07-02",189.869995,193.039993,189.759995,192.699997,1767000,191.2323
"2021-07-06",191.610001,194.330002,191.610001,194.020004,1535200,192.542267
"2021-07-07",195.210007,197.630005,193.300003,197.399994,2651100,195.8965
"2021-07-08",195.800003,197.25,193.380005,196.960007,2818200,195.459839
"2021-07-09",197.119995,198.399994,196.160004,197.5,1521100,195.995743
"2021-07-12",197.910004,199.300003,197.470001,198.330002,2665800,196.819412
"2021-07-13",198.610001,200.570007,198.199997,199.309998,2999000,197.791962
"2021-07-14",200.059998,202.039993,199.550003,201.279999,1798900,199.746933
"2021-07-15",201.279999,201.279999,199.020004,200.240005,1438000,198.714874
"2021-07-16",199.889999,200.240005,197.550003,199.679993,1785400,198.159119
"2021-07-19",198.470001,199.5,195.559998,197.830002,2073300,196.323242
"2021-07-20",197.240005,201.449997,197.240005,200.110001,1884900,198.837143
"2021-07-21",200.869995,200.869995,197.110001,198.039993,1877600,196.780289
"2021-07-22",198.529999,200.910004,198.350006,200.539993,1488800,199.264404
"2021-07-23",201.740005,203.940002,200.649994,203.589996,957800,202.294998
"2021-07-26",202.610001,202.839996,200.169998,200.820007,1120000,199.542633
"2021-07-27",201.320007,202.699997,201.020004,201.869995,1618200,200.585938
"2021-07-28",202.289993,203.910004,201.589996,203.270004,1363800,201.977051
"2021-07-29",203.979996,205.669998,203.619995,204.119995,1114800,202.82164
"2021-07-30",202.460007,204.199997,202.229996,202.699997,2427500,201.410645
"2021-08-02",203.479996,204.410004,201.339996,202.110001,1580700,200.824432
"2021-08-03",203,204.330002,202.270004,204.100006,2915500,202.801773
"2021-08-04",204.169998,207,203.25,204.789993,1824800,203.487366
"2021-08-05",198,203.970001,195.610001,203.839996,2149200,202.543427
"2021-08-06",204.199997,204.199997,200.130005,201.880005,1282600,200.595871
"2021-08-09",202.369995,202.960007,198.669998,199.720001,1238000,198.449631
"2021-08-10",200.179993,200.880005,198.190002,198.759995,1476900,197.495728
"2021-08-11",198.479996,199.889999,196.960007,197.410004,1083900,196.154297
"2021-08-12",197.5,200.419998,197.179993,199.839996,831200,198.568863
"2021-08-13",200.509995,201.610001,199.589996,201.479996,934500,200.198425
"2021-08-16",201.610001,204.850006,201.029999,204.779999,1040200,203.477432
"2021-08-17",204.550003,206.720001,204.550003,206.600006,1080500,205.285858
"2021-08-18",206.229996,206.820007,203.160004,203.330002,1089300,202.036652
