"","APH.Open","APH.High","APH.Low","APH.Close","APH.Volume","APH.Adjusted"
"2021-09-01",76.669998,76.75,76.129997,76.339996,1983900,75.568398
"2021-09-02",76.669998,76.879997,76.279999,76.839996,1659400,76.063347
"2021-09-03",76.650002,77.080002,76.559998,77.040001,1328000,76.26133
"2021-09-07",76.830002,76.959999,75.940002,75.980003,1874400,75.212036
"2021-09-08",75.849998,75.970001,74.980003,75.559998,1921100,74.79628
"2021-09-09",75.510002,76.040001,75.199997,75.220001,2124900,74.459724
"2021-09-10",75.669998,76.379997,75.32,75.360001,1883500,74.598312
"2021-09-13",75.889999,76.120003,75.160004,75.919998,3115200,75.152649
"2021-09-14",76.199997,76.199997,75.260002,75.730003,2036400,74.964569
"2021-09-15",75.559998,76.480003,75.559998,76.410004,2024000,75.637703
"2021-09-16",76.25,76.809998,75.809998,76.470001,2038600,75.697083
"2021-09-17",76.120003,76.419998,75.410004,75.720001,4812300,74.954659
"2021-09-20",74.489998,74.739998,73.580002,74.199997,2900900,73.590958
"2021-09-21",74.699997,74.699997,73.349998,73.870003,2101200,73.263664
"2021-09-22",74.57,76.309998,74.470001,75.559998,2617000,74.939796
"2021-09-23",75.970001,77.220001,75.839996,77.040001,1956700,76.407646
"2021-09-24",76.610001,77.68,76.610001,77.489998,1538500,76.853943
"2021-09-27",77.160004,77.690002,76.849998,77.269997,2048700,76.63575
"2021-09-28",76.489998,77.330002,75.57,75.639999,4154900,75.019127
"2021-09-29",75.900002,76.169998,74.419998,74.540001,4376800,73.928162
"2021-09-30",74.739998,75.239998,73.199997,73.230003,3439900,72.628922
"2021-10-01",73.650002,75.010002,73.029999,74.610001,2745200,73.997589
"2021-10-04",74.169998,74.540001,73.169998,73.540001,2149800,72.936378
"2021-10-05",73.940002,75.050003,73.610001,74.589996,1955100,73.977745
"2021-10-06",73.730003,74.580002,73.169998,74.529999,1793900,73.918243
"2021-10-07",75.269997,76.050003,75.269997,75.599998,1226800,74.979462
"2021-10-08",75.769997,76.019997,75.379997,75.739998,1340500,75.118309
"2021-10-11",75.480003,75.959999,75.050003,75.07,1375400,74.453812
"2021-10-12",75.190002,75.440002,73.849998,74,1615800,73.392593
"2021-10-13",74.019997,74.559998,73.43,74.43,2397800,73.819069
"2021-10-14",75.139999,76.449997,74.919998,76.43,1652400,75.80265
"2021-10-15",76.830002,77.129997,76.510002,77.07,2049900,76.437393
"2021-10-18",76.620003,77.760002,76.190002,77.480003,1531100,76.844025
"2021-10-19",78,78.099998,77.339996,77.830002,1295100,77.191162
"2021-10-20",77.949997,78.580002,77.779999,78.349998,1454900,77.706894
"2021-10-21",78.360001,79.720001,78.360001,79.489998,2227300,78.83754
"2021-10-22",79.5,80.120003,79.050003,79.300003,1403400,78.649094
"2021-10-25",79.419998,79.599998,78.720001,79.120003,1581000,78.470573
"2021-10-26",79.220001,79.370003,78.720001,78.760002,1979000,78.113533
"2021-10-27",77.199997,77.910004,75.610001,75.769997,3059900,75.148064
"2021-10-28",76.290001,76.82,75.339996,76.629997,3372200,76.001007
"2021-10-29",76.300003,77.25,76.199997,76.769997,1853800,76.139854
"2021-11-01",76.919998,77.660004,76.599998,76.959999,1949600,76.3283
"2021-11-02",76.919998,78.699997,76.919998,77.839996,2181500,77.201065
"2021-11-03",77.580002,78.510002,76.959999,78.370003,1342700,77.72673
"2021-11-04",78.720001,79.129997,78.150002,79.120003,1483600,78.470573
"2021-11-05",80,81.529999,79.769997,81.440002,2243600,80.77153
"2021-11-08",82,82.339996,81.239998,81.650002,2215200,80.979805
"2021-11-09",81.760002,82.32,81.400002,82.290001,1690500,81.614548
"2021-11-10",81.75,82.559998,81.599998,82.290001,2006300,81.614548
"2021-11-11",82.440002,83.18,81.919998,82.82,1935500,82.140198
"2021-11-12",83.160004,84.389999,82.610001,84.019997,1743300,83.330353
"2021-11-15",84.050003,85,83.57,84.959999,2600600,84.262642
"2021-11-16",84.709999,85.620003,84.57,85.040001,3205400,84.341972
"2021-11-17",84.93,85.25,84.440002,84.900002,1882200,84.203133
"2021-11-18",85.059998,85.370003,83.959999,84.760002,1464400,84.06427
"2021-11-19",84.900002,85.779999,84.550003,85.139999,1654000,84.441154
"2021-11-22",85.43,86.050003,84.190002,84.260002,1800800,83.568375
"2021-11-23",84.480003,84.860001,83.75,84.800003,1809900,84.103951
"2021-11-24",84.419998,84.800003,83.650002,84.300003,2013900,83.608055
"2021-11-26",82.580002,82.860001,81.080002,81.620003,2225600,80.95005
"2021-11-29",82.419998,83.68,82.339996,82.93,2213700,82.249298
"2021-11-30",81.57,82.669998,80.370003,80.580002,3987200,79.918579
"2021-12-01",82.18,82.919998,79.949997,79.989998,2891400,79.333427
"2021-12-02",80.099998,82.07,80.019997,81.459999,1965600,80.791359
"2021-12-03",82.120003,82.849998,80.980003,81.669998,2886400,80.999634
"2021-12-06",82.550003,83.190002,81.699997,82.75,2117300,82.07077
"2021-12-07",83.849998,84.260002,83.360001,83.849998,1904700,83.161743
"2021-12-08",84.220001,84.300003,83.160004,83.540001,1333800,82.854294
"2021-12-09",82.989998,83.550003,82.980003,83.110001,1321300,82.427818
"2021-12-10",83.68,84.360001,83.360001,84.269997,1955000,83.578293
