"","BRO.Open","BRO.High","BRO.Low","BRO.Close","BRO.Volume","BRO.Adjusted"
"2021-05-26",51.700001,51.91,51.470001,51.66,1364900,51.318752
"2021-05-27",51.84,52.48,51.669998,52.41,1681500,52.063797
"2021-05-28",52.57,52.73,52.299999,52.52,579500,52.173069
"2021-06-01",52.759998,52.990002,52.279999,52.549999,1035500,52.202873
"2021-06-02",52.75,52.75,52.279999,52.369999,655400,52.024067
"2021-06-03",52.18,52.720001,51.919998,52.27,1105600,51.924721
"2021-06-04",52.400002,52.450001,52.060001,52.369999,478500,52.024067
"2021-06-07",52.369999,52.369999,51.689999,51.709999,524500,51.368423
"2021-06-08",51.619999,52.060001,51.470001,52.060001,550600,51.716118
"2021-06-09",52,52.110001,51.66,51.720001,508500,51.378357
"2021-06-10",51.849998,52.099998,51.75,51.810001,552300,51.467766
"2021-06-11",51.799999,52.18,51.709999,52.169998,593000,51.825386
"2021-06-14",52.16,52.18,51.91,52.119999,721900,51.775715
"2021-06-15",52.119999,53.130001,51.970001,52.939999,899000,52.590302
"2021-06-16",53.009998,53.209999,52.529999,52.709999,1240000,52.36182
"2021-06-17",52.619999,53.189999,52.330002,52.630001,1239300,52.282349
"2021-06-18",52.27,52.43,51.73,51.810001,1721400,51.467766
"2021-06-21",52.080002,52.549999,51.580002,52.459999,914900,52.113472
"2021-06-22",52.509998,53.119999,52.279999,52.849998,758800,52.500893
"2021-06-23",52.849998,53.18,52.779999,52.919998,791400,52.570427
"2021-06-24",53.060001,53.380001,52.82,53.220001,1128000,52.868446
"2021-06-25",53.240002,53.68,53.130001,53.490002,1291400,53.136665
"2021-06-28",53.560001,53.66,52.790001,52.970001,972600,52.620102
"2021-06-29",53.150002,53.740002,53,53.52,909300,53.166466
"2021-06-30",53.529999,53.630001,53.040001,53.139999,914100,52.788979
"2021-07-01",53.099998,53.77,53.099998,53.52,922400,53.166466
"2021-07-02",53.560001,53.880001,53.439999,53.669998,788300,53.315472
"2021-07-06",53.669998,53.799999,53.139999,53.560001,942000,53.206203
"2021-07-07",53.52,53.709999,53.349998,53.599998,927900,53.245941
"2021-07-08",53.110001,53.189999,52.18,52.310001,1171900,51.964462
"2021-07-09",52.57,53.130001,52.57,52.950001,764400,52.600231
"2021-07-12",52.830002,53.299999,52.75,53.279999,721000,52.928055
"2021-07-13",53.330002,53.330002,52.599998,52.610001,691600,52.262474
"2021-07-14",52.720001,52.959999,52.509998,52.779999,721400,52.431355
"2021-07-15",52.490002,53.75,52.360001,53.529999,910500,53.176403
"2021-07-16",53.68,53.990002,53.400002,53.740002,912800,53.385014
"2021-07-19",53.299999,53.400002,52.220001,52.669998,778300,52.322083
"2021-07-20",52.779999,54,52.66,53.389999,1402200,53.037327
"2021-07-21",53.639999,53.939999,53.16,53.27,1280200,52.918121
"2021-07-22",53.220001,53.66,53.169998,53.57,994000,53.216141
"2021-07-23",53.790001,54.419998,53.619999,54.349998,921600,53.990978
"2021-07-26",54.41,54.939999,54,54.400002,1682900,54.040657
"2021-07-27",54.080002,56.220001,53.360001,54.779999,1845500,54.41814
"2021-07-28",54.779999,54.970001,53.810001,54.099998,1498800,53.74263
"2021-07-29",54.349998,55.049999,54.25,54.84,925500,54.477749
"2021-07-30",55.09,55.369999,54.330002,54.400002,1756500,54.040657
"2021-08-02",54.66,54.790001,54.02,54.240002,1778300,53.881714
"2021-08-03",54.32,54.75,53.970001,54.119999,1284600,53.762505
"2021-08-04",53.860001,54.279999,53.52,53.700001,1006200,53.34528
"2021-08-05",53.93,54.209999,53.689999,54.200001,1053400,53.84198
"2021-08-06",54.490002,54.650002,54.139999,54.48,812400,54.120129
"2021-08-09",54.419998,54.830002,54.240002,54.790001,718200,54.428082
"2021-08-10",54.849998,55.189999,54.66,54.869999,985300,54.600227
"2021-08-11",55.09,55.439999,54.98,55.380001,817100,55.107719
"2021-08-12",55.419998,55.549999,55.139999,55.380001,578400,55.107719
"2021-08-13",55.560001,55.880001,55.400002,55.75,967300,55.475899
"2021-08-16",55.779999,56.43,55.599998,56.380001,763100,56.102806
"2021-08-17",56.240002,56.619999,56.09,56.57,816000,56.29187
"2021-08-18",56.509998,57.16,56.209999,56.720001,1525800,56.441128
"2021-08-19",56.490002,57.07,56.299999,56.860001,745300,56.580441
"2021-08-20",56.869999,57.880001,56.860001,57.759998,889500,57.476017
"2021-08-23",57.900002,58.5,57.709999,57.720001,970000,57.436218
"2021-08-24",57.689999,57.91,57.57,57.68,892600,57.396412
"2021-08-25",57.77,58.130001,57.5,57.860001,663500,57.575527
"2021-08-26",57.720001,58.040001,57.549999,57.610001,624300,57.326756
"2021-08-27",57.709999,58.25,57.630001,58.150002,1095900,57.864101
"2021-08-30",58.25,58.470001,58.009998,58.029999,586500,57.74469
"2021-08-31",58,58.48,57.939999,58.049999,1079700,57.764591
"2021-09-01",58,58.689999,57.650002,58.459999,814400,58.172573
"2021-09-02",58.700001,58.959999,58.34,58.73,789900,58.44125
"2021-09-03",58.490002,59.040001,58.349998,58.939999,777400,58.650215
"2021-09-07",59.200001,59.459999,57.91,58.130001,2508600,57.8442
"2021-09-08",58.029999,58.599998,57.84,58.57,1204900,58.282036
"2021-09-09",58.630001,59.110001,58.41,58.43,1264100,58.142723
"2021-09-10",58.439999,58.66,57.709999,57.77,1147500,57.48597
"2021-09-13",58.310001,58.310001,57.060001,57.450001,1079000,57.167542
"2021-09-14",57.439999,57.669998,55.77,56.099998,2333200,55.824177
"2021-09-15",56.119999,57.799999,56.029999,57.48,1390700,57.197392
"2021-09-16",57.439999,57.57,56.639999,57.459999,1217300,57.177494
"2021-09-17",57.66,57.709999,56.169998,57.009998,48381800,56.729702
"2021-09-20",55.880001,56.689999,55.619999,56.34,2672600,56.063
"2021-09-21",56.650002,56.98,56.209999,56.630001,1626800,56.351574
"2021-09-22",57.060001,57.57,56.41,57.400002,1474900,57.11779
"2021-09-23",57.75,58.009998,57.150002,57.48,1162400,57.197392
"2021-09-24",57.509998,58.139999,57.459999,58.099998,812300,57.814342
"2021-09-27",58.220001,58.220001,57.27,57.32,1044600,57.038177
"2021-09-28",57.25,57.25,55.560001,55.790001,1450100,55.515705
"2021-09-29",55.900002,56.599998,55.900002,56.23,1093500,55.953541
"2021-09-30",56.470001,56.580002,55.439999,55.450001,1631700,55.177376
"2021-10-01",55.700001,57.970001,55.470001,57.599998,2024100,57.316803
"2021-10-04",57.630001,58.07,56.790001,57.18,1398000,56.898869
"2021-10-05",57.48,58.470001,57.18,58.130001,1602400,57.8442
"2021-10-06",57.650002,58.830002,57.529999,58.799999,933500,58.510902
"2021-10-07",59.18,59.869999,59.049999,59.450001,946600,59.157711
"2021-10-08",59.5,60.07,59.330002,59.990002,757700,59.695057
"2021-10-11",60.09,60.869999,59.939999,60.25,939200,59.953773
"2021-10-12",60.52,61.349998,60.23,60.75,967800,60.451317
"2021-10-13",60.689999,61.709999,60.41,61.630001,1026900,61.326992
"2021-10-14",62.110001,63.169998,62.02,63.130001,1208200,62.819614
"2021-10-15",63.5,64.720001,63.349998,64.32,1530700,64.003761
"2021-10-18",64.050003,64.589996,63.91,64.010002,1308900,63.69529
"2021-10-19",64.410004,64.410004,63.650002,64.089996,1388800,63.774891
"2021-10-20",64.330002,64.769997,64.330002,64.57,1619600,64.252533
"2021-10-21",64.879997,65.660004,64.739998,65.629997,1504000,65.30732
"2021-10-22",65.809998,66.610001,65.639999,66.489998,1188400,66.163101
"2021-10-25",66.449997,67.239998,66.230003,66.459999,1645900,66.133247
"2021-10-26",66.349998,66.940002,63.450001,63.900002,2303200,63.585835
"2021-10-27",64.260002,64.519997,62.290001,62.650002,1807600,62.341976
"2021-10-28",62.779999,63.43,62.66,62.950001,1055400,62.640499
"2021-10-29",62.98,63.52,62.669998,63.110001,1798000,62.799713
"2021-11-01",63.279999,63.299999,61.400002,61.869999,1523000,61.565807
"2021-11-02",61.869999,63.119999,61.799999,62.73,1622300,62.525673
"2021-11-03",62.779999,63.52,61.009998,61.82,1679800,61.618637
"2021-11-04",61.900002,62.099998,61.25,61.529999,1437600,61.329582
