"","HD.Open","HD.High","HD.Low","HD.Close","HD.Volume","HD.Adjusted"
"2021-07-19",317.98999,319,314.910004,318.869995,3752600,312.084045
"2021-07-20",318.5,326.130005,318.269989,325.350006,4251700,318.426178
"2021-07-21",327.600006,328.470001,324.970001,326.359985,2832600,319.414673
"2021-07-22",327.940002,327.970001,325.329987,326.660004,2208100,319.708282
"2021-07-23",329.470001,333.450012,327.940002,332.839996,2786400,325.756775
"2021-07-26",330.070007,331.559998,326.880005,331.179993,2752000,324.13208
"2021-07-27",331.790009,331.880005,326.059998,327.26001,2910300,320.295532
"2021-07-28",326.420013,329.329987,324.709991,325.519989,2376200,318.59256
"2021-07-29",326.48999,328.559998,325.440002,327.429993,2172400,320.461914
"2021-07-30",326.850006,330.109985,326.339996,328.190002,2381200,321.20575
"2021-08-02",330,330,326.420013,327.220001,2016400,320.256348
"2021-08-03",328.350006,333.01001,328.029999,331.940002,2405900,324.875916
"2021-08-04",330.690002,331.920013,329.390015,330.309998,1783700,323.280609
"2021-08-05",331.959991,336,331.089996,333.109985,2284000,326.021027
"2021-08-06",334.690002,335.709991,329.119995,329.839996,2656600,322.820618
"2021-08-09",329.230011,331.070007,327.320007,328.76001,1995300,321.763611
"2021-08-10",328.670013,333.23999,327.149994,331.480011,1868100,324.42572
"2021-08-11",333.799988,338.549988,333.399994,337,3258600,329.828247
"2021-08-12",337.350006,338.170013,332.279999,334.019989,2554200,326.911652
"2021-08-13",333.859985,335.799988,330.980011,331.320007,2217000,324.269104
"2021-08-16",330.709991,335.630005,327.970001,335.049988,3496300,327.919739
"2021-08-17",321,323.589996,316.609985,320.75,9322800,313.924072
"2021-08-18",319.339996,327.859985,319,321.549988,4880600,314.707062
"2021-08-19",318.790009,325.190002,317.799988,322.899994,2974700,316.028259
"2021-08-20",322.640015,329.679993,322.470001,329.23999,2929900,322.233368
"2021-08-23",330,330.529999,327.380005,327.73999,2792700,320.765289
"2021-08-24",328.76001,328.839996,324.51001,324.899994,2359500,317.985748
"2021-08-25",324.149994,326.559998,323.109985,323.880005,2586900,316.987457
"2021-08-26",323.209991,324.98999,321,321.480011,2952300,314.638519
"2021-08-27",320.880005,324.049988,319.649994,323.380005,2985400,316.498077
"2021-08-30",325.910004,329.5,325.209991,327.100006,2926900,320.138947
"2021-08-31",327,328.269989,323.619995,326.179993,4183100,319.238495
"2021-09-01",325.559998,325.779999,320.279999,323.640015,3339100,318.363037
"2021-09-02",325.029999,328.179993,323.700012,327.73999,3109000,322.396149
"2021-09-03",325.329987,330.899994,325.160004,330.339996,2774800,324.953735
"2021-09-07",331.029999,332.559998,326.899994,328.950012,2555200,323.586426
"2021-09-08",328.950012,331.929993,327.630005,331.579987,2219500,326.173523
"2021-09-09",332.450012,333.730011,330.869995,331.769989,3011900,326.360413
"2021-09-10",334,335.230011,331.450012,331.950012,3178600,326.537537
"2021-09-13",334.950012,337.149994,332.75,335.450012,3908700,329.980469
"2021-09-14",336.029999,337.48999,332.420013,333.119995,2857200,327.688416
"2021-09-15",333.359985,334.670013,330.100006,333.369995,2875500,327.934357
"2021-09-16",334.720001,337.839996,334.170013,336.390015,3043800,330.905151
"2021-09-17",334.950012,339.649994,334.950012,335.670013,7098400,330.196869
"2021-09-20",331.829987,335.390015,328.429993,331.209991,4036600,325.80957
"2021-09-21",333.029999,336.970001,332,334.220001,3171100,328.770508
"2021-09-22",335.850006,339,333.459991,335.929993,2872800,330.452606
"2021-09-23",337.839996,339.519989,335.600006,335.910004,2426600,330.432953
"2021-09-24",336.779999,337.839996,335.549988,337.48999,2004900,331.987152
"2021-09-27",336.869995,343.73999,336.869995,341.410004,2966100,335.843262
"2021-09-28",341.369995,341.369995,332.459991,333.799988,3304100,328.35733
"2021-09-29",333.359985,338.880005,333.359985,336.929993,2424000,331.43631
"2021-09-30",338.23999,338.709991,327.630005,328.26001,4255000,322.907684
"2021-10-01",328.149994,332.730011,324.579987,329.859985,2814200,324.481567
"2021-10-04",328.5,330.609985,324.160004,326.470001,2919900,321.146881
"2021-10-05",326.899994,332.190002,326.329987,329.480011,2514300,324.107758
