"","OTIS.Open","OTIS.High","OTIS.Low","OTIS.Close","OTIS.Volume","OTIS.Adjusted"
"2021-11-17",84.360001,86.044998,84.095001,85.57,2657800,84.728699
"2021-11-18",84.790001,86.419998,84.68,86.230003,2586400,85.622353
"2021-11-19",86.440002,87.830002,86.07,86.260002,2901700,85.652145
"2021-11-22",86.25,86.389999,83.870003,84.199997,1770400,83.606659
"2021-11-23",84,84.375,83.519997,83.809998,1683000,83.219398
"2021-11-24",83.650002,84.550003,82.870003,84.459999,1024700,83.864822
"2021-11-26",82.93,84.230003,82.5,83.190002,1170100,82.603783
"2021-11-29",84.110001,84.339996,82.989998,83.580002,1934300,82.991028
"2021-11-30",83.080002,83.580002,80.150002,80.400002,2602300,79.833435
"2021-12-01",81.699997,83.339996,80.419998,80.449997,2247400,79.88308
"2021-12-02",80.860001,83.069,80.855003,82.849998,2224700,82.266167
"2021-12-03",83.349998,83.599998,81.919998,82.800003,2236400,82.216522
"2021-12-06",83.400002,84.489998,82.68,84.010002,2046200,83.417992
"2021-12-07",85.139999,86.260002,84.720001,85.699997,2093000,85.096085
"2021-12-08",85.650002,86.515999,84.699997,86.209999,2923600,85.602493
"2021-12-09",86.040001,86.610001,85.169998,86.190002,2406900,85.582634
"2021-12-10",86.32,86.57,85.794998,86.080002,2379000,85.473412
"2021-12-13",86.25,86.639999,84.800003,85.379997,2502400,84.778343
"2021-12-14",85.07,85.400002,84.074997,84.809998,2178600,84.212357
"2021-12-15",85.050003,85.385002,83.481003,84.919998,2011900,84.321587
"2021-12-16",85.709999,86.864998,85.209999,86.510002,3345100,85.900383
"2021-12-17",85.43,86.669998,84.019997,84.160004,2875700,83.566948
"2021-12-20",83.25,83.25,80.574997,82.330002,2440500,81.74984
"2021-12-21",83.330002,84.279999,82.809998,84.18,1415100,83.5868
"2021-12-22",84.129997,84.559998,83.639999,84.309998,1014500,83.715881
"2021-12-23",84.849998,85.587997,84.43,85.25,933100,84.649261
"2021-12-27",85.730003,86.540001,85.589996,86.519997,674400,85.910301
"2021-12-28",86.489998,86.709999,86.129997,86.459999,730200,85.850731
"2021-12-29",86.220001,87.233002,86.220001,86.82,1229700,86.208199
