"","OTIS.Open","OTIS.High","OTIS.Low","OTIS.Close","OTIS.Volume","OTIS.Adjusted"
"2021-06-14",80.57,80.800003,80.129997,80.800003,1232700,79.793427
"2021-06-15",80.970001,81.269997,80.422997,80.989998,1341500,79.981064
"2021-06-16",81.010002,81.309998,80.290001,80.629997,2578100,79.625542
"2021-06-17",80.919998,81.190002,79.445,80.470001,3734700,79.467529
"2021-06-18",79.760002,80.169998,78.925003,79.5,4490800,78.509621
"2021-06-21",80.089996,81.099998,79.669998,81.040001,2582700,80.030434
"2021-06-22",81.040001,81.809998,80.75,81.370003,1757800,80.356323
"2021-06-23",81.639999,81.660004,80.739998,80.82,1276400,79.813179
"2021-06-24",80.889999,81.699997,80.690002,81.370003,1679100,80.356323
"2021-06-25",81.510002,81.910004,81.279999,81.650002,2532100,80.632835
"2021-06-28",81.599998,81.75,80.739998,81.660004,1940000,80.642708
"2021-06-29",81.690002,82.470001,81.580002,82.080002,1844000,81.05748
"2021-06-30",81.849998,82.410004,81.230003,81.769997,1981700,80.751335
"2021-07-01",82.190002,82.389999,81.699997,82.080002,1576100,81.05748
"2021-07-02",82.190002,82.940002,81.849998,82.660004,1113100,81.630257
"2021-07-06",82.269997,82.57,81.699997,82.25,1570300,81.225349
"2021-07-07",82.860001,84.650002,82.32,84.080002,1645300,83.03257
"2021-07-08",82.919998,83.93,82.459999,83.089996,1478100,82.054893
"2021-07-09",83.839996,84.010002,83.230003,83.82,1073300,82.775803
"2021-07-12",83.470001,83.889999,83.239998,83.82,1506700,82.775803
"2021-07-13",84.010002,84.389999,83.300003,83.529999,1683000,82.48941
"2021-07-14",83.400002,84.982002,83.400002,84.779999,1772100,83.723839
"2021-07-15",84.5,85.419998,84.5,85.230003,1769100,84.168243
"2021-07-16",85.07,85.550003,84.870003,84.919998,1654800,83.862106
"2021-07-19",84.309998,84.410004,83.019997,84.059998,2534100,83.012817
"2021-07-20",84.449997,86.290001,84.139999,86.099998,1839200,85.027397
"2021-07-21",86.25,86.910004,86.148003,86.809998,1447700,85.728554
"2021-07-22",87,87.650002,86.620003,87.330002,2123200,86.242081
"2021-07-23",88.080002,88.818001,87.650002,88.519997,1648700,87.417259
"2021-07-26",89.940002,90.199997,86.849998,89.059998,3098600,87.950523
"2021-07-27",89.025002,89.155998,87.519997,88.220001,1701900,87.120987
"2021-07-28",88.019997,88.440002,87.269997,87.93,1670200,86.834602
"2021-07-29",88.349998,88.940002,87.870003,88.870003,2009900,87.762894
"2021-07-30",88.839996,89.790001,88.690002,89.550003,1545200,88.434425
"2021-08-02",89.68,90.669998,89.68,89.93,1441000,88.809685
"2021-08-03",90.110001,91.82,90.099998,91.279999,1683700,90.142868
"2021-08-04",91,91.669998,90.57,90.800003,1214800,89.668854
"2021-08-05",91.150002,91.410004,90.029999,90.730003,1547000,89.599724
"2021-08-06",91.029999,91.32,89.959999,90.139999,1938600,89.017067
"2021-08-09",89.82,90.059998,88.940002,89.730003,1867200,88.612183
"2021-08-10",89.889999,90.559998,89.389999,89.870003,1269500,88.750435
"2021-08-11",89.910004,90.540001,89.809998,90.43,1539600,89.303459
"2021-08-12",90.43,90.43,89.559998,90.199997,1344100,89.076317
"2021-08-13",90.260002,91.029999,90.099998,90.660004,2823900,89.530602
"2021-08-16",90.75,92.099998,90.459999,91.900002,2660100,90.75515
"2021-08-17",91.43,91.75,90.169998,90.739998,1821700,89.609596
"2021-08-18",90.470001,91.720001,90.300003,90.5,2377400,89.372581
"2021-08-19",89.57,90.889999,89.309998,90.199997,1343500,89.313171
"2021-08-20",89.830002,90.410004,89.470001,90.019997,3291500,89.134941
"2021-08-23",90.540001,90.989998,89.860001,89.919998,2037500,89.035927
"2021-08-24",89.860001,90.760002,89.654999,90.370003,2585500,89.481506
"2021-08-25",90.769997,91.470001,90.620003,91.129997,2034500,90.234032
"2021-08-26",90.919998,92,90.910004,91.809998,1527800,90.907341
"2021-08-27",92.110001,92.679001,91.760002,92.010002,1195500,91.105392
"2021-08-30",92.010002,92.839996,91.775002,92.370003,867900,91.461838
"2021-08-31",92.370003,92.644997,91.860001,92.220001,2124700,91.313316
"2021-09-01",92.190002,92.199997,90.955002,91.5,1711600,90.600395
"2021-09-02",91.900002,92.459999,91.650002,92.059998,1547000,91.154884
"2021-09-03",91.889999,92.455002,91.580002,91.82,1313400,90.917244
"2021-09-07",91.57,91.57,89.260002,89.379997,2056300,88.501236
"2021-09-08",89.129997,91.059998,89.042,90.720001,2312400,89.828072
"2021-09-09",90.839996,91.260002,90.120003,90.480003,1610300,89.590424
"2021-09-10",91.029999,91.239998,90.199997,90.550003,1494900,89.659737
"2021-09-13",91.330002,91.709999,89.404999,89.949997,2013200,89.065636
"2021-09-14",90.209999,90.830002,89.264999,90.360001,2113700,89.471603
"2021-09-15",90.580002,90.580002,89.459999,90.349998,2868600,89.4617
"2021-09-16",90.349998,90.349998,87.625,88.199997,3171200,87.332832
"2021-09-17",87.260002,87.449997,84.889999,85.019997,11037500,84.184105
"2021-09-20",84,84.400002,82.269997,83.18,4458100,82.362198
"2021-09-21",83.32,84.120003,81.93,82,4208800,81.193794
"2021-09-22",83.860001,85.550003,83.120003,84.290001,3488600,83.461288
"2021-09-23",84.529999,86.809998,84.029999,85.739998,4250200,84.897026
"2021-09-24",85.419998,86.144997,84.559998,84.860001,1874200,84.025673
"2021-09-27",84.550003,85.135002,84.050003,84.230003,1614400,83.401878
"2021-09-28",83.57,84.155998,82.720001,83.709999,2440600,82.886986
"2021-09-29",83.900002,84.389999,83.110001,83.32,1784600,82.500816
"2021-09-30",83.879997,84.080002,82.269997,82.279999,2354800,81.471039
"2021-10-01",82.660004,83,81.050003,82.5,2530400,81.688881
