"","DGX.Open","DGX.High","DGX.Low","DGX.Close","DGX.Volume","DGX.Adjusted"
"2021-04-16",130.139999,130.570007,128.759995,130.110001,1460000,127.136124
"2021-04-19",130.600006,131.089996,129.470001,131.089996,876000,128.093719
"2021-04-20",130.5,131.399994,128.169998,129.369995,1032300,126.413025
"2021-04-21",129.470001,130.669998,129.220001,130.020004,1166600,127.048164
"2021-04-22",131.110001,133.899994,128.330002,133.690002,2129400,130.634293
"2021-04-23",131.100006,132.779999,130.009995,131.210007,1586100,128.210983
"2021-04-26",131.639999,133.050003,130.169998,132.270004,855400,129.24675
"2021-04-27",131.929993,133.050003,131.910004,132.300003,1257000,129.276047
"2021-04-28",132.479996,132.850006,131.070007,131.679993,1359300,128.670227
"2021-04-29",131.949997,132.589996,130.050003,131.460007,926600,128.455261
"2021-04-30",131.050003,132.660004,130.850006,131.880005,1239300,128.865646
"2021-05-03",132.610001,134.75,132.550003,132.710007,1267800,129.676697
"2021-05-04",134.009995,136.520004,133.020004,136.389999,1498600,133.272598
"2021-05-05",137,137.190002,134.119995,136.570007,1948600,133.448471
"2021-05-06",136.25,138.490005,135.710007,138.389999,1315400,135.226852
"2021-05-07",138.649994,140.639999,138.649994,138.949997,1264900,135.774078
"2021-05-10",139.75,142.800003,139.110001,141.479996,1247100,138.246231
"2021-05-11",140.509995,140.830002,137.5,137.850006,1176600,134.699219
"2021-05-12",137.949997,139.320007,136.009995,136.009995,1290300,132.90126
"2021-05-13",135.610001,138.130005,135.070007,137.470001,1138200,134.327896
"2021-05-14",138.199997,138.589996,135.320007,135.419998,1262800,132.324753
"2021-05-17",135.809998,136.449997,131.289993,132.009995,2284300,128.992676
"2021-05-18",132.220001,132.809998,130.570007,130.990005,1692300,127.996025
"2021-05-19",130.309998,131.339996,128.759995,130.690002,1611000,127.702866
"2021-05-20",130.570007,132.619995,130.179993,131.449997,1093700,128.445496
"2021-05-21",131.809998,133.210007,130.789993,131.330002,710600,128.328232
"2021-05-24",132,132.660004,130.449997,130.470001,735700,127.487877
"2021-05-25",130.399994,131.779999,130.399994,130.850006,928000,127.859215
"2021-05-26",131.25,133.539993,130.679993,132.649994,1330000,129.618057
"2021-05-27",132.850006,133.509995,131.800003,132.559998,1513700,129.530121
"2021-05-28",132.779999,133.009995,131.300003,131.669998,871600,128.660461
"2021-06-01",131.529999,131.649994,126.980003,127.269997,1556000,124.361031
"2021-06-02",127.720001,128.309998,126.300003,127.529999,1220500,124.615082
"2021-06-03",127.220001,128.830002,127.220001,128.139999,1221800,125.211143
"2021-06-04",128.009995,129.699997,128.009995,128.880005,1092100,125.934235
"2021-06-07",129.210007,129.759995,128.75,128.929993,1273600,125.983093
"2021-06-08",129.169998,129.330002,126.400002,127.519997,943700,124.605316
"2021-06-09",127.849998,128.75,127.129997,127.5,825200,124.58577
"2021-06-10",127.910004,128.699997,127.589996,128.179993,1011600,125.250214
"2021-06-11",128.479996,128.929993,127.050003,127.290001,822800,124.380577
"2021-06-14",127.370003,128.509995,126.93,128.039993,842100,125.113426
"2021-06-15",128.619995,128.809998,127.010002,128.169998,794300,125.240456
"2021-06-16",128.350006,128.960007,126.830002,127.459999,1240200,124.546692
"2021-06-17",127.5,128.309998,126.239998,128.089996,1284900,125.162277
"2021-06-18",127.629997,128.779999,127.169998,127.5,2041600,124.58577
"2021-06-21",127.669998,129.899994,127.669998,129.429993,1116600,126.471649
"2021-06-22",129.570007,130.880005,129.570007,130.240005,1096900,127.263145
"2021-06-23",130.110001,130.179993,128.970001,129.160004,754600,126.207825
"2021-06-24",129.339996,129.809998,128.399994,129.190002,679600,126.237137
"2021-06-25",129.190002,130.279999,128.809998,129.630005,1066700,126.667091
"2021-06-28",129.880005,132.110001,129.460007,131.660004,794600,128.650696
"2021-06-29",131.699997,133.800003,131.649994,132.979996,840700,129.940506
"2021-06-30",133.080002,133.649994,130.940002,131.970001,877500,128.953613
"2021-07-01",132.240005,133.179993,131.860001,132.949997,879300,129.911209
"2021-07-02",132.759995,133.690002,132.339996,133.320007,914000,130.272766
"2021-07-06",132.970001,133.690002,132.089996,133.460007,935100,131.01886
"2021-07-07",133.229996,134.809998,132.860001,134.630005,765900,132.167465
"2021-07-08",133.860001,134.770004,133.160004,133.869995,800900,131.421326
"2021-07-09",134.229996,135.149994,133.710007,135.039993,699500,132.569946
"2021-07-12",135,136.589996,134.75,135.630005,853600,133.149155
"2021-07-13",135.770004,135.860001,134.690002,135.039993,690200,132.569946
"2021-07-14",134.860001,135.800003,134.380005,134.610001,858400,132.147812
"2021-07-15",134,134.960007,133.539993,134.070007,1118300,131.617691
"2021-07-16",134.25,135.330002,133.380005,134.520004,1220900,132.059479
"2021-07-19",134.520004,137.399994,134.119995,136.25,1849400,133.757813
"2021-07-20",137.070007,139.110001,135.830002,136.270004,1335900,133.777451
"2021-07-21",136.779999,137.279999,135.100006,135.779999,1257200,133.296417
"2021-07-22",135.25,138.139999,132.100006,137.970001,1572600,135.44635
"2021-07-23",138.220001,139.990005,137.529999,139.429993,951200,136.879639
"2021-07-26",139.220001,140.289993,137.779999,138.380005,789700,135.848846
"2021-07-27",138.240005,140.169998,138.059998,139.960007,1153900,137.399948
"2021-07-28",140,140.630005,139,139.970001,887500,137.409775
"2021-07-29",140.779999,141.710007,139.800003,141.240005,872500,138.65654
"2021-07-30",141.229996,142.479996,140.889999,141.800003,1005700,139.206314
"2021-08-02",142.039993,143.639999,141.080002,143.039993,852400,140.423599
"2021-08-03",143.960007,145.380005,143.509995,145.360001,1112100,142.701172
"2021-08-04",145.169998,148.570007,144.910004,146.710007,1270500,144.026489
"2021-08-05",147,148.610001,144.820007,147.300003,1260400,144.605682
"2021-08-06",147.289993,148.25,146,146.600006,1376200,143.918503
"2021-08-09",146.899994,148.380005,146.779999,147.899994,826500,145.194717
"2021-08-10",147.509995,150.339996,147.009995,148.570007,954500,145.852463
"2021-08-11",149.470001,149.940002,148.190002,148.550003,947000,145.83284
"2021-08-12",148.919998,149.009995,146.669998,148.070007,1624600,145.361618
"2021-08-13",148.690002,149.759995,148.160004,148.220001,945100,145.508865
"2021-08-16",148.25,151.440002,148.25,151.350006,1819900,148.581619
"2021-08-17",151.300003,153.429993,150.699997,152.279999,1087500,149.494598
"2021-08-18",152.179993,152.179993,148.919998,149.130005,811400,146.402222
"2021-08-19",149.320007,152.5,149.25,151.600006,923000,148.827042
"2021-08-20",151.789993,153.009995,151.550003,152,776300,149.219742
"2021-08-23",152.100006,152.589996,150.160004,150.529999,1246400,147.776611
"2021-08-24",150.929993,150.929993,148.449997,149.529999,785100,146.794922
"2021-08-25",149.820007,150.009995,148.669998,149.710007,712100,146.971619
"2021-08-26",149.839996,150.25,148.880005,149.589996,844100,146.853806
"2021-08-27",149.889999,149.889999,148.389999,149.139999,870300,146.412033
"2021-08-30",149.669998,151.940002,148.850006,150.770004,751500,148.012222
"2021-08-31",150.839996,152.880005,150.080002,152.830002,1687600,150.034546
"2021-09-01",153.470001,153.789993,151.910004,153.539993,706700,150.731552
"2021-09-02",153.820007,155.059998,153.800003,155.009995,1094400,152.174652
"2021-09-03",154.789993,155.960007,154.059998,155.839996,844100,152.989487
"2021-09-07",155.820007,155.990005,153.690002,155.539993,990900,152.694977
"2021-09-08",155.559998,158.089996,155.169998,158,1110700,155.109985
"2021-09-09",158.259995,160.559998,156.899994,157.350006,1455100,154.471878
"2021-09-10",159.729996,160.350006,154.770004,154.940002,1730400,152.105957
"2021-09-13",155.289993,155.75,152.229996,153.899994,1255700,151.084976
"2021-09-14",154.830002,155.880005,154.080002,154.809998,1471000,151.978317
"2021-09-15",154.149994,156.789993,153.990005,155.789993,1278800,152.940399
"2021-09-16",156.070007,157,154.270004,155.009995,861600,152.174652
"2021-09-17",154.940002,156.830002,154.610001,154.770004,4055800,151.939072
"2021-09-20",154.330002,155.779999,153.330002,154.220001,1406200,151.399109
"2021-09-21",154.850006,155.800003,154.160004,154.339996,999300,151.516907
"2021-09-22",154.970001,154.970001,152.240005,152.710007,1334600,149.916733
