"","KMB.Open","KMB.High","KMB.Low","KMB.Close","KMB.Volume","KMB.Adjusted"
"2021-03-03",129.339996,131.559998,128.809998,130.529999,2975100,123.932579
"2021-03-04",129.580002,131.339996,128.380005,128.679993,2331700,123.252533
"2021-03-05",129,132.779999,128.539993,131.589996,2541900,126.039795
"2021-03-08",131.539993,134.679993,130.550003,133.149994,1896600,127.533989
"2021-03-09",132.880005,133.929993,132.199997,132.330002,2022400,126.748581
"2021-03-10",133.130005,135.440002,131.229996,134.440002,2193900,128.769592
"2021-03-11",133.429993,133.919998,132.529999,132.550003,1964100,126.95932
"2021-03-12",133.910004,134.660004,133.100006,133.470001,2109700,127.840515
"2021-03-15",133.990005,135.119995,133.059998,134.25,2292600,128.587585
"2021-03-16",134.429993,134.910004,133.570007,134.429993,2157100,128.760025
"2021-03-17",135.149994,135.429993,132.470001,132.550003,2189300,126.95932
"2021-03-18",132.509995,133.309998,130.470001,132.399994,2727700,126.815628
"2021-03-19",131.369995,133.080002,130,130.320007,6552900,124.823372
"2021-03-22",130.110001,133.110001,130.110001,133.029999,2682800,127.419052
"2021-03-23",133.309998,135.789993,132.330002,135.279999,2198100,129.574173
"2021-03-24",134.320007,135.869995,133.839996,135.679993,2136000,129.957306
"2021-03-25",136.5,137.139999,135.009995,135.669998,1837200,129.947708
"2021-03-26",135.399994,137.179993,134.740005,137.130005,1722300,131.346146
"2021-03-29",136.809998,139.789993,136.479996,138.910004,2511200,133.051041
"2021-03-30",138.160004,139.449997,137.740005,138.309998,1861200,132.476364
"2021-03-31",139.600006,142.210007,138.559998,139.050003,3490600,133.185165
"2021-04-01",137.940002,138.25,134.800003,136.979996,3235300,131.202454
"2021-04-05",137.720001,139.559998,136.960007,138.429993,2035300,132.591293
"2021-04-06",137.639999,138.300003,137.070007,138.050003,1882800,132.227341
"2021-04-07",138.490005,139.059998,136.369995,136.940002,1498400,131.164154
"2021-04-08",136.990005,137.619995,136.320007,137.550003,1527400,131.748444
"2021-04-09",137.199997,138.240005,135.759995,136.690002,1487100,130.924698
"2021-04-12",136.970001,138.009995,136.580002,137.229996,1716700,131.441925
"2021-04-13",137.440002,137.779999,136.630005,137.210007,1616900,131.422775
"2021-04-14",136.869995,136.960007,135.100006,136.270004,1603900,130.522415
"2021-04-15",136.899994,139.179993,136.570007,138.929993,2318000,133.070206
"2021-04-16",139.660004,139.800003,138.169998,139.220001,3629100,133.347977
"2021-04-19",138.710007,139.809998,137.729996,138.929993,1840600,133.070206
"2021-04-20",139,142.880005,138.639999,142.389999,2518300,136.384277
"2021-04-21",142.919998,143.369995,140.919998,141.470001,2131900,135.503082
"2021-04-22",140.619995,142.080002,140,140.330002,2282700,134.411179
"2021-04-23",134.490005,135.429993,131.520004,132.110001,8340700,126.537865
"2021-04-26",131.789993,132,129.25,130.520004,4150700,125.014938
"2021-04-27",130.089996,130.169998,129.029999,129.449997,3671100,123.990059
"2021-04-28",129.830002,130.449997,128.639999,129.639999,3156000,124.172058
"2021-04-29",130.059998,132.779999,130,132.630005,3110300,127.035934
"2021-04-30",132.589996,133.830002,132.149994,133.320007,3209000,127.696854
"2021-05-03",133.300003,135.800003,133,134.740005,2006300,129.056946
"2021-05-04",135.300003,135.970001,134.279999,134.720001,2046300,129.037796
"2021-05-05",134.509995,136.029999,133.940002,135.570007,1991300,129.851929
"2021-05-06",135.940002,137.559998,135.270004,136.130005,2488100,130.388321
"2021-05-07",135.660004,136.240005,135.100006,135.5,1509700,129.784882
"2021-05-10",136.070007,137.770004,135.979996,136.899994,2826000,131.125824
"2021-05-11",137.199997,137.899994,133.850006,134.210007,2254400,128.549286
"2021-05-12",134.229996,134.690002,132.929993,132.979996,2729000,127.371178
"2021-05-13",132.970001,134.710007,132.429993,133.75,2198200,128.108688
"2021-05-14",134.570007,135.850006,134.119995,134.179993,2139300,128.520569
"2021-05-17",134.009995,135.309998,133.539993,133.630005,1542200,127.993752
"2021-05-18",132.899994,133.449997,131.720001,132.940002,2254600,127.332863
"2021-05-19",132.690002,132.740005,131.25,132.580002,1826700,126.988045
"2021-05-20",132.460007,133.820007,132.220001,132.679993,2092200,127.083817
"2021-05-21",132.820007,133.720001,132.220001,132.350006,2329900,126.767769
"2021-05-24",132.240005,132.949997,131.759995,132.119995,1602700,126.547432
"2021-05-25",132.119995,132.320007,130.699997,132.100006,2172800,126.528297
"2021-05-26",132.139999,132.229996,130.740005,131.029999,2539800,125.503433
"2021-05-27",130.679993,133,130.270004,132.860001,6780100,127.256241
"2021-05-28",131.710007,132.179993,130.520004,130.630005,4278200,125.120293
"2021-06-01",131.5,131.839996,129.580002,130.009995,2693500,124.526436
"2021-06-02",130.279999,131.020004,130.039993,130.740005,3056500,125.225655
"2021-06-03",130.270004,130.889999,128.720001,129.600006,3778700,125.225655
"2021-06-04",129.919998,130.910004,129.470001,130.570007,2423600,126.162926
"2021-06-07",130.660004,131.240005,129.740005,131.080002,2515100,126.655693
"2021-06-08",131.210007,131.419998,129.570007,129.720001,2484200,125.341614
"2021-06-09",129.720001,131.429993,129.130005,129.300003,1938800,124.935783
"2021-06-10",129.570007,130.649994,129.410004,129.649994,1576800,125.273964
"2021-06-11",129.929993,129.929993,128.880005,129.740005,1508500,125.360939
"2021-06-14",130,130.199997,128.729996,129.520004,1549300,125.148361
"2021-06-15",129.860001,130,129.119995,129.220001,1880400,124.85849
"2021-06-16",129.600006,130.149994,128.610001,128.889999,2096200,124.539627
"2021-06-17",128.800003,130.449997,128.5,130.080002,2369100,125.689453
"2021-06-18",129.559998,129.740005,128.550003,128.690002,3144800,124.346375
"2021-06-21",129.139999,129.639999,128.899994,129.460007,1462700,125.090385
"2021-06-22",129.589996,130.399994,129.080002,130.130005,2279600,125.737778
"2021-06-23",130.220001,130.880005,130,130.300003,2638600,125.902031
"2021-06-24",130.259995,131.160004,130.199997,131.070007,1957300,126.646042
"2021-06-25",131.25,133.229996,130.910004,133.070007,4882200,128.578537
"2021-06-28",132.830002,133.710007,131.600006,131.970001,2873700,127.515671
"2021-06-29",132.279999,133.139999,132,132.539993,1890700,128.066406
"2021-06-30",132.639999,134.029999,132.639999,133.779999,1987700,129.264557
"2021-07-01",133.949997,134.330002,133.179993,133.520004,1594600,129.013367
"2021-07-02",133.570007,135.009995,133.410004,134.350006,1896300,129.815323
"2021-07-06",134.690002,135.130005,133.570007,134.639999,2376600,130.095551
"2021-07-07",134.800003,136.169998,134.550003,135.720001,2464800,131.139099
"2021-07-08",135.229996,136.660004,134.619995,135.300003,1656800,130.733276
"2021-07-09",135.539993,135.919998,135,135.020004,1741700,130.462723
"2021-07-12",134.5,135.679993,134.300003,134.699997,1962300,130.153519
"2021-07-13",134.910004,135.639999,133.869995,134.339996,1752300,129.805679
"2021-07-14",134.5,135.570007,133.699997,135.240005,2368300,130.675293
"2021-07-15",135.009995,136.210007,134.220001,136.139999,1422200,131.544907
"2021-07-16",136.779999,138.740005,136.259995,138.520004,2327100,133.844589
"2021-07-19",138.710007,140.399994,137.229996,139.039993,2789100,134.347031
"2021-07-20",139.289993,140.800003,137.539993,137.729996,1957500,133.081238
"2021-07-21",137.690002,137.729996,135.199997,135.440002,2256300,130.868546
"2021-07-22",134.460007,136.539993,134.350006,134.949997,1686500,130.395065
"2021-07-23",130.449997,136.149994,129.639999,135.660004,5014000,131.081116
"2021-07-26",134.410004,136.639999,134,135.100006,3038800,130.540009
"2021-07-27",134.429993,136.699997,133.660004,136.25,2082200,131.651199
"2021-07-28",136.020004,136.25,134.119995,134.889999,2133900,130.337097
"2021-07-29",135.350006,136.570007,134.75,136.179993,1695800,131.583557
"2021-07-30",136.309998,136.679993,135.440002,135.720001,2687200,131.139099
"2021-08-02",135.690002,135.869995,134.449997,134.669998,1587600,130.124512
"2021-08-03",133.660004,135.990005,133.520004,135.639999,1461000,131.061783
"2021-08-04",135.589996,135.929993,133.25,133.699997,1274400,129.187271
"2021-08-05",134.279999,134.440002,132.309998,133.410004,1733000,128.907059
"2021-08-06",133.779999,133.940002,132.649994,133.25,1339500,128.752457
"2021-08-09",133.529999,134.300003,133.259995,134.25,1550600,129.718689
"2021-08-10",133.880005,134.199997,133.130005,133.889999,1735700,129.370865
"2021-08-11",134.259995,134.619995,133.699997,134.190002,1005600,129.660721
"2021-08-12",134.639999,134.639999,133.740005,134.279999,976200,129.747681
"2021-08-13",134.820007,136.869995,134.399994,136.479996,1425400,131.873444
"2021-08-16",136.5,139.229996,136.190002,138.570007,1833100,133.892899
"2021-08-17",138.339996,139.740005,137.910004,139.220001,1534000,134.52095
"2021-08-18",138.899994,138.899994,136.520004,136.619995,1279400,132.008698
"2021-08-19",136.820007,139.520004,136.75,138.910004,1452900,134.221405
"2021-08-20",138.899994,139.649994,138.179993,138.229996,1505100,133.564362
"2021-08-23",138.149994,138.350006,137.270004,137.479996,1303000,132.839691
"2021-08-24",137.160004,137.449997,135.779999,135.800003,1052100,131.216385
"2021-08-25",135.259995,136.190002,134.800003,135.720001,1114300,131.139099
"2021-08-26",135.800003,136.660004,135.279999,136.330002,1351400,131.728485
"2021-08-27",137.309998,137.309998,135.759995,136.350006,1254200,131.747833
