"","STX.Open","STX.High","STX.Low","STX.Close","STX.Volume","STX.Adjusted"
"2021-06-15",95.120003,95.699997,93.769997,93.940002,1382800,90.975639
"2021-06-16",93.75,94.269997,92.379997,92.690002,1840000,89.765083
"2021-06-17",92,92.57,87.620003,88.82,3802900,86.017204
"2021-06-18",87.279999,87.870003,85,85.300003,4831700,82.608284
"2021-06-21",86.389999,86.669998,84.68,85.309998,2641800,82.617958
"2021-06-22",85.330002,85.360001,83.690002,84.5,2459800,81.833527
"2021-06-23",84.790001,85.989998,83.93,84.760002,2263600,82.085327
"2021-06-24",86.870003,86.870003,85.5,86.389999,2002700,83.663879
"2021-06-25",86.239998,87.699997,86.099998,86.5,1727900,83.770416
"2021-06-28",86.5,87.110001,86,86.209999,1428500,83.489571
"2021-06-29",86.5,87.82,86.300003,87.68,1739600,84.913177
"2021-06-30",88.540001,88.800003,87.059998,87.93,1533600,85.155289
"2021-07-01",88.099998,88.389999,86.489998,86.620003,1648800,83.886627
"2021-07-02",86.940002,87.169998,85.790001,87.029999,1294800,84.283691
"2021-07-06",86.709999,87.610001,85.120003,85.629997,1729100,82.927879
"2021-07-07",86.059998,88.07,85.540001,87.82,2161800,85.048759
"2021-07-08",85.010002,87.980003,84.580002,86.5,1894300,83.770416
"2021-07-09",87.540001,88.610001,87.040001,87.959999,1437000,85.184341
"2021-07-12",88.449997,89.43,87.769997,88.980003,1384200,86.172157
"2021-07-13",88.010002,89.300003,87.540001,88.5,1584100,85.707298
"2021-07-14",89.5,90.330002,88.839996,89.620003,1500100,86.791962
"2021-07-15",90.57,90.720001,85.459999,86.150002,2136300,83.431465
"2021-07-16",86.389999,86.989998,84.07,84.459999,1611900,81.794785
"2021-07-19",83.050003,84.440002,82.129997,84.290001,1938100,81.630157
"2021-07-20",84.25,86.010002,84.059998,85.489998,2470500,82.79229
"2021-07-21",81.75,83.989998,78.860001,82.599998,6407600,79.993477
"2021-07-22",82.480003,83.830002,81.959999,83.139999,2309900,80.516441
"2021-07-23",83.209999,85.599998,83.169998,85.480003,2723200,82.7826
"2021-07-26",85.730003,87.300003,85.730003,86.269997,2467300,83.547676
"2021-07-27",85.980003,86.059998,83.129997,85.18,2111700,82.492073
"2021-07-28",85.220001,87.059998,85.110001,86.599998,1436900,83.867264
"2021-07-29",87.730003,87.730003,85.75,87.199997,1011200,84.448318
"2021-07-30",86.75,88.949997,86.510002,87.900002,3085100,85.126236
"2021-08-02",88.650002,89.269997,87.82,88.5,2174100,85.707298
"2021-08-03",88.660004,91.099998,88.18,90.419998,1962200,87.566719
"2021-08-04",89.940002,90.379997,89.010002,89.32,1617100,86.501427
"2021-08-05",89.800003,91.110001,89.510002,90.900002,1784000,88.03157
"2021-08-06",91.349998,93.18,91.339996,92.150002,1472100,89.242119
"2021-08-09",91.839996,93.129997,91.339996,92.519997,1044400,89.600441
"2021-08-10",92.870003,93.779999,92.25,92.769997,1547200,89.842552
"2021-08-11",92.800003,94.290001,91.800003,94.129997,1704500,91.159645
"2021-08-12",94.480003,94.480003,89.949997,90.830002,2058700,87.963776
"2021-08-13",90.410004,91.75,90.110001,90.339996,1347400,87.489235
"2021-08-16",91.769997,92.389999,90.599998,90.709999,1787400,87.847557
"2021-08-17",89.599998,91.150002,88.989998,90.209999,1255600,87.363342
"2021-08-18",90.209999,90.839996,88.980003,89.029999,1384200,86.220581
"2021-08-19",88.080002,88.790001,87.459999,88.139999,1435100,85.358665
"2021-08-20",88.330002,89.519997,87.989998,89.440002,1269800,86.617645
"2021-08-23",90.07,92.339996,89.959999,91.660004,1254900,88.767593
"2021-08-24",90.699997,91.160004,84.690002,86.07,5323300,83.353981
"2021-08-25",85.900002,89.529999,85.900002,86.889999,3235600,84.148109
"2021-08-26",86.93,87.199997,84.639999,84.739998,2325000,82.065948
"2021-08-27",84.860001,87.099998,84.839996,86.309998,1659000,83.586403
"2021-08-30",86.349998,87.269997,85.779999,86.839996,1484200,84.099686
"2021-08-31",87.010002,88.230003,86.550003,87.589996,1896900,84.826012
"2021-09-01",88.220001,88.220001,86,87.190002,2051900,84.438644
"2021-09-02",87.910004,89.599998,87.449997,89.5,1629000,86.675743
"2021-09-03",89.639999,90.75,89.440002,90.32,1484600,87.469872
