"","ALB.Open","ALB.High","ALB.Low","ALB.Close","ALB.Volume","ALB.Adjusted"
"2021-01-19",181,185.630005,178.389999,185.25,1520700,183.090576
"2021-01-20",187.509995,188.350006,179.380005,180.190002,1404400,178.089569
"2021-01-21",181.5,181.990005,174.419998,176.410004,1321300,174.353622
"2021-01-22",173.240005,174.869995,171.169998,173.710007,2034500,171.685104
"2021-01-25",174,179.5,172.080002,176.919998,1372300,174.857681
"2021-01-26",177.820007,178.830002,172.630005,175.380005,1406100,173.335632
"2021-01-27",170.259995,170.600006,161.360001,168.850006,2907700,166.88176
"2021-01-28",170.619995,171.149994,163.880005,166.369995,1706500,164.430664
"2021-01-29",165.080002,169.460007,160.419998,162.660004,3133400,160.763916
"2021-02-01",165.779999,167.899994,163.309998,166.369995,1233900,164.430664
"2021-02-02",169.449997,171.649994,167.720001,169.25,1177200,167.2771
"2021-02-03",166.5,171.119995,160.410004,161.880005,2278800,159.993011
"2021-02-04",152.940002,156.5,151.639999,154.899994,8388900,153.094376
"2021-02-05",157,159.100006,154.339996,157.169998,4970300,155.337906
"2021-02-08",160,163.860001,158.820007,161.559998,2523900,159.676727
"2021-02-09",160.360001,161.279999,155.809998,158.690002,1537600,156.840179
"2021-02-10",161.259995,161.800003,155.110001,156.050003,1485500,154.230957
"2021-02-11",156.089996,160.449997,154.520004,159.850006,1455000,157.986664
"2021-02-12",164.470001,165.949997,161.070007,164.639999,1590000,162.720825
"2021-02-16",170.5,171.350006,161.669998,162.199997,1869300,160.309265
"2021-02-17",162.630005,162.759995,154.339996,157.470001,2300400,155.634399
"2021-02-18",150.479996,151.25,140.729996,141.460007,4075000,139.81105
"2021-02-19",144.759995,156.979996,144.5,156.169998,3729900,154.349579
"2021-02-22",154.139999,159.880005,153.600006,156.490005,2317400,154.665848
"2021-02-23",150.210007,155.259995,141.139999,154.619995,2314500,152.817627
"2021-02-24",155,162.130005,152.789993,160.899994,1816500,159.024414
"2021-02-25",161.479996,162.899994,151.910004,153.479996,1326300,151.690933
"2021-02-26",152.979996,158.910004,151.820007,157.210007,1718100,155.377441
"2021-03-01",160.050003,161.279999,151.5,152.949997,2385400,151.167084
"2021-03-02",153.889999,158.630005,153.369995,153.720001,1321400,151.928116
"2021-03-03",153.910004,154.690002,146.729996,147,1523100,145.286469
"2021-03-04",145.940002,146.649994,137.119995,141.509995,2915300,139.860458
"2021-03-05",144.270004,144.580002,133.820007,143.880005,1416700,142.20282
"2021-03-08",144.970001,146.699997,140.25,140.690002,1322900,139.050018
