"","PYPL.Open","PYPL.High","PYPL.Low","PYPL.Close","PYPL.Volume","PYPL.Adjusted"
"2021-05-26",259.779999,262.320007,259.160004,261.369995,5405300,261.369995
"2021-05-27",259.859985,260.640015,256.279999,259.470001,7051200,259.470001
"2021-05-28",261.070007,263.149994,259.869995,260.019989,4281800,260.019989
"2021-06-01",261.079987,263.420013,256.519989,259.269989,5869600,259.269989
"2021-06-02",260.480011,264.779999,259.579987,262.170013,6801800,262.170013
"2021-06-03",258.399994,260.980011,256.149994,257.790009,4947100,257.790009
"2021-06-04",259.514008,263.459991,259.149994,263.040009,4086100,263.040009
"2021-06-07",262.480011,262.940002,260.190002,260.600006,3979800,260.600006
"2021-06-08",261.574005,264.549988,260.565002,263.149994,4427000,263.149994
"2021-06-09",265,268.199005,263.26001,263.600006,4653000,263.600006
"2021-06-10",263.070007,269.649994,261.690002,269.470001,6055700,269.470001
"2021-06-11",268.75,271.899994,268.399994,271.450012,4494600,271.450012
"2021-06-14",271.899994,274.970001,270.600006,274.929993,5174200,274.929993
"2021-06-15",274.730011,274.730011,270.679993,271.890015,5371100,271.890015
"2021-06-16",271.450012,275.160004,265.309998,268.820007,6874600,268.820007
"2021-06-17",268.5,279.372009,268.459991,278.109985,8071100,278.109985
"2021-06-18",275.299988,286.380005,274.859985,283.380005,14713400,283.380005
"2021-06-21",283.278992,284.304993,276.725006,283.100006,7287800,283.100006
"2021-06-22",281.700012,287.459991,280.220001,286.75,6049400,286.75
"2021-06-23",285.940002,288.549988,284.779999,288.119995,4966700,288.119995
"2021-06-24",290.179993,296.01001,289.640015,293.209991,7160300,293.209991
"2021-06-25",292.600006,292.869995,287.799988,289.600006,6616900,289.600006
"2021-06-28",290.850006,294.26001,289.779999,293.649994,5058600,293.649994
"2021-06-29",292.970001,295.179993,291.529999,292.76001,4333200,292.76001
"2021-06-30",291.529999,292.700012,289.51001,291.480011,4236000,291.480011
"2021-07-01",290.329987,291.899994,285.76001,289,5647400,289
"2021-07-02",290.940002,292.429993,288.920013,290.23999,4169400,290.23999
"2021-07-06",290.035004,294.526001,289.519989,292.640015,5043500,292.640015
"2021-07-07",294.899994,299.30899,291.910004,297.130005,6713900,297.130005
"2021-07-08",292.100006,295.86499,289.459991,295.049988,5912000,295.049988
"2021-07-09",296.410004,300.829987,295,300.209991,5543300,300.209991
"2021-07-12",302.369995,303.5,298.559998,302.970001,5456000,302.970001
"2021-07-13",302.190002,307.820007,298.75,301.190002,7235000,301.190002
"2021-07-14",303.01001,304.809998,299.329987,300.75,4848200,300.75
"2021-07-15",300.859985,301.179993,294.140015,296.51001,4943500,296.51001
"2021-07-16",297.230011,298.75,294.440002,294.630005,4268900,294.630005
"2021-07-19",292.350006,295.069,288.809998,294.850006,5681500,294.850006
"2021-07-20",295.515015,300.029999,291.570007,298.070007,5424100,298.070007
"2021-07-21",296.48999,301.829987,296.200012,301.769989,5497100,301.769989
"2021-07-22",302.020996,304.570007,301.869995,303.690002,3601500,303.690002
"2021-07-23",305.76001,309.475006,304.200012,308.529999,4231100,308.529999
"2021-07-26",309.660004,310.160004,305.230011,306.799988,3805900,306.799988
"2021-07-27",305.5,306.339996,294.890015,300.480011,6938400,300.480011
"2021-07-28",300.73999,302.429993,296.779999,301.980011,9185000,301.980011
"2021-07-29",285.369995,289,281.600006,283.170013,18237000,283.170013
"2021-07-30",280.244995,280.5,274.209991,275.529999,11693300,275.529999
"2021-08-02",276.88501,276.88501,270.429993,270.98999,10082800,270.98999
"2021-08-03",272.059998,274.540009,269.570007,273.5,8323000,273.5
"2021-08-04",274.071014,276.092987,270.670013,275.5,6616900,275.5
"2021-08-05",277.100006,280.959991,275.820007,280.670013,7354200,280.670013
