"","XEL.Open","XEL.High","XEL.Low","XEL.Close","XEL.Volume","XEL.Adjusted"
"2021-07-06",66.650002,67.150002,65.949997,67.07,2637700,65.22995
"2021-07-07",67.139999,67.739998,66.760002,67.690002,1920300,65.832939
"2021-07-08",67.489998,68.209999,67.269997,67.5,2155700,65.648163
"2021-07-09",67.400002,67.82,66.900002,67.669998,2509200,65.813492
"2021-07-12",67.559998,67.900002,67.169998,67.839996,1850900,65.978828
"2021-07-13",67.800003,68.150002,67.349998,67.580002,2048700,65.725967
"2021-07-14",67.660004,68.449997,67.18,68.089996,2923000,66.221962
"2021-07-15",68.050003,68.75,67.889999,68.720001,3142600,66.834694
"2021-07-16",68.639999,69.629997,68.639999,69.129997,2844100,67.233429
"2021-07-19",69.370003,70.32,67.559998,68.269997,4035200,66.397034
"2021-07-20",68.489998,69.300003,67.970001,68.160004,3107100,66.290054
"2021-07-21",68.019997,68.239998,66.970001,67.059998,2310100,65.22023
"2021-07-22",66.980003,67.510002,66.849998,67.239998,2023100,65.395287
"2021-07-23",67.489998,68.300003,67.300003,68.269997,1774500,66.397034
"2021-07-26",68.209999,68.410004,67.629997,68.309998,1540300,66.435928
"2021-07-27",68.209999,69.669998,67.949997,69.459999,2448000,67.554375
"2021-07-28",69.339996,69.5,68.220001,68.699997,2087500,66.815224
"2021-07-29",69.769997,69.769997,68.330002,68.790001,1514900,66.902763
"2021-07-30",68.839996,69.550003,68.110001,68.25,2525000,66.377571
"2021-08-02",68.360001,68.93,67.93,68.559998,2316100,66.67907
"2021-08-03",68.639999,69.370003,68.389999,68.699997,1812800,66.815224
"2021-08-04",68.519997,69.050003,67.889999,68.949997,2686400,67.058372
"2021-08-05",69.080002,69.400002,68.470001,69.239998,2025700,67.340416
"2021-08-06",69.089996,69.580002,68.68,69.080002,2077300,67.184807
"2021-08-09",69.080002,69.449997,68.629997,69.120003,1415100,67.223709
"2021-08-10",69.18,69.18,68.599998,68.709999,1579100,66.824959
"2021-08-11",68.970001,69.43,68.849998,69.07,1728900,67.175087
"2021-08-12",69.029999,69.339996,68.580002,68.790001,2272000,66.902763
"2021-08-13",69.07,69.269997,68.830002,69.040001,1569400,67.145912
