"","TGT.Open","TGT.High","TGT.Low","TGT.Close","TGT.Volume","TGT.Adjusted"
"2021-07-09",248.679993,250.75,247.380005,248.580002,2702500,244.811935
"2021-07-12",249.5,252.470001,249.119995,252.240005,3056900,248.416473
"2021-07-13",250.5,253.440002,250.5,251.75,2392900,247.933884
"2021-07-14",252.600006,254.050003,251.610001,253.630005,2578700,249.785385
"2021-07-15",253.699997,254.529999,252.029999,252.929993,2646200,249.095993
"2021-07-16",253.899994,254.050003,250.860001,251.149994,3415900,247.342972
"2021-07-19",249.779999,251.820007,248.539993,251.119995,3187300,247.313431
"2021-07-20",251.100006,256.380005,249.690002,254.710007,2805200,250.849014
"2021-07-21",255.25,256.429993,254.300003,256.049988,2262500,252.168686
"2021-07-22",257.399994,257.790009,254.979996,257.01001,2472200,253.114151
"2021-07-23",257.779999,261.109985,257.529999,261.029999,2016900,257.073212
"2021-07-26",260.880005,262.380005,259.089996,260.859985,2338000,256.905762
"2021-07-27",260,260.26001,255.690002,258.359985,3036100,254.443665
"2021-07-28",257.290009,258.859985,256.380005,257.420013,2810500,253.517929
"2021-07-29",258.190002,261.839996,257.380005,261.660004,3055000,257.693634
"2021-07-30",260.73999,263.459991,258.730011,261.049988,2806600,257.092865
"2021-08-02",262.079987,262.309998,254.800003,257.23999,3174900,253.340668
"2021-08-03",258.109985,263.299988,257.959991,262.200012,2545000,258.225494
"2021-08-04",261.200012,262.890015,260.23999,260.529999,2397200,256.58078
"2021-08-05",261.769989,262.709991,259.980011,261.399994,2202900,257.437561
"2021-08-06",261.929993,262.98999,259.339996,260.089996,2441900,256.147461
"2021-08-09",260.100006,262.790009,260.079987,262.410004,2508800,258.432281
"2021-08-10",262.970001,265.75,262.01001,264.070007,3369800,260.067139
"2021-08-11",264.549988,267.059998,262.450012,263.01001,2939000,259.023193
"2021-08-12",263.950012,264.600006,261.049988,261.880005,2266400,257.910339
"2021-08-13",262.690002,263.700012,260.619995,261.540009,3070400,257.5755
"2021-08-16",260.089996,263.48999,256.75,263.149994,3397400,259.161102
"2021-08-17",260.450012,260.450012,252.050003,254.649994,6620500,251.650589
"2021-08-18",248.990005,255.789993,246.25,247.580002,8908000,244.663879
"2021-08-19",244.529999,249.529999,244.399994,245.410004,5067600,242.51944
"2021-08-20",246.669998,253.979996,246.619995,253.399994,4146100,250.415298
"2021-08-23",254.259995,255.220001,252.339996,252.529999,2952900,249.555573
"2021-08-24",253.5,253.5,250.279999,250.649994,2466600,247.697693
"2021-08-25",250.5,252.259995,249.410004,251.149994,2438100,248.191818
"2021-08-26",250.429993,250.509995,247.300003,248.960007,2919900,246.027634
"2021-08-27",248.149994,250.470001,247.679993,249.179993,2661100,246.245026
"2021-08-30",249.210007,251.380005,249.149994,249.360001,2092700,246.422897
"2021-08-31",249.149994,249.600006,245.419998,246.979996,3966000,244.070938
"2021-09-01",247,247.550003,244.259995,246.369995,2862700,243.46814
"2021-09-02",246.330002,246.960007,245.149994,245.809998,2523300,242.914719
"2021-09-03",245.089996,245.179993,243,244.309998,3351700,241.432388
"2021-09-07",243.919998,244.589996,241.589996,242.720001,2725200,239.86113
"2021-09-08",242.729996,246.190002,242.389999,246.110001,2843300,243.211197
"2021-09-09",245.970001,247.320007,244.619995,245.440002,2474600,242.549088
"2021-09-10",247.210007,247.699997,244.190002,244.539993,1945600,241.659668
"2021-09-13",245.5,246.25,241.600006,243.100006,2872000,240.236633
"2021-09-14",243.389999,244.410004,241.779999,242.240005,1905800,239.38678
"2021-09-15",242.330002,244.860001,241.800003,244.139999,1953000,241.264389
"2021-09-16",245.229996,247.5,244.75,246.949997,2171400,244.041306
"2021-09-17",245.449997,248.529999,245.449997,246.669998,3735900,243.764587
"2021-09-20",243.479996,246.169998,239.559998,242.139999,3329100,239.287964
"2021-09-21",242.839996,245.059998,241.240005,241.309998,1960300,238.467728
"2021-09-22",242.369995,243.380005,239.720001,241.770004,2285900,238.922318
"2021-09-23",243.5,245.169998,242.440002,242.669998,2038600,239.811707
"2021-09-24",241.330002,242.809998,240.380005,241.440002,1901400,238.596191
"2021-09-27",240.25,242.339996,237.869995,238.580002,2588400,235.769882
"2021-09-28",236.899994,237.360001,232.860001,233.440002,3173900,230.69043
"2021-09-29",234.570007,237.619995,233.809998,235.850006,2655500,233.072037
"2021-09-30",235.880005,235.880005,228.130005,228.770004,5425400,226.075424
"2021-10-01",229.25,229.490005,223.850006,228.419998,3476400,225.729553
"2021-10-04",227.929993,229,222.880005,225.889999,3816400,223.229355
"2021-10-05",227.059998,229.509995,225.660004,227.559998,2407300,224.879684
"2021-10-06",226.149994,227.539993,224.779999,226.830002,2789100,224.158279
"2021-10-07",228.550003,231.5,228.399994,229.820007,2352000,227.113068
"2021-10-08",230.050003,231.720001,228.320007,228.899994,2004900,226.203888
"2021-10-11",228.570007,231.25,228.339996,228.720001,1998600,226.026016
"2021-10-12",230,231.399994,228.5,230.240005,2167400,227.528122
"2021-10-13",231.5,236.770004,230.520004,236.75,3984700,233.961441
"2021-10-14",238.800003,243.800003,236.229996,242.089996,4281700,239.238541
"2021-10-15",243.300003,247.350006,242.149994,245.710007,3626900,242.815903
"2021-10-18",244.949997,253.740005,244.539993,253.649994,4365800,250.662369
"2021-10-19",254.529999,256.950012,251.800003,252.190002,3204800,249.219574
"2021-10-20",254.309998,254.740005,251.309998,251.830002,2209300,248.863815
"2021-10-21",251.619995,254.240005,251.399994,254.210007,1758400,251.21579
"2021-10-22",255.479996,257.410004,254.589996,255.929993,2205700,252.915512
"2021-10-25",256.820007,261,256.100006,260.350006,2488400,257.283447
"2021-10-26",261.399994,261.51001,257.51001,258.730011,2439700,255.682541
"2021-10-27",258.940002,259.390015,255.720001,256.540009,2269700,253.518341
"2021-10-28",258.26001,260.149994,257.529999,258.220001,1735200,255.178574
"2021-10-29",256.51001,259.779999,256.51001,259.619995,2417800,256.562073
"2021-11-01",261.549988,261.799988,257.48999,257.920013,1718100,254.882095
"2021-11-02",259.029999,261.200012,258.540009,260.26001,2228000,257.194519
"2021-11-03",258.700012,260.649994,256.720001,260.410004,2397300,257.342743
"2021-11-04",260.660004,262.51001,259.420013,260.440002,3031000,257.372406
"2021-11-05",261,261.23999,252.809998,254.270004,4060300,251.27507
"2021-11-08",253.25,256.100006,252.029999,253.330002,2523100,250.346146
"2021-11-09",252.779999,255.419998,252.570007,255.160004,2346800,252.154587
"2021-11-10",254.029999,256,252.649994,254.050003,2093100,251.057678
"2021-11-11",254.270004,256.579987,253.699997,256.01001,2199400,252.994583
"2021-11-12",257.380005,261.869995,256.679993,260.019989,2497600,256.957367
"2021-11-15",262.790009,268.980011,261.399994,264.329987,4852400,261.216583
"2021-11-16",263,267.529999,262.73999,266.390015,4355800,264.151733
"2021-11-17",253.990005,257.170013,251.470001,253.800003,11855900,251.667511
"2021-11-18",256.089996,256.640015,249.649994,252.050003,5786300,249.93222
"2021-11-19",251.100006,253.880005,250.410004,250.699997,3960900,248.593552
"2021-11-22",251.429993,251.679993,241.210007,244.570007,5568900,242.51506
"2021-11-23",245.649994,249.720001,243.429993,249.179993,4053400,247.086319
"2021-11-24",247.899994,249.619995,246.119995,248.759995,3052000,246.669846
"2021-11-26",248.690002,251.460007,245.779999,246.570007,3180900,244.49826
"2021-11-29",248.539993,251.580002,247.009995,249.160004,3027600,247.066498
"2021-11-30",246.360001,246.990005,242.240005,243.839996,7907900,241.791183
"2021-12-01",245.679993,248.399994,240.229996,240.389999,3851600,238.370163
"2021-12-02",241.889999,246.619995,241.389999,245.5,3684000,243.437241
"2021-12-03",246.729996,248.410004,245.309998,247.570007,4838700,245.489853
"2021-12-06",248.460007,248.850006,242.320007,242.970001,3772600,240.928497
"2021-12-07",244.630005,246.229996,243.669998,245.630005,3565900,243.566162
"2021-12-08",246.740005,247.330002,238.199997,239.600006,4929400,237.586823
"2021-12-09",239.110001,239.699997,235.830002,237.559998,2762200,235.56395
"2021-12-10",237.160004,239.75,236.690002,238.179993,2487200,236.178741
"2021-12-13",237.919998,238.520004,232.399994,234.169998,3783500,232.202438
"2021-12-14",230.910004,236.160004,230.910004,235.279999,3364800,233.303116
"2021-12-15",233.600006,236.820007,231.550003,236.649994,3433500,234.661606
"2021-12-16",235.960007,236.649994,224.490005,224.779999,7302100,222.891342
"2021-12-17",224.830002,226.289993,221.470001,223.309998,5832300,221.433685
"2021-12-20",221.029999,221.5,214.600006,219.190002,5233200,217.348312
"2021-12-21",219.880005,220.779999,216.479996,220.070007,3975700,218.220917
"2021-12-22",219.800003,221.279999,217,217.740005,4182600,215.910492
"2021-12-23",218.550003,222.139999,218.289993,221.009995,3345300,219.153
"2021-12-27",222.100006,224.690002,220.860001,224.100006,4335600,222.217056
"2021-12-28",224.449997,227.5,223.639999,224.910004,3202400,223.020248
"2021-12-29",225.369995,229.570007,225.369995,227.919998,3065800,226.004944
