"","TAP.Open","TAP.High","TAP.Low","TAP.Close","TAP.Volume","TAP.Adjusted"
"2021-02-25",46.73,47.360001,45.799999,45.830002,2921900,44.50111
"2021-02-26",45.799999,46.07,44.360001,44.450001,2636800,43.161125
"2021-03-01",45.32,46.139999,44.779999,44.849998,1384300,43.549522
"2021-03-02",44.549999,45.360001,44.369999,44.970001,1795500,43.66605
"2021-03-03",45.360001,46.02,44.639999,44.950001,2711600,43.646622
"2021-03-04",45.259998,46.41,44.509998,45.389999,2684000,44.073868
"2021-03-05",45.849998,46.700001,45.5,46.16,3986800,44.821541
"2021-03-08",46.48,48.139999,46.369999,47.669998,2894600,46.287754
"2021-03-09",48.099998,48.099998,46.369999,46.380001,2479800,45.03516
"2021-03-10",46.799999,47.860001,46.57,46.849998,2327900,45.491531
"2021-03-11",46.240002,46.889999,45.700001,45.98,2876700,44.646759
"2021-03-12",46.310001,46.950001,46.09,46.630001,2350700,45.277912
"2021-03-15",46.610001,48.130001,46.509998,47.639999,2911800,46.258625
"2021-03-16",47.240002,48.700001,46.75,48.41,3362900,47.006298
"2021-03-17",48.66,49.119999,48.02,48.66,4040800,47.24905
"2021-03-18",49.02,50.27,49.02,49.150002,3318000,47.724842
"2021-03-19",48.599998,49.419998,47.360001,49.200001,4444600,47.773392
"2021-03-22",49.200001,49.849998,48.610001,49.849998,2466300,48.404541
"2021-03-23",49.900002,49.900002,48.32,48.790001,2912100,47.375278
"2021-03-24",48.82,49.07,48.27,48.360001,2271700,46.957752
"2021-03-25",48.43,50.41,48.029999,50.099998,2086800,48.647289
"2021-03-26",50.41,51.400002,50.310001,51.369999,1791300,49.88047
"2021-03-29",51,53.220001,50.990002,52.91,3217000,51.37582
"2021-03-30",52.790001,53.259998,51.779999,52.34,2152000,50.822342
"2021-03-31",51.900002,52.41,51.119999,51.150002,2228800,49.666851
"2021-04-01",51.169998,51.98,50.16,51.900002,1909000,50.395103
"2021-04-05",52.349998,53.25,52.080002,52.75,1803400,51.220455
"2021-04-06",52.5,53.369999,52.119999,52.41,1977200,50.890316
"2021-04-07",52.709999,53,51.57,51.720001,1886500,50.220322
"2021-04-08",51.150002,51.939999,50.720001,51.580002,2915100,50.084381
"2021-04-09",51.779999,51.810001,49.919998,50,2166900,48.550194
"2021-04-12",50.279999,50.830002,50.209999,50.619999,1532300,49.152218
"2021-04-13",49.900002,52.18,49.830002,51.740002,3599500,50.239742
"2021-04-14",51.869999,52.060001,50.77,51.150002,2066900,49.666851
"2021-04-15",51.220001,52.990002,51.220001,52.939999,2123100,51.404945
"2021-04-16",53.200001,53.59,52.849998,53.470001,1601000,51.919582
"2021-04-19",53.5,54.150002,52.919998,54.009998,1660600,52.443916
"2021-04-20",53.93,54.450001,52.240002,52.43,1970000,50.909737
"2021-04-21",52.740002,53.59,52.459999,53.169998,2161400,51.628277
"2021-04-22",53.080002,53.220001,52.23,52.279999,1587900,50.76408
"2021-04-23",52.25,52.790001,52.02,52.27,1486100,50.754375
"2021-04-26",52.240002,52.990002,51.91,52.939999,1440100,51.404945
"2021-04-27",52.779999,53.009998,51.959999,52.060001,1448600,50.550465
"2021-04-28",52.529999,52.889999,51.619999,51.869999,2266600,50.365971
"2021-04-29",53.049999,55.709999,52.349998,55.5,4584900,53.890717
"2021-04-30",55.389999,55.509998,54.400002,54.950001,2946000,53.356667
"2021-05-03",55.240002,57.360001,55.02,57.139999,2755900,55.483162
"2021-05-04",57.09,57.41,55.93,56.419998,2597400,54.784039
"2021-05-05",56.279999,57.029999,56,56.950001,1449300,55.298672
"2021-05-06",57.549999,60.060001,57.459999,59.450001,3294300,57.726181
"2021-05-07",58.68,59.639999,58.450001,59.509998,2080800,57.784435
"2021-05-10",60.200001,61.110001,59.400002,59.560001,1706200,57.832993
"2021-05-11",58.950001,59.279999,57.23,57.799999,2626700,56.124023
"2021-05-12",58.299999,58.419998,57.360001,57.380001,1400500,55.716206
"2021-05-13",57.419998,58.470001,57.060001,58.240002,1090300,56.551266
"2021-05-14",58.369999,59.060001,57.93,58.18,1063700,56.493008
"2021-05-17",58.470001,58.900002,57.91,57.93,1362000,56.250256
"2021-05-18",57.919998,58.040001,55.419998,55.48,2931100,53.871292
"2021-05-19",55.09,55.689999,53.700001,55.57,2760000,53.958687
"2021-05-20",56.279999,57.139999,55.689999,56.490002,2046000,54.852016
"2021-05-21",56.59,57.25,56.279999,57.150002,2008300,55.492874
"2021-05-24",57.150002,58.330002,56.799999,57.75,2115700,56.075474
"2021-05-25",58.599998,58.689999,57.830002,58.060001,1940400,56.376488
"2021-05-26",57.639999,57.970001,57.060001,57.369999,2435900,55.706493
"2021-05-27",57.75,58.189999,57.200001,57.380001,2916700,55.716206
"2021-05-28",57.419998,58.93,57.360001,58.32,1911800,56.628948
"2021-06-01",58.790001,58.93,58.040001,58.200001,1459900,56.512424
"2021-06-02",58.5,60.400002,58.029999,60.099998,2776000,58.357334
"2021-06-03",59.549999,59.91,59.16,59.799999,1513400,58.066036
"2021-06-04",59.810001,60.25,59.369999,60.110001,1530100,58.367043
"2021-06-07",60.439999,60.669998,60.02,60.66,1266000,58.901096
"2021-06-08",60.549999,61.189999,60.380001,60.73,1799500,58.969067
"2021-06-09",60.5,61.110001,60.279999,60.740002,1027700,58.978779
"2021-06-10",60.990002,61.48,60.68,60.720001,1047800,58.959362
"2021-06-11",60.75,60.75,59.330002,59.959999,1322800,58.22139
"2021-06-14",59.900002,60.150002,59.25,59.759998,1442400,58.027191
"2021-06-15",59.950001,59.98,57.91,58.139999,3379000,56.454166
"2021-06-16",57.990002,58.720001,57.380001,57.790001,1931100,56.114315
"2021-06-17",57.630001,57.779999,55.709999,56.139999,1609700,54.512157
"2021-06-18",55.990002,56.130001,54.209999,54.23,3154800,52.657543
"2021-06-21",54.610001,55.869999,54.610001,55.709999,1925000,54.094624
"2021-06-22",55.439999,55.560001,54.790001,54.919998,2909600,53.32753
"2021-06-23",54.939999,55.150002,54.209999,54.720001,1512200,53.133335
"2021-06-24",54.720001,55.18,54.389999,54.959999,1206800,53.366371
"2021-06-25",54.799999,55.220001,54.580002,55.080002,1491500,53.482895
"2021-06-28",55.169998,55.200001,53.950001,54.830002,1082100,53.240147
"2021-06-29",55.029999,55.209999,54.330002,54.43,1143300,52.851742
"2021-06-30",54.540001,54.880001,53.310001,53.689999,2161200,52.133198
"2021-07-01",53.91,54.290001,53.77,53.98,1378900,52.414791
"2021-07-02",54,54.23,53.349998,53.810001,1143200,52.249718
"2021-07-06",53.540001,53.639999,51.529999,52.02,2440000,50.51162
"2021-07-07",52.029999,53.119999,51.419998,52.889999,1995100,51.356392
"2021-07-08",52.009998,53.34,51.93,52.73,1617800,51.201035
"2021-07-09",53.189999,53.740002,52.93,53.18,1271700,51.637993
"2021-07-12",52.66,52.880001,52.259998,52.849998,1187600,51.317551
"2021-07-13",52.939999,53.169998,51.560001,51.689999,1605600,50.191189
"2021-07-14",51.869999,52.18,51.450001,51.540001,1336300,50.04554
"2021-07-15",51.5,51.759998,50.650002,51.040001,1322900,49.56004
"2021-07-16",51.34,52.279999,50.360001,50.490002,1760900,49.025986
"2021-07-19",50,50.59,49.450001,50.360001,2703800,48.899761
"2021-07-20",50.360001,51.459999,49.939999,50.93,1704100,49.453228
"2021-07-21",51.310001,51.619999,50.490002,50.59,1420900,49.123085
