"","EFX.Open","EFX.High","EFX.Low","EFX.Close","EFX.Volume","EFX.Adjusted"
"2020-12-17",193.449997,196.470001,192.990005,193.75,435300,191.733871
"2020-12-18",193.509995,195.630005,192.699997,195.169998,829600,193.139084
"2020-12-21",192.130005,194.899994,189.309998,194.550003,469500,192.525558
"2020-12-22",193.949997,194.630005,192.820007,194.029999,354000,192.010956
"2020-12-23",194.169998,194.850006,192.75,192.869995,555500,190.863037
"2020-12-24",193.410004,194.479996,193.039993,193.960007,153100,191.941681
"2020-12-28",195.919998,195.919998,193.229996,193.660004,352700,191.644806
"2020-12-29",194.910004,195.839996,189.550003,190.75,333700,188.765091
"2020-12-30",190.850006,192.369995,190.130005,191.169998,263800,189.180725
"2020-12-31",191.869995,193.220001,189.979996,192.839996,487700,190.833344
"2021-01-04",193.460007,194.410004,185.179993,187.960007,704000,186.004105
"2021-01-05",188.419998,190.360001,186.940002,189.880005,644600,187.90416
"2021-01-06",187.919998,188.820007,181.889999,181.960007,1135200,180.066559
"2021-01-07",183.139999,184,180.429993,181.289993,742000,179.403519
"2021-01-08",181.039993,186.789993,180.509995,186.059998,873900,184.123886
"2021-01-11",184.429993,187.289993,183.309998,184.690002,369200,182.768143
"2021-01-12",183.720001,185.429993,182.199997,183.910004,473000,181.996262
"2021-01-13",184.559998,185.339996,181.960007,182.149994,275300,180.254593
"2021-01-14",182.330002,182.419998,176.550003,177.630005,635500,175.781616
"2021-01-15",177.679993,178.869995,175.779999,177,461600,175.158157
"2021-01-19",177.190002,177.610001,175.300003,176.020004,425900,174.18837
"2021-01-20",176.399994,179.300003,176.020004,178.139999,412400,176.286301
"2021-01-21",177.139999,180.229996,177.139999,178.490005,456800,176.632675
"2021-01-22",178.199997,180.050003,177.320007,178.740005,458100,176.880066
"2021-01-25",177.630005,179.979996,175.929993,178.75,459700,176.889954
"2021-01-26",180.360001,181.919998,178.25,180.490005,443300,178.611862
"2021-01-27",178.080002,181.729996,176.360001,178.710007,829700,176.850372
"2021-01-28",180.25,184.860001,178.889999,181.139999,801000,179.255081
"2021-01-29",180.460007,181.820007,176.740005,177.110001,728800,175.267029
"2021-02-01",178.279999,180.529999,177.820007,180.309998,559100,178.433716
"2021-02-02",181.649994,182.389999,180.410004,180.460007,486100,178.582169
"2021-02-03",180.309998,180.309998,177.070007,178.789993,651900,176.929535
"2021-02-04",179.740005,182.600006,179.440002,180.889999,448300,179.007675
"2021-02-05",182.330002,182.330002,177.899994,178.639999,534400,176.781113
"2021-02-08",179.149994,180.110001,177.850006,179.410004,985700,177.543091
"2021-02-09",180,183.449997,179.589996,183.210007,687000,181.303558
"2021-02-10",184.419998,184.550003,182.360001,183,929100,181.095718
"2021-02-11",181.009995,181.490005,173.610001,176.949997,1792500,175.108688
"2021-02-12",176.929993,179.300003,176.070007,177.190002,1244000,175.346222
"2021-02-16",176.720001,177.210007,172.770004,174.830002,959200,173.010757
"2021-02-17",173.580002,176.820007,171.399994,176.589996,912200,174.752426
"2021-02-18",176.050003,178.910004,175.899994,177.559998,937300,175.712326
"2021-02-19",177.169998,178.490005,175.490005,176.539993,1525900,175.087524
"2021-02-22",177.5,177.75,169.330002,169.929993,850500,168.531891
"2021-02-23",170.039993,172.460007,168.100006,171.869995,1330900,170.455948
"2021-02-24",172.800003,173.100006,169.339996,170.699997,1017900,169.295578
"2021-02-25",169.779999,170.949997,162.429993,163.5,1502400,162.154816
"2021-02-26",164.830002,167.639999,161.869995,161.880005,1757700,160.548141
"2021-03-01",163.25,169.050003,163.25,166.610001,1276400,165.239227
"2021-03-02",166.919998,168.419998,165.279999,166.089996,681000,164.723511
"2021-03-03",166.940002,168.529999,165.100006,167.039993,1041200,165.66568
"2021-03-04",167.410004,170.320007,162.869995,163.830002,909000,162.482086
"2021-03-05",165.169998,169.970001,162.809998,169.75,923300,168.353394
"2021-03-08",170.279999,176.009995,170,173.139999,947400,171.7155
"2021-03-09",174.759995,178,173.009995,174.899994,641900,173.460999
"2021-03-10",175.869995,176.770004,172.539993,172.550003,775800,171.130371
"2021-03-11",172.279999,172.949997,169.589996,170.720001,717300,169.315414
"2021-03-12",171.600006,173.309998,169.789993,170.529999,570700,169.126968
"2021-03-15",170.649994,173.979996,170.240005,173.649994,503100,172.221283
"2021-03-16",173.699997,175.190002,171.169998,172.570007,450600,171.150192
"2021-03-17",171.770004,172.910004,169.929993,171.990005,559800,170.574951
"2021-03-18",170.710007,174,169.429993,172.699997,665300,171.279114
"2021-03-19",172.070007,175.509995,171.440002,174.179993,1048500,172.746933
"2021-03-22",174.070007,176.210007,172.539993,175.130005,491500,173.689133
"2021-03-23",175.309998,178.160004,174.009995,175.479996,709900,174.036255
"2021-03-24",174.619995,176.119995,174.009995,174.410004,496400,172.975067
"2021-03-25",175.369995,177.589996,173.020004,177,375500,175.543732
"2021-03-26",177.009995,182.559998,176.800003,182.5,572100,180.998489
"2021-03-29",181.570007,185,181.059998,183.690002,704400,182.178696
"2021-03-30",183.070007,183.970001,181.240005,183.279999,922900,181.772064
"2021-03-31",181.5,183.75,181.100006,181.130005,977800,179.639771
"2021-04-01",181.270004,182.809998,177.910004,182.610001,575700,181.10759
"2021-04-05",184.139999,187.350006,183.610001,186.740005,398100,185.203613
"2021-04-06",186.539993,186.740005,184.410004,185.020004,401700,183.497772
"2021-04-07",185.410004,185.410004,180.850006,181.589996,612900,180.095963
"2021-04-08",182.699997,185.389999,182.699997,183.740005,736300,182.228287
"2021-04-09",183.490005,185.839996,182.809998,185.809998,356200,184.281265
"2021-04-12",186.179993,187.419998,185.100006,187.220001,286300,185.679672
"2021-04-13",186.509995,189.089996,186.110001,187.990005,459000,186.443329
"2021-04-14",186.759995,188,185,185.529999,404300,184.003555
"2021-04-15",187.619995,189,186.970001,188.350006,354800,186.800369
"2021-04-16",189.089996,191.600006,188.25,190.979996,801800,189.408722
"2021-04-19",189.470001,190.25,188.5,189.589996,511300,188.030182
"2021-04-20",189.600006,193.820007,189.380005,192.199997,629000,190.618683
"2021-04-21",192.210007,194.440002,191.699997,192.630005,911900,191.045151
"2021-04-22",217.899994,226.929993,212.690002,221.410004,3209100,219.588348
"2021-04-23",222.470001,231.160004,221.160004,229.720001,1550500,227.829971
"2021-04-26",230.169998,231.710007,225.009995,225.529999,897000,223.674484
"2021-04-27",227.490005,234.970001,227.050003,234.339996,885200,232.411957
"2021-04-28",234.75,234.850006,227.039993,227.300003,1175900,225.429886
"2021-04-29",229.339996,229.339996,224.550003,228,926200,226.12413
"2021-04-30",228.029999,229.25,224.149994,229.229996,936300,227.344009
"2021-05-03",230.5,235.479996,229.690002,233.889999,879600,231.965668
"2021-05-04",232.240005,237.080002,231.190002,237.009995,696300,235.059998
"2021-05-05",237.009995,241.089996,235.509995,239.850006,907000,237.876648
"2021-05-06",239.889999,239.889999,233.820007,237.160004,774300,235.208771
"2021-05-07",236.910004,240.449997,236.440002,239.559998,753400,237.589005
"2021-05-10",240.550003,242.130005,239.039993,239.169998,507000,237.20224
"2021-05-11",237.960007,238.899994,235.119995,238.600006,551000,236.636932
"2021-05-12",237.479996,237.970001,232.910004,233.220001,606100,231.301193
"2021-05-13",232.960007,237.300003,232.830002,237.020004,620500,235.069916
"2021-05-14",236.940002,239.940002,236.160004,239.410004,466900,237.440262
"2021-05-17",238.839996,239.139999,235.740005,237.690002,437300,235.734406
"2021-05-18",238.800003,238.919998,233.649994,233.660004,650600,231.737564
"2021-05-19",233.229996,233.639999,229.100006,233.429993,552300,231.50946
"2021-05-20",234.220001,235.160004,229.679993,233.309998,747700,231.390457
"2021-05-21",233.820007,237.380005,231.869995,237.130005,878500,235.179016
"2021-05-24",238.479996,239.240005,235.759995,237.5,430900,235.934006
"2021-05-25",237.449997,238.990005,234.820007,234.929993,1056900,233.380951
"2021-05-26",235.380005,235.830002,232.179993,233.220001,776300,231.68222
"2021-05-27",234.770004,235.669998,232.289993,235.509995,1390000,233.957123
"2021-05-28",235.899994,237.850006,234.949997,235.039993,547200,233.490234
"2021-06-01",236.660004,237.169998,232.639999,233.100006,440900,231.563034
"2021-06-02",233.970001,234.589996,231.369995,231.550003,591300,230.023239
"2021-06-03",230.149994,230.630005,228.149994,228.979996,588500,227.470184
"2021-06-04",230.630005,233.899994,229.690002,233.399994,427200,231.861038
"2021-06-07",233.589996,233.860001,227.110001,228.720001,978600,227.211899
"2021-06-08",229.240005,229.960007,226.270004,229.729996,597500,228.21524
