"","PKI.Open","PKI.High","PKI.Low","PKI.Close","PKI.Volume","PKI.Adjusted"
"2021-07-21",155.639999,156.789993,153.630005,156.630005,798600,156.360962
"2021-07-22",157.550003,160.669998,157.449997,160.059998,780200,159.785065
"2021-07-23",160.759995,164.580002,160.759995,164.339996,866700,164.057709
"2021-07-26",162,173.389999,161.029999,172.110001,2004600,171.814377
"2021-07-27",173.25,174.520004,167.880005,170.160004,949800,169.867722
"2021-07-28",170.199997,175.279999,169.509995,174.460007,1123100,174.160339
"2021-07-29",175.410004,180.199997,174.679993,179.300003,1232200,178.99202
"2021-07-30",179.089996,183.850006,177.729996,182.229996,1199200,181.916977
"2021-08-02",183.360001,185.679993,181.369995,183.839996,1278500,183.524216
"2021-08-03",184,187.139999,183.490005,185.070007,1080200,184.752106
"2021-08-04",185.729996,187.699997,183.770004,186.850006,908400,186.529053
"2021-08-05",186.869995,188.399994,184.220001,187.050003,657200,186.728714
"2021-08-06",185.949997,186.229996,183.220001,185.429993,481800,185.111496
"2021-08-09",186.190002,187.610001,184,186.679993,600500,186.359329
"2021-08-10",186.839996,187.619995,183.089996,183.5,888000,183.184814
"2021-08-11",184.220001,184.369995,178.059998,179.229996,1108300,178.922134
"2021-08-12",179.889999,182.410004,179.070007,182.289993,666000,181.976852
"2021-08-13",181.919998,183.360001,181.669998,183.110001,355000,182.795486
"2021-08-16",183.300003,185.029999,181.669998,184.610001,730100,184.292892
"2021-08-17",184.059998,184.789993,180.720001,182.850006,703100,182.535934
"2021-08-18",182.860001,184.770004,181.020004,181.070007,623300,180.758972
"2021-08-19",180.059998,182.789993,179.279999,181.770004,623700,181.457779
"2021-08-20",182.110001,184,180.449997,181.100006,498200,180.788925
"2021-08-23",182.639999,183.619995,181.279999,181.509995,498800,181.198212
"2021-08-24",181.679993,183.160004,180.75,182.199997,905600,181.887024
"2021-08-25",181.779999,185.389999,181.259995,185.020004,501600,184.702179
"2021-08-26",184.440002,185.919998,182.110001,183.679993,393500,183.364487
"2021-08-27",184.190002,186.839996,182.589996,182.910004,438400,182.59581
"2021-08-30",183.839996,189.309998,183.550003,187.949997,619600,187.627136
"2021-08-31",188.440002,188.5,183.759995,184.800003,600800,184.482559
"2021-09-01",185.039993,188.679993,184.300003,188.009995,455200,187.687057
"2021-09-02",189.100006,190.589996,188.399994,188.830002,619200,188.505646
"2021-09-03",188.089996,190.550003,186.270004,190.5,974500,190.17276
"2021-09-07",189.740005,190.919998,187.270004,189.820007,653700,189.493958
"2021-09-08",189.440002,191.070007,188,190.110001,587300,189.783432
"2021-09-09",190.5,190.889999,186.419998,186.850006,477400,186.529053
"2021-09-10",186.860001,188.429993,186.419998,187.050003,443100,186.728714
"2021-09-13",188.029999,188.029999,178.610001,182.860001,755700,182.545898
"2021-09-14",184.600006,185.830002,182.820007,183.380005,424600,183.065018
"2021-09-15",183.320007,188.350006,182.039993,186.839996,1119400,186.519043
"2021-09-16",186.279999,186.440002,182.899994,185.869995,770500,185.55072
"2021-09-17",185.669998,188.649994,184.869995,187.559998,1569800,187.237808
"2021-09-20",185.240005,188.419998,182.440002,183.940002,782000,183.624023
"2021-09-21",184.820007,185.860001,183.289993,184.800003,564500,184.482559
"2021-09-22",185.449997,187.130005,184.639999,185.050003,334000,184.732132
"2021-09-23",186.440002,192,186.009995,186.080002,1052100,185.760376
"2021-09-24",185.460007,185.679993,181.720001,182.880005,530300,182.565872
"2021-09-27",181.210007,181.820007,174.520004,176.550003,741400,176.24675
"2021-09-28",174.669998,174.669998,170.380005,173.809998,859000,173.511429
"2021-09-29",175.039993,176.899994,174.050003,175.050003,707900,174.749313
"2021-09-30",176.25,177.820007,173.199997,173.289993,783000,172.99234
