"","VTR.Open","VTR.High","VTR.Low","VTR.Close","VTR.Volume","VTR.Adjusted"
"2021-01-14",48.400002,48.889999,48.110001,48.470001,1017500,46.160175
"2021-01-15",48.310001,49.32,47.900002,48.98,2581800,46.64587
"2021-01-19",48.630001,48.860001,47.02,47.77,2707500,45.493538
"2021-01-20",47.41,49.299999,47.099998,48.73,2575800,46.407787
"2021-01-21",48.330002,48.75,47.41,48.580002,2367800,46.264931
"2021-01-22",48.240002,49.419998,48,49.130001,2438100,46.788723
"2021-01-25",48.900002,49.790001,47.759998,47.91,2283500,45.626858
"2021-01-26",47.959999,48.82,46.880001,47.23,1680300,44.979267
"2021-01-27",46.720001,47.169998,45.400002,46.099998,2468300,43.903111
"2021-01-28",46.119999,48.459999,45.959999,47.189999,2993600,44.941177
"2021-01-29",46.93,47.389999,45.52,46.07,2726600,43.874542
"2021-02-01",46.5,47.73,46.139999,47.560001,2430900,45.293541
"2021-02-02",47.740002,48.459999,47,47.279999,1978100,45.026882
"2021-02-03",46.860001,47.84,46.07,47.669998,2265700,45.398293
"2021-02-04",47.889999,49,47.630001,48.43,2131300,46.122078
"2021-02-05",48.490002,48.889999,48.27,48.470001,1066000,46.160175
"2021-02-08",48.43,48.450001,47.82,48.150002,1240800,45.855423
"2021-02-09",48.290001,48.419998,47.669998,48.240002,1240500,45.941139
"2021-02-10",48.66,50.439999,48.66,49.639999,2145000,47.274414
"2021-02-11",49.68,50.799999,49.5,50.75,1580300,48.33152
"2021-02-12",50.52,50.880001,49.889999,50.720001,1424600,48.302952
"2021-02-16",50.66,51.139999,50.080002,50.330002,1542400,47.931545
"2021-02-17",50.279999,51.040001,49.950001,50.639999,1496800,48.226761
"2021-02-18",50.299999,51.759998,49.73,51.599998,2177500,49.141014
"2021-02-19",51.73,52.700001,51.099998,52.389999,2709800,49.893368
"2021-02-22",52.060001,54.759998,51.900002,54.18,3146500,51.598064
"2021-02-23",54.73,55.09,53.799999,54.619999,2769200,52.017094
"2021-02-24",54.400002,56.130001,54.240002,55.919998,1788000,53.255146
"2021-02-25",55.880001,56.5,53.490002,53.990002,1669800,51.417122
"2021-02-26",54.259998,54.860001,52.900002,52.900002,2326600,50.379066
"2021-03-01",53.790001,54.459999,52.73,52.75,1728400,50.236214
"2021-03-02",52.400002,53.27,51.950001,53.009998,2369400,50.483826
"2021-03-03",53.27,53.700001,52.470001,53.189999,2616600,50.655243
"2021-03-04",53.400002,54.540001,52.630001,53.419998,2412000,50.874287
"2021-03-05",53.799999,55.459999,52.93,55.139999,2490600,52.512318
"2021-03-08",55.41,57.299999,55.040001,56.830002,2442700,54.12178
"2021-03-09",56.880001,57.73,56.200001,56.490002,2368900,53.797985
"2021-03-10",56.41,57.810001,55.84,57.169998,2897300,54.445576
"2021-03-11",56.950001,58.099998,56.18,56.23,2297700,53.550369
