"","ABBV.Open","ABBV.High","ABBV.Low","ABBV.Close","ABBV.Volume","ABBV.Adjusted"
"2021-03-18",104,104.989998,103.419998,103.769997,8675100,97.403053
"2021-03-19",103.93,104.43,102.919998,103.419998,10899100,97.074524
"2021-03-22",103.5,106.400002,102.879997,105.900002,7627200,99.402367
"2021-03-23",105.370003,105.940002,104.510002,104.839996,6111600,98.40741
"2021-03-24",104.82,105.330002,103.050003,103.059998,9420100,96.736618
"2021-03-25",102.900002,104.150002,102.050003,103.879997,6281500,97.50631
"2021-03-26",103.870003,106.120003,103.839996,105.980003,6596900,99.477463
"2021-03-29",105.760002,107,105.489998,106.730003,5472700,100.181442
"2021-03-30",106.860001,107.029999,105.870003,106.790001,5354100,100.23777
"2021-03-31",106.879997,109.18,106.800003,108.220001,9048000,101.580017
"2021-04-01",108.919998,108.980003,107.32,108.519997,5091700,101.86161
"2021-04-05",109.080002,109.080002,105.400002,106.139999,10584400,99.62764
"2021-04-06",105.849998,106.279999,104.879997,105.379997,8522500,98.914276
"2021-04-07",105.529999,106.129997,104.169998,105.209999,8037300,98.754707
"2021-04-08",105.400002,106.919998,105.349998,106.099998,5881800,99.590096
"2021-04-09",106.389999,107.720001,106.050003,107.540001,5977500,100.941757
"2021-04-12",107.82,108.57,107.360001,108.25,5647500,101.608185
"2021-04-13",108.029999,108.360001,107.029999,108.220001,6165100,101.580017
"2021-04-14",106.220001,106.669998,105.580002,105.900002,7766700,100.610962
"2021-04-15",105.989998,106.949997,105.620003,106.889999,5730500,101.551514
"2021-04-16",107.489998,108.550003,107.139999,107.910004,8207700,102.520584
"2021-04-19",107.970001,108.730003,107.120003,108.610001,4542900,103.185623
"2021-04-20",108.120003,109.559998,108.050003,109.029999,5411800,103.584641
"2021-04-21",109.790001,111.440002,109.349998,110.800003,6181100,105.266235
"2021-04-22",110.650002,111.089996,109.610001,110.050003,5046000,104.553696
"2021-04-23",109.709999,111.769997,109.550003,111.379997,4611000,105.817268
"2021-04-26",111.559998,112.040001,110.849998,111.389999,5202300,105.826767
"2021-04-27",111.25,111.849998,110.580002,111.440002,3522900,105.874275
"2021-04-28",111.68,112.57,111.32,111.93,5116000,106.339798
"2021-04-29",112.379997,112.610001,110.330002,110.889999,6766700,105.351738
"2021-04-30",111.470001,112.309998,110.110001,111.5,10575400,105.931274
"2021-05-03",112.400002,115.099998,111.589996,114.68,9138200,108.952469
"2021-05-04",114.620003,115.940002,113.050003,113.900002,8151400,108.211411
"2021-05-05",114.309998,116.279999,113.949997,115.779999,7021400,109.99752
"2021-05-06",115,116.18,114.160004,116.080002,5803800,110.282539
"2021-05-07",116.379997,116.93,114.959999,115.75,6808200,109.969025
"2021-05-10",116.379997,117.199997,115.970001,116.220001,7093300,110.41555
"2021-05-11",115.480003,116.57,114.379997,114.889999,5784600,109.151962
"2021-05-12",114.849998,116,114.440002,114.959999,6208300,109.218475
"2021-05-13",115.550003,117.199997,115.010002,116.599998,6558200,110.776558
"2021-05-14",117.360001,117.589996,116.379997,116.43,6268500,110.615051
"2021-05-17",116.769997,117.709999,116.559998,116.889999,6183200,111.052086
"2021-05-18",116.110001,117.900002,115.32,117.209999,8174900,111.356094
"2021-05-19",116.459999,116.5,114.379997,115.849998,6433600,110.064018
"2021-05-20",115.339996,117.339996,115.120003,117.110001,5526100,111.261093
"2021-05-21",117.519997,118.279999,116.059998,116.120003,5577800,110.320541
"2021-05-24",116.589996,116.809998,115.589996,115.910004,4821300,110.121033
"2021-05-25",115.970001,116,114.190002,114.559998,6574200,108.838448
"2021-05-26",114.529999,114.739998,113.760002,114.699997,5802600,108.971458
"2021-05-27",115.120003,115.199997,112.019997,112.32,26406000,106.71032
"2021-05-28",113.330002,114.480003,112.860001,113.199997,7104300,107.546364
"2021-06-01",113.699997,113.989998,112.040001,112.209999,6846200,106.60582
"2021-06-02",112.410004,112.660004,110.849998,111.400002,8100700,105.836266
"2021-06-03",111.120003,112.410004,110.650002,112.209999,6286100,106.60582
"2021-06-04",112.400002,113.110001,112.160004,112.360001,4255400,106.748322
"2021-06-07",112.709999,114.110001,112.330002,113.010002,5570100,107.365868
"2021-06-08",112.68,113.089996,111.82,112.339996,4114200,106.729317
"2021-06-09",112.879997,114.419998,112.739998,114,4884000,108.306419
"2021-06-10",114.360001,116.989998,114.150002,116.239998,6263800,110.43454
