"","GIS.Open","GIS.High","GIS.Low","GIS.Close","GIS.Volume","GIS.Adjusted"
"2020-11-19",60.919998,62.02,60.5,62,2551500,58.642128
"2020-11-20",61.950001,62.360001,60.889999,61.360001,3097000,58.036789
"2020-11-23",61.23,61.439999,60.689999,61.02,2957300,57.715199
"2020-11-24",61.549999,61.549999,60.209999,60.57,3728700,57.289574
"2020-11-25",60.740002,61.09,59.93,60,3285200,56.750446
"2020-11-27",60.349998,60.349998,59.810001,60.130001,1376100,56.873405
"2020-11-30",60.09,60.849998,59.619999,60.82,4468200,57.526035
"2020-12-01",60.700001,61.43,60.450001,61.310001,3298400,57.989498
"2020-12-02",61.209999,61.84,59.950001,60.220001,3716300,56.958527
"2020-12-03",60.150002,60.630001,59.919998,60.439999,3162000,57.166611
"2020-12-04",60.310001,60.810001,60.009998,60.439999,3298400,57.166611
"2020-12-07",60.369999,60.57,59.52,59.740002,3166600,56.504528
"2020-12-08",59.639999,60.529999,59.59,60.400002,2626900,57.12878
"2020-12-09",60.279999,60.459999,59.099998,59.330002,3923100,56.116734
"2020-12-10",59.360001,59.639999,58.529999,58.869999,3685100,55.681648
"2020-12-11",58.790001,59.459999,58.630001,59.32,2351800,56.107273
"2020-12-14",59.700001,60.439999,59.330002,59.349998,3582800,56.135643
"2020-12-15",59.580002,59.59,58.540001,59.029999,3465200,55.832981
"2020-12-16",59.009998,59.66,58.669998,58.919998,4057900,55.728935
"2020-12-17",59.310001,60.16,58.52,59.700001,5089900,56.466694
"2020-12-18",59.650002,60.200001,59.060001,59.400002,6367400,56.182945
"2020-12-21",59.099998,59.310001,58.18,58.990002,3196900,55.795147
"2020-12-22",58.900002,58.959999,58.290001,58.599998,2771000,55.426262
"2020-12-23",58.669998,59.25,58.619999,58.990002,2521100,55.795147
"2020-12-24",58.75,59.16,58.619999,59.130001,1127400,55.927559
"2020-12-28",59.220001,59.419998,58.919998,59.349998,2659000,56.135643
"2020-12-29",59.400002,59.82,58.959999,59.150002,2328900,55.946484
"2020-12-30",59.060001,59.220001,58.529999,58.560001,1955600,55.388439
"2020-12-31",58.529999,58.869999,58.099998,58.799999,3378200,55.615437
"2021-01-04",58.580002,59.189999,57.810001,59.029999,4513500,55.832981
"2021-01-05",58.959999,59.650002,58.549999,59.09,2739000,55.889732
"2021-01-06",58.98,59.580002,58.82,58.939999,3630200,55.747852
"2021-01-07",58.5,58.82,57.939999,57.950001,3395700,55.289886
"2021-01-08",58,58.09,56.220001,56.400002,6715100,53.811039
"2021-01-11",56.380001,56.669998,55.400002,55.57,5552000,53.019138
"2021-01-12",55.450001,55.509998,53.959999,54.369999,10158700,51.874226
"2021-01-13",54.560001,55.790001,54.139999,55.389999,8174900,52.847397
"2021-01-14",55.419998,55.759998,54.48,55.75,6436300,53.190876
"2021-01-15",55.720001,56.669998,55.150002,56.240002,8579300,53.658382
"2021-01-19",56.619999,56.630001,55.630001,55.669998,3898300,53.114544
"2021-01-20",55.619999,55.68,54.52,55.34,4428400,52.799694
"2021-01-21",55.279999,55.529999,54.91,55.290001,3058600,52.751995
"2021-01-22",55.18,56.09,54.759998,55.970001,4745400,53.400776
"2021-01-25",55.919998,58.290001,55.889999,57.900002,6958800,55.242188
"2021-01-26",57.860001,59.220001,57.400002,59.130001,6024900,56.415722
"2021-01-27",59.099998,61.459999,59.009998,60.400002,7344900,57.627419
"2021-01-28",60.349998,61.200001,58.57,59.360001,7919100,56.635162
"2021-01-29",59.25,60.189999,57.98,58.099998,7118900,55.433002
"2021-02-01",58.119999,58.490002,57.049999,57.549999,5139500,54.908249
"2021-02-02",57.900002,58.349998,57.080002,57.619999,3811000,54.975033
"2021-02-03",57.459999,57.700001,56.419998,56.82,3793400,54.211758
"2021-02-04",56.75,57.529999,56.279999,56.900002,3195000,54.288086
"2021-02-05",56.98,57.66,56.66,57.400002,3166900,54.765133
"2021-02-08",57.5,57.779999,57.200001,57.700001,2990500,55.051365
