"","MS.Open","MS.High","MS.Low","MS.Close","MS.Volume","MS.Adjusted"
"2020-11-19",58.560001,58.689999,57.860001,58.630001,7220200,55.853779
"2020-11-20",58.360001,58.740002,57.509998,57.810001,7739900,55.072609
"2020-11-23",58.669998,60.77,58.610001,60.27,12647400,57.416122
"2020-11-24",61.139999,63.66,60.639999,63.599998,22357700,60.588444
"2020-11-25",63,63.77,62.25,63.48,11509700,60.474125
"2020-11-27",63.48,63.959999,63.07,63.84,5581500,60.817078
"2020-11-30",63.580002,63.830002,61.59,61.830002,15610700,58.902256
"2020-12-01",63.119999,63.799999,62.77,63.279999,15857200,60.283592
"2020-12-02",63.07,64.260002,62.889999,64.019997,10790700,60.988548
"2020-12-03",64.059998,64.620003,63.82,64.059998,11757900,61.026653
"2020-12-04",64.510002,65.190002,64.279999,65,10169700,61.92215
"2020-12-07",64.540001,65.18,63.880001,64.260002,10402100,61.217194
"2020-12-08",63.470001,64.379997,63.41,63.91,6386200,60.883762
"2020-12-09",64.699997,65.43,64.099998,64.370003,10145500,61.321987
"2020-12-10",63.599998,64.550003,63.330002,64.440002,8888000,61.388672
"2020-12-11",63.400002,63.720001,62.700001,63.32,9034200,60.321705
"2020-12-14",64.25,64.300003,61.860001,61.880001,10236600,58.949886
"2020-12-15",62.490002,64.029999,62.16,63.950001,9718800,60.921871
"2020-12-16",63.759998,64.370003,63.59,64.230003,8806400,61.188618
"2020-12-17",64.410004,64.75,64.07,64.669998,7197500,61.607777
"2020-12-18",64.830002,64.93,63.349998,64.18,15499800,61.140976
"2020-12-21",66.010002,68.300003,65.800003,67.830002,14787800,64.618149
"2020-12-22",68.25,68.25,66.589996,66.639999,9807000,63.484505
"2020-12-23",67,68.970001,66.970001,68.209999,8772500,64.980141
"2020-12-24",68.360001,68.580002,67.760002,68.089996,3126700,64.865822
"2020-12-28",68.559998,68.839996,67.970001,68.050003,7417100,64.827744
"2020-12-29",68.309998,68.489998,67.309998,67.709999,4701300,64.503815
"2020-12-30",67.830002,68.190002,67.57,67.839996,5283200,64.627663
"2020-12-31",67.800003,68.739998,67.410004,68.529999,5297400,65.284988
"2021-01-04",69.279999,69.93,67.720001,68.330002,14014600,65.094475
"2021-01-05",68.160004,70.080002,68.080002,69.489998,11120400,66.199539
"2021-01-06",71.410004,74.879997,70.559998,73.68,18334300,70.191139
"2021-01-07",74.800003,76.510002,74.800003,74.940002,13530400,71.391472
"2021-01-08",74.470001,75.339996,73.849998,75.25,12896700,71.68679
"2021-01-11",74.239998,76.5,73.669998,76.059998,9077500,72.458435
"2021-01-12",76.559998,77.169998,75.519997,75.800003,11831100,72.210762
"2021-01-13",75.809998,76.43,75.010002,75.559998,9852200,71.982109
"2021-01-14",75.849998,76.839996,75.720001,76.470001,9854300,72.849037
