"","XRAY.Open","XRAY.High","XRAY.Low","XRAY.Close","XRAY.Volume","XRAY.Adjusted"
"2021-03-02",59.91,60.41,58.610001,59.27,2470500,58.491806
"2021-03-03",59.189999,60.700001,58.669998,60.150002,1620400,59.360249
"2021-03-04",59.75,60.299999,58.439999,58.709999,3036600,57.939159
"2021-03-05",59.880001,61.34,58.990002,60,2732800,59.212223
"2021-03-08",59.98,62.220001,59.799999,61.900002,2671300,61.087273
"2021-03-09",62.139999,62.34,59.82,59.860001,2716900,59.074059
"2021-03-10",60.959999,62.759998,60.59,62.060001,1670000,61.245171
"2021-03-11",62.259998,62.970001,61.919998,62.27,1603900,61.452412
"2021-03-12",62.279999,62.970001,62.110001,62.880001,1593200,62.054405
"2021-03-15",62.759998,64.25,62.610001,63.900002,1408000,63.061016
"2021-03-16",63.740002,63.830002,62.860001,63.369999,1014800,62.537971
"2021-03-17",63.099998,64,62.919998,63.5,1391600,62.666267
"2021-03-18",63.310001,64.150002,62.849998,63.049999,1202800,62.222172
"2021-03-19",62.689999,63.490002,62.09,62.759998,1780300,61.935982
"2021-03-22",63.41,63.540001,62.07,62.439999,1003300,61.620178
"2021-03-23",62.150002,62.599998,59.630001,59.93,1744600,59.143135
"2021-03-24",60.25,61.169998,59.73,60.349998,1854800,59.557617
"2021-03-25",60.400002,60.950001,59.82,60.549999,1893500,59.854179
"2021-03-26",60.849998,61.360001,60.25,61.279999,1132500,60.575787
"2021-03-29",61,62.200001,60.939999,62.060001,1237000,61.346828
"2021-03-30",61.849998,63.580002,61.849998,63.540001,1664600,62.809814
"2021-03-31",63.740002,64.400002,63.209999,63.810001,2119500,63.076714
"2021-04-01",63.209999,63.529999,62.34,63.439999,1180900,62.710964
"2021-04-05",63.959999,64.540001,63.82,64.379997,1687800,63.640156
"2021-04-06",64.440002,65.089996,64.040001,64.160004,1232600,63.422691
"2021-04-07",64.169998,64.559998,62.990002,63.939999,2048600,63.205219
"2021-04-08",64.129997,64.269997,62.900002,64.150002,1896900,63.412807
"2021-04-09",64.110001,64.75,63.950001,64.199997,1161100,63.462227
"2021-04-12",64.290001,64.580002,63.990002,64.150002,1221900,63.412807
"2021-04-13",63.689999,64.510002,63.560001,63.849998,2165100,63.116253
"2021-04-14",64.019997,65.870003,63.98,65.220001,1941300,64.470505
"2021-04-15",65.169998,65.5,64.519997,64.830002,840600,64.084991
"2021-04-16",65.400002,65.75,64.970001,65.419998,1348800,64.668221
"2021-04-19",65.470001,65.550003,65,65.529999,850900,64.776947
"2021-04-20",65.370003,65.940002,65.18,65.480003,940100,64.727524
"2021-04-21",65.389999,66.290001,65.199997,66.150002,1269400,65.389824
"2021-04-22",66.389999,66.389999,64.970001,65.300003,1579300,64.549591
"2021-04-23",65.459999,66.470001,65.269997,66.199997,1988700,65.439247
"2021-04-26",66.550003,66.919998,66.239998,66.309998,1483600,65.547974
"2021-04-27",66.410004,66.5,65.760002,66.260002,1545800,65.498558
"2021-04-28",66.160004,66.480003,65.709999,65.790001,1904700,65.033958
"2021-04-29",66.559998,66.830002,65.910004,66.279999,4085900,65.518326
"2021-04-30",66.239998,67.57,65.959999,67.510002,2177300,66.7342
"2021-05-03",67.879997,68.419998,67.519997,68.010002,1452500,67.228447
"2021-05-04",67.760002,69.010002,67.57,68.949997,2658000,68.157639
"2021-05-05",68.919998,68.919998,66.739998,67.589996,3201900,66.813271
"2021-05-06",66.599998,67.419998,64.75,67.389999,2092400,66.61557
"2021-05-07",67.389999,69.150002,67.389999,68.470001,1959400,67.683159
"2021-05-10",69.169998,69.540001,68.690002,69.120003,2203900,68.325684
"2021-05-11",68.150002,68.959999,66.510002,66.800003,1710400,66.032356
"2021-05-12",66.379997,67.360001,65.699997,65.699997,1270200,64.944992
"2021-05-13",65.830002,67.269997,65.730003,66.610001,1537500,65.844536
"2021-05-14",67.290001,68.220001,66.839996,67.830002,1259900,67.050514
"2021-05-17",67.68,69.010002,67.379997,68.949997,900600,68.157639
"2021-05-18",69.019997,69.07,67.379997,67.419998,1987800,66.645218
