"","UPS.Open","UPS.High","UPS.Low","UPS.Close","UPS.Volume","UPS.Adjusted"
"2021-01-25",159.710007,164.139999,159.110001,161.75,3938100,155.863144
"2021-01-26",162.380005,162.759995,160.490005,161.429993,2962400,155.554764
"2021-01-27",159.5,159.600006,156.990005,157.649994,2821500,151.912338
"2021-01-28",159.070007,159.380005,157.199997,157.270004,2565100,151.546204
"2021-01-29",157.020004,157.699997,154.759995,155,5007900,149.35881
"2021-02-01",156.199997,157.149994,154.910004,156.259995,4783000,150.572952
"2021-02-02",163.199997,164.199997,156.929993,160.289993,10758300,154.456284
"2021-02-03",160.690002,161.470001,156.850006,159.710007,4559200,153.897385
"2021-02-04",159.229996,162.410004,157.820007,162.259995,2811100,156.354568
"2021-02-05",163,164.539993,161.720001,164.380005,2560300,158.397415
"2021-02-08",164.440002,165.470001,162.809998,163.449997,2242200,157.501282
"2021-02-09",163.5,167.600006,162.779999,166.919998,3073600,160.845001
"2021-02-10",167.940002,168.229996,164.539993,165.660004,2943700,159.630844
"2021-02-11",166,166.279999,161.190002,162.369995,3188400,156.460587
"2021-02-12",162.470001,163.830002,162.039993,163.389999,2563800,157.443466
"2021-02-16",163.949997,163.970001,161.080002,161.75,2867700,155.863144
"2021-02-17",161.089996,161.910004,159.899994,161,2845400,155.140442
"2021-02-18",159.800003,162.619995,158.619995,162.119995,3595900,156.219666
"2021-02-19",161.330002,162.279999,160.320007,160.539993,3081700,155.676636
"2021-02-22",159.720001,162.509995,158.009995,161.600006,3894800,156.704544
"2021-02-23",159.970001,161.419998,157.770004,160.809998,4385800,155.938461
"2021-02-24",160.279999,161.899994,159.080002,160.070007,2963400,155.220901
"2021-02-25",159,160.300003,157.029999,157.509995,2617100,152.738419
"2021-02-26",158.580002,159.229996,156.589996,157.830002,3492800,153.048721
"2021-03-01",159.550003,162.660004,158.580002,161.470001,3271500,156.578445
"2021-03-02",161.770004,163.169998,159.889999,161.369995,2653600,156.481491
"2021-03-03",160.589996,162.169998,159.880005,160.429993,2635100,155.569962
"2021-03-04",160.059998,161.289993,157.550003,159.449997,3710400,154.619644
"2021-03-05",160.509995,165.179993,159.080002,164.399994,3671700,159.419678
"2021-03-08",165.229996,166.229996,160.759995,160.869995,3176400,155.996628
"2021-03-09",161.210007,165.149994,161.210007,163.270004,2551000,158.323944
"2021-03-10",164.350006,166.179993,163.729996,165.229996,2511700,160.224548
"2021-03-11",166.100006,168.679993,165.389999,167.240005,2906700,162.173676
"2021-03-12",166.610001,168.130005,165.940002,167.690002,1914800,162.610031
"2021-03-15",167.899994,167.929993,161.020004,162.639999,4535900,157.713028
"2021-03-16",162.779999,164.160004,161.429993,162.820007,2397800,157.887573
"2021-03-17",160.779999,161.75,159.559998,160.649994,3644100,155.78331
"2021-03-18",160.449997,161.139999,158.940002,160.199997,2964900,155.346939
"2021-03-19",161.429993,165.240005,158.690002,159.289993,14934200,154.464493
"2021-03-22",159.690002,161.720001,158.539993,161.059998,3893900,156.180893
"2021-03-23",159.800003,162.160004,159.229996,159.860001,2920800,155.017242
"2021-03-24",160.059998,162.270004,159.699997,159.910004,2285300,155.06572
"2021-03-25",159.5,163.649994,158.699997,163.25,2944500,158.30455
"2021-03-26",164.5,168.100006,163.789993,167.979996,3135500,162.891235
"2021-03-29",167.610001,168.970001,166.660004,168.139999,2702600,163.046387
"2021-03-30",167.559998,169.990005,167.399994,168.639999,2401100,163.531265
"2021-03-31",169.229996,171,167.600006,169.990005,3688400,164.840363
"2021-04-01",170.179993,172.139999,168.830002,171.279999,3615000,166.091293
"2021-04-05",172.100006,173.039993,171.110001,171.949997,2315900,166.740982
"2021-04-06",172.089996,174.029999,171.229996,172.970001,2465600,167.730087
"2021-04-07",172.929993,173.350006,171.199997,171.949997,2079700,166.740982
"2021-04-08",172.539993,173.240005,171.259995,173.020004,2029100,167.77858
"2021-04-09",173.270004,175.949997,172.820007,175.940002,2579800,170.610123
"2021-04-12",175.440002,179.330002,174.75,178.580002,3024000,173.170166
"2021-04-13",177.949997,179.919998,176.679993,179.419998,2465400,173.984695
"2021-04-14",178.820007,179.399994,175.889999,176.210007,2591900,170.871933
"2021-04-15",178.850006,180.850006,176.509995,179.639999,3139200,174.198029
"2021-04-16",180.729996,181.190002,178.940002,179.710007,2820500,174.26593
"2021-04-19",179.910004,179.910004,177.660004,178.059998,2614200,172.665894
"2021-04-20",177.899994,179.850006,176.839996,179.690002,2642500,174.246506
"2021-04-21",179.389999,179.539993,177.570007,178.570007,3204400,173.160446
"2021-04-22",177.800003,180.789993,177.210007,177.509995,3077900,172.132553
"2021-04-23",177.850006,180.309998,177.330002,178.960007,2407100,173.538635
"2021-04-26",179.779999,179.850006,174.699997,175.809998,3972900,170.484039
"2021-04-27",190.259995,197.279999,189.710007,194.130005,14666500,188.249069
"2021-04-28",195.389999,198.429993,194.100006,198.369995,6308800,192.360611
"2021-04-29",199.889999,204.5,197.669998,203.720001,6950000,197.548569
"2021-04-30",201.690002,205.770004,199.820007,203.860001,5931200,197.684311
"2021-05-03",207.419998,213.380005,207.119995,212.199997,7286100,205.771652
"2021-05-04",211.600006,215.300003,210.860001,214.309998,5775400,207.817749
"2021-05-05",214.929993,215.75,212.759995,214.520004,4187000,208.021393
"2021-05-06",214.919998,215,212.070007,214.779999,4470100,208.273514
"2021-05-07",214.669998,218.339996,213.800003,217.5,2644100,210.911118
"2021-05-10",217.5,219.589996,215.759995,216.130005,3566300,209.582611
"2021-05-11",213.929993,215,211.600006,214.330002,3088500,207.837143
"2021-05-12",212,213.850006,210.360001,210.699997,2667100,204.317108
"2021-05-13",211.179993,216.899994,211.130005,215.669998,3208000,209.136551
"2021-05-14",216.809998,217.759995,215.110001,216.380005,2333700,209.825043
"2021-05-17",215.509995,216.949997,215,216.289993,2071200,209.737762
"2021-05-18",217.020004,217.020004,213.970001,213.990005,2041500,207.507431
"2021-05-19",212,214.449997,210.639999,214.350006,2141100,207.856537
"2021-05-20",214.339996,215.679993,212.740005,213.940002,2716600,207.458954
"2021-05-21",214.179993,214.889999,211.779999,211.869995,3927700,206.435883
"2021-05-24",214.080002,214.529999,212.559998,213.429993,1981300,207.955856
"2021-05-25",213.360001,215.149994,211.169998,211.490005,2414300,206.065628
"2021-05-26",212.960007,214.210007,211.839996,213.809998,2376300,208.326141
"2021-05-27",214.300003,216.860001,212,212.800003,5110200,207.342026
"2021-05-28",213.830002,215.869995,213.029999,214.600006,2128000,209.095871
"2021-06-01",215.589996,216.550003,213.210007,213.289993,1865300,207.819458
"2021-06-02",214.289993,214.289993,211,211.910004,2486000,206.474854
"2021-06-03",211.050003,213.179993,210.130005,211.979996,2172400,206.54306
"2021-06-04",212.410004,213.399994,208.630005,210.630005,2943900,205.227692
"2021-06-07",210.589996,215.410004,210.309998,212.919998,3444300,207.458954
"2021-06-08",212.850006,213.300003,209.559998,209.759995,3402000,204.37999
"2021-06-09",208.059998,208.910004,197,201.059998,10560600,195.903137
"2021-06-10",204.169998,204.339996,201.259995,203.199997,4880000,197.988251
"2021-06-11",203.660004,205.240005,201.830002,203.199997,2699200,197.988251
"2021-06-14",202.949997,203.770004,200.110001,201.089996,2157500,195.932358
"2021-06-15",201.449997,203.860001,199.270004,202.339996,2414900,197.150299
"2021-06-16",201.669998,202.479996,199.309998,200.419998,2102900,195.279556
"2021-06-17",200.5,200.5,195.470001,198.050003,3068700,192.970337
"2021-06-18",196.270004,199.600006,195.509995,197.770004,8170500,192.69754
"2021-06-21",199.360001,204.589996,198.979996,203.320007,3638000,198.105194
"2021-06-22",202.220001,206.119995,202.139999,205.399994,3460700,200.131836
"2021-06-23",205.25,206.289993,203.580002,204.020004,2504500,198.787231
"2021-06-24",206.539993,206.639999,205.25,206.100006,2602500,200.813889
"2021-06-25",202.539993,206.350006,202.199997,205.610001,6618600,200.336456
"2021-06-28",205.690002,206.020004,202.75,205.229996,2288100,199.966187
"2021-06-29",205.279999,207.970001,204.25,207.610001,2291100,202.285141
"2021-06-30",206.490005,208.130005,205.929993,207.970001,2744800,202.63591
"2021-07-01",209.389999,210.380005,208,210.220001,2746100,204.828201
"2021-07-02",209.589996,212.100006,209.279999,211.529999,2172300,206.104599
"2021-07-06",210.460007,211.610001,208.190002,211.289993,2421300,205.870773
"2021-07-07",211.309998,214.929993,210.320007,214.259995,2553700,208.764587
"2021-07-08",210.320007,212.699997,209.899994,212.070007,2354300,206.630753
"2021-07-09",213.889999,214.5,212.669998,213.919998,2050500,208.433304
"2021-07-12",211,214.080002,210.410004,213.330002,2216100,207.858444
"2021-07-13",213.330002,214.190002,210.75,211.270004,1852200,205.851288
"2021-07-14",211.339996,212.399994,209.630005,211.529999,2867500,206.104599
"2021-07-15",211.100006,213.759995,210.610001,212.860001,1663200,207.400497
"2021-07-16",213.119995,213.529999,210.110001,210.570007,3805300,205.16925
"2021-07-19",208.460007,211.460007,206.669998,211.410004,2910700,205.987686
"2021-07-20",212.059998,214.289993,210.710007,212.460007,2257000,207.010773
"2021-07-21",212.660004,214.710007,212.169998,212.449997,1770900,207.001007
"2021-07-22",212.360001,213.729996,211.860001,213.229996,1629700,207.761002
"2021-07-23",212.990005,213.25,210.940002,211.639999,2188900,206.211777
"2021-07-26",211.199997,212.25,209.350006,209.860001,2673700,204.477432
"2021-07-27",198.070007,198.070007,190.259995,195.190002,13741500,190.183701
"2021-07-28",195.089996,195.869995,190.509995,192.039993,6295500,187.114471
"2021-07-29",193.029999,194.490005,191.589996,191.809998,3150300,186.890381
"2021-07-30",190,192.639999,188.320007,191.360001,3741600,186.451935
"2021-08-02",192.350006,193.729996,191.039993,191.940002,2782500,187.017059
"2021-08-03",191.25,194.25,190.570007,194.149994,2726600,189.170364
"2021-08-04",192.919998,193.800003,190.580002,190.789993,2341700,185.896545
"2021-08-05",191.449997,192.300003,190.100006,190.419998,2045200,185.536041
"2021-08-06",191.770004,193.949997,191.279999,192.600006,2340100,187.660126
"2021-08-09",191.070007,192.160004,190.850006,190.979996,2150100,186.08168
"2021-08-10",191.179993,192.119995,190.399994,190.610001,1668000,185.721176
"2021-08-11",191.309998,192.520004,190.720001,192.399994,2131100,187.465256
"2021-08-12",192.679993,194.559998,192.270004,193.639999,2457900,188.673447
"2021-08-13",193.029999,194.899994,192.940002,193.979996,2432200,189.00473
"2021-08-16",194.020004,197.320007,193.580002,197.070007,3091700,192.015488
"2021-08-17",195.690002,198.300003,194.550003,197.759995,2957700,192.687775
"2021-08-18",197.020004,199.509995,194.699997,194.800003,2605800,189.803711
"2021-08-19",193.630005,196.190002,192.5,194.059998,2858800,189.082687
"2021-08-20",192.449997,194.270004,192.100006,193.240005,2222800,189.278595
"2021-08-23",194.240005,195.330002,192.889999,193,2248700,189.043518
"2021-08-24",193.25,194.679993,192.880005,193.270004,1667500,189.307983
"2021-08-25",193.119995,193.970001,192.210007,192.869995,1593900,188.916153
"2021-08-26",193.389999,193.479996,192.070007,192.360001,1969700,188.416626
"2021-08-27",192.320007,193.880005,192.139999,193.300003,1947800,189.337357
"2021-08-30",193.880005,195.610001,192.860001,194.009995,1507700,190.032791
"2021-08-31",194.699997,196.110001,192.899994,195.630005,2782000,191.619583
"2021-09-01",195.720001,197.289993,193.429993,196.399994,2381100,192.373795
"2021-09-02",196.910004,199.25,196.559998,198.190002,2021200,194.127106
"2021-09-03",197.210007,198.509995,196.929993,197.339996,1491800,193.29454
"2021-09-07",197.649994,197.949997,195.279999,195.559998,2266200,191.551025
"2021-09-08",195.539993,195.539993,193.479996,194.570007,2455300,190.581345
"2021-09-09",193.229996,194.360001,188.050003,189.009995,3636700,185.1353
"2021-09-10",190.479996,193.690002,190.009995,193.259995,3094100,189.298172
"2021-09-13",194.710007,195.330002,192.600006,194.389999,2136200,190.404999
"2021-09-14",195.240005,195.880005,190.820007,191.009995,1895300,187.094299
"2021-09-15",191.600006,193.830002,190.850006,193.350006,1769200,189.386353
"2021-09-16",193.360001,194.210007,191.410004,192.970001,1657200,189.014114
"2021-09-17",192.559998,196.25,189.669998,190.029999,4504200,186.134384
"2021-09-20",188.350006,189.580002,186.830002,189.389999,2439500,185.507523
"2021-09-21",190.100006,190.720001,188.009995,189.729996,2496400,185.84053
"2021-09-22",183.850006,187.309998,182.119995,185.300003,4229800,181.501343
"2021-09-23",186,187.839996,185.660004,186.789993,2527500,182.960785
"2021-09-24",186.5,188.699997,185.800003,188.020004,2312900,184.165604
"2021-09-27",187.369995,188.600006,186.649994,186.839996,1847600,183.009781
"2021-09-28",186.679993,187.809998,186.100006,186.759995,3093900,182.931412
"2021-09-29",187.020004,187.949997,184.440002,184.740005,2467400,180.95285
"2021-09-30",185.25,187.240005,182,182.100006,2902800,178.366974
"2021-10-01",182.889999,182.910004,178.830002,181.490005,3014500,177.769455
"2021-10-04",180.5,181.699997,177.130005,178.419998,3512500,174.76239
"2021-10-05",178.479996,181.039993,177.630005,179.669998,2491800,175.986755
"2021-10-06",178.399994,181.169998,177.830002,180.699997,2119200,176.995651
"2021-10-07",182.979996,184.020004,181.169998,181.600006,2518400,177.877213
"2021-10-08",180.699997,184.5,179.679993,183.490005,2781700,179.72847
"2021-10-11",184.300003,184.320007,181.529999,181.740005,1780200,178.014343
"2021-10-12",182.020004,182.75,180.630005,181.990005,2615700,178.259216
"2021-10-13",182.179993,184.929993,180.669998,184.059998,3780400,180.286774
"2021-10-14",187.639999,191.779999,187.259995,191.419998,4106400,187.495895
"2021-10-15",191.960007,194.009995,190.710007,193.75,3153400,189.778137
"2021-10-18",193.470001,195.610001,193.070007,193.389999,2305000,189.425507
"2021-10-19",193.899994,194.910004,193.050003,193.789993,1974500,189.817291
"2021-10-20",194.809998,195.550003,193.199997,195.270004,1952000,191.266968
"2021-10-21",195.610001,200,195.429993,199.440002,2997300,195.351486
"2021-10-22",198.869995,204.160004,198.75,203.809998,3735900,199.631912
"2021-10-25",203.020004,205.559998,201.839996,203.899994,4829700,199.720062
"2021-10-26",214.009995,220.240005,213.660004,218.070007,6596500,213.599564
"2021-10-27",217.119995,217.479996,210.490005,212.210007,3309000,207.859711
"2021-10-28",213.289993,214.039993,210.949997,213.899994,2236400,209.515045
"2021-10-29",212.740005,216.070007,212.25,213.470001,2362000,209.093872
"2021-11-01",214.860001,214.860001,209.899994,210.899994,1868400,206.576553
"2021-11-02",210.899994,210.899994,208.440002,209.139999,2206700,204.852631
"2021-11-03",208.800003,212.860001,207.389999,212.740005,1765800,208.37883
"2021-11-04",213.149994,213.529999,209.809998,210.720001,2451900,206.400253
"2021-11-05",211.520004,211.710007,207.059998,208.220001,2117800,203.951508
"2021-11-08",208.759995,209.889999,207.270004,209.300003,2166100,205.009369
"2021-11-09",209.589996,210.130005,208.009995,209.960007,1552900,205.655823
"2021-11-10",209.889999,212.949997,209.449997,211.639999,2415500,207.301392
"2021-11-11",213.600006,216.490005,212.279999,213.289993,2113700,208.917557
"2021-11-12",212.669998,215.080002,212,213.190002,1600300,208.819611
"2021-11-15",212.860001,213.399994,210.830002,211.520004,1378300,207.183853
"2021-11-16",211.580002,213.910004,211.509995,211.869995,2302800,207.526672
"2021-11-17",211.990005,212.259995,207.490005,207.850006,2542300,203.589081
"2021-11-18",208.259995,208.470001,205.449997,207.470001,3919400,203.216873
"2021-11-19",207.729996,210.669998,206.300003,208.470001,2677600,205.205246
"2021-11-22",208.520004,212.300003,207.649994,210.880005,2220500,207.577499
"2021-11-23",211.029999,213.369995,208.520004,211.809998,2345300,208.49292
"2021-11-24",210.600006,212,208.259995,208.470001,2518700,205.205246
"2021-11-26",206.149994,209.529999,204.779999,205.300003,1941000,202.084885
"2021-11-29",204.160004,206,201.5,204.639999,3435100,201.435211
"2021-11-30",203.5,203.5,198.100006,198.369995,6267600,195.263397
"2021-12-01",200.880005,202.149994,194,194.149994,2938400,191.109482
"2021-12-02",195.279999,200.630005,193.820007,199.899994,2423400,196.76944
"2021-12-03",201.039993,202.630005,197.759995,200.729996,2606400,197.586441
"2021-12-06",201.990005,204.610001,201.380005,202.059998,3006700,198.895615
