"","SYF.Open","SYF.High","SYF.Low","SYF.Close","SYF.Volume","SYF.Adjusted"
"2021-02-26",38.77,39.459999,37.98,38.68,7518200,37.457767
"2021-03-01",39.459999,40.439999,39.400002,40,8211000,38.736057
"2021-03-02",39.830002,40.290001,39.439999,39.560001,6106500,38.309963
"2021-03-03",39.84,40.895,39.709999,40.119999,5423500,38.852268
"2021-03-04",39.77,40.18,37.759998,38.91,8090800,37.6805
"2021-03-05",39.75,40.220001,37.919998,40.099998,7214800,38.83289
"2021-03-08",40.509998,41.209999,40.040001,40.639999,8167700,39.355831
"2021-03-09",40.459999,40.735001,39.619999,40.169998,6960000,38.900681
"2021-03-10",40.48,41.860001,40.470001,41.610001,6144300,40.295181
"2021-03-11",41.43,42.810001,41.25,42.66,5369600,41.312004
"2021-03-12",43.02,43.240002,42.57,42.700001,4044500,41.350742
"2021-03-15",42.830002,43.009998,41.619999,42.82,6448600,41.466946
"2021-03-16",42.669998,42.685001,41.310001,42.200001,6820200,40.866539
"2021-03-17",42.470001,43.16,41.880001,43.139999,7243800,41.776836
"2021-03-18",43.43,43.610001,40.990002,41.259998,8054600,39.956242
"2021-03-19",40.610001,41.52,40.02,40.970001,9836000,39.675407
"2021-03-22",40.860001,40.959999,40.244999,40.540001,6843500,39.258995
"2021-03-23",40.060001,40.395,38.450001,38.799999,9354300,37.573971
"2021-03-24",39.5,40.035,39.220001,39.490002,9934000,38.24218
"2021-03-25",39.099998,40.860001,38.240002,40.73,8072400,39.442989
"2021-03-26",41.66,41.880001,40.389999,41.32,6159000,40.014339
"2021-03-29",40.669998,40.959999,39.814999,40.299999,7423200,39.026577
"2021-03-30",40.57,41.310001,40.57,41.060001,6312600,39.762562
"2021-03-31",40.939999,41.610001,40.639999,40.66,5550300,39.375198
"2021-04-01",40.939999,41.830002,40.84,41.66,5775900,40.343609
"2021-04-05",42.16,42.509998,41.84,42.220001,7898400,40.88591
"2021-04-06",42.049999,42.505001,41.889999,42.189999,5310900,40.856853
"2021-04-07",42.34,43.029999,42.209999,42.490002,5536000,41.147377
"2021-04-08",42.200001,42.34,41.43,42.25,4697000,40.914963
"2021-04-09",42.880001,43.09,42.238998,42.799999,6593800,41.447578
"2021-04-12",42.810001,43.240002,42.544998,43.150002,4671000,41.786522
"2021-04-13",42.830002,43,41.259998,41.459999,7508700,40.149921
"2021-04-14",40.310001,42,40.220001,41.5,6786700,40.18866
"2021-04-15",41.700001,41.700001,40.689999,41.279999,5439800,39.975609
"2021-04-16",41.740002,42.139999,41.299999,41.389999,4526800,40.082134
"2021-04-19",41.32,41.459999,40.470001,40.73,10066900,39.442989
"2021-04-20",40.5,40.5,39.07,39.57,4631700,38.319645
"2021-04-21",39.18,40.200001,38.650002,40.18,6107900,38.910366
"2021-04-22",40.389999,40.59,39.759998,39.880001,3443200,38.61985
"2021-04-23",39.799999,40.900002,39.560001,40.68,3181600,39.394577
"2021-04-26",40.799999,41.799999,40.799999,41.470001,4549900,40.159607
"2021-04-27",39.709999,40.889999,39.599998,40.73,9905400,39.442989
"2021-04-28",41.080002,43.080002,41.02,43.029999,8877200,41.670311
"2021-04-29",43.369999,44.580002,43.209999,44.439999,9386500,43.035759
"2021-04-30",43.889999,44.220001,43.549999,43.740002,6888200,42.568615
"2021-05-03",44.290001,44.544998,43.27,43.68,5947600,42.51022
"2021-05-04",43.5,44.84,43.110001,44.59,8712300,43.395851
"2021-05-05",44.860001,45.235001,44.297001,44.790001,6522800,43.590496
"2021-05-06",45.040001,45.306999,44.150002,44.900002,6489300,43.697544
"2021-05-07",44.459999,45.98,44.080002,45.900002,5551400,44.670769
"2021-05-10",46.549999,47.215,45.98,46.02,7222000,44.787552
"2021-05-11",45.200001,45.790001,44.459999,45.209999,5771200,43.999245
"2021-05-12",45.400002,45.720001,43.919998,44.130001,6093400,42.948166
"2021-05-13",44.130001,45.584999,44.040001,45.27,5845600,44.057644
"2021-05-14",45.689999,46.976002,45.540001,46.799999,4700800,45.546669
"2021-05-17",46.509998,47.16,46.365002,46.91,4448500,45.653721
"2021-05-18",46.650002,47.136002,45.84,45.849998,5048300,44.622105
"2021-05-19",45.049999,45.900002,44.540001,45.869999,4616700,44.641575
"2021-05-20",46.07,46.23,45.360001,45.759998,4675800,44.534519
"2021-05-21",46.09,46.867001,45.959999,46.220001,4640100,44.982201
"2021-05-24",46.48,46.669998,46.029999,46.400002,3493500,45.157379
"2021-05-25",46.790001,47.674999,46.125,46.259998,5430600,45.021126
"2021-05-26",46.419998,46.919998,46.310001,46.75,4337600,45.498001
"2021-05-27",47.459999,48.169998,47.139999,47.700001,9257600,46.422565
"2021-05-28",47.630001,47.900002,46.875,47.41,3977500,46.140331
"2021-06-01",48.064999,48.990002,48.064999,48.970001,5985100,47.65855
"2021-06-02",49.900002,50.07,48.82,49.5,7479200,48.174358
"2021-06-03",49.369999,50.009998,49.009998,49.849998,7028300,48.51498
"2021-06-04",50,50.240002,49.66,49.790001,5425900,48.456593
