"","NSC.Open","NSC.High","NSC.Low","NSC.Close","NSC.Volume","NSC.Adjusted"
"2021-04-27",282.679993,283.48999,280.670013,281.850006,1095700,276.081726
"2021-04-28",281.670013,287.429993,281.670013,284.089996,1119200,278.275879
"2021-04-29",287.200012,287.200012,280,280.700012,1632700,274.955292
"2021-04-30",280.369995,281.089996,276.929993,279.23999,1638900,273.525146
"2021-05-03",281.51001,284.839996,281.359985,283.059998,813500,277.266968
"2021-05-04",282.619995,288.070007,282.179993,287.679993,1314600,281.792389
"2021-05-05",289.839996,291.070007,286.519989,287.01001,1163100,281.136139
"2021-05-06",287.01001,287.769989,284.880005,286.970001,1093000,282.069916
"2021-05-07",287.869995,290.26001,285.799988,289.809998,943600,284.861389
"2021-05-10",291.48999,295.140015,290.220001,290.350006,933800,285.392181
"2021-05-11",288.299988,289.950012,285,286.660004,1282500,281.765198
"2021-05-12",285.959991,287.040009,281.230011,281.700012,1209500,276.889893
"2021-05-13",282.790009,287.829987,282.420013,287.01001,767500,282.109222
"2021-05-14",287.690002,291.839996,287.190002,289.829987,795900,284.881042
"2021-05-17",289.269989,290.149994,284.459991,285.73999,993500,280.860901
"2021-05-18",286.470001,286.730011,280.089996,280.220001,1194300,275.43515
"2021-05-19",277,279.730011,274.170013,279.450012,840900,274.678284
"2021-05-20",279.140015,279.880005,275.890015,276.910004,1508400,272.181671
"2021-05-21",278.579987,280.950012,276.649994,277.339996,1179300,272.604309
"2021-05-24",278.730011,280.980011,276.230011,280.480011,1295400,275.690735
"2021-05-25",281.230011,283.880005,277.75,277.959991,1451100,273.213715
"2021-05-26",277.970001,283.149994,276.929993,279.649994,921200,274.874847
"2021-05-27",281.98999,282.070007,278.540009,279.329987,1422700,274.560333
"2021-05-28",279.799988,281.730011,279.029999,280.899994,911300,276.103516
"2021-06-01",283.320007,284.279999,281.109985,281.440002,868200,276.634308
"2021-06-02",281.950012,282.089996,278.73999,279.130005,959800,274.3638
"2021-06-03",278,281.679993,277.209991,279.570007,1170800,274.796265
"2021-06-04",281.049988,281.290009,277.679993,279.299988,845300,274.530853
"2021-06-07",280,280,274.799988,274.820007,927600,270.12735
"2021-06-08",274.709991,276.619995,271.160004,275.459991,1045000,270.756439
"2021-06-09",275.540009,275.98999,273.619995,273.76001,818400,269.085449
"2021-06-10",275.450012,276.160004,269.48999,270.119995,1337900,265.507599
"2021-06-11",271.609985,272.279999,270.109985,271.48999,1172100,266.854187
"2021-06-14",271.309998,273,270.700012,271.519989,985000,266.883698
"2021-06-15",272.049988,274.570007,270.929993,273.230011,1169400,268.564514
"2021-06-16",273.290009,273.399994,270.609985,271.399994,1024000,266.765747
"2021-06-17",271.320007,271.679993,264.380005,266.920013,1189800,262.362274
"2021-06-18",263.529999,264.809998,261.309998,261.429993,1923100,256.965973
"2021-06-21",263.01001,266.670013,263.01001,264.76001,1299600,260.239166
"2021-06-22",265.359985,266.899994,263.850006,264.079987,1271100,259.57074
"2021-06-23",264.850006,265.609985,262.799988,263.200012,1030700,258.705811
"2021-06-24",264.019989,265.640015,262.779999,264.940002,1184400,260.416046
"2021-06-25",266.029999,267.839996,265.26001,265.850006,1452100,261.310516
"2021-06-28",266.660004,266.700012,263,263.51001,963800,259.010498
"2021-06-29",263.480011,265,261.149994,262.089996,1658200,257.614746
"2021-06-30",262.769989,265.769989,262.279999,265.410004,1282900,260.878021
"2021-07-01",266.679993,269.420013,266.459991,269.279999,1192500,264.681976
"2021-07-02",269.369995,271.880005,268.619995,270.910004,1433400,266.284119
"2021-07-06",270.130005,271.230011,265.459991,269.339996,1796800,264.740936
"2021-07-07",268.429993,274.519989,268.290009,273.350006,1354100,268.682465
"2021-07-08",265.230011,267.220001,253.110001,253.779999,3737800,249.44664
"2021-07-09",264.309998,265.529999,260,263.640015,1880900,259.138306
"2021-07-12",261.179993,262.970001,259.769989,261.790009,1000700,257.319885
"2021-07-13",261.059998,262.679993,260.649994,261.279999,897700,256.818573
"2021-07-14",262.459991,263.679993,261.420013,261.76001,1084000,257.290375
"2021-07-15",260,264.220001,260,263.399994,1310900,258.902344
"2021-07-16",264.029999,264.299988,260.480011,260.549988,1724700,256.101013
"2021-07-19",255,256.309998,252.25,253.820007,1343100,249.485947
"2021-07-20",254.289993,258.48999,254.289993,256.829987,995300,252.444534
"2021-07-21",258.01001,261.630005,258.01001,260.649994,1346800,256.199341
"2021-07-22",265.170013,266.380005,263.070007,263.899994,1303000,259.393799
"2021-07-23",264.399994,266.48999,263.829987,265.320007,1039900,260.789581
"2021-07-26",264.779999,267.089996,263.350006,265.279999,899900,260.750244
"2021-07-27",263.190002,266.899994,262.01001,262.929993,982900,258.440369
"2021-07-28",262.709991,263.579987,253.699997,256.920013,1507800,252.53302
"2021-07-29",257.609985,260.380005,255.899994,256.040009,1011000,251.668045
"2021-07-30",255.779999,257.890015,255.100006,257.829987,1044700,253.42746
"2021-08-02",259.079987,261.369995,255.410004,256.160004,829900,251.78598
"2021-08-03",256.920013,260.399994,255.889999,258.73999,769300,254.32193
