"","WDC.Open","WDC.High","WDC.Low","WDC.Close","WDC.Volume","WDC.Adjusted"
"2020-12-14",51.799999,52.389999,51.040001,51.139999,3596400,51.139999
"2020-12-15",52.18,53.59,51.880001,53.580002,4891700,53.580002
"2020-12-16",53.700001,53.939999,52.860001,53.02,2985200,53.02
"2020-12-17",53.349998,53.509998,52.860001,53.459999,2997500,53.459999
"2020-12-18",53.639999,54.59,52.959999,53.189999,6978000,53.189999
"2020-12-21",51.619999,52.459999,51.450001,52.209999,3817400,52.209999
"2020-12-22",52.209999,52.389999,49.68,49.720001,4112600,49.720001
"2020-12-23",49.950001,50.599998,49.41,49.93,2685500,49.93
"2020-12-24",50.310001,50.380001,49.349998,49.919998,1224500,49.919998
"2020-12-28",50.59,50.970001,49.630001,50.060001,2763400,50.060001
"2020-12-29",50.639999,50.639999,48.23,48.290001,4622400,48.290001
"2020-12-30",48.279999,50.290001,48.279999,49.529999,3965400,49.529999
"2020-12-31",49.900002,55.950001,49.810001,55.389999,15479800,55.389999
"2021-01-04",54.950001,55.32,52.040001,52.23,7498200,52.23
"2021-01-05",52.66,54.009998,52.650002,53.060001,3870000,53.060001
"2021-01-06",53.049999,54.599998,52.639999,53.41,4521100,53.41
"2021-01-07",54.099998,55.389999,53.91,54.740002,4404500,54.740002
"2021-01-08",55.389999,55.450001,51.27,51.82,7544400,51.82
"2021-01-11",50.849998,52.200001,50.610001,51.560001,3539700,51.560001
"2021-01-12",51.490002,51.73,49.75,49.900002,4926600,49.900002
"2021-01-13",49.490002,49.75,48.619999,49.470001,6435200,49.470001
"2021-01-14",49.560001,51.130001,48.939999,50.369999,4606700,50.369999
"2021-01-15",50.189999,52.119999,49.98,51.209999,5866800,51.209999
"2021-01-19",51.48,52.16,50.700001,51.990002,3607300,51.990002
"2021-01-20",52.580002,52.919998,51.380001,51.82,2937500,51.82
"2021-01-21",51.869999,53.84,51.830002,53.509998,4350500,53.509998
"2021-01-22",52.080002,52.360001,50.16,50.709999,5237300,50.709999
"2021-01-25",50.700001,51.360001,50.169998,51.279999,3261000,51.279999
"2021-01-26",51.790001,52.599998,51.490002,52.060001,3656700,52.060001
"2021-01-27",51,55.439999,50.779999,53.189999,8690200,53.189999
"2021-01-28",53.549999,53.880001,52.07,52.650002,6740300,52.650002
"2021-01-29",58.66,60.68,55.119999,56.43,15496400,56.43
"2021-02-01",56.990002,57.959999,56.43,57.59,4600300,57.59
"2021-02-02",58.599998,59.009998,57.490002,57.91,4025000,57.91
"2021-02-03",57.98,58.709999,57.220001,57.700001,3038500,57.700001
"2021-02-04",58.240002,59.41,58.060001,59.259998,3299300,59.259998
"2021-02-05",59.509998,60.290001,59.240002,59.740002,3004300,59.740002
"2021-02-08",59.84,62.330002,59.799999,62.119999,4603300,62.119999
"2021-02-09",62.360001,62.610001,61.380001,61.689999,2026600,61.689999
"2021-02-10",62.349998,62.75,59.810001,60.389999,3625300,60.389999
"2021-02-11",62.759998,64.739998,62.07,63.959999,7196200,63.959999
"2021-02-12",64.449997,67.339996,63.84,65.57,5552000,65.57
"2021-02-16",68,68.279999,65.349998,66.660004,6337900,66.660004
"2021-02-17",65.800003,68.779999,65.690002,67.300003,6013100,67.300003
"2021-02-18",66.480003,69.800003,66.410004,68.709999,6298900,68.709999
"2021-02-19",70.449997,71.029999,67.75,68.879997,4517000,68.879997
"2021-02-22",67.75,69.489998,67.75,67.860001,3640100,67.860001
"2021-02-23",65.699997,67.43,62.900002,67.150002,4413400,67.150002
"2021-02-24",68.120003,71.080002,67.309998,70.529999,6164300,70.529999
"2021-02-25",70.239998,70.860001,67.07,67.790001,3774000,67.790001
"2021-02-26",68.199997,70.32,67.440002,68.529999,4821000,68.529999
"2021-03-01",70.580002,72.980003,70.010002,72.209999,6578300,72.209999
"2021-03-02",71.959999,72.699997,69.480003,69.540001,4517000,69.540001
"2021-03-03",69.730003,72.139999,68.660004,69.669998,6443800,69.669998
"2021-03-04",69.449997,69.620003,62.66,63.490002,9249200,63.490002
"2021-03-05",67.620003,69.32,64.589996,68.07,9199900,68.07
"2021-03-08",69.959999,71.18,68.790001,68.860001,6937500,68.860001
"2021-03-09",70.080002,70.730003,68.830002,69.330002,4914400,69.330002
"2021-03-10",69.510002,69.900002,66.489998,66.580002,5139800,66.580002
"2021-03-11",68.419998,69.389999,67.629997,68.690002,4344300,68.690002
"2021-03-12",68,69.5,67.510002,68.470001,2935900,68.470001
"2021-03-15",68.440002,68.620003,66.57,68.599998,3447200,68.599998
"2021-03-16",69.739998,71.839996,69.330002,69.769997,5617000,69.769997
"2021-03-17",69.190002,71.540001,69.050003,71.300003,3307300,71.300003
"2021-03-18",70.529999,72.199997,68.830002,69.169998,4516500,69.169998
"2021-03-19",69.889999,72.529999,69.360001,70.580002,6868400,70.580002
"2021-03-22",71,71.459999,69.769997,70.330002,3270900,70.330002
"2021-03-23",70,70.489998,64.699997,65.459999,7028300,65.459999
"2021-03-24",66.309998,66.900002,63.549999,63.66,4823900,63.66
"2021-03-25",62.369999,64.400002,61.720001,64.050003,3517800,64.050003
"2021-03-26",65.470001,67.330002,64.849998,67.279999,3521700,67.279999
"2021-03-29",67.080002,67.93,65.050003,65.349998,3636000,65.349998
"2021-03-30",65.220001,65.879997,64.419998,65.459999,2655500,65.459999
"2021-03-31",65.290001,67.290001,64.620003,66.75,5078100,66.75
"2021-04-01",70.410004,71.589996,69.279999,71.370003,7122200,71.370003
"2021-04-05",71.690002,72.57,70.629997,72.040001,4692700,72.040001
"2021-04-06",70.879997,73.010002,70.699997,72.82,4408900,72.82
"2021-04-07",73,74.660004,71.849998,72.220001,3603200,72.220001
"2021-04-08",73.209999,73.75,71.800003,72.940002,2821200,72.940002
"2021-04-09",72.940002,73.199997,72.169998,72.93,2353000,72.93
"2021-04-12",72.68,72.739998,71.18,71.43,2767300,71.43
"2021-04-13",71.190002,71.43,69.690002,69.800003,3592700,69.800003
"2021-04-14",69.379997,70.43,68.599998,68.690002,2974000,68.690002
"2021-04-15",69.610001,69.610001,68.279999,68.730003,3444000,68.730003
"2021-04-16",69.32,70.5,68.849998,68.889999,3058800,68.889999
"2021-04-19",69.050003,69.830002,67.519997,68.309998,3518500,68.309998
"2021-04-20",68.339996,68.800003,67.43,67.980003,2695500,67.980003
"2021-04-21",67.199997,69.480003,66.900002,69.459999,2940100,69.459999
"2021-04-22",69.489998,69.529999,65.940002,66.260002,4996400,66.260002
"2021-04-23",66.919998,68.43,66.010002,68.07,3109100,68.07
"2021-04-26",68.970001,71.989998,68.900002,71.410004,5509300,71.410004
"2021-04-27",72.019997,72.629997,70.900002,72.449997,3485200,72.449997
"2021-04-28",72.43,72.82,70.190002,70.599998,5121600,70.599998
"2021-04-29",71.540001,71.839996,69.68,71.129997,5773700,71.129997
"2021-04-30",73.089996,74.699997,69.739998,70.629997,11015000,70.629997
"2021-05-03",71.25,71.82,69.300003,70.120003,4739300,70.120003
"2021-05-04",69.400002,69.470001,65.910004,67.279999,6548700,67.279999
"2021-05-05",68.400002,69.07,67.739998,68.580002,3360200,68.580002
"2021-05-06",68.580002,69.68,67.860001,69.610001,3250900,69.610001
"2021-05-07",70,71.830002,69.25,71.650002,4205700,71.650002
"2021-05-10",71.739998,71.809998,68.580002,68.620003,4402600,68.620003
"2021-05-11",66.949997,68.550003,66.230003,68.150002,4803400,68.150002
"2021-05-12",66.980003,67.370003,64.089996,64.379997,4299400,64.379997
"2021-05-13",64.949997,67.379997,64.839996,66.370003,3225800,66.370003
"2021-05-14",67.860001,72.220001,67.019997,71.870003,7204500,71.870003
"2021-05-17",71.199997,77.540001,71.199997,76.419998,16960000,76.419998
