"","WM.Open","WM.High","WM.Low","WM.Close","WM.Volume","WM.Adjusted"
"2021-08-09",147.809998,148.309998,146.929993,147.229996,1055600,144.952271
"2021-08-10",147,148,146.740005,146.979996,1273700,144.706146
"2021-08-11",147.729996,149.199997,147.630005,149.130005,1224200,146.822891
"2021-08-12",149,150.300003,148.850006,150.080002,1356900,147.758209
"2021-08-13",150.470001,151.149994,149.889999,150.610001,906300,148.279999
"2021-08-16",150.669998,152,150.199997,151.929993,1141300,149.579544
"2021-08-17",151.970001,152.410004,150.860001,151.699997,1295100,149.353134
"2021-08-18",151.259995,151.690002,149.440002,149.559998,1366200,147.246216
"2021-08-19",148.369995,151.960007,148.369995,151.619995,1345600,149.274353
"2021-08-20",151.649994,153.289993,151.259995,152.940002,1404300,150.573944
"2021-08-23",153.259995,153.410004,151.710007,151.759995,1337600,149.412201
"2021-08-24",151.759995,152.559998,151.270004,152.389999,1249700,150.032455
"2021-08-25",152.460007,153.199997,151.919998,152.830002,1080300,150.465652
"2021-08-26",153,153.899994,152.600006,153.600006,888900,151.22374
"2021-08-27",154.210007,154.649994,153.669998,154.149994,1061200,151.765228
"2021-08-30",154.160004,155.399994,154.089996,155.130005,658500,152.730072
"2021-08-31",155.339996,155.619995,154.320007,155.110001,1732600,152.710373
"2021-09-01",154.550003,156.320007,154.190002,155.850006,1533100,153.438934
"2021-09-02",155.899994,156.600006,155.229996,155.809998,1710900,153.967606
"2021-09-03",156,156.190002,155.320007,155.399994,1419300,153.562439
"2021-09-07",155.080002,155.350006,153.089996,153.259995,1565100,151.447739
"2021-09-08",153,154.899994,152.729996,154.240005,1811600,152.416168
"2021-09-09",154.380005,154.559998,153.550003,153.800003,1383700,151.981384
"2021-09-10",154.149994,154.899994,153.580002,154.449997,1249900,152.623672
"2021-09-13",155.490005,156.740005,154.190002,155.130005,1971000,153.295654
"2021-09-14",155.520004,156.119995,154.25,154.580002,1051400,152.752151
"2021-09-15",154.550003,156.339996,154.169998,155.630005,1054500,153.789719
"2021-09-16",155.889999,156.089996,153.820007,153.889999,850000,152.070313
"2021-09-17",153.110001,153.600006,152.240005,152.679993,3109000,150.874603
"2021-09-20",150.990005,152.979996,150.509995,152.729996,1453000,150.924011
"2021-09-21",153.050003,154.259995,152.630005,152.75,1127300,150.943787
"2021-09-22",153.660004,154.169998,152.669998,153.419998,1194200,151.605865
"2021-09-23",154.330002,155.029999,153.25,153.5,1110500,151.684906
"2021-09-24",153.149994,154.210007,153.149994,154.190002,1240200,152.366776
"2021-09-27",153.809998,154.149994,151.580002,152.050003,2123900,150.25206
"2021-09-28",151.570007,151.830002,149.279999,149.919998,1795000,148.147247
"2021-09-29",150.5,151.979996,149.949997,151.600006,1557400,149.807404
"2021-09-30",152.029999,152.449997,149.309998,149.360001,1587100,147.593872
"2021-10-01",149.720001,150.660004,147.529999,149.839996,1241900,148.068207
"2021-10-04",149.389999,150.720001,147.899994,148.830002,1413600,147.070145
"2021-10-05",149.080002,150.449997,148.25,149.850006,1123200,148.078079
"2021-10-06",149,151.460007,148.660004,151.279999,1493000,149.491165
"2021-10-07",152.240005,154.149994,152.240005,153.990005,1649600,152.169128
"2021-10-08",153.899994,155.179993,153.25,154.720001,1563400,152.890488
"2021-10-11",154.690002,155.740005,154.070007,154.080002,1035000,152.258057
"2021-10-12",154.710007,155.889999,154.039993,154.460007,1603700,152.633575
"2021-10-13",154.660004,155.649994,152,154.970001,1316900,153.137527
"2021-10-14",156.190002,158.070007,156.039993,157.960007,1346500,156.092194
"2021-10-15",159,159.529999,158.080002,158.169998,1162500,156.299698
"2021-10-18",157.830002,158.160004,156.630005,157.160004,1554800,155.301636
"2021-10-19",157.699997,158.899994,157.160004,158.839996,1960300,156.961761
"2021-10-20",158.600006,160.570007,158.600006,160.5,1446800,158.602142
"2021-10-21",162.080002,162.330002,160.449997,161.880005,1489500,159.965836
"2021-10-22",162.229996,164.589996,162.080002,164.419998,1249000,162.475784
"2021-10-25",163.929993,164.820007,160.550003,161.149994,2778800,159.244446
"2021-10-26",157.800003,160.229996,154.009995,159.279999,3007400,157.396576
"2021-10-27",158.809998,159.940002,154.699997,155.149994,2572100,153.315399
"2021-10-28",156.020004,157.699997,155.399994,157.5,1845200,155.637619
"2021-10-29",157.5,160.619995,157.270004,160.229996,1609000,158.335312
"2021-11-01",160.919998,161.550003,158.539993,159.279999,1284900,157.396576
