"","PCAR.Open","PCAR.High","PCAR.Low","PCAR.Close","PCAR.Volume","PCAR.Adjusted"
"2021-01-14",89,89.879997,88.739998,89.260002,918100,85.791298
"2021-01-15",88.730003,88.730003,86.379997,88.160004,1206800,84.734039
"2021-01-19",88.169998,89.580002,87.989998,89.209999,1293800,85.74324
"2021-01-20",91.889999,92.949997,89.199997,89.389999,2656400,85.916245
"2021-01-21",92.919998,103.190002,91.879997,98.739998,8088100,94.902885
"2021-01-22",98.050003,100.75,97.32,98.849998,3454500,95.008614
"2021-01-25",101,101.790001,97.660004,97.940002,3080500,94.133972
"2021-01-26",95.870003,98.150002,94.089996,97.809998,3105000,94.009033
"2021-01-27",96.650002,98.529999,95.080002,96.400002,3190400,92.653831
"2021-01-28",97.440002,98.900002,93.470001,93.550003,2568000,89.914574
"2021-01-29",92.839996,93.739998,89.690002,91.220001,3065500,87.675125
"2021-02-01",91.800003,92.18,90.550003,91.18,1844000,87.636688
"2021-02-02",92.25,92.32,90.050003,91.889999,2048400,88.319084
"2021-02-03",92.900002,96.110001,92.239998,95.669998,3260700,91.952187
"2021-02-04",97.139999,97.989998,95.800003,97.099998,2353400,93.32663
"2021-02-05",97.599998,98.370003,96.139999,96.580002,1729200,92.826828
"2021-02-08",97.389999,97.389999,95.830002,96.769997,1210700,93.318634
"2021-02-09",97.110001,99.690002,96.040001,99.410004,2501200,95.864487
"2021-02-10",100.309998,101.400002,98.620003,99.599998,1520000,96.047699
"2021-02-11",99.980003,100.230003,96.580002,98.599998,1274400,95.083359
"2021-02-12",98.449997,99.07,96.510002,98,1302300,94.504768
"2021-02-16",98.68,98.879997,96.260002,97.129997,1569400,93.665802
"2021-02-17",96.160004,96.639999,94.529999,96.050003,1302000,92.624321
"2021-02-18",95.360001,95.580002,93.419998,94.849998,1377900,91.467117
"2021-02-19",94.980003,96.199997,94.519997,95.190002,1489200,91.794998
"2021-02-22",95,95.57,93.690002,94.68,1531600,91.303185
"2021-02-23",94.099998,94.540001,91.349998,93.330002,2210600,90.001328
