"","TER.Open","TER.High","TER.Low","TER.Close","TER.Volume","TER.Adjusted"
"2021-08-20",114.379997,115.43,112.160004,113.559998,1478300,113.166031
"2021-08-23",114.150002,117.199997,114.150002,116.650002,878300,116.245308
"2021-08-24",117.849998,118.800003,116.5,116.800003,976500,116.394798
"2021-08-25",117.080002,118.75,116.910004,118.059998,959100,117.650421
"2021-08-26",117.849998,118.800003,116.720001,117.160004,613300,116.753548
"2021-08-27",117.559998,122.779999,117.559998,122.599998,1406400,122.174667
"2021-08-30",123.459999,124.110001,122.120003,123.209999,970800,122.782555
"2021-08-31",123.239998,123.239998,119.82,121.440002,1812900,121.117012
"2021-09-01",122.360001,122.529999,119.599998,119.669998,1251400,119.351707
"2021-09-02",120.440002,121.620003,120.360001,120.870003,821100,120.548515
"2021-09-03",120.580002,122.43,120.360001,121.879997,761900,121.555824
"2021-09-07",122.160004,122.629997,120.07,120.160004,1289400,119.840408
"2021-09-08",120,120.389999,118.5,118.830002,1271000,118.513947
"2021-09-09",118.779999,120.650002,118.120003,119.169998,764400,118.853043
"2021-09-10",120.18,124.18,120.18,120.970001,1318800,120.648247
"2021-09-13",121.940002,123.029999,120.120003,122.32,990300,121.994652
"2021-09-14",122.82,123.230003,120.940002,122.32,1197000,121.994652
"2021-09-15",122.419998,122.510002,120.650002,122.230003,966000,121.9049
"2021-09-16",121.529999,123.830002,120.309998,123.139999,854400,122.812477
"2021-09-17",122.279999,122.919998,119.419998,121.349998,2418000,121.027229
"2021-09-20",118.339996,118.339996,114.669998,116.480003,1809900,116.170197
"2021-09-21",117.68,117.690002,115.57,115.980003,1823400,115.671524
"2021-09-22",116.970001,118.529999,116.160004,118.309998,2282600,117.995323
"2021-09-23",119.129997,120.900002,118.629997,119.739998,2490700,119.421524
"2021-09-24",118.870003,120.099998,118.43,119.330002,1137200,119.012619
"2021-09-27",118.349998,119.139999,117.110001,117.540001,2108100,117.227379
"2021-09-28",115.269997,115.550003,110.309998,111.470001,2404900,111.173515
"2021-09-29",112.290001,112.650002,109.089996,109.169998,1556000,108.879631
"2021-09-30",110,111.529999,109.099998,109.169998,1494400,108.879631
"2021-10-01",109.699997,109.989998,107.980003,109.470001,1354300,109.178841
"2021-10-04",108.43,108.690002,105.239998,107.269997,2350000,106.984688
"2021-10-05",108.209999,110.25,107.269997,109.480003,2581800,109.18882
"2021-10-06",107.879997,109.410004,107.010002,109,1642600,108.710091
"2021-10-07",112.349998,113.050003,111.190002,111.43,1492100,111.133621
"2021-10-08",111.860001,112.029999,109.190002,109.559998,967300,109.268593
"2021-10-11",108.919998,110.419998,107.919998,108.019997,897300,107.732689
"2021-10-12",109.779999,109.779999,106.849998,107.349998,978100,107.064476
"2021-10-13",108.650002,109.269997,108.099998,108.470001,1181200,108.181503
"2021-10-14",111.379997,112.779999,110.400002,112.720001,1732400,112.420197
"2021-10-15",114,114.830002,113.230003,113.919998,1428500,113.616997
"2021-10-18",112.879997,115.860001,112.559998,115.779999,1118000,115.472054
"2021-10-19",116.32,117.139999,115.699997,116.720001,1107200,116.409561
"2021-10-20",116.489998,117.059998,115.050003,116.949997,884800,116.638939
"2021-10-21",116.260002,117.82,116,117.540001,749800,117.227379
"2021-10-22",117.540001,120.809998,115.910004,116.120003,1307200,115.81115
"2021-10-25",116.129997,118.68,115.669998,117.279999,1159600,116.968063
"2021-10-26",118.589996,118.860001,115.129997,115.150002,1292500,114.843735
"2021-10-27",119.419998,124.830002,117.830002,123.07,3406600,122.742668
"2021-10-28",130,138.350006,128.389999,137.009995,5711700,136.645584
"2021-10-29",135.210007,138.740005,134.970001,138.240005,2347000,137.87233
"2021-11-01",138.179993,139.820007,136.610001,139.610001,2050400,139.238678
"2021-11-02",139.350006,139.800003,137.380005,139.350006,1571400,138.979385
"2021-11-03",140.210007,141.690002,138.600006,140.320007,1260000,139.946793
"2021-11-04",140.429993,144.729996,139.220001,144.589996,1734100,144.205429
"2021-11-05",145.259995,146.759995,142.210007,144.220001,1676500,143.836411
"2021-11-08",144.770004,145.199997,142.380005,143.889999,1087300,143.507278
"2021-11-09",144.75,145.720001,143.190002,145.419998,1075500,145.033218
"2021-11-10",143.169998,145.429993,141.509995,142.009995,1281700,141.632294
"2021-11-11",143.839996,144.330002,141.830002,143.210007,717300,142.829117
"2021-11-12",144.009995,146.360001,142.800003,146.190002,1009800,145.801163
"2021-11-15",148.100006,149.949997,146.729996,148.169998,1361900,147.775909
"2021-11-16",148.279999,151.520004,147.570007,151.240005,1247000,150.837738
"2021-11-17",152.369995,153.729996,150.899994,151.610001,1847900,151.206757
"2021-11-18",152.429993,152.710007,149.789993,150.850006,997800,150.448792
"2021-11-19",150.240005,153.449997,149.449997,151.270004,822700,150.867676
"2021-11-22",152.080002,154.5,149.289993,149.380005,1078300,148.982697
"2021-11-23",147.729996,150.509995,145.610001,149.100006,879200,148.803055
"2021-11-24",147.660004,150.910004,146.559998,150.830002,983100,150.529602
"2021-11-26",148.350006,151.399994,145.419998,146.350006,911000,146.058533
"2021-11-29",149.520004,154.869995,146.509995,154.449997,1813000,154.14238
"2021-11-30",153.860001,154.869995,150.759995,152.869995,2158800,152.565536
"2021-12-01",155.759995,158.220001,152.130005,152.350006,1603800,152.04657
"2021-12-02",149.520004,152.350006,147.210007,150.940002,1683700,150.639374
"2021-12-03",153.050003,155,149.070007,150.559998,1565300,150.260132
"2021-12-06",151.309998,153.929993,144.910004,152.610001,1926400,152.306046
"2021-12-07",154.279999,159.880005,154.279999,159.110001,1700200,158.793106
"2021-12-08",159.110001,160.649994,157.110001,160.410004,933100,160.09053
"2021-12-09",159.100006,161.539993,156.490005,156.570007,1059500,156.258179
