"","L.Open","L.High","L.Low","L.Close","L.Volume","L.Adjusted"
"2021-04-14",53.419998,54.330002,53.419998,54.02,560600,53.732777
"2021-04-15",54.040001,54.16,53.68,54.029999,436600,53.742722
"2021-04-16",54.43,54.580002,54.060001,54.369999,541200,54.080917
"2021-04-19",54.5,54.540001,53.959999,54.259998,369000,53.9715
"2021-04-20",53.939999,54.130001,53.529999,53.93,449300,53.643253
"2021-04-21",53.77,54.84,53.77,54.810001,355600,54.518578
"2021-04-22",54.57,54.799999,54.220001,54.279999,377600,53.99139
"2021-04-23",54.400002,55.400002,54.259998,55.209999,519700,54.916451
"2021-04-26",55.32,55.860001,55.189999,55.23,762900,54.936348
"2021-04-27",55.02,55.650002,54.869999,55.560001,596700,55.264587
"2021-04-28",55.849998,55.849998,55.18,55.389999,355700,55.095493
"2021-04-29",55.700001,56.200001,55.619999,56.150002,613000,55.851452
"2021-04-30",56.139999,56.450001,55.639999,55.75,673700,55.453583
"2021-05-03",55.59,57.439999,55.220001,57.040001,890100,56.736717
"2021-05-04",56.799999,57.57,56.599998,57.48,934100,57.174381
"2021-05-05",57.41,57.540001,56.91,57.279999,918300,56.975445
"2021-05-06",57.599998,58.220001,56.98,58.18,1210300,57.870655
"2021-05-07",57.41,58.490002,57.299999,58.439999,650700,58.129272
"2021-05-10",58.599998,59.389999,58.400002,58.43,957800,58.119331
"2021-05-11",58.18,58.459999,57.43,57.709999,825700,57.40316
"2021-05-12",58.130001,58.130001,56.560001,56.66,869800,56.358742
"2021-05-13",56.34,58.52,56.259998,58.150002,607300,57.84082
"2021-05-14",58.299999,59.209999,58.18,58.93,479900,58.616673
"2021-05-17",58.66,58.810001,58.110001,58.450001,736000,58.139225
"2021-05-18",58.310001,58.82,58.110001,58.139999,689200,57.830872
"2021-05-19",57.689999,58.209999,56.950001,58.209999,691700,57.900501
"2021-05-20",58.189999,58.189999,57.189999,57.759998,1037600,57.452888
"2021-05-21",58.07,58.099998,57.41,57.740002,1421900,57.433002
"2021-05-24",58.080002,58.799999,58,58.580002,543300,58.268532
"2021-05-25",58.48,58.889999,57.330002,57.360001,926900,57.116444
"2021-05-26",57.799999,58,57.240002,57.529999,1087300,57.285721
"2021-05-27",58.040001,58.279999,57.470001,58.18,2514400,57.932961
"2021-05-28",58.450001,58.549999,57.610001,58.380001,724400,58.132114
"2021-06-01",58.84,59.23,58.349998,58.5,654600,58.251602
"2021-06-02",58.73,58.73,58,58.290001,859800,58.042492
"2021-06-03",58.02,58.560001,57.799999,58.189999,713300,57.942917
"2021-06-04",58.27,58.32,57.669998,58.060001,770300,57.813473
"2021-06-07",58.16,58.16,57.220001,57.310001,737200,57.066662
"2021-06-08",56.93,57.57,56.619999,57.349998,676000,57.106483
"2021-06-09",57.029999,57.029999,56.439999,56.450001,934100,56.210308
"2021-06-10",56.939999,57.040001,55.84,55.919998,586500,55.68256
"2021-06-11",56.110001,56.599998,56.110001,56.25,790700,56.011162
