"","TPR.Open","TPR.High","TPR.Low","TPR.Close","TPR.Volume","TPR.Adjusted"
"2021-07-20",37.830002,39.77,37.669998,39.41,3027900,38.397072
"2021-07-21",40.169998,41.34,40.169998,40.799999,2600900,39.751347
"2021-07-22",40.66,40.66,39.689999,39.919998,2516600,38.893963
"2021-07-23",40.310001,40.810001,39.830002,40.09,1477700,39.059597
"2021-07-26",40.380001,41.279999,40.369999,41.25,1864600,40.189781
"2021-07-27",40.689999,41.09,40.240002,41.02,2182000,39.965691
"2021-07-28",41.43,41.630001,39.639999,40.470001,2318000,39.429825
"2021-07-29",40.849998,41.68,40.790001,41.259998,2059800,40.19952
"2021-07-30",42.029999,43.639999,41.779999,42.299999,4543600,41.212788
"2021-08-02",42.68,43.759998,42.290001,42.330002,3251300,41.242023
"2021-08-03",42.759998,43.68,41.700001,43.43,2663600,42.313751
"2021-08-04",43.150002,43.91,42.68,42.740002,2706300,41.641483
"2021-08-05",42.759998,43.68,42.759998,43.459999,2238400,42.342976
"2021-08-06",43.720001,44.259998,43.470001,44.009998,2405600,42.878838
"2021-08-09",43.509998,43.740002,43,43.18,1567700,42.070171
"2021-08-10",43.209999,44.759998,43.16,43.84,2258500,42.713211
"2021-08-11",43.849998,44.189999,43.380001,44.09,2132100,42.956783
"2021-08-12",44.23,45.029999,44.119999,44.700001,2787000,43.551105
"2021-08-13",44.68,44.73,43.950001,44.23,2241500,43.093185
"2021-08-16",44.27,44.27,43.310001,43.82,2602800,42.693722
"2021-08-17",43.310001,43.459999,41.509998,42.029999,3353200,40.949726
"2021-08-18",41.650002,42.810001,41.259998,41.459999,4597500,40.394379
"2021-08-19",40.450001,41.450001,39.669998,40.169998,8507000,39.137535
"2021-08-20",40.400002,40.66,39.080002,40.580002,8825700,39.537003
"2021-08-23",40.98,42.400002,40.880001,42.310001,5465600,41.222538
"2021-08-24",42.650002,43.919998,42.610001,43.310001,7209100,42.196831
"2021-08-25",42.82,43.549999,42.709999,43.16,3296100,42.050686
"2021-08-26",42.84,42.880001,41.41,41.849998,3717800,40.774357
"2021-08-27",41.939999,42.990002,41.860001,42.650002,3145000,41.553795
"2021-08-30",42.700001,42.810001,41.209999,41.25,2975500,40.189781
"2021-08-31",41.240002,41.540001,39.970001,40.32,3910800,39.28368
"2021-09-01",41.009998,41.27,40.389999,40.540001,2879500,39.498032
"2021-09-02",40.580002,41.299999,40.25,40.619999,3184600,39.575966
"2021-09-03",40.299999,40.799999,39.919998,40.57,2193200,39.772038
"2021-09-07",40.82,41.110001,40.400002,40.75,4339900,39.948494
"2021-09-08",40.470001,40.470001,39.23,39.380001,3556300,38.605442
"2021-09-09",39.740002,40.98,39.639999,40.52,2288700,39.723022
"2021-09-10",40.790001,41.32,40.43,40.470001,2226600,39.674004
"2021-09-13",40.869999,40.98,40.189999,40.310001,2474400,39.517151
"2021-09-14",40.59,40.59,39.560001,40.049999,2835400,39.26226
"2021-09-15",39.68,39.98,39.27,39.939999,3048800,39.154423
"2021-09-16",40.07,41.5,40.029999,40.709999,3041500,39.909283
"2021-09-17",40.66,41.400002,40.200001,40.400002,3416700,39.605381
"2021-09-20",39.130001,39.639999,37.419998,38.009998,4471300,37.262386
"2021-09-21",38.5,39.02,38.110001,38.450001,3300800,37.693737
"2021-09-22",38.73,39.459999,38.48,38.98,2113400,38.21331
"2021-09-23",39.790001,41,39.709999,40.349998,3298900,39.556362
"2021-09-24",39.59,39.849998,38.369999,39.459999,2619600,38.683868
"2021-09-27",39.52,40.639999,39.52,40.099998,2156200,39.311279
"2021-09-28",39.959999,40.490002,39.450001,39.560001,1914100,38.781902
"2021-09-29",39.939999,39.970001,38.580002,38.75,2451100,37.987835
"2021-09-30",38.32,38.369999,36.540001,37.02,6718900,36.291859
"2021-10-01",37.169998,38.279999,36.720001,38.02,2696900,37.272194
"2021-10-04",38.150002,38.830002,37.599998,37.98,3673100,37.232975
"2021-10-05",38.290001,39.52,38.130001,38.439999,2866800,37.683929
"2021-10-06",38.080002,38.450001,37.220001,37.630001,3583700,36.889862
"2021-10-07",38.290001,39.09,38.080002,38.18,3175100,37.429047
"2021-10-08",38.09,38.110001,36.799999,37.360001,2190100,36.625172
"2021-10-11",37.330002,37.98,37.16,37.43,3029800,36.693794
"2021-10-12",37.82,38.59,37.27,38.380001,3498100,37.625114
"2021-10-13",38.75,38.810001,38,38.41,2544600,37.654518
"2021-10-14",39.049999,39.490002,38.709999,39.18,2142300,38.409374
"2021-10-15",39.57,39.790001,39.09,39.200001,1755100,38.428986
"2021-10-18",38.490002,38.689999,37.869999,38.59,2554900,37.830982
"2021-10-19",38.75,38.75,38.200001,38.380001,2786300,37.625114
"2021-10-20",38.389999,39.34,38.389999,38.630001,2529900,37.870197
"2021-10-21",38.939999,39.389999,38.459999,38.75,2205300,37.987835
"2021-10-22",38.82,38.939999,38.380001,38.619999,1508000,37.86039
"2021-10-25",38.759998,39.849998,38.619999,39.639999,1837200,38.860325
"2021-10-26",39.93,40.099998,39.07,39.110001,2554500,38.340752
"2021-10-27",38.900002,38.900002,38.029999,38.060001,2080700,37.311405
"2021-10-28",38.400002,39.689999,38.07,39,3109100,38.232918
"2021-10-29",38.919998,39.43,38.560001,38.98,1926700,38.21331
"2021-11-01",38.889999,39.669998,38.700001,39.389999,3586600,38.615242
"2021-11-02",39.689999,40,39.150002,39.639999,3087900,38.860325
"2021-11-03",41.110001,42.169998,40.82,41.82,4026700,40.997448
"2021-11-04",41.869999,42.939999,41.849998,41.970001,4413900,41.144501
"2021-11-05",42.810001,43.389999,42.200001,42.509998,5027700,41.673874
"2021-11-08",42.66,42.889999,41.869999,42.349998,2756200,41.517025
"2021-11-09",42.439999,42.75,41.580002,42.470001,3664100,41.63467
"2021-11-10",41.799999,43.279999,41.799999,42.610001,5754900,41.771915
"2021-11-11",44.799999,47.02,44.709999,46.18,9926500,45.271694
"2021-11-12",46.5,46.740002,45.389999,45.529999,4219500,44.634476
"2021-11-15",45.529999,45.610001,44.41,44.900002,4118000,44.016872
"2021-11-16",45.099998,46.080002,44.939999,45.59,2318500,44.693298
"2021-11-17",45.349998,45.59,44.84,45.189999,2403400,44.301167
"2021-11-18",45.68,46.07,45.310001,45.84,6162000,44.938381
"2021-11-19",45.84,46.560001,45.68,45.990002,3030100,45.085434
"2021-11-22",46.25,47.049999,46.060001,46.200001,3016700,45.291306
"2021-11-23",45.959999,46.580002,45.360001,45.990002,3328500,45.085434
"2021-11-24",45.029999,45.029999,43.619999,44.07,5723900,43.203194
"2021-11-26",42.84,42.84,40.560001,41.799999,3411400,40.977844
"2021-11-29",42.43,42.75,41.220001,41.740002,3389500,40.919025
"2021-11-30",41.32,41.630001,39.529999,40.119999,4526600,39.330887
"2021-12-01",41.169998,42.139999,38.869999,38.880001,4372700,38.115276
"2021-12-02",39.16,41.169998,38.990002,40.950001,4070100,40.404362
"2021-12-03",41.189999,41.689999,40.110001,40.82,3719400,40.276096
"2021-12-06",41.549999,42.740002,41.310001,42.360001,4082500,41.795578
"2021-12-07",43.099998,44.240002,43.080002,43.700001,3414700,43.117722
"2021-12-08",43.59,44.040001,43.360001,43.52,3192300,42.940121
"2021-12-09",43.200001,44.349998,43.18,43.25,2277400,42.673717
"2021-12-10",43.25,43.509998,42.900002,43.23,2555500,42.653984
"2021-12-13",43.220001,43.580002,41.32,42.049999,3438400,41.489708
"2021-12-14",41.900002,42.990002,41.68,42.459999,5785900,41.894245
"2021-12-15",42.34,42.759998,40.549999,41.759998,4623200,41.203568
"2021-12-16",41.990002,42.57,41.09,41.18,4146000,40.631298
"2021-12-17",40.650002,41.689999,40.16,41.259998,4742300,40.710232
"2021-12-20",40.529999,40.529999,38.619999,39.330002,4363400,38.80595
"2021-12-21",40,41.18,39.970001,40.93,2809100,40.384632
"2021-12-22",40.849998,41.450001,40.630001,41.080002,2203900,40.532635
"2021-12-23",41.310001,41.549999,40.939999,41.259998,1847000,40.710232
"2021-12-27",41.41,41.549999,40.959999,41.119999,2800200,40.572098
"2021-12-28",41,41.709999,40.560001,40.59,1914300,40.04916
"2021-12-29",40.619999,40.810001,40.25,40.59,2688900,40.04916
"2021-12-30",40.48,41.209999,40.48,40.810001,2855200,40.266232
"2021-12-31",40.619999,40.830002,39.990002,40.599998,2070600,40.059025
"2022-01-03",41.009998,41.779999,40.700001,40.810001,2267200,40.266232
"2022-01-04",41.419998,42.240002,41.220001,41.650002,2252200,41.095039
"2022-01-05",41.709999,42.360001,41.09,41.279999,4091700,40.729965
"2022-01-06",41.59,42.049999,40.75,41.450001,2148400,40.897705
"2022-01-07",41.18,41.380001,39.32,39.34,3045800,38.815815
"2022-01-10",38.59,38.900002,36.810001,37.5,5200500,37.000332
"2022-01-11",37.5,38.240002,36.889999,38.209999,2943100,37.700871
"2022-01-12",38.400002,38.849998,37.740002,38.549999,2438900,38.036339
"2022-01-13",38.669998,39.73,38.450001,39.23,2604600,38.707279
"2022-01-14",38.599998,38.889999,37.529999,38.369999,3115000,37.858738
"2022-01-18",37.900002,37.98,37.259998,37.470001,3090300,36.970734
