"","MCO.Open","MCO.High","MCO.Low","MCO.Close","MCO.Volume","MCO.Adjusted"
"2021-02-03",276.679993,278.23999,273.320007,273.880005,494500,270.5802
"2021-02-04",273.950012,277,272.619995,276.850006,662800,273.514435
"2021-02-05",278.230011,279.23999,276.359985,276.970001,480000,273.632996
"2021-02-08",278.51001,280.320007,276.179993,278.390015,729300,275.035889
"2021-02-09",279.100006,284.660004,278.51001,282.320007,677900,278.918549
"2021-02-10",283.899994,283.899994,275.850006,276.869995,849400,273.53421
"2021-02-11",278.959991,279.570007,275.209991,278.660004,567300,275.302612
"2021-02-12",275,284.98999,275,278.670013,910700,275.312531
"2021-02-16",280.079987,282.390015,272.869995,280.350006,1035500,276.97229
"2021-02-17",278.119995,281,277.75,280.549988,656000,277.169861
"2021-02-18",278.600006,281.839996,275.910004,278.779999,698900,275.421173
"2021-02-19",279.410004,281.820007,278.440002,280.420013,934500,277.041443
"2021-02-22",278.179993,279.109985,274.559998,277.029999,799000,273.692261
"2021-02-23",276.130005,277.75,273.410004,276.040009,992900,272.714233
"2021-02-24",274.709991,279.390015,272.600006,278.549988,804800,275.813446
"2021-02-25",278.549988,282.720001,276.839996,277.290009,750400,274.565826
"2021-02-26",278.459991,279.959991,273.209991,274.890015,1017300,272.189423
"2021-03-01",277.329987,284.200012,277.059998,282.470001,715800,279.694916
"2021-03-02",280.850006,283.470001,278.809998,281.130005,702800,278.368134
"2021-03-03",280.619995,281.799988,277.869995,278,861100,275.268829
"2021-03-04",277.5,285.179993,275.98999,278.01001,1003200,275.278778
"2021-03-05",280.140015,288.399994,278.059998,287.440002,1012500,284.61615
"2021-03-08",288.01001,293.109985,287.290009,289.480011,1136700,286.636108
"2021-03-09",292.170013,294,289.730011,290.040009,1312500,287.190552
"2021-03-10",291.5,293.01001,290.109985,291.130005,632600,288.269867
"2021-03-11",291.720001,293.329987,290.640015,291.529999,532400,288.665894
"2021-03-12",291.529999,292.220001,289.670013,291.640015,506900,288.774841
"2021-03-15",291.589996,297.799988,290.959991,297.359985,682100,294.438629
"2021-03-16",299.160004,301.480011,295.440002,296.179993,592400,293.270264
"2021-03-17",295.660004,297.799988,291.630005,293.109985,767200,290.230347
"2021-03-18",291.920013,292.649994,286.119995,287.609985,780600,284.784393
"2021-03-19",289.440002,290.690002,287.269989,287.790009,1804200,284.962708
"2021-03-22",287.790009,292.070007,286.140015,290.290009,696100,287.43811
"2021-03-23",291.100006,292.5,288.5,290.779999,682600,287.923309
"2021-03-24",291.25,298.089996,290.76001,296.25,935100,293.339569
"2021-03-25",296.399994,297.26001,293.209991,295.769989,728400,292.864258
"2021-03-26",295.730011,304.25,295,304.119995,755400,301.132233
"2021-03-29",302.98999,307.859985,302.640015,306.970001,719200,303.954224
"2021-03-30",304.130005,304.399994,295.630005,297.529999,762300,294.606995
"2021-03-31",297.850006,301.109985,297.450012,298.609985,535400,295.676361
"2021-04-01",303.899994,307.299988,300.98999,306.309998,673200,303.30072
"2021-04-05",306.179993,311.440002,306.119995,310.890015,571600,307.835724
"2021-04-06",310.369995,311.899994,308.640015,309.5,511000,306.459381
"2021-04-07",308.829987,311.359985,306.660004,307.910004,508500,304.884979
"2021-04-08",310.670013,314.470001,309.829987,313.100006,793100,310.024017
"2021-04-09",313.359985,314.630005,312.519989,314.290009,551700,311.202362
"2021-04-12",312.730011,315.369995,312,314.480011,654800,311.390442
"2021-04-13",312.899994,317.079987,312.899994,315.170013,680400,312.0737
"2021-04-14",316.540009,318.690002,314.279999,315.170013,481000,312.0737
"2021-04-15",317.029999,319.619995,316.700012,318.51001,694900,315.380859
"2021-04-16",320.410004,322.440002,318.019989,322,1931100,318.836578
"2021-04-19",320.700012,324.23999,319.950012,320.720001,989500,317.569153
"2021-04-20",320.440002,325.230011,319.410004,323.76001,875100,320.579285
"2021-04-21",324.48999,327.23999,323.679993,325.029999,669600,321.836823
"2021-04-22",324.790009,329.040009,323.290009,325.049988,772100,321.856628
"2021-04-23",325.609985,328.98999,322.459991,327.730011,751600,324.510284
"2021-04-26",327.720001,328.040009,324.869995,325.279999,752500,322.08432
"2021-04-27",325.25,327.01001,323.290009,326.399994,1204300,323.193329
"2021-04-28",340.160004,340.160004,318.369995,320.040009,996700,316.895844
"2021-04-29",321.299988,330.75,319.51001,329.950012,788400,326.708527
"2021-04-30",329.359985,330.529999,324.040009,326.709991,874400,323.500305
"2021-05-03",327.529999,330.630005,325.5,329.320007,579000,326.084686
"2021-05-04",328.230011,331.839996,327.970001,330.209991,874800,326.965912
"2021-05-05",332.220001,332.220001,324.529999,328.670013,629500,325.441101
"2021-05-06",329.320007,330.519989,325.709991,329.600006,636700,326.361908
"2021-05-07",330.109985,334.679993,328.529999,334.5,678100,331.213776
"2021-05-10",334.850006,338.589996,333.480011,333.619995,552000,330.342407
"2021-05-11",329.179993,330.170013,327,328.75,706700,325.520294
"2021-05-12",327.070007,328.76001,319.26001,319.730011,991200,316.588928
"2021-05-13",321.26001,329.880005,321.079987,328.839996,709100,325.609406
"2021-05-14",330,334.640015,329.109985,334.040009,697100,330.758301
"2021-05-17",332.149994,332.73999,329.200012,329.690002,867500,326.45105
"2021-05-18",328.23999,328.820007,323.529999,323.809998,781800,320.628815
"2021-05-19",319.820007,323.98999,318.929993,323.899994,539000,321.33313
"2021-05-20",325.079987,329.950012,325.019989,326.98999,543400,324.398651
"2021-05-21",327.709991,331.26001,327.399994,328.880005,926500,326.273712
"2021-05-24",331.109985,334.059998,331.079987,331.880005,413300,329.249908
"2021-05-25",333.839996,334.420013,331.779999,333.019989,413900,330.38089
"2021-05-26",335.200012,335.200012,330.850006,331.190002,675500,328.565399
"2021-05-27",331.679993,334.51001,330.320007,333.730011,1018100,331.085266
"2021-05-28",333.809998,338.170013,333.73999,335.350006,724700,332.692413
"2021-06-01",338.059998,339,330.380005,330.920013,568000,328.297546
"2021-06-02",330.950012,335.529999,330.839996,335,511300,332.345215
"2021-06-03",334.380005,335.040009,330.459991,334.279999,481700,331.63092
"2021-06-04",335.619995,335.98999,333.51001,335.649994,440900,332.990051
"2021-06-07",335.880005,336.519989,334.109985,335.070007,380900,332.414642
"2021-06-08",335.339996,338.329987,334.390015,336.950012,365900,334.279755
"2021-06-09",337.109985,339.160004,336.140015,338.779999,408000,336.095245
"2021-06-10",338.76001,340.630005,335.929993,339.959991,592600,337.2659
"2021-06-11",341.220001,344.880005,340.350006,344.73999,566300,342.007996
"2021-06-14",344.399994,347.920013,342.890015,347.76001,458700,345.004089
"2021-06-15",349.410004,352.839996,346.299988,350.910004,650300,348.129089
"2021-06-16",352.410004,353.700012,344.950012,346.899994,733000,344.150909
"2021-06-17",346.5,357.23999,346.170013,355.350006,897900,352.533936
"2021-06-18",349.51001,352.559998,345.029999,348.76001,1054000,345.996155
"2021-06-21",350.519989,355.920013,348.200012,355.649994,574500,352.831543
"2021-06-22",355.649994,360.339996,354.470001,359.48999,679200,356.641144
"2021-06-23",361.079987,362.48999,357.299988,357.600006,464200,354.766113
"2021-06-24",360.220001,362.799988,358.070007,361.970001,480800,359.10144
"2021-06-25",362.609985,366.630005,359.420013,364.98999,838800,362.097534
"2021-06-28",365.73999,367.950012,364.149994,365.75,378900,362.851501
"2021-06-29",365.980011,367.690002,362.269989,366.339996,435800,363.436829
"2021-06-30",366.279999,367.179993,361.059998,362.369995,591700,359.498291
"2021-07-01",362.5,365.820007,361.019989,365.309998,439500,362.415009
"2021-07-02",366.450012,368.549988,365.170013,367.839996,375500,364.924957
"2021-07-06",369.320007,370.709991,365.25,370.040009,490200,367.107513
"2021-07-07",371.26001,377.589996,370.570007,376.73999,537700,373.754395
"2021-07-08",372.959991,376,370.450012,374.399994,567400,371.432983
"2021-07-09",375.399994,376.660004,372.380005,375.589996,631800,372.613525
"2021-07-12",376.529999,377.290009,371.98999,375.040009,445700,372.067902
"2021-07-13",375.26001,377.940002,372.559998,375,409200,372.028198
"2021-07-14",375.570007,376.019989,373.190002,375.600006,380000,372.623474
"2021-07-15",374.679993,376.570007,372.359985,374.75,493800,371.780182
"2021-07-16",375.540009,379.880005,375.209991,377.959991,570600,374.964752
"2021-07-19",375.109985,377.929993,369.390015,371.829987,867800,368.883331
"2021-07-20",372.410004,379.309998,371.029999,377.309998,564400,374.319885
"2021-07-21",377.119995,381.01001,377.119995,379,771200,375.99649
"2021-07-22",378.940002,381.359985,377.970001,381.209991,577100,378.188995
"2021-07-23",381.880005,384.519989,381.029999,381.859985,590200,378.833801
"2021-07-26",380.25,381.070007,374.73999,379.790009,558200,376.780273
"2021-07-27",380.070007,382.049988,377.350006,380.970001,621100,377.950897
"2021-07-28",381.350006,382.709991,377.049988,378.579987,866500,375.579803
"2021-07-29",377.799988,381.299988,374.279999,377.309998,792700,374.319885
"2021-07-30",376.380005,378.040009,375.309998,376,896400,373.020264
"2021-08-02",378.570007,381.410004,376.179993,379.220001,763900,376.214783
"2021-08-03",380,380,374.209991,379.149994,520300,376.145294
"2021-08-04",379.529999,385.01001,376.630005,382.76001,726700,379.726715
"2021-08-05",385.26001,387.549988,382.929993,386.839996,620100,383.774384
"2021-08-06",386.76001,388.809998,380.869995,384.970001,527100,381.919189
"2021-08-09",385.859985,387.529999,381.51001,382.420013,510900,379.389404
"2021-08-10",383.160004,383.980011,378.209991,380.350006,366400,377.335815
"2021-08-11",382.209991,382.5,378.730011,380,473000,376.988586
"2021-08-12",378.769989,380.100006,376.279999,378.929993,411000,375.927032
"2021-08-13",380.25,381.850006,379.51001,380.649994,409400,377.633423
"2021-08-16",379.690002,384.540009,377.799988,384.440002,386600,381.393402
"2021-08-17",382.420013,383.880005,380.160004,381.869995,483100,378.84375
"2021-08-18",382.459991,382.920013,373.619995,373.920013,614600,370.956787
"2021-08-19",371.350006,375.799988,369,374.540009,486800,372.188995
"2021-08-20",375.380005,378,373.040009,376.420013,595300,374.05719
"2021-08-23",376.76001,382.5,376.76001,379.109985,623500,376.730286
"2021-08-24",380.769989,380.959991,374.529999,376.350006,455000,373.98761
"2021-08-25",376.970001,377.519989,373.5,376.399994,304600,374.037292
"2021-08-26",375.790009,377.850006,374.660004,375.369995,344600,373.013763
"2021-08-27",375.959991,379.299988,375.390015,377.850006,337600,375.47821
"2021-08-30",378.309998,383.559998,378.299988,381.089996,294100,378.697845
"2021-08-31",381.450012,382.730011,379.420013,380.769989,546200,378.379852
"2021-09-01",380.309998,383.720001,377.839996,382.109985,375000,379.711426
"2021-09-02",384.190002,386.369995,381.820007,385.690002,401300,383.269012
"2021-09-03",384.190002,386.619995,382.859985,385.390015,337400,382.970856
"2021-09-07",387.73999,387.73999,379.480011,381.769989,437100,379.373566
"2021-09-08",382,384.079987,380.01001,381.940002,765000,379.542542
"2021-09-09",383.019989,385.529999,381.589996,382.5,497400,380.098999
"2021-09-10",384.880005,385.799988,381.040009,382.529999,353600,380.128784
"2021-09-13",385.26001,386.98999,374.540009,379.170013,345300,376.789948
"2021-09-14",380.809998,382.26001,378.529999,380.149994,352100,377.763763
"2021-09-15",381.670013,383.25,376.75,379.809998,418700,377.425873
"2021-09-16",380.649994,382.700012,380.070007,380.329987,461400,377.942627
"2021-09-17",377.600006,378.700012,368.779999,370,1260600,367.67746
"2021-09-20",366,370.540009,365.390015,368.929993,704900,366.614197
"2021-09-21",370.829987,371.940002,368.940002,369.440002,363200,367.121002
"2021-09-22",372.359985,372.359985,367.140015,370.380005,335700,368.055084
"2021-09-23",371.200012,377.470001,371.200012,376.920013,485300,374.554047
"2021-09-24",375.809998,378.609985,373.309998,376.269989,337300,373.908112
"2021-09-27",374.570007,374.570007,365.720001,368.200012,488400,365.888794
"2021-09-28",364.51001,366.079987,353.029999,355.48999,702100,353.258514
