"","MOS.Open","MOS.High","MOS.Low","MOS.Close","MOS.Volume","MOS.Adjusted"
"2022-01-26",40.82,41.790001,39.259998,39.869999,6066000,39.687889
"2022-01-27",40.259998,41.07,38.970001,39.490002,4776900,39.309628
"2022-01-28",39.389999,40.080002,38.580002,39.77,3942000,39.588348
"2022-01-31",39.5,40.029999,38.700001,39.950001,4131100,39.767525
"2022-02-01",40.25,43.700001,40.130001,43.59,10038200,43.3909
"2022-02-02",43.25,44.490002,42.25,44.169998,7441200,43.968246
"2022-02-03",43.279999,43.939999,42.34,42.939999,5825000,42.743866
"2022-02-04",42.810001,44.459999,42.610001,43.830002,6820600,43.629807
"2022-02-07",44.110001,44.82,43.150002,44.459999,6761400,44.256924
"2022-02-08",44.709999,45.110001,43.529999,44.93,7347900,44.724777
"2022-02-09",45.549999,45.740002,44.73,44.77,7368200,44.56551
"2022-02-10",44.16,47.549999,44.110001,45.919998,7677500,45.710255
"2022-02-11",45.810001,47.259998,45.380001,46.869999,9591400,46.655914
"2022-02-14",46.52,46.610001,43.919998,44.619999,7984700,44.416195
"2022-02-15",44.57,45.830002,42.91,45.580002,6181000,45.371811
"2022-02-16",45.630001,46.549999,45.450001,46.290001,5582000,46.078568
"2022-02-17",46.41,47.099998,45.779999,46.02,5765200,45.809799
"2022-02-18",45.700001,46,44.619999,45,4823100,44.794456
"2022-02-22",45.709999,45.84,43.580002,44.189999,7738900,43.988159
"2022-02-23",42.790001,45.799999,42.349998,45.200001,9786700,44.993546
"2022-02-24",44.130001,48.110001,44.07,45.349998,10706300,45.142857
"2022-02-25",46.040001,49.57,45.360001,49.529999,12150300,49.303764
"2022-02-28",49.290001,52.650002,49.099998,52.43,15683200,52.190521
"2022-03-01",52.650002,54.169998,50.82,51.869999,11324100,51.633076
"2022-03-02",52.5,55.07,52.369999,53.759998,12305100,53.631283
"2022-03-03",54.639999,57.27,54.400002,55.66,13376500,55.526737
"2022-03-04",56.290001,59.950001,56.040001,59.830002,17991000,59.686752
"2022-03-07",59.619999,64.709999,58.790001,61.139999,24638900,60.993614
"2022-03-08",60.27,62.68,56.740002,58.189999,17925200,58.050678
"2022-03-09",55.32,57.950001,52.900002,57.720001,15112000,57.581806
"2022-03-10",58.959999,62.720001,58.27,62.189999,18388500,62.0411
"2022-03-11",60.52,63.439999,60.209999,61.919998,13855200,61.771744
"2022-03-14",60.68,61.380001,56.549999,58.099998,11773900,57.960892
"2022-03-15",57.52,58.580002,55.049999,58.43,10955100,58.290104
"2022-03-16",58.419998,59.27,55.66,57.57,13659200,57.432163
"2022-03-17",58.950001,61.139999,58.349998,61.099998,11637100,60.953709
"2022-03-18",60.919998,62.389999,60.599998,62.080002,16045600,61.931366
"2022-03-21",64.18,67.75,64.150002,67.199997,14430100,67.039101
"2022-03-22",66.800003,67.230003,64.230003,65.68,10715400,65.522743
"2022-03-23",67,69.650002,66.529999,67.93,8854500,67.767357
"2022-03-24",68.190002,71.379997,67.830002,68.57,10348100,68.405823
"2022-03-25",68.809998,71.5,68.650002,71.339996,8666300,71.169189
"2022-03-28",69.459999,70,65.559998,67.970001,9185200,67.807266
"2022-03-29",62.540001,65.099998,58.950001,64.449997,14888900,64.295685
"2022-03-30",66.150002,67.650002,65.040001,65.519997,6604400,65.363121
"2022-03-31",65.879997,68.32,65.489998,66.5,7969900,66.340782
"2022-04-01",66.370003,68.879997,65.389999,65.879997,6542800,65.722267
"2022-04-04",67.059998,67.459999,65.050003,67,5187900,66.839584
"2022-04-05",67.919998,70.080002,67.230003,67.75,10554200,67.587791
"2022-04-06",68.07,72.230003,68.07,69.190002,13999300,69.024345
"2022-04-07",69.75,72.169998,68.830002,71.519997,9956800,71.348763
"2022-04-08",73.239998,74.75,71.410004,73.860001,8347200,73.683159
"2022-04-11",73.669998,74.32,70.599998,73.910004,8307200,73.733047
"2022-04-12",74.629997,75.900002,72.389999,75.480003,8360000,75.299286
"2022-04-13",76.050003,76.989998,72.419998,75.050003,9350800,74.870316
"2022-04-14",74.629997,77.050003,74.400002,76.050003,6263200,75.86792
"2022-04-18",75.989998,79.279999,75.220001,78.150002,6319500,77.962891
"2022-04-19",77.540001,79.129997,76.360001,77.980003,8032200,77.793297
"2022-04-20",76.489998,78.059998,73.419998,75.769997,9163300,75.588585
"2022-04-21",76.120003,76.330002,68.260002,68.660004,13000600,68.495613
"2022-04-22",68.300003,71.019997,66.199997,66.769997,10089900,66.61013
"2022-04-25",64.129997,64.779999,60.709999,63.610001,14476800,63.457703
"2022-04-26",65.349998,65.650002,61.799999,63.669998,11203600,63.517555
"2022-04-27",64.629997,65.940002,62.290001,64.849998,7014200,64.694733
"2022-04-28",65.099998,65.900002,63.349998,65.32,5735000,65.163605
"2022-04-29",66.489998,66.849998,62.049999,62.419998,6945700,62.27055
"2022-05-02",62.009998,63.75,60.630001,62.400002,7929400,62.250599
"2022-05-03",60.299999,68.25,59.169998,67.830002,14941100,67.667603
"2022-05-04",68.339996,68.739998,64.220001,67.120003,7789000,66.959297
"2022-05-05",68.120003,68.650002,63.330002,64.730003,6474400,64.57502
"2022-05-06",64.639999,65.25,62.18,64.050003,5845600,63.896652
"2022-05-09",62.099998,62.27,55.34,55.860001,10565400,55.726257
"2022-05-10",58.720001,60.490002,56,57.639999,8552700,57.501995
"2022-05-11",58.549999,62.240002,57.900002,59.459999,8585000,59.317635
"2022-05-12",59.27,59.639999,56.299999,58.740002,6960000,58.599361
"2022-05-13",61.09,63.439999,61,62.290001,5408900,62.140862
"2022-05-16",64.040001,65.459999,62.68,63.080002,6249100,62.92897
"2022-05-17",64.260002,66.599998,62.639999,65.639999,8153300,65.482841
"2022-05-18",64.910004,65.75,60.41,61.450001,7720300,61.302872
"2022-05-19",60.959999,62.950001,59.630001,61.169998,6997900,61.02354
"2022-05-20",62.25,63.27,56.189999,57.950001,11768300,57.811253
"2022-05-23",58.169998,61.779999,58.110001,61,9105000,60.853951
"2022-05-24",59.880001,60.360001,57.860001,58.200001,12203600,58.060654
"2022-05-25",57.139999,60.459999,56.880001,59.82,8980700,59.676777
"2022-05-26",59.18,59.98,58.16,58.959999,6654200,58.818832
"2022-05-27",58.709999,59.869999,56.549999,59.849998,6649400,59.706703
"2022-05-31",61.400002,64.620003,60.52,62.650002,13129400,62.5
"2022-06-01",61.799999,62.240002,57.59,58.689999,8540800,58.689999
"2022-06-02",59.369999,61.349998,59.040001,60.099998,6763200,60.099998
"2022-06-03",59.259998,60.110001,58.639999,59.689999,3522600,59.689999
"2022-06-06",60.389999,60.740002,58.779999,59.560001,7728500,59.560001
"2022-06-07",59.380001,59.459999,55.709999,57.18,10939900,57.18
"2022-06-08",56.41,58.98,55.950001,56.799999,7347000,56.799999
"2022-06-09",55.810001,56.189999,53.599998,53.66,9049400,53.66
"2022-06-10",53.130001,55.630001,52.529999,53.360001,7646200,53.360001
"2022-06-13",51.57,52.57,50.619999,51.43,7597800,51.43
"2022-06-14",51.830002,53.669998,51.139999,52.73,7439200,52.73
"2022-06-15",53.490002,54.5,52.189999,53.610001,8638800,53.610001
"2022-06-16",51.91,53.43,50.18,50.939999,10042500,50.939999
"2022-06-17",50.68,51.41,49.02,50.599998,12381500,50.599998
"2022-06-21",51.650002,52.459999,50.68,51.580002,8730300,51.580002
"2022-06-22",49.509998,50.98,49.049999,50.029999,8589900,50.029999
"2022-06-23",50.060001,50.060001,45.150002,45.240002,12948900,45.240002
"2022-06-24",45.889999,47.759998,45.130001,46.610001,9921700,46.610001
"2022-06-27",47.200001,49.049999,46.18,48.740002,8010300,48.740002
"2022-06-28",49.939999,51.349998,48.919998,49.279999,8233300,49.279999
"2022-06-29",49.73,50.150002,47.68,48.139999,5585300,48.139999
