"","PGR.Open","PGR.High","PGR.Low","PGR.Close","PGR.Volume","PGR.Adjusted"
"2021-01-05",97.440002,97.629997,95.209999,96.949997,2623200,90.559013
"2021-01-06",96.599998,98.910004,96,98.790001,2833600,92.277725
"2021-01-07",94.540001,95.330002,94.089996,94.739998,2698300,92.816544
"2021-01-08",92.989998,94.849998,92.839996,94.5,1685400,92.581429
"2021-01-11",94.209999,95.129997,93.870003,95.089996,1759700,93.159439
"2021-01-12",94.870003,96.040001,94.540001,95.07,2090200,93.139862
"2021-01-13",95.080002,95.510002,94.419998,94.93,2072300,93.002701
"2021-01-14",95.309998,95.610001,93.360001,93.449997,1602300,91.55275
"2021-01-15",93.449997,95.010002,92.870003,94.800003,3053300,92.875351
"2021-01-19",95,97.150002,94.25,96.190002,3463300,94.237129
"2021-01-20",95.940002,96.849998,95.330002,96.059998,1474900,94.109756
"2021-01-21",96.150002,96.639999,94.260002,94.260002,1695300,92.346306
"2021-01-22",94,94.269997,92.300003,92.309998,2688200,90.435883
"2021-01-25",92.269997,93.589996,91.379997,92.419998,3119600,90.543663
"2021-01-26",92.529999,92.830002,91.139999,91.720001,2595600,89.857864
"2021-01-27",90.790001,91.330002,86.709999,87.040001,4866900,85.272881
"2021-01-28",87.519997,89.699997,86.800003,88.489998,6292500,86.693443
"2021-01-29",88.18,89.07,86.720001,87.190002,4756500,85.419838
"2021-02-01",87.489998,88.120003,85.470001,86.190002,5151700,84.440147
"2021-02-02",86.940002,88.269997,86.550003,86.75,3261200,84.98877
"2021-02-03",86.169998,87.089996,85.879997,86.959999,2726000,85.194504
"2021-02-04",86.949997,88.220001,86.309998,88.139999,3279900,86.350548
"2021-02-05",88.330002,88.949997,87.449997,87.470001,2216300,85.694153
"2021-02-08",87.919998,88.019997,85.900002,86.169998,3958300,84.42054
"2021-02-09",86.440002,86.860001,85.330002,86.269997,4551400,84.518509
"2021-02-10",86.790001,86.970001,85.040001,85.529999,3265300,83.793541
"2021-02-11",85.610001,86.75,85.129997,86.370003,2475800,84.616486
"2021-02-12",86,86.620003,85.75,86.269997,2326900,84.518509
"2021-02-16",86.5,87.160004,84.889999,85.129997,3846800,83.401665
"2021-02-17",85.080002,86.43,85.080002,86.25,3951900,84.498924
"2021-02-18",86.279999,88.519997,86.010002,88.099998,2921000,86.311363
"2021-02-19",88.449997,88.720001,87.040001,87.059998,2580700,85.29248
"2021-02-22",87,88.110001,86.43,87.790001,2646900,86.00766
"2021-02-23",88.440002,90.489998,88,89.75,4797000,87.927864
"2021-02-24",89.75,91,87.730003,87.739998,3659500,85.958664
"2021-02-25",87.739998,88.639999,86.629997,87.110001,3552800,85.341454
"2021-02-26",87.610001,87.68,85.5,85.949997,4540100,84.205009
"2021-03-01",86.480003,88.25,86.480003,87.639999,2193200,85.860703
"2021-03-02",87.769997,89.239998,87.330002,88.709999,2911500,86.908974
"2021-03-03",88.410004,90.379997,87.870003,88.860001,2788900,87.055931
"2021-03-04",88.68,89.300003,86.760002,86.989998,3305400,85.2239
"2021-03-05",87.949997,89.800003,86.839996,89.559998,3341400,87.74173
"2021-03-08",89.519997,92.599998,88.690002,91.019997,3192800,89.172081
"2021-03-09",90.480003,91.230003,90.110001,90.18,2919400,88.349136
"2021-03-10",90.43,92.860001,90.120003,92.220001,2869700,90.34771
"2021-03-11",92.120003,93.580002,91.300003,92.790001,2998300,90.906151
"2021-03-12",93.339996,93.43,92.529999,93.040001,1766800,91.151077
"2021-03-15",93.330002,93.699997,92.699997,93.379997,1869700,91.484169
"2021-03-16",92.790001,93.540001,92.040001,93.370003,1955000,91.47438
"2021-03-17",91.300003,92.809998,90.290001,91.099998,3543600,89.250465
"2021-03-18",91.400002,91.440002,90.010002,90.349998,2491900,88.515694
"2021-03-19",90.779999,91.589996,89.529999,90.940002,5568700,89.093704
"2021-03-22",90.269997,91.260002,89.790001,90.129997,1684100,88.300148
"2021-03-23",89.980003,91.349998,89.980003,90.75,1936000,88.907562
"2021-03-24",90.870003,93.879997,90.25,92.489998,3203700,90.612236
"2021-03-25",93.050003,94.519997,92.650002,94.230003,4315800,92.316917
"2021-03-26",94.339996,95.470001,93.839996,95.25,2874900,93.316193
"2021-03-29",95.029999,96.980003,94.120003,96.199997,2410500,94.246902
"2021-03-30",96.029999,96.370003,94.809998,95.550003,2162200,93.610123
"2021-03-31",95.550003,95.68,94.690002,95.610001,3383000,93.668884
"2021-04-01",95.449997,95.839996,94.75,95.550003,2487900,93.610123
"2021-04-05",95.900002,97.290001,95.809998,96.720001,2139600,94.756363
"2021-04-06",96.790001,96.860001,95.220001,95.43,2478400,93.58931
"2021-04-07",95.489998,96.230003,95.230003,95.860001,2146600,94.011024
"2021-04-08",95.690002,96.169998,94.199997,94.980003,2319500,93.148003
"2021-04-09",95.550003,95.970001,95.120003,95.68,2197000,93.834488
"2021-04-12",95.800003,96.470001,95.419998,96.43,2537600,94.570023
"2021-04-13",96.300003,97.900002,96.059998,97.290001,3404000,95.413429
"2021-04-14",97.209999,97.650002,96.93,97.18,2194900,95.30555
"2021-04-15",97.739998,101.489998,97.510002,100.400002,4481300,98.463448
"2021-04-16",100.260002,100.610001,98.68,98.760002,4278400,96.855087
"2021-04-19",98.510002,99.360001,97.360001,99.290001,2000100,97.374855
"2021-04-20",99.389999,100.559998,99.199997,99.790001,1606500,97.865204
"2021-04-21",100.370003,101.309998,100,101.209999,2412900,99.257828
"2021-04-22",100.730003,100.919998,99.519997,100.150002,1621100,98.218262
"2021-04-23",100.260002,101,99.940002,100.760002,1788500,98.816505
"2021-04-26",100.82,101.040001,99.75,99.860001,2702400,97.933861
"2021-04-27",99.720001,100.07,99.43,99.910004,1480800,97.982895
"2021-04-28",100.379997,100.599998,99.419998,100.360001,1386800,98.424225
"2021-04-29",100.400002,102.040001,100.360001,101.949997,1724000,99.983551
"2021-04-30",101.779999,102.239998,100.669998,100.739998,2364300,98.796883
"2021-05-03",101.790001,102.949997,101.029999,102.559998,2182300,100.581779
"2021-05-04",102.309998,103.169998,102.080002,103.129997,3055700,101.140793
"2021-05-05",103.139999,104.059998,102.550003,103.800003,2297400,101.797867
"2021-05-06",104.5,104.790001,103.809998,104.199997,2167400,102.190155
"2021-05-07",103.800003,105.419998,103.449997,105.18,2158300,103.151245
"2021-05-10",105.57,107.150002,105.519997,105.739998,2265000,103.700447
"2021-05-11",107.440002,107.440002,104.75,105.080002,3404300,103.053177
"2021-05-12",105.099998,105.989998,104.599998,104.760002,2683600,102.739349
"2021-05-13",104.400002,106.809998,104.059998,106.050003,2211000,104.004471
"2021-05-14",106.510002,107.589996,106.279999,107.099998,1573800,105.034218
"2021-05-17",107.099998,107.529999,106.419998,106.559998,1437100,104.504631
"2021-05-18",106.389999,106.669998,105.459999,105.980003,1787100,103.935829
"2021-05-19",105.349998,105.699997,99.610001,101,5700900,99.05188
"2021-05-20",99.169998,102.830002,99,102.040001,3446100,100.071808
"2021-05-21",102.059998,102.339996,99.099998,99.139999,3469000,97.227745
"2021-05-24",99.220001,100.099998,97.18,97.459999,3506400,95.580154
"2021-05-25",96.709999,98.18,96.449997,97.279999,3001500,95.403625
"2021-05-26",98.230003,99.019997,97.419998,98.400002,3201600,96.502014
"2021-05-27",98.720001,99.290001,97.900002,99.150002,4817200,97.237556
"2021-05-28",99.709999,100.059998,99.040001,99.080002,2109000,97.168915
"2021-06-01",99.459999,100.32,98.519997,99.309998,2071500,97.394463
"2021-06-02",99.580002,100.660004,98.349998,100.470001,2447800,98.532089
"2021-06-03",100.239998,101.139999,99.959999,99.959999,2051900,98.031929
"2021-06-04",100.260002,100.559998,99.559998,100.360001,1318200,98.424225
"2021-06-07",98.75,98.75,95.900002,96.389999,4923900,94.530792
"2021-06-08",96.410004,96.650002,95.43,95.860001,3198700,94.011024
"2021-06-09",95.879997,96.25,94.790001,94.82,2628800,92.991081
"2021-06-10",95.059998,95.739998,93.410004,94.019997,3269500,92.206497
"2021-06-11",94.290001,94.43,93.25,93.599998,2641200,91.794609
"2021-06-14",93.239998,93.400002,92.300003,93.120003,3647000,91.323868
"2021-06-15",93.279999,94.089996,92.269997,93.760002,3447600,91.951523
"2021-06-16",93.209999,94.480003,92.129997,92.919998,4435900,91.127724
"2021-06-17",92.860001,93.239998,91.019997,91.839996,4415900,90.06855
"2021-06-18",90.779999,92.480003,90.220001,92.309998,9155900,90.52948
"2021-06-21",92.709999,94.790001,92.699997,94.599998,4757200,92.775307
"2021-06-22",94.559998,95.410004,94.389999,94.949997,2381400,93.118568
"2021-06-23",94.910004,95.589996,94.599998,94.919998,1923100,93.089134
"2021-06-24",95.32,95.849998,94.900002,95.690002,2643200,93.844299
"2021-06-25",95.879997,96.980003,95.459999,96.849998,5359100,94.981918
"2021-06-28",96.769997,97.940002,96.379997,97.330002,2395800,95.452667
"2021-06-29",97.699997,98.769997,97.650002,98.440002,2569300,96.541245
"2021-06-30",98.489998,98.860001,98.019997,98.209999,2570600,96.315689
